Date,Open,High,Low,Close,Volume
2015-06-22,49.96,50.365,49.84,50.03,4605746
2015-06-23,50.22,50.47,49.69,49.88,3258331
2015-06-24,49.59,49.845,49.48,49.5,4536400
2015-06-25,49.65,49.87,49.28,49.33,3607886
2015-06-26,49.47,49.98,49.27,49.97,6780539
2015-06-29,49.54,49.85,48.96,49.01,5364310
2015-06-30,49.51,49.55,48.91,49.08,4514654
2015-07-01,49.4,49.63,49.08,49.52,3378206
2015-07-02,49.8,49.82,49.16,49.41,2740289
2015-07-06,49.02,50.12,48.92,49.74,5783811
2015-07-07,49.96,50.24,49.1,50.21,6055276
2015-07-08,49.74,50.09,49.17,49.25,5839565
2015-07-09,49.8,49.93,49.18,49.19,5604805
2015-07-10,49.63,50.12,49.39,49.93,5028191
2015-07-13,50.0,50.1099,49.58,49.72,5519838
2015-07-14,49.81,50.38,49.7,50.2,4128736
2015-07-15,49.84,49.99,49.14,49.31,6611980
2015-07-16,49.82,49.84,49.54,49.77,3754004
2015-07-17,49.52,49.97,49.45,49.9,5402287
2015-07-20,50.01,50.33,49.98,50.06,5416492
2015-07-21,49.91,50.27,49.76,49.76,6393061
2015-07-22,49.87,51.09,49.255,50.98,10391040
2015-07-23,51.33,51.74,50.94,51.2,5949739
2015-07-24,50.85,51.47,50.84,51.05,5966578
2015-07-27,50.64,50.85,50.21,50.69,5479553
2015-07-28,51.09,51.24,50.65,50.94,5734851
2015-07-29,50.98,51.17,50.76,51.06,3499659
2015-07-30,50.95,51.05,50.54,50.77,3665012
2015-07-31,51.07,51.13,50.6,50.69,5552769
2015-08-03,50.89,50.91,50.14,50.5,3500882
2015-08-04,50.75,50.81,50.29,50.51,3485843
2015-08-05,50.98,51.0,50.39,50.48,5032827
2015-08-06,50.52,51.0068,50.0699,50.32,6213188
2015-08-07,50.4,50.44,49.365,50.11,4351800
2015-08-10,50.42,51.17,50.39,50.66,3729326
2015-08-11,50.18,50.52,49.99,50.39,4031669
2015-08-12,50.43,50.49,49.22,50.09,5480914
2015-08-13,50.02,50.11,49.61,49.84,4100054
2015-08-14,49.82,50.31,49.72,50.23,3776362
2015-08-17,50.01,50.41,49.75,50.38,3176927
2015-08-18,50.31,50.595,50.25,50.44,3288156
2015-08-19,50.14,50.17,49.41,49.84,5998732
2015-08-20,49.4,49.5106,48.51,48.53,5892110
2015-08-21,48.03,48.4301,47.13,47.13,9081139
2015-08-24,44.51,45.81,42.73,43.7,18430110
2015-08-25,44.87,45.1,42.88,42.9,14570540
2015-08-26,43.86,44.12,42.3032,43.98,12675000
2015-08-27,45.6,46.045,44.6699,45.64,14260390
2015-08-28,45.61,46.11,45.21,46.02,9191386
2015-08-31,45.91,46.63,45.12,45.29,7470246
2015-09-01,44.22,44.5,43.37,43.57,9000517
2015-09-02,44.31,44.44,43.62,44.24,7517555
2015-09-03,44.52,44.78,43.95,44.14,6032383
2015-09-04,43.5,43.71,42.72,43.07,7057133
2015-09-08,43.66,44.06,43.5,44.04,5452445
2015-09-09,44.36,44.51,43.12,43.23,5251089
2015-09-10,43.02,43.48,42.68,43.12,6949079
2015-09-11,43.13,43.44,42.74,43.41,5699509
2015-09-14,43.6,43.61,42.9,43.17,4461253
2015-09-15,43.28,43.92,43.11,43.81,5105609
2015-09-16,43.78,44.085,43.555,43.86,4982269
2015-09-17,43.85,45.15,43.79,44.24,7256198
2015-09-18,43.64,44.11,43.235,43.33,9063890
2015-09-21,43.65,43.82,43.0,43.3,5032549
2015-09-22,42.83,42.85,41.95,42.48,7283366
2015-09-23,42.5,42.68,42.1,42.2,6280322
2015-09-24,42.0,42.15,41.44,41.94,7320919
2015-09-25,42.23,42.49,40.4185,40.86,10025080
2015-09-28,40.74,40.74,39.0,39.06,17219090
2015-09-29,39.26,40.15,39.025,39.5,12287400
2015-09-30,39.84,40.43,39.55,40.22,10750270
2015-10-01,40.35,40.8,40.18,40.76,7896959
2015-10-02,40.25,41.41,40.165,41.38,8344906
2015-10-05,41.62,41.78,41.02,41.39,8784096
2015-10-06,41.25,41.34,39.28,39.89,11689340
2015-10-07,40.53,40.9072,40.01,40.63,9227290
2015-10-08,40.35,41.22,40.045,41.16,9859062
2015-10-09,41.07,41.98,40.94,41.89,10399600
2015-10-12,41.63,41.7501,41.3,41.57,6067632
2015-10-13,40.97,41.385,40.81,40.92,5527047
2015-10-14,40.97,41.34,40.66,40.72,6408481
2015-10-15,41.07,42.03,40.91,41.87,7710813
2015-10-16,42.2,42.27,41.6599,42.22,6163246
2015-10-19,42.11,42.37,41.84,42.15,5361541
2015-10-20,42.08,42.22,41.57,41.74,5840054
2015-10-21,42.54,42.85,41.62,42.2,8896432
2015-10-22,42.41,43.5701,41.76,43.5,12439720
2015-10-23,43.52,43.86,43.19,43.6,9582743
2015-10-26,43.58,43.82,43.42,43.61,5716413
