Date,Open,High,Low,Close,Volume
2015-06-22,53.9,54.77,53.86,54.55,2714910
2015-06-23,54.54,54.7,53.8501,54.09,1795214
2015-06-24,53.99,54.65,53.73,53.91,1607419
2015-06-25,53.99,54.09,53.26,53.3,1693606
2015-06-26,53.39,53.44,51.81,52.2,3871045
2015-06-29,51.43,51.62,50.35,50.41,2425348
2015-06-30,51.09,51.09,49.84,50.075,3551563
2015-07-01,50.59,50.73,50.1,50.385,2854746
2015-07-02,50.43,50.94,50.3,50.83,2770348
2015-07-06,50.41,51.1,50.2,50.95,2441605
2015-07-07,51.35,53.77,51.25,53.29,6125623
2015-07-08,52.72,53.07,52.233,52.475,3808070
2015-07-09,53.07,53.53,52.46,52.46,2746306
2015-07-10,52.99,53.01,51.66,52.51,6029041
2015-07-13,53.0,53.26,52.55,52.84,1962364
2015-07-14,52.79,53.56,52.6501,53.3,1665772
2015-07-15,53.2,53.48,52.46,52.58,2128489
2015-07-16,53.1,53.24,52.49,52.5,1795131
2015-07-17,52.4,52.4,51.84,52.19,1968938
2015-07-20,52.19,52.41,51.81,51.85,1461484
2015-07-21,52.235,52.77,51.93,52.12,1503166
2015-07-22,52.68,52.68,51.8,52.0,1082592
2015-07-23,52.0,52.95,51.88,52.345,1698716
2015-07-24,52.32,52.61,51.52,51.78,1335630
2015-07-27,51.44,51.5,50.95,51.05,1392903
2015-07-28,50.83,51.06,49.88,50.89,2407506
2015-07-29,50.85,51.11,49.885,50.09,2568278
2015-07-30,50.04,50.68,49.5,50.6,1893378
2015-07-31,50.92,51.1,50.38,50.58,1671959
2015-08-03,52.99,53.33,51.75,53.3,4624420
2015-08-04,53.72,54.26,53.27,54.15,3042209
2015-08-05,53.99,54.73,53.87,54.11,1867237
2015-08-06,54.2,54.3,52.8,52.94,1616271
2015-08-07,52.78,53.09,52.19,53.03,1063797
2015-08-10,53.59,54.38,53.39,54.38,1394420
2015-08-11,54.04,54.56,53.62,54.06,1641043
2015-08-12,53.57,54.96,53.08,54.82,2339239
