Date,Open,High,Low,Close,Volume
2015-06-22,38.12,38.5,38.1,38.31,1123639
2015-06-23,38.2,38.34,37.75,37.76,1107581
2015-06-24,37.78,37.97,37.735,37.78,1865420
2015-06-25,37.97,37.99,37.5,37.51,1398420
2015-06-26,37.46,37.7891,37.26,37.73,991275
2015-06-29,37.72,38.21,37.52,37.54,1599148
2015-06-30,37.84,37.97,37.585,37.68,2036697
2015-07-01,37.75,38.01,37.55,37.98,1356955
2015-07-02,38.31,38.67,38.19,38.5,1341455
2015-07-06,38.41,38.65,38.17,38.56,1173117
2015-07-07,38.77,39.67,38.71,39.6,1903466
2015-07-08,39.4,39.68,39.15,39.28,1128976
2015-07-09,39.34,39.53,38.5,38.68,1186795
2015-07-10,38.67,39.33,38.51,39.02,1208195
2015-07-13,39.15,39.26,38.67,38.91,1111680
2015-07-14,38.94,39.12,38.74,38.86,961101
2015-07-15,38.86,39.01,38.62,38.99,692999
2015-07-16,38.99,39.778,38.99,39.66,1079908
2015-07-17,39.49,39.69,39.28,39.39,1619421
2015-07-20,39.33,39.33,38.81,39.12,980727
2015-07-21,39.05,39.12,38.5,38.7,821060
2015-07-22,38.73,39.04,38.61,38.66,1354719
2015-07-23,38.55,38.59,37.92,38.27,1403650
2015-07-24,38.31,38.61,38.125,38.53,1115037
2015-07-27,38.59,39.17,38.46,39.02,852008
2015-07-28,39.33,39.43,38.98,39.34,1824388
2015-07-29,39.27,39.68,39.01,39.65,1241457
2015-07-30,39.54,39.99,39.35,39.77,1336143
2015-07-31,40.12,41.34,39.78,41.08,2768597
2015-08-03,41.26,41.93,41.23,41.59,2296241
2015-08-04,41.44,41.485,40.93,41.01,1837998
2015-08-05,41.17,41.56,41.02,41.36,1315773
2015-08-06,41.38,41.74,40.99,41.69,1087799
2015-08-07,41.6,42.33,41.35,42.12,978250
2015-08-10,42.13,42.4,41.72,41.82,1323215
2015-08-11,41.81,42.3,41.63,42.1,2162717
2015-08-12,42.21,42.72,41.85,42.65,3666385
2015-08-13,40.99,42.735,40.99,42.62,1688184
2015-08-14,42.52,42.82,42.31,42.74,2406049
2015-08-17,42.78,43.61,42.62,43.4,1778393
2015-08-18,43.24,43.46,43.0,43.2,1931389
2015-08-19,43.02,43.65,42.78,43.55,1757995
2015-08-20,43.22,43.845,43.19,43.31,1384422
2015-08-21,43.19,43.36,42.505,42.51,2201107
2015-08-24,41.07,41.98,40.48,40.68,3089667
