Date,Open,High,Low,Close,Volume
2015-06-22,54.58,54.58,54.1,54.24,1568221
2015-06-23,54.21,54.3,53.275,53.34,2565843
2015-06-24,53.37,53.56,52.92,52.96,2866038
2015-06-25,52.98,53.2,52.62,52.62,1959851
2015-06-26,52.59,53.04,52.32,52.91,2194192
2015-06-29,52.93,53.66,52.77,52.8,2368278
2015-06-30,52.95,53.25,52.7621,52.97,3239338
2015-07-01,53.0,53.37,52.76,53.29,2664470
2015-07-02,53.52,54.33,53.51,54.23,2125320
2015-07-06,54.09,54.55,54.02,54.53,3266742
2015-07-07,54.8,56.5,54.74,56.08,4447154
2015-07-08,55.8,56.37,55.75,56.03,2974462
2015-07-09,56.1,56.33,55.23,55.52,3339561
2015-07-10,55.45,55.99,55.21,55.56,2806444
2015-07-13,55.67,55.9,54.88,55.34,2215520
2015-07-14,55.39,55.67,54.99,55.19,1930054
2015-07-15,55.2,55.68,54.99,55.68,2418804
2015-07-16,55.72,56.445,55.62,56.36,2497283
2015-07-17,56.11,56.36,55.71,55.72,2824472
2015-07-20,55.58,55.7,55.0535,55.54,2747529
2015-07-21,55.5,55.58,54.65,54.89,2201139
2015-07-22,54.97,55.55,54.89,55.21,3186522
2015-07-23,55.33,55.33,54.22,54.59,3530875
2015-07-24,54.51,54.78,54.17,54.6,3025444
2015-07-27,54.66,56.03,54.62,55.74,2789879
2015-07-28,55.64,56.03,55.52,55.89,2687061
2015-07-29,55.75,56.0,55.38,55.94,2497194
2015-07-30,55.66,56.61,55.57,56.32,1994096
2015-07-31,56.79,57.22,56.48,56.57,2414366
2015-08-03,56.78,57.249,56.65,57.06,2458627
2015-08-04,57.03,57.14,56.28,56.39,2200266
2015-08-05,56.59,56.85,56.24,56.65,2305185
2015-08-06,56.03,56.32,55.34,56.26,2205456
2015-08-07,56.15,57.08,55.78,56.77,2038412
2015-08-10,56.81,57.07,56.54,56.71,2511489
2015-08-11,56.7,57.38,56.46,56.85,2382282
2015-08-12,56.85,57.77,56.6,57.57,2458391
2015-08-13,57.33,57.74,56.88,57.55,1887311
2015-08-14,57.57,58.21,57.09,58.2,1933531
2015-08-17,58.19,58.67,57.99,58.35,2194270
2015-08-18,58.2,58.37,57.96,58.27,1954814
2015-08-19,58.01,58.96,57.82,58.8,2580007
2015-08-20,58.42,59.18,58.12,58.37,1856103
2015-08-21,57.97,58.36,57.22,57.29,3933968
2015-08-24,55.29,56.77,52.3,54.83,5660377
2015-08-25,55.02,55.65,53.0,53.02,4973728
2015-08-26,53.53,54.21,52.8,54.01,4407713
2015-08-27,54.58,54.93,54.11,54.91,2909047
2015-08-28,54.85,55.3775,54.07,54.9,2105724
2015-08-31,54.55,54.69,53.823,54.29,3588842
2015-09-01,53.74,53.93,52.65,52.99,3281761
2015-09-02,53.38,53.41,52.46,53.01,2460878
2015-09-03,53.05,53.5332,53.0,53.35,2340259
2015-09-04,52.96,53.07,52.29,52.54,2595285
2015-09-08,53.23,54.09,53.23,54.08,3148529
2015-09-09,54.36,54.48,53.27,53.37,2602710
2015-09-10,53.41,53.87,53.18,53.39,2172487
2015-09-11,53.29,53.81,53.04,53.78,1805288
2015-09-14,53.87,54.24,53.6,53.68,2063775
2015-09-15,53.78,54.02,53.3899,53.85,2423821
2015-09-16,53.98,54.72,53.84,54.63,4547045
