Date,Open,High,Low,Close,Volume
2015-06-22,31.48,31.55,31.325,31.415,2250572
2015-06-23,31.495,31.505,31.32,31.425,3181980
2015-06-24,31.36,31.47,31.22,31.24,2596090
2015-06-25,31.545,31.905,31.495,31.67,8166642
2015-06-26,31.675,31.915,31.525,31.845,5021638
2015-06-29,31.495,31.61,30.7,30.72,6900922
2015-06-30,30.955,31.255,30.835,31.1,4824652
2015-07-01,31.525,31.53,31.0675,31.215,3988120
2015-07-02,31.185,31.25,30.815,30.98,2876702
2015-07-06,30.615,31.015,30.54,30.79,3528704
2015-07-07,30.78,30.9,30.345,30.885,4008148
2015-07-08,30.66,30.725,30.115,30.23,3905060
2015-07-09,30.605,30.695,30.285,30.33,4694570
2015-07-10,30.675,30.895,30.665,30.855,5252166
2015-07-13,30.38,30.835,30.29,30.71,11232584
2015-07-14,30.685,30.87,30.59,30.705,6114312
2015-07-15,30.805,30.895,30.675,30.895,5354402
2015-07-16,31.07,31.215,30.9125,31.11,3173060
2015-07-17,31.095,31.095,30.595,30.795,3233002
2015-07-20,30.835,30.93,30.53,30.78,4495226
2015-07-21,30.835,31.0575,30.75,30.9,3660334
2015-07-22,30.905,31.065,30.8105,30.94,3202710
2015-07-23,30.945,31.0675,30.815,30.93,3101520
2015-07-24,30.93,31.22,30.885,30.96,4088080
2015-07-27,30.74,30.875,30.57,30.765,2680324
2015-07-28,30.905,31.235,30.701,31.165,4530764
2015-07-29,31.095,32.315,31.065,32.27,8339920
2015-07-30,32.16,32.33,31.945,32.02,5319328
2015-07-31,32.06,32.15,31.96,32.025,4822770
2015-08-03,31.97,32.015,31.695,32.015,3310554
2015-08-04,32.02,32.25,31.92,31.965,3148358
2015-08-05,32.18,32.39,32.035,32.05,3089718
2015-08-06,32.05,32.13,31.79,31.84,4253444
2015-08-07,31.82,32.035,31.725,32.02,3865056
2015-08-10,32.2,32.495,32.19,32.46,3337544
2015-08-11,32.06,32.26,31.92,32.12,2972606
2015-08-12,31.94,32.135,31.555,32.055,4441382
2015-08-13,32.065,32.305,31.98,32.085,2369334
2015-08-14,32.1,32.39,32.0675,32.38,3486158
2015-08-17,31.985,32.2905,31.75,32.265,3737408
2015-08-18,32.175,32.32,32.15,32.29,2493250
2015-08-19,31.85,31.98,31.375,31.525,8737614
2015-08-20,31.245,31.33,30.61,30.625,7038578
2015-08-21,30.34,30.52,29.585,29.6,6402222
2015-08-24,27.8325,28.975,25.705,28.145,10206772
2015-08-25,28.99,28.99,27.585,27.615,6205646
2015-08-26,28.285,28.52,27.815,28.46,6282530
2015-08-27,28.905,29.385,28.675,29.315,5194250
2015-08-28,29.15,29.36,29.01,29.335,4100014
2015-08-31,29.06,29.405,28.96,29.3,4899724
2015-09-01,28.605,28.805,28.215,28.325,5848098
2015-09-02,28.69,28.755,28.3,28.725,4069870
2015-09-03,28.825,29.045,28.65,28.775,4667318
2015-09-04,28.345,28.475,28.095,28.195,4639244
2015-09-08,28.67,28.795,28.56,28.785,6352176
2015-09-09,29.245,29.34,28.45,28.495,4330114
2015-09-10,28.83,28.98,28.53,28.85,4928778
2015-09-11,28.73,29.085,28.68,29.07,4186316
2015-09-14,29.055,29.11,28.82,28.9,2911044
2015-09-15,29.07,29.38,28.95,29.285,2827244
2015-09-16,29.28,29.485,29.18,29.42,2810022
2015-09-17,29.45,29.54,28.97,29.055,4372066
2015-09-18,28.565,28.8525,28.46,28.575,7163834
2015-09-21,28.725,29.025,28.65,28.85,3123054
2015-09-22,28.44,28.635,28.305,28.52,4001006
2015-09-23,28.55,28.75,28.405,28.71,3926808
2015-09-24,28.415,28.815,28.415,28.745,4440252
2015-09-25,28.985,29.19,28.79,28.915,3756064
2015-09-28,28.685,28.775,28.4075,28.505,3581350
2015-09-29,28.555,28.905,28.44,28.86,3166604
2015-09-30,29.15,29.35,28.905,29.065,3936856
2015-10-01,29.07,29.235,28.762,28.98,3925598
2015-10-02,28.45,29.24,28.39,29.235,4625084
2015-10-05,29.4,29.8025,29.295,29.66,3383760
2015-10-06,29.61,29.82,29.53,29.715,3700848
2015-10-07,29.92,30.195,29.41,30.145,3624202
2015-10-08,30.085,30.505,29.97,30.405,3536504
2015-10-09,30.43,30.655,30.215,30.38,3208676
2015-10-12,30.385,30.5175,30.3,30.415,2440532
2015-10-13,30.265,30.585,30.2175,30.255,2564114
2015-10-14,30.2,30.2,29.8025,29.87,3330908
2015-10-15,30.145,30.4825,29.895,30.45,3498938
2015-10-16,30.58,30.775,30.515,30.67,3695592
