Date,Open,High,Low,Close,Volume
2015-06-22,62.36,62.75,62.15,62.58,7183739
2015-06-23,63.13,63.43,62.77,63.32,9137128
2015-06-24,63.15,63.345,62.81,62.92,6063223
2015-06-25,62.87,63.22,62.425,62.43,6882259
2015-06-26,62.77,62.97,62.5,62.73,6806670
2015-06-29,61.73,62.56,61.52,61.59,8731656
2015-06-30,62.24,62.45,61.52,61.82,7555098
2015-07-01,62.76,62.94,62.04,62.35,5953652
2015-07-02,62.47,62.59,61.91,62.08,6465469
2015-07-06,61.48,62.11,61.2244,61.85,7058872
2015-07-07,61.85,62.28,60.85,62.21,7555161
2015-07-08,61.88,62.02,60.93,61.16,6048676
2015-07-09,61.86,62.16,61.63,61.76,6033159
2015-07-10,62.68,63.1,62.27,62.62,4203053
2015-07-13,63.08,63.45,62.88,63.38,4529079
2015-07-14,63.42,63.87,63.16,63.57,6658239
2015-07-15,63.87,64.38,63.38,64.03,5538722
2015-07-16,64.5,64.5,63.79,64.16,5174872
2015-07-17,64.05,64.2,63.63,64.05,5324034
2015-07-20,64.21,64.24,63.9,64.04,4926022
2015-07-21,64.06,64.28,63.6901,64.0,5539332
2015-07-22,63.9,64.69,63.735,64.54,5147814
2015-07-23,64.6,64.93,64.04,64.14,4911240
2015-07-24,64.19,64.35,63.57,63.64,4468543
2015-07-27,63.2,63.4,62.65,63.24,7066873
2015-07-28,63.68,63.99,63.24,63.66,6741030
2015-07-29,63.75,64.74,63.67,64.54,6189237
2015-07-30,64.42,64.6,64.15,64.53,5295880
2015-07-31,64.6,64.72,64.08,64.12,7260395
2015-08-03,64.23,64.575,63.805,64.15,7647156
2015-08-04,63.7,63.7,60.32,62.34,26625330
2015-08-05,62.77,63.2099,62.6,62.96,12882550
2015-08-06,62.98,63.615,62.87,63.02,10479560
2015-08-07,63.07,63.47,62.97,63.39,5793655
2015-08-10,63.94,64.71,63.94,63.99,8442328
2015-08-11,63.01,63.53,62.99,63.31,7038130
2015-08-12,62.6,63.53,61.52,63.26,9717183
2015-08-13,63.18,63.82,63.15,63.24,4296329
2015-08-14,63.02,64.27,62.93,64.25,5735230
2015-08-17,63.82,64.5,63.56,64.3,4957052
2015-08-18,64.17,64.35,63.535,63.71,6730451
2015-08-19,63.3,63.41,62.81,62.92,8926280
2015-08-20,62.33,62.69,61.69,61.71,8388364
2015-08-21,61.0,61.38,59.7,59.73,13054590
2015-08-24,54.22,58.89,54.0,56.94,20042680
2015-08-25,58.77,59.09,56.56,56.64,12198420
2015-08-26,59.15,59.61,57.31,59.16,13590160
2015-08-27,59.83,61.16,59.38,61.11,9647528
2015-08-28,60.47,61.06,60.3,61.0,6317671
2015-08-31,60.74,60.86,60.23,60.34,9379522
2015-09-01,58.97,59.41,58.3075,58.73,9681398
