Date,Open,High,Low,Close,Volume
2015-06-22,68.83,69.135,68.19,68.49,768882
2015-06-23,68.74,69.24,68.24,68.87,523263
2015-06-24,68.76,68.85,68.35,68.4,581073
2015-06-25,68.4,68.62,67.54,68.03,837669
2015-06-26,68.3,68.58,67.84,68.37,860487
2015-06-29,67.74,68.07,66.52,66.61,531140
2015-06-30,67.48,67.48,66.6,67.0,670773
2015-07-01,67.88,68.7,67.88,68.55,768724
2015-07-02,68.87,69.27,68.32,68.61,549996
2015-07-06,67.94,68.67,67.82,68.39,591927
2015-07-07,68.53,69.64,67.86,69.54,839174
2015-07-08,68.96,69.3,68.1,68.14,933816
2015-07-09,68.87,69.24,68.7,69.0,438218
2015-07-10,69.82,70.39,69.33,70.2,533447
2015-07-13,70.58,71.78,70.36,71.27,825200
2015-07-14,71.2,71.99,70.87,71.94,575458
2015-07-15,72.12,73.28,71.64,73.11,691043
2015-07-16,73.27,73.69,73.12,73.54,442533
2015-07-17,73.32,73.36,72.36,72.72,565013
2015-07-20,72.78,72.98,72.285,72.39,583452
2015-07-21,72.57,73.3,72.4368,72.7,531642
2015-07-22,72.87,73.46,72.72,73.15,461879
2015-07-23,73.36,73.43,72.49,72.7,407992
2015-07-24,72.89,73.9,72.75,73.06,435577
2015-07-27,72.66,72.72,72.17,72.63,479605
2015-07-28,73.08,73.08,71.94,72.89,756583
2015-07-29,75.0,76.25,74.08,74.1,1143518
2015-07-30,74.33,75.28,73.72,75.15,1074436
2015-07-31,75.38,75.38,74.33,74.6,802362
2015-08-03,75.81,76.38,75.025,76.33,750791
2015-08-04,76.39,76.62,75.69,76.06,473659
2015-08-05,76.25,77.03,75.84,76.67,740793
2015-08-06,76.96,76.99,76.18,76.69,496083
2015-08-07,76.52,77.11,76.44,77.06,508900
2015-08-10,77.51,78.31,77.33,78.01,349264
2015-08-11,77.7,79.74,77.37,79.13,915011
2015-08-12,78.54,79.0,77.79,78.85,751082
2015-08-13,78.84,79.99,78.84,79.56,492800
2015-08-14,79.85,79.98,79.46,79.6,628721
2015-08-17,79.47,79.52,78.51,79.48,508728
2015-08-18,79.54,80.08,79.16,79.38,433471
2015-08-19,79.11,79.53,78.59,78.94,476395
2015-08-20,78.62,79.26,77.09,77.11,434634
2015-08-21,76.31,76.66,74.6,74.85,1851551
2015-08-24,72.0,76.83,70.36,71.59,981198
2015-08-25,73.69,74.05,71.94,72.03,1234092
2015-08-26,73.85,74.56,72.41,74.34,768093
2015-08-27,74.99,75.46,73.76,75.1,591293
2015-08-28,74.51,75.06,74.35,74.79,473124
2015-08-31,74.42,74.88,74.01,74.35,463334
2015-09-01,73.06,73.88,71.79,72.19,770429
2015-09-02,72.72,73.1,72.24,73.09,374870
2015-09-03,73.17,73.68,72.85,73.13,468695
2015-09-04,72.41,72.785,71.95,72.44,466271
2015-09-08,73.57,73.97,72.87,73.78,468549
2015-09-09,74.27,74.8,73.08,73.32,703717
2015-09-10,75.07,76.26,74.15,75.46,743757
2015-09-11,75.85,77.0,75.85,76.82,1008767
2015-09-14,76.86,76.93,76.26,76.64,528942
2015-09-15,76.93,78.19,76.04,77.8,676297
2015-09-16,77.5,77.89,76.47,76.92,881167
2015-09-17,76.97,77.84,76.48,76.65,531891
2015-09-18,75.79,75.85,75.13,75.5,900476
2015-09-21,75.94,76.75,75.68,76.32,437853
2015-09-22,75.48,75.95,75.17,75.6,523430
2015-09-23,75.5,76.6,75.5,76.4,510995
2015-09-24,75.81,77.14,75.75,76.98,493990
2015-09-25,77.8,78.34,77.435,78.09,578557
2015-09-28,77.59,77.94,76.39,76.62,686708
2015-09-29,76.86,77.57,76.31,77.45,521077
2015-09-30,78.33,79.18,77.66,79.01,793485
2015-10-01,79.04,79.53,77.83,78.49,581289
2015-10-02,77.22,78.25,76.81,78.25,556446
2015-10-05,78.59,79.92,78.45,79.68,662788
2015-10-06,79.62,80.72,79.46,80.15,666416
2015-10-07,80.42,81.18,79.71,80.04,850759
2015-10-08,79.75,81.83,79.49,81.72,430941
2015-10-09,81.66,82.07,80.42,80.56,540434
2015-10-12,80.56,80.95,80.25,80.42,483157
2015-10-13,80.23,80.58,79.95,80.48,476054
2015-10-14,80.49,80.82,79.56,79.67,335995
2015-10-15,80.15,80.25,79.57,80.0,548425
