Date,Open,High,Low,Close,Volume
2015-06-22,54.96,55.015,54.58,54.75,643841
2015-06-23,54.9,54.9,54.43,54.69,684486
2015-06-24,54.55,54.62,53.93,54.07,863977
2015-06-25,54.08,54.15,53.66,53.8,878345
2015-06-26,54.02,55.14,53.8,55.11,2133350
2015-06-29,54.26,54.7,54.0,54.04,1843475
2015-06-30,54.77,54.96,54.28,54.78,1605321
2015-07-01,55.13,55.6,54.87,55.5,2020091
2015-07-02,55.84,56.0,55.2,55.55,1562187
2015-07-06,54.99,55.21,54.27,54.47,1179734
2015-07-07,54.47,55.0,53.98,54.83,1893476
2015-07-08,54.44,54.62,53.45,53.78,1449978
2015-07-09,54.65,55.08,54.13,54.31,1539416
2015-07-10,55.06,55.22,54.72,55.1,1264177
2015-07-13,55.68,56.05,55.24,55.93,1577346
2015-07-14,55.88,55.92,55.53,55.78,883900
2015-07-15,55.68,55.82,54.97,55.04,885612
2015-07-16,55.37,55.63,54.98,55.29,650689
2015-07-17,55.25,55.3,54.72,54.86,549400
2015-07-20,54.84,55.26,54.725,55.1,532270
2015-07-21,55.03,55.19,54.62,54.69,980959
2015-07-22,54.67,55.14,54.5,55.01,1149585
2015-07-23,55.13,55.8,55.1,55.15,1266630
2015-07-24,55.04,55.19,53.81,53.95,1189774
2015-07-27,53.31,53.4,51.94,52.01,2404779
2015-07-28,52.25,52.65,51.85,52.45,2095554
2015-07-29,52.7,53.47,52.36,53.34,1941941
2015-07-30,53.19,53.45,53.0,53.36,1220164
2015-07-31,53.53,53.53,52.94,53.05,1638254
2015-08-03,53.17,53.34,52.66,53.29,1757934
2015-08-04,53.11,54.72,52.9401,53.71,2143368
2015-08-05,53.91,55.02,53.91,54.23,1091405
2015-08-06,54.13,55.21,54.13,55.04,2243152
2015-08-07,54.83,55.17,54.68,54.94,1308897
2015-08-10,55.33,56.23,55.315,56.08,1578115
2015-08-11,55.27,55.82,55.24,55.63,1228073
2015-08-12,54.58,55.63,54.57,55.49,1228151
2015-08-13,55.34,56.34,55.26,56.05,979123
2015-08-14,55.97,56.74,55.87,56.66,1056651
2015-08-17,56.46,57.53,56.04,57.5,1348424
2015-08-18,57.45,57.67,57.33,57.5,1329764
2015-08-19,57.04,57.14,56.2401,56.54,1039204
