Date,Open,High,Low,Close,Volume
2015-06-22,5.4444,5.5187,5.36,5.48,12691328
2015-06-23,5.4719,5.5194,5.4313,5.4662,9386016
2015-06-24,5.4769,5.535,5.3475,5.4506,11857744
2015-06-25,5.4787,5.4787,5.3163,5.335,12791024
2015-06-26,5.2806,5.3019,5.0894,5.14,45179312
2015-06-29,5.0625,5.2044,5.0338,5.06,17087888
2015-06-30,5.125,5.1572,5.0825,5.1087,10352416
2015-07-01,5.1625,5.2188,5.0994,5.115,9591984
2015-07-02,5.1369,5.1875,5.0856,5.1163,8199408
2015-07-06,5.095,5.14,5.0062,5.0512,12964384
2015-07-07,5.0625,5.1208,4.7888,4.9906,16101344
2015-07-08,4.9619,4.9619,4.8131,4.8431,11769216
2015-07-09,4.9337,4.9625,4.875,4.8931,7443664
2015-07-10,4.9588,5.0469,4.9219,5.0331,6365936
2015-07-13,5.0744,5.0969,4.9069,4.9669,7882592
2015-07-14,5.0181,5.1294,4.9688,5.0969,7654752
2015-07-15,5.085,5.1781,5.0844,5.1175,8060624
2015-07-16,5.175,5.2881,5.1269,5.2456,12511264
2015-07-17,5.2681,5.2988,5.2375,5.2938,7435232
2015-07-20,5.3125,5.3856,5.2175,5.2538,8258736
2015-07-21,5.2669,5.2925,5.1919,5.2237,5599392
2015-07-22,5.1894,5.3625,5.1675,5.325,9180208
2015-07-23,5.325,5.5156,5.235,5.2619,13064640
2015-07-24,5.3063,5.4184,5.2813,5.295,7174944
2015-07-27,5.3281,5.3281,5.1419,5.1712,5595424
2015-07-28,5.185,5.2431,5.0256,5.0469,10342688
2015-07-29,5.0631,5.12,4.9439,5.0256,11746368
2015-07-30,5.0338,5.3156,4.9931,5.3106,8723360
2015-07-31,5.3631,5.3644,5.2281,5.2794,9455232
2015-08-03,5.2681,5.2944,5.2006,5.2894,6388624
2015-08-04,5.2588,5.2831,5.1428,5.1837,7098624
2015-08-05,5.2006,5.35,5.2006,5.2869,7140880
2015-08-06,5.2538,5.3049,5.0775,5.0987,19212816
2015-08-07,5.1662,5.475,5.105,5.255,35938592
2015-08-10,5.2813,5.3438,5.1063,5.22,12678512
2015-08-11,5.1744,5.2256,4.9006,4.97,12688656
2015-08-12,4.945,5.0581,4.8758,5.0219,9567952
2015-08-13,5.0281,5.1231,5.0225,5.0869,5236064
2015-08-14,5.0762,5.1244,4.9944,5.05,5524048
2015-08-17,4.9863,5.1606,4.965,5.1238,5346160
2015-08-18,5.1244,5.1244,4.99,4.9925,6407168
2015-08-19,4.895,5.0362,4.8556,4.9713,6328720
2015-08-20,4.9538,4.97,4.6244,4.6306,10709936
2015-08-21,4.5525,4.7687,4.4531,4.6231,13661392
2015-08-24,4.3756,4.71,3.96,4.4763,19998032
2015-08-25,4.5744,4.6837,4.5006,4.5031,6513888
2015-08-26,4.6044,4.6775,4.5313,4.6669,8775744
2015-08-27,4.6937,4.7862,4.6431,4.7025,6718240
2015-08-28,4.7494,4.8063,4.6697,4.7731,4724272
2015-08-31,4.745,4.7669,4.6387,4.6744,4930848
2015-09-01,4.5812,4.6575,4.4825,4.4944,10069792
2015-09-02,4.5631,4.6056,4.4063,4.575,11275264
2015-09-03,4.6094,4.6788,4.565,4.6225,9427040
2015-09-04,4.5706,4.71,4.5706,4.6794,9271056
2015-09-08,4.7294,4.9231,4.7125,4.8913,12853584
2015-09-09,4.9063,4.9063,4.6119,4.6269,12749520
2015-09-10,4.6081,4.6494,4.3519,4.3675,18730752
2015-09-11,4.3231,4.3256,3.8163,4.0287,55280704
2015-09-14,4.0912,4.155,3.9178,3.9494,24089600
2015-09-15,4.0012,4.0788,3.8775,3.9688,15698512
2015-09-16,4.0,4.0244,3.8867,3.9694,17069824
2015-09-17,3.985,4.125,3.975,4.0456,17904880
2015-09-18,4.0194,4.2456,4.0189,4.18,36775072
2015-09-21,4.2325,4.2406,4.0694,4.1669,18229744
2015-09-22,4.1006,4.1869,4.0681,4.1475,15327136
2015-09-23,4.1425,4.1525,4.0619,4.095,13520304
2015-09-24,4.0963,4.12,3.975,4.0625,16828960
2015-09-25,4.0806,4.1144,3.945,3.9688,11515536
2015-09-28,3.9688,4.0531,3.8331,3.89,19058944
2015-09-29,3.9081,3.955,3.7559,3.8044,8249584
2015-09-30,3.825,3.8469,3.7806,3.8244,8012640
2015-10-01,3.82,3.8569,3.7313,3.8125,10686336
2015-10-02,3.7769,3.9312,3.7738,3.925,8592336
2015-10-05,3.9656,4.0256,3.9469,3.9944,10865248
2015-10-06,3.9838,4.3125,3.8588,4.2112,27551792
2015-10-07,4.2094,4.31,4.1137,4.1856,13128400
2015-10-08,4.1563,4.2325,4.0994,4.1719,7184576
2015-10-09,4.1919,4.2213,4.0876,4.2006,6386688
2015-10-12,4.2038,4.2287,4.1125,4.1625,7990864
2015-10-13,4.1094,4.2519,4.0975,4.1044,7890432
2015-10-14,4.1113,4.1281,4.05,4.0581,7429952
2015-10-15,4.1394,4.2481,4.105,4.2062,7817936
2015-10-16,4.2156,4.2394,4.175,4.225,4503088
2015-10-19,4.2194,4.2444,4.1056,4.1219,4937888
2015-10-20,4.1175,4.2088,4.0175,4.0412,9675552
2015-10-21,4.0631,4.0819,3.9369,4.0294,7410928
2015-10-22,4.0244,4.2344,4.0244,4.1956,8251888
2015-10-23,4.2375,4.3125,4.2125,4.275,9730400
2015-10-26,4.2625,4.2931,4.2125,4.2481,3590640
2015-10-27,4.2281,4.295,4.1013,4.1188,6284816
2015-10-28,4.1225,4.1778,4.0663,4.1256,8319264
2015-10-29,4.0981,4.1175,4.0269,4.0725,9367440
2015-10-30,4.1,4.135,4.0062,4.0319,7829200
2015-11-02,3.9063,3.9531,3.6731,3.8687,18839104
2015-11-03,3.8687,3.9112,3.7662,3.8894,13909344
2015-11-04,3.9019,3.9669,3.8901,3.9375,9482832
2015-11-05,3.9175,3.94,3.8384,3.8725,19620304
2015-11-06,4.0656,4.4969,4.05,4.4037,49432688
2015-11-09,4.44,4.5388,4.0963,4.3063,19708960
2015-11-10,4.275,4.3063,4.2375,4.3063,7709088
2015-11-11,4.3056,4.3106,4.1969,4.2031,6797984
2015-11-12,4.1856,4.2325,4.0912,4.1175,7369632
2015-11-13,4.0975,4.1481,4.0412,4.0744,7014608
2015-11-16,4.0694,4.25,4.05,4.2425,6784128
2015-11-17,4.2431,4.3669,4.2244,4.3219,10917792
2015-11-18,4.2956,4.3587,4.2728,4.3556,7742384
2015-11-19,4.34,4.4844,4.315,4.4644,8656928
2015-11-20,4.4713,4.5456,4.4506,4.4638,7976688
2015-11-23,4.4562,4.6437,4.4544,4.6231,10871776
2015-11-24,4.5869,4.6875,4.5663,4.6675,7732208
2015-11-25,4.6575,4.6769,4.5637,4.61,7418304
2015-11-27,4.6231,4.6231,4.53,4.5625,2213104
2015-11-30,4.5987,4.6238,4.5469,4.595,6648544
2015-12-01,4.6081,4.6563,4.5125,4.6437,4746176
2015-12-02,4.6575,4.7444,4.6325,4.7075,6960320
2015-12-03,4.7094,4.7488,4.6788,4.7012,8666368
2015-12-04,4.6956,4.6991,4.5369,4.6375,4382192
2015-12-07,4.6181,4.6806,4.545,4.6387,6091824
2015-12-08,4.5788,4.6144,4.4731,4.575,7284768
2015-12-09,4.5888,4.6119,4.4744,4.49,4765616
2015-12-10,4.5313,4.5438,4.3606,4.4063,5216272
2015-12-11,4.375,4.4266,4.2094,4.2213,7911616
2015-12-14,4.2363,4.5444,4.2319,4.3987,16801024
2015-12-15,4.4194,4.5197,4.375,4.4881,8582304
2015-12-16,4.4569,4.5187,4.3863,4.475,11718416
2015-12-17,4.505,4.6006,4.4688,4.5538,11604800
2015-12-18,4.5481,4.5625,4.3694,4.3919,55654080
2015-12-21,4.4169,4.4781,4.385,4.4725,8057760
2015-12-22,4.4681,4.5981,4.4463,4.5469,7825264
2015-12-23,4.575,4.6738,4.5469,4.6719,8539328
2015-12-24,4.6494,4.7006,4.6494,4.6881,4368512
2015-12-28,4.6619,4.9212,4.6569,4.8775,19631280
2015-12-29,4.875,4.965,4.8487,4.9188,13205312
2015-12-30,4.9013,4.9612,4.875,4.9219,10563088
2015-12-31,4.8887,4.9647,4.8581,4.865,7432800
2016-01-04,4.8656,4.875,4.735,4.8375,16614176
2016-01-05,4.8863,4.9516,4.8344,4.8925,13059312
2016-01-06,4.8456,4.8859,4.5138,4.5956,21311616
