Date,Open,High,Low,Close,Volume
2015-06-22,103.44,103.95,103.32,103.69,706250
2015-06-23,103.73,104.14,103.58,104.01,893027
2015-06-24,103.72,103.925,103.411,103.54,1171348
2015-06-25,104.0,104.0,103.04,103.05,794374
2015-06-26,103.46,103.5,102.58,102.75,1996334
2015-06-29,102.0,102.33,99.97,100.05,1020877
2015-06-30,101.06,101.41,99.51,99.68,1396640
2015-07-01,100.94,101.4,99.49,99.71,2251677
2015-07-02,99.99,100.085,99.15,99.51,888132
2015-07-06,98.54,99.86,98.38,99.69,781517
2015-07-07,99.7,100.23,98.33,100.18,724203
2015-07-08,99.18,100.12,99.07,99.26,1475831
2015-07-09,100.18,100.61,99.83,100.15,1286054
2015-07-10,101.55,102.13,100.91,101.78,1169036
2015-07-13,102.57,102.74,101.76,102.03,955346
2015-07-14,102.0,102.2899,101.56,102.06,611758
2015-07-15,102.57,102.69,101.7,101.86,773522
2015-07-16,102.8,102.91,102.19,102.79,664243
2015-07-17,102.6,102.86,102.145,102.41,490111
2015-07-20,102.36,102.71,101.92,102.32,650733
2015-07-21,102.43,102.97,101.76,102.13,882562
2015-07-22,102.25,102.48,101.71,101.92,635044
2015-07-23,102.01,102.07,101.42,101.57,642606
2015-07-24,101.61,101.96,101.21,101.28,653195
2015-07-27,100.97,101.29,100.38,101.03,656367
2015-07-28,101.44,101.48,100.64,101.16,737495
2015-07-29,101.3,102.13,101.26,101.88,839967
2015-07-30,101.46,102.07,101.06,101.94,1016011
2015-07-31,102.0,103.38,100.6,100.77,1216734
2015-08-03,100.79,100.9,98.34,99.54,1297441
2015-08-04,99.55,101.11,99.55,100.2,1233745
2015-08-05,100.6,101.775,100.28,101.33,1199068
2015-08-06,101.82,102.496,100.68,100.92,1013760
2015-08-07,100.68,101.476,100.25,101.32,823742
2015-08-10,102.22,103.12,102.22,102.77,864913
2015-08-11,101.77,101.98,100.49,101.32,1128085
2015-08-12,100.59,101.4899,99.58,101.23,743750
2015-08-13,101.0,101.68,100.23,101.22,1037839
2015-08-14,100.84,102.19,100.59,101.3,1157722
2015-08-17,100.75,102.67,100.48,102.56,1125958
2015-08-18,102.43,102.83,102.02,102.43,717812
2015-08-19,101.92,102.67,100.65,101.04,955788
2015-08-20,100.09,100.65,99.21,99.32,1237863
2015-08-21,98.61,99.4,96.5,96.53,1506999
2015-08-24,91.83,95.62,90.04,91.73,2549817
2015-08-25,93.88,93.93,89.27,89.39,2750844
2015-08-26,91.59,92.8,89.89,92.62,1696690
2015-08-27,93.67,94.45,92.615,94.39,1468227
2015-08-28,94.15,94.83,92.97,93.54,1477687
2015-08-31,92.95,93.8,92.15,93.44,1434027
2015-09-01,91.44,92.1,89.7,90.28,2148661
2015-09-02,91.71,91.84,90.11,91.05,1298656
2015-09-03,91.44,92.02,91.1,91.45,1411168
2015-09-04,90.23,90.73,89.59,90.29,1359487
2015-09-08,91.42,92.78,91.4,92.69,1342143
2015-09-09,93.32,93.7,91.305,91.54,964952
2015-09-10,91.2,91.92,91.08,91.68,1986165
2015-09-11,91.34,91.88,90.415,91.32,2154039
2015-09-14,91.32,91.445,90.51,90.8,1185441
2015-09-15,91.19,92.38,90.41,92.09,1771617
2015-09-16,91.97,92.28,91.23,91.98,1310489
2015-09-17,92.24,93.67,91.97,92.16,1235308
2015-09-18,90.49,91.555,89.0,89.31,2550424
2015-09-21,90.17,90.89,89.51,90.4,1521952
2015-09-22,89.03,90.0,89.0,89.53,1902730
2015-09-23,89.62,89.705,88.495,89.09,936412
2015-09-24,88.32,89.13,87.75,88.95,1378661
2015-09-25,89.79,90.81,89.56,90.02,1086565
2015-09-28,89.3,90.06,88.04,88.41,1404345
2015-09-29,88.33,88.8,87.575,88.4,1241115
2015-09-30,89.41,89.78,87.83,88.61,1960174
2015-10-01,88.74,89.3,87.79,88.56,1455449
2015-10-02,87.02,89.8,86.38,89.78,1583502
2015-10-05,90.29,91.64,89.92,91.52,936663
2015-10-06,91.0,91.89,90.17,90.29,981174
2015-10-07,90.76,91.47,90.22,91.16,1038865
2015-10-08,90.88,92.09,90.43,91.93,793597
2015-10-09,91.65,92.33,90.92,91.29,1043560
2015-10-12,91.16,91.5499,91.01,91.28,899960
2015-10-13,90.91,91.23,90.22,90.78,1330249
2015-10-14,90.56,90.8001,89.92,90.05,841106
2015-10-15,90.84,91.73,90.54,91.25,1258091
2015-10-16,91.95,92.29,91.06,91.62,950489
2015-10-19,91.57,91.72,90.38,90.63,1028624
2015-10-20,90.1,91.6,90.1,91.56,1791878
2015-10-21,92.07,92.37,91.23,91.32,1243333
2015-10-22,91.82,93.34,91.8,92.41,1016433
2015-10-23,92.9,93.17,91.62,92.49,1651472
2015-10-26,92.67,92.92,92.09,92.72,803087
2015-10-27,91.9,92.79,91.56,92.78,994233
2015-10-28,93.2,94.82,92.66,94.79,998453
2015-10-29,94.22,94.925,93.54,94.83,809545
2015-10-30,93.0,93.69,92.05,93.31,2369113
2015-11-02,93.37,94.85,92.92,94.7,1235064
2015-11-03,94.29,95.14,93.77,94.62,3179343
2015-11-04,94.62,95.13,94.33,94.46,1517152
2015-11-05,94.46,95.25,94.46,94.8,1485397
2015-11-06,95.75,95.75,93.41,93.57,2045078
2015-11-09,93.4,93.66,92.18,92.43,1209722
2015-11-10,92.26,93.09,91.75,92.98,728237
2015-11-11,93.25,94.05,92.71,93.89,796958
2015-11-12,93.19,93.73,92.8,92.8,949045
2015-11-13,92.84,93.35,92.33,93.1,1728422
2015-11-16,92.77,94.37,92.39,94.37,878023
2015-11-17,94.26,94.32,93.54,93.67,1259849
2015-11-18,93.75,95.06,93.64,95.01,1031694
2015-11-19,94.86,95.35,93.48,93.82,3082235
2015-11-20,93.92,95.09,93.44,94.86,1214145
2015-11-23,94.86,95.271,94.46,94.72,711852
2015-11-24,94.09,95.17,93.74,94.75,930184
2015-11-25,94.66,94.84,94.17,94.51,506976
2015-11-27,94.68,94.94,94.17,94.65,414428
2015-11-30,94.32,95.11,94.32,94.74,1126409
2015-12-01,95.04,95.82,94.78,95.7,754857
2015-12-02,95.58,95.67,94.36,94.53,958232
2015-12-03,94.53,94.99,93.15,93.68,1295240
2015-12-04,94.03,96.69,93.75,96.65,932701
2015-12-07,96.19,96.9,95.92,96.74,1119948
2015-12-08,96.02,96.27,94.97,95.1,1159253
2015-12-09,94.43,95.8,93.99,94.23,1025871
2015-12-10,94.23,94.39,93.51,93.83,1049341
2015-12-11,92.66,94.005,92.3,93.3,1775840
2015-12-14,93.59,94.485,92.2,94.08,1300386
2015-12-15,94.82,96.95,94.62,96.69,1730612
2015-12-16,97.14,97.79,95.58,96.92,1732813
2015-12-17,96.76,97.41,93.25,93.27,2858648
2015-12-18,92.65,93.25,90.81,90.99,3295383
2015-12-21,91.47,92.17,89.94,90.8,1224661
