Date,Open,High,Low,Close,Volume
2015-06-22,56.75,57.63,56.2,57.53,3736836
2015-06-23,57.71,58.93,57.5,58.85,3593270
2015-06-24,58.9,59.3999,58.5,58.71,2996577
2015-06-25,58.78,59.0,57.61,57.8,2641533
2015-06-26,57.83,58.53,57.24,58.48,3806852
2015-06-29,57.43,57.965,56.9,57.21,3474167
2015-06-30,57.79,57.9593,57.145,57.63,2885623
2015-07-01,57.64,58.85,55.82,56.08,3080466
2015-07-02,56.2,56.99,56.11,56.78,2303062
2015-07-06,55.66,56.69,55.15,55.5,2878590
2015-07-07,55.16,55.99,53.75,55.7,3716235
2015-07-08,55.16,55.94,53.11,53.46,2863873
2015-07-09,54.6,54.97,53.82,53.83,2464608
2015-07-10,54.22,54.74,52.79,52.94,3178740
2015-07-13,52.9,53.44,52.5,53.26,2953365
2015-07-14,53.0,54.5298,52.82,54.39,3255038
2015-07-15,54.12,54.35,53.12,53.48,3972421
2015-07-16,53.85,53.9,52.52,52.67,2780500
2015-07-17,52.25,52.25,50.57,50.64,4768630
2015-07-20,50.3,50.5416,48.5,48.62,5746714
2015-07-21,48.9,49.44,47.37,47.53,5201842
2015-07-22,47.32,47.6999,46.62,47.32,4776846
2015-07-23,47.34,47.5,46.32,47.35,4511122
2015-07-24,47.2,47.25,45.03,45.08,4703977
2015-07-27,44.28,45.29,43.84,44.51,5823785
2015-07-28,44.8,47.065,44.29,46.47,7654975
2015-07-29,46.34,47.59,46.07,46.79,6758694
2015-07-30,46.58,47.18,45.96,46.48,4819945
2015-07-31,46.47,46.64,45.7,45.86,5070061
2015-08-03,45.05,46.42,44.3,45.27,6497869
2015-08-04,45.92,46.23,45.01,45.35,5329414
2015-08-05,46.02,46.8,44.34,44.44,5789802
2015-08-06,44.39,46.9,43.04,46.6,6176508
2015-08-07,46.14,47.31,45.55,46.11,6478305
2015-08-10,46.6,48.54,46.33,48.45,10337010
2015-08-11,46.99,47.93,46.45,47.69,6141260
2015-08-12,47.64,49.68,47.22,49.21,6729664
2015-08-13,48.91,49.66,47.8,47.9,6749168
2015-08-14,47.95,48.69,46.9,47.0,5017753
2015-08-17,46.81,47.93,46.32,47.85,2991256
2015-08-18,47.65,48.43,47.34,48.07,2287791
2015-08-19,47.6,47.781,45.395,45.81,4214645
2015-08-20,45.93,46.49,44.51,44.56,5395411
2015-08-21,44.41,45.21,43.14,43.23,5284455
2015-08-24,40.67,42.44,39.05,40.49,7347837
2015-08-25,42.31,42.31,38.9,38.9,6041841
2015-08-26,40.21,40.21,38.4,39.53,8056355
2015-08-27,40.68,43.67,40.44,42.79,7331849
2015-08-28,42.67,45.4,42.49,44.86,6493740
2015-08-31,44.09,45.67,41.92,45.24,6960490
2015-09-01,43.41,44.69,42.55,43.13,5591123
2015-09-02,43.63,43.86,41.21,43.22,5301249
2015-09-03,43.37,45.11,42.716,43.22,4587827
2015-09-04,42.41,42.8,41.77,42.5,5170700
2015-09-08,43.11,43.8,42.09,43.24,4808292
2015-09-09,43.72,44.54,41.19,41.29,6141260
2015-09-10,41.5,41.5599,40.15,40.84,7536832
2015-09-11,40.28,40.31,39.28,40.2,6136156
2015-09-14,40.1,40.52,39.13,40.24,5373156
2015-09-15,40.29,41.14,40.19,40.43,5188327
2015-09-16,40.79,43.17,40.75,43.04,9020334
2015-09-17,43.07,43.78,41.89,41.99,7906653
2015-09-18,41.1,41.38,39.37,39.65,9085435
2015-09-21,40.02,40.23,39.21,39.34,4780978
2015-09-22,38.57,39.67,38.37,38.63,5787657
2015-09-23,38.74,38.91,37.1,37.27,4393088
2015-09-24,37.03,38.405,36.54,37.88,5795249
2015-09-25,38.28,38.615,37.63,38.2,4233342
2015-09-28,37.63,37.73,36.16,36.2,5752906
2015-09-29,36.62,37.16,35.79,37.12,5517482
2015-09-30,37.47,39.29,37.34,39.16,6992863
2015-10-01,39.92,41.02,39.31,39.72,7268995
2015-10-02,39.19,42.81,39.101,42.61,5926213
2015-10-05,43.1,44.4,42.83,43.98,4899787
2015-10-06,44.09,46.31,43.96,46.12,6342241
2015-10-07,46.76,47.98,44.45,45.93,6108652
2015-10-08,45.85,47.63,45.67,47.15,5336384
2015-10-09,47.46,47.6,45.97,46.47,4187517
2015-10-12,46.56,46.56,44.34,44.95,4507290
2015-10-13,44.42,45.14,43.62,44.59,5280279
2015-10-14,44.51,45.96,44.19,45.69,3691127
2015-10-15,45.46,46.845,45.23,46.75,4257263
2015-10-16,46.97,47.1,45.91,46.52,3787600
2015-10-19,45.82,45.88,45.01,45.33,4832490
2015-10-20,45.07,46.19,44.82,45.92,2900165
2015-10-21,45.7,46.07,44.98,45.08,4119400
2015-10-22,45.41,46.34,44.91,45.97,3549002
2015-10-23,45.53,46.79,45.1,46.49,3528854
2015-10-26,46.35,46.45,45.19,45.38,3546130
2015-10-27,44.41,44.41,42.64,44.14,6237885
2015-10-28,44.22,46.62,43.76,46.05,3983241
2015-10-29,45.71,47.4516,45.578,46.58,3827779
2015-10-30,46.85,47.8,46.22,47.13,4504875
2015-11-02,46.74,48.135,46.55,47.94,4279887
2015-11-03,48.37,50.2,48.2701,49.87,5676836
2015-11-04,50.07,50.66,48.66,49.39,6189687
2015-11-05,48.33,50.94,48.07,49.27,5202269
2015-11-06,48.89,49.325,46.89,47.67,5004248
2015-11-09,53.5,55.02,52.04,53.94,15134390
2015-11-10,53.78,56.31,51.87,53.31,10634470
2015-11-11,50.0,51.79,48.8299,49.4,7808932
2015-11-12,48.31,50.06,47.3,48.9,6245712
2015-11-13,48.81,49.85,47.97,48.97,4233321
2015-11-16,49.1,50.5,48.28,50.49,3794978
2015-11-17,50.22,50.81,49.27,49.71,3413469
2015-11-18,50.5,51.11,48.68,50.1,3659440
2015-11-19,49.65,50.0,48.49,49.54,2994392
2015-11-20,49.64,50.0,48.806,49.1,2517142
2015-11-23,48.85,49.57,48.38,48.85,3039492
2015-11-24,49.15,51.44,49.08,50.91,4684198
2015-11-25,50.42,50.94,49.9,50.35,2455821
2015-11-27,49.7,50.19,49.21,49.42,1317427
2015-11-30,49.76,49.99,48.85,49.18,3361292
2015-12-01,49.34,49.73,48.63,49.15,2597293
2015-12-02,48.77,49.28,47.01,47.32,3538329
2015-12-03,47.74,48.1,45.56,45.76,5003129
2015-12-04,44.96,46.04,43.74,45.79,4252895
2015-12-07,44.73,45.09,43.6,44.22,7113942
2015-12-08,43.42,45.32,42.92,44.87,5535389
2015-12-09,45.02,45.99,44.52,44.95,4484181
2015-12-10,44.59,46.54,44.39,46.19,4585617
2015-12-11,45.25,45.51,42.68,42.92,6170402
2015-12-14,42.5,44.18,41.6,43.49,5459196
2015-12-15,43.76,45.37,43.76,45.27,5154494
