Date,Open,High,Low,Close,Volume
2015-06-22,77.1886,77.1886,75.5991,75.7056,1985944
2015-06-23,76.1232,76.1232,75.1346,75.4585,3199343
2015-06-24,75.3903,75.663,74.3335,74.9301,2715722
2015-06-25,75.6289,76.3874,75.1687,75.6289,1920797
2015-06-26,75.6204,75.7227,74.913,75.5181,12230010
2015-06-29,74.325,74.8534,71.7086,72.041,3760561
2015-06-30,72.4586,72.8804,71.8194,72.5182,3097883
2015-07-01,72.8506,73.3449,72.6631,73.2938,1836539
2015-07-02,73.3534,73.558,72.5949,73.2852,2010404
2015-07-06,72.5694,73.3875,71.8109,72.2796,2497144
2015-07-07,72.3648,72.3648,70.1575,71.6234,3284008
2015-07-08,70.149,70.2512,66.5439,66.6718,6162823
2015-07-09,69.612,69.612,66.3053,66.4246,4178580
2015-07-10,67.5411,67.801,67.1575,67.4984,4100429
2015-07-13,68.2058,68.7172,67.6348,68.1717,2762888
2015-07-14,68.0439,68.5723,67.9757,68.3677,1847654
2015-07-15,68.3848,68.7939,68.1121,68.7939,2043288
2015-07-16,68.3592,68.4018,65.4189,65.453,4804568
2015-07-17,65.4957,66.4843,64.7031,66.4246,3221694
2015-07-20,66.1945,66.6803,65.5979,66.5354,3706471
2015-07-21,66.4843,66.8848,66.2542,66.7996,2313937
2015-07-22,66.6036,66.7911,65.828,66.0496,1748775
2015-07-23,66.4757,67.1661,66.1093,66.3223,3058255
2015-07-24,67.0382,67.4558,65.7428,65.9303,1967054
2015-07-27,65.257,65.4019,63.8678,64.2343,2478940
2015-07-28,64.1576,66.2627,64.1491,65.9218,2650654
2015-07-29,66.024,66.9104,65.9218,66.8166,2432154
2015-07-30,65.2655,66.6973,64.686,66.0496,3034539
2015-07-31,67.3365,67.4899,65.7258,66.5439,3300777
2015-08-03,66.8081,66.9445,65.4957,65.7598,1815468
2015-08-04,65.7854,66.8507,65.7343,66.3223,2004596
2015-08-05,66.7314,66.9956,65.8195,66.0411,1903260
2015-08-06,66.2286,66.5968,65.3422,65.9388,2078962
2015-08-07,66.2201,68.1802,65.9985,67.4899,2677456
2015-08-10,68.8365,69.5694,68.0268,69.1689,2486433
2015-08-11,67.7371,67.8564,65.8962,66.2286,2955516
2015-08-12,65.4701,65.4701,63.6335,65.0525,2978551
2015-08-13,64.7798,66.3649,64.6775,65.6491,3033289
2015-08-14,65.7598,65.7854,64.7542,64.9587,2469375
2015-08-17,64.8479,66.2627,64.6264,66.2371,1575397
2015-08-18,66.4672,66.774,66.0752,66.3479,1707524
2015-08-19,66.1008,66.3223,65.1888,65.6235,1798510
2015-08-20,64.7712,65.4445,63.5269,63.5866,1890576
2015-08-21,62.777,63.5696,61.3367,61.4219,3124183
2015-08-24,58.4731,62.1889,56.4788,60.1009,3915488
2015-08-25,62.3167,62.8878,59.8026,59.8537,2574131
2015-08-26,61.6435,62.6747,60.6293,62.615,2515203
2015-08-27,63.3139,64.7457,62.6576,63.9446,3251198
2015-08-28,63.74,64.5923,63.6122,64.2173,1950094
2015-08-31,64.2599,65.5724,64.098,64.3622,2034289
2015-09-01,62.7173,63.3735,60.9787,61.3878,2403737
2015-09-02,62.1293,62.2912,60.9617,62.027,1691268
2015-09-03,62.4702,63.5099,62.0696,62.4361,1427356
2015-09-04,61.2259,61.7969,60.51,61.3707,1677826
2015-09-08,66.7655,66.7655,61.7969,64.3877,2164493
2015-09-09,65.1377,66.774,64.3366,64.49,1850162
2015-09-10,64.2855,64.4815,62.9133,64.1235,2470974
2015-09-11,64.0383,65.1207,63.1562,65.1121,2142082
2015-09-14,65.1036,65.3678,64.7627,65.0525,1392150
2015-09-15,64.9758,66.0752,64.9417,65.7854,2058716
2015-09-16,66.0496,68.0354,65.9559,67.8734,2045661
2015-09-17,67.7115,68.4785,67.2087,67.507,2249586
2015-09-18,66.4928,66.91,65.7343,66.1775,3309758
2015-09-21,66.6291,66.6291,65.0866,65.8195,1712409
2015-09-22,65.078,65.0866,62.2741,63.4417,3516098
2015-09-23,63.9275,63.9275,62.3594,63.152,1446743
2015-09-24,61.8054,62.6321,60.5696,62.1122,2400702
2015-09-25,62.9218,63.1605,62.1548,62.4361,1852513
2015-09-28,61.7287,61.7798,59.8111,59.9731,1821267
2015-09-29,60.135,62.3082,59.2998,62.1633,3038892
2015-09-30,63.5781,64.882,63.3991,64.8053,2620183
2015-10-01,65.1718,66.1008,64.0724,65.9985,2810073
2015-10-02,64.7968,66.5098,64.5668,66.4587,1874061
2015-10-05,67.0041,67.3237,66.2286,67.0127,1806440
2015-10-06,67.1831,67.3109,66.2797,66.5269,1743245
2015-10-07,67.0041,68.1462,66.953,67.9587,1880725
2015-10-08,67.7541,69.497,67.6348,68.9473,2411001
2015-10-09,69.2882,70.2427,69.0325,69.791,1975749
2015-10-12,69.2626,70.2896,69.1177,69.6973,1174965
2015-10-13,69.6035,69.774,67.9331,68.0439,2157546
2015-10-14,68.0183,68.7598,67.4899,68.3166,1557945
2015-10-15,68.8791,69.0069,67.899,68.8791,1440280
2015-10-16,69.041,69.1433,67.8087,69.1177,1993369
2015-10-19,68.8535,69.5439,68.5211,69.5183,1621670
2015-10-20,69.5609,70.8052,69.1774,70.1149,2059927
2015-10-21,70.7029,70.7796,69.595,69.8081,1388301
2015-10-22,70.0978,72.1432,69.7995,72.058,2647187
2015-10-23,71.6063,72.6546,71.6063,72.4926,2479806
2015-10-26,72.2796,72.5182,71.7256,72.4671,1920646
2015-10-27,72.0495,72.45,71.6574,71.8279,2512504
2015-10-28,72.2029,73.4557,71.4453,73.4301,2940411
2015-10-29,72.0324,72.0324,68.1547,68.2143,4875753
2015-10-30,68.3337,71.2824,68.3337,70.8989,3669080
2015-11-02,71.2398,72.1432,70.558,71.9472,1789720
2015-11-03,71.6489,71.9216,70.2001,71.095,1870179
2015-11-04,71.4614,71.4614,70.5069,70.5836,1886028
2015-11-05,70.5239,71.1717,69.97,70.9756,1194306
2015-11-06,70.7711,71.4103,70.1916,70.9927,2306508
2015-11-09,70.558,70.7796,69.8848,70.149,1006556
2015-11-10,70.0467,70.8648,69.6973,70.7626,1447189
2015-11-11,71.1631,71.9472,70.4813,71.5126,1424725
2015-11-12,70.4643,71.5381,70.4302,70.4643,1968531
2015-11-13,70.3024,70.541,68.3337,68.4359,2112757
2015-11-16,68.47,69.22,68.1462,69.1774,1650668
2015-11-17,69.3478,69.6887,68.47,68.7598,1512101
2015-11-18,69.2711,69.9529,68.7172,69.9444,2577436
2015-11-19,69.9188,71.5893,69.6717,71.5381,2237932
2015-11-20,71.9813,74.6233,71.9025,73.4727,3351749
2015-11-23,73.3705,74.0352,73.1745,73.5835,1798665
2015-11-24,72.9955,74.4699,72.7739,74.0949,2493499
2015-11-25,74.3932,75.2199,74.2909,74.7596,2030150
2015-11-27,74.6915,75.3392,74.4954,74.6488,618876
2015-11-30,75.0068,75.5267,74.4102,74.896,2961038
2015-12-01,75.2369,75.7589,74.8278,75.5352,1700249
2015-12-02,75.288,75.288,73.7796,73.8392,2329570
2015-12-03,74.129,74.3932,72.6375,73.183,2428560
2015-12-04,73.2512,75.0153,73.0977,74.8704,1427176
2015-12-07,74.8108,75.2284,73.396,73.7455,1853029
2015-12-08,73.0892,73.2597,71.7427,72.8676,2167495
2015-12-09,72.3563,74.2312,71.2995,71.9302,3462775
2015-12-10,71.8961,72.808,71.7853,71.9472,1657058
2015-12-11,70.5069,71.1717,69.6546,69.8848,1435557
