Date,Open,High,Low,Close,Volume
2015-06-22,166.41,166.83,164.87,164.91,1048554
2015-06-23,164.55,164.79,162.7,162.7,691341
2015-06-24,162.98,164.0,162.14,162.32,467670
2015-06-25,162.6,163.83,161.31,161.5,535268
2015-06-26,160.89,162.13,159.77,161.92,738414
2015-06-29,161.92,163.72,159.08,159.08,721079
2015-06-30,160.58,161.06,159.0,159.87,628894
2015-07-01,160.61,162.95,158.97,162.95,775434
2015-07-02,164.35,165.92,162.964,163.98,561375
2015-07-06,163.23,165.21,163.14,164.95,526874
2015-07-07,165.69,168.37,164.75,167.43,640472
2015-07-08,166.68,167.78,165.68,166.65,566852
2015-07-09,167.75,170.71,166.0,166.68,532080
2015-07-10,167.01,168.662,166.26,167.3,635416
2015-07-13,168.79,169.55,166.32,167.36,708633
2015-07-14,167.78,168.77,165.48,168.19,667778
2015-07-15,168.19,169.33,167.2,168.62,421813
2015-07-16,169.01,170.35,168.72,169.84,401587
2015-07-17,169.35,170.0,168.53,169.21,455600
2015-07-20,168.41,169.94,168.065,169.4,535877
2015-07-21,170.02,171.495,168.35,168.61,587204
2015-07-22,168.84,170.84,168.683,170.03,460119
2015-07-23,169.65,170.04,167.3,168.57,455677
2015-07-24,168.2,169.79,167.442,169.27,437739
2015-07-27,169.47,171.15,168.36,168.61,573361
2015-07-28,169.53,172.15,168.63,169.89,767512
2015-07-29,170.13,171.06,168.47,170.62,820903
2015-07-30,170.23,171.82,169.38,171.23,605083
2015-07-31,172.8,174.15,172.18,172.34,733307
2015-08-03,172.44,174.31,172.04,173.97,636752
2015-08-04,173.61,174.78,172.31,172.65,514797
2015-08-05,173.04,173.57,171.51,172.38,468296
2015-08-06,172.13,173.07,170.3,172.77,510318
2015-08-07,172.7,173.85,171.18,173.85,476884
2015-08-10,174.39,174.88,173.2,173.76,661506
2015-08-11,173.35,176.41,173.27,175.22,795725
2015-08-12,174.72,175.93,173.58,175.7,738227
2015-08-13,175.01,177.1008,174.437,176.08,600304
2015-08-14,176.11,177.44,174.52,177.12,811063
2015-08-17,177.13,178.59,176.26,178.59,778481
2015-08-18,178.48,180.24,178.48,179.7,638905
2015-08-19,178.44,179.42,177.45,178.14,584459
2015-08-20,178.35,180.0,176.7,177.4,684144
2015-08-21,176.91,177.76,173.44,173.44,872546
2015-08-24,172.42,172.45,165.25,165.55,1307151
2015-08-25,168.83,168.85,162.31,162.48,1102376
2015-08-26,166.14,167.12,163.47,166.49,979470
2015-08-27,167.74,170.17,166.39,168.64,897715
2015-08-28,168.66,169.24,167.25,168.71,522063
2015-08-31,168.6,170.5,164.98,165.06,1746084
2015-09-01,163.11,164.05,160.51,161.82,739612
2015-09-02,163.56,164.465,161.745,163.13,740513
2015-09-03,163.6,164.54,162.56,163.13,449337
2015-09-04,161.42,162.45,159.3,160.53,604512
2015-09-08,162.37,163.905,161.25,162.77,678010
2015-09-09,163.92,166.35,160.93,161.13,833162
2015-09-10,160.97,163.66,160.96,161.86,906348
2015-09-11,161.84,165.77,161.84,165.77,1249798
2015-09-14,166.5,167.03,164.31,164.85,848126
2015-09-15,165.16,167.7099,164.26,167.04,487455
2015-09-16,166.89,169.37,166.89,168.58,527140
2015-09-17,168.42,173.11,167.29,169.85,888300
2015-09-18,168.86,173.42,168.15,170.83,1118960
2015-09-21,170.81,173.38,170.8,172.32,426922
2015-09-22,171.72,172.16,169.84,170.52,591198
2015-09-23,170.46,171.96,169.8,171.41,533282
2015-09-24,170.84,171.73,167.96,169.34,788350
2015-09-25,171.33,172.34,167.66,170.65,557503
2015-09-28,169.23,170.67,166.18,167.24,927529
2015-09-29,167.66,173.21,167.08,172.81,1233744
2015-09-30,174.31,174.85,172.81,174.82,1099436
2015-10-01,175.6,176.1,172.73,175.25,1064942
2015-10-02,174.8,177.44,173.18,175.8,599308
2015-10-05,176.14,177.57,175.47,177.04,640552
2015-10-06,176.6,177.6,174.53,175.57,842271
2015-10-07,175.55,176.78,174.37,176.78,808261
2015-10-08,176.77,178.57,175.06,178.23,689233
2015-10-09,177.88,179.02,176.97,178.94,558004
2015-10-12,179.38,180.95,178.17,180.19,609624
2015-10-13,179.56,181.26,178.7004,179.73,771225
2015-10-14,180.31,180.49,177.21,177.73,565201
2015-10-15,178.15,180.77,177.9,180.77,513373
2015-10-16,181.84,184.04,180.01,183.42,930126
2015-10-19,183.24,185.43,182.76,185.26,639487
2015-10-20,184.87,186.54,183.59,184.69,593394
2015-10-21,185.48,185.93,184.0,184.23,664648
2015-10-22,185.21,185.81,183.51,184.79,820665
2015-10-23,184.16,186.89,181.225,182.85,666371
2015-10-26,183.66,185.438,181.04,182.0,822944
2015-10-27,179.0,181.85,177.39,178.91,1185298
2015-10-28,179.58,180.34,174.47,177.06,968380
2015-10-29,176.46,178.18,175.295,177.95,822183
2015-10-30,178.28,178.51,174.2401,174.83,891057
2015-11-02,174.83,180.25,174.55,180.15,974446
2015-11-03,179.14,180.38,176.53,177.71,658998
2015-11-04,178.28,178.88,176.71,178.1,662982
