Date,Open,High,Low,Close,Volume
2015-06-22,14.416,14.514,14.2,14.3275,22851100
2015-06-23,14.396,14.396,14.086,14.164,21492710
2015-06-24,14.206,14.222,13.983,13.997,22400660
2015-06-25,14.013,14.105,13.883,13.923,17546780
2015-06-26,13.885,13.904,13.475,13.515,71796420
2015-06-29,13.285,13.521,13.104,13.201,40472400
2015-06-30,13.38,13.438,13.212,13.293,28694940
2015-07-01,13.441,13.77,13.4315,13.55,43058900
2015-07-02,13.56,13.775,13.535,13.764,32796040
2015-07-06,13.616,13.761,13.387,13.42,30170210
2015-07-07,13.395,13.445,12.616,13.284,59268240
2015-07-08,13.01,13.134,12.686,12.805,51337630
2015-07-09,13.018,13.136,12.372,12.468,73431480
2015-07-10,12.661,13.082,12.65,12.984,50948390
2015-07-13,13.138,13.138,12.846,12.918,25303990
2015-07-14,12.935,13.248,12.851,13.23,26287180
2015-07-15,13.167,13.349,13.082,13.172,23099290
2015-07-16,13.363,13.477,13.089,13.47,33947820
2015-07-17,13.496,13.5,13.196,13.366,29000070
2015-07-20,13.455,13.562,13.375,13.464,23542980
2015-07-21,13.51,13.638,13.414,13.451,31267120
2015-07-22,12.704,12.9998,12.538,12.959,61259780
2015-07-23,13.118,13.5,13.05,13.197,30596290
2015-07-24,13.351,13.385,12.834,12.848,36273010
2015-07-27,12.735,12.75,12.41,12.465,34892460
2015-07-28,12.558,12.955,12.352,12.842,27869400
2015-07-29,12.837,12.912,12.545,12.858,33385620
2015-07-30,12.574,12.8795,12.507,12.765,39168890
2015-07-31,12.834,12.834,12.496,12.514,30553170
2015-08-03,12.642,12.749,12.424,12.58,27237450
2015-08-04,12.555,12.555,11.876,12.347,47454770
2015-08-05,12.3,12.569,12.1,12.475,34162490
2015-08-06,12.504,12.54,12.06,12.327,46029550
2015-08-07,12.102,12.398,12.082,12.255,30528670
2015-08-10,12.349,12.74,12.3002,12.728,28903220
2015-08-11,12.564,12.623,12.292,12.421,26741730
2015-08-12,12.159,12.668,12.062,12.573,27338530
