Date,Open,High,Low,Close,Volume
2015-06-22,62.45,62.5,61.87,62.36,1132068
2015-06-23,62.51,62.84,61.93,62.15,1098416
2015-06-24,62.18,62.2599,61.56,61.65,454849
2015-06-25,61.88,61.88,61.34,61.4,470287
2015-06-26,61.6,62.23,61.38,62.2,1852959
2015-06-29,61.7,61.885,60.97,61.02,558275
2015-06-30,61.54,61.6,60.9,60.94,711963
2015-07-01,61.38,62.46,61.15,62.21,941180
2015-07-02,62.39,62.6,61.83,62.17,482002
2015-07-06,61.5,62.25,61.315,61.58,821866
2015-07-07,61.57,61.96,61.0,61.95,851244
2015-07-08,61.45,61.71,60.67,60.69,570946
2015-07-09,61.4,61.41,60.61,60.63,559933
2015-07-10,61.3,61.72,61.21,61.6,389414
2015-07-13,62.12,62.535,62.035,62.38,528082
2015-07-14,62.32,63.28,62.32,63.07,734605
2015-07-15,63.19,63.96,63.04,63.52,971008
2015-07-16,63.74,64.035,62.85,62.96,872737
2015-07-17,62.96,62.96,61.36,61.82,1053129
2015-07-20,61.84,62.35,61.8,62.03,620994
2015-07-21,62.1,62.21,61.36,61.56,495085
2015-07-22,61.49,62.02,61.3509,61.9,655999
2015-07-23,61.98,62.1599,61.1,61.22,559241
2015-07-24,61.08,61.43,59.93,60.11,506209
2015-07-27,59.74,60.01,59.376,59.79,447371
2015-07-28,60.0,61.26,59.81,61.13,1089778
2015-07-29,61.51,63.935,59.88,60.86,1497009
2015-07-30,60.5,61.83,60.34,61.6,649279
2015-07-31,61.96,62.22,60.535,60.85,725043
2015-08-03,61.0,61.0,59.86,60.54,1008597
2015-08-04,60.59,60.98,60.22,60.31,817378
2015-08-05,60.98,61.949,60.73,61.37,816204
2015-08-06,61.47,62.31,61.26,61.87,777070
2015-08-07,61.95,63.07,61.49,63.04,830737
2015-08-10,63.29,64.81,63.29,64.65,1387223
2015-08-11,64.16,64.37,63.82,64.29,668411
2015-08-12,63.56,64.01,62.8,63.68,573908
2015-08-13,63.57,64.02,63.07,63.69,537602
2015-08-14,63.65,64.29,63.48,63.97,573494
2015-08-17,63.61,64.76,63.41,64.49,383565
2015-08-18,64.23,64.43,63.68,63.78,495936
2015-08-19,63.22,63.835,62.95,63.53,644418
2015-08-20,63.09,63.19,62.0,62.0,722993
2015-08-21,61.62,61.98,60.25,60.25,681629
2015-08-24,55.11,59.52,53.56,57.23,1374499
2015-08-25,58.75,58.89,55.84,55.91,976952
2015-08-26,57.14,58.14,55.99,58.02,1039430
2015-08-27,58.73,59.53,58.04,59.11,682141
2015-08-28,58.95,59.67,58.58,59.57,929843
