Date,Open,High,Low,Close,Volume
2015-06-22,37.2654,37.8319,37.1365,37.6037,6940877
2015-06-23,37.5768,38.0333,37.3406,37.9474,6566591
2015-06-24,38.0977,38.6293,38.0547,38.4682,10434890
2015-06-25,38.2856,38.9515,38.2051,38.8441,9416433
2015-06-26,38.8172,39.1126,38.4951,38.6186,13047730
2015-06-29,38.2051,38.5863,37.9098,37.9366,6687669
2015-06-30,38.1944,38.2051,37.4802,37.55,9944666
2015-07-01,37.55,38.94,37.43,38.86,24435200
2015-07-02,38.77,38.8499,38.2,38.3,20257090
2015-07-06,38.15,38.41,37.75,38.04,17511750
2015-07-07,37.89,38.0,36.48,37.11,17082310
2015-07-08,36.98,37.15,36.4,36.5,7799330
2015-07-09,37.08,37.09,36.7338,37.02,10326760
2015-07-10,37.34,37.715,36.93,37.61,10109490
2015-07-13,37.73,37.73,37.29,37.6,8969145
2015-07-14,37.48,37.79,37.33,37.73,11630990
2015-07-15,37.76,37.81,37.53,37.7,11409400
2015-07-16,37.76,37.825,37.54,37.77,8280612
2015-07-17,37.74,37.83,37.27,37.36,8858542
2015-07-20,37.43,37.75,37.26,37.66,12162830
2015-07-21,37.65,37.89,37.595,37.85,7290911
2015-07-22,37.73,37.86,37.645,37.71,8715261
2015-07-23,37.8,38.21,37.76,37.97,10271980
2015-07-24,37.8,37.97,37.59,37.64,6613015
2015-07-27,37.6,37.9,37.5,37.7,8897944
2015-07-28,37.96,38.15,37.68,38.09,8299880
2015-07-29,38.18,38.76,38.05,38.5,8413062
2015-07-30,37.82,40.07,37.71,40.01,14478900
2015-07-31,39.75,40.15,39.72,40.08,11660320
2015-08-03,39.92,40.07,39.39,39.51,6949530
2015-08-04,40.41,41.08,39.75,40.31,75953060
2015-08-05,40.56,43.44,40.4,42.13,40368310
2015-08-06,41.89,42.56,41.78,41.93,23132180
2015-08-07,41.94,42.705,41.46,41.88,11530240
2015-08-10,42.03,42.445,41.93,42.04,9214172
2015-08-11,41.69,41.98,41.49,41.76,6375120
2015-08-12,41.56,41.64,40.41,40.82,7750615
2015-08-13,40.81,41.04,40.51,40.82,4966905
2015-08-14,41.1,41.1,40.66,40.9,4402399
2015-08-17,40.75,40.81,40.465,40.76,6676289
2015-08-18,40.69,40.98,40.52,40.59,4176815
2015-08-19,40.48,40.58,40.06,40.14,6773171
2015-08-20,40.0,40.14,39.51,39.61,7850747
2015-08-21,39.25,39.41,38.01,38.28,15183110
2015-08-24,36.37,37.68,34.5,37.17,15628190
2015-08-25,37.99,37.99,36.88,36.97,10107270
2015-08-26,37.62,37.81,36.705,37.67,8622274
2015-08-27,37.97,38.77,37.74,38.59,9204578
2015-08-28,38.5,39.05,38.34,38.75,6382399
2015-08-31,38.65,38.91,38.37,38.45,4809925
2015-09-01,37.67,37.99,36.95,37.23,6317561
2015-09-02,37.63,37.66,37.0,37.4,3414136
2015-09-03,37.54,37.79,36.92,37.05,5831543
2015-09-04,36.56,36.71,35.91,36.14,8565048
2015-09-08,36.83,36.85,36.335,36.51,8087353
2015-09-09,37.04,37.26,36.25,36.31,4296857
2015-09-10,36.25,36.32,35.75,36.07,5872101
2015-09-11,35.9,36.2,35.88,36.02,3876246
2015-09-14,35.96,36.14,35.72,35.97,3269878
2015-09-15,35.92,36.39,35.89,36.25,3137807
2015-09-16,36.28,36.37,35.98,36.21,3037820
2015-09-17,36.25,36.88,36.1238,36.35,3326530
2015-09-18,35.89,36.28,35.87,36.25,6928013
2015-09-21,36.44,36.7,35.91,35.95,4207280
2015-09-22,35.59,35.62,34.84,35.48,6022884
2015-09-23,35.58,35.98,35.325,35.76,4406516
2015-09-24,35.55,35.58,34.77,35.29,6045730
2015-09-25,35.53,35.54,34.25,34.45,3912369
2015-09-28,34.25,34.34,32.52,32.59,7741630
2015-09-29,32.54,33.25,32.215,32.69,9024289
2015-09-30,33.11,33.25,32.57,32.85,6117568
2015-10-01,32.69,32.86,32.305,32.73,5596918
2015-10-02,32.42,33.57,32.18,33.55,7607098
2015-10-05,33.83,33.86,33.11,33.3,7007136
2015-10-06,33.33,33.5,32.18,32.27,9257900
2015-10-07,32.37,32.95,32.25,32.91,7121982
2015-10-08,32.93,33.33,32.62,33.25,6958864
2015-10-09,33.19,33.475,33.15,33.21,4960243
2015-10-12,33.17,33.53,33.1,33.47,3747593
2015-10-13,33.34,33.53,33.065,33.1,6068289
2015-10-14,33.13,33.27,32.92,33.05,3246753
2015-10-15,33.16,33.78,32.96,33.7,4014823
2015-10-16,33.86,34.17,33.63,33.92,4708304
2015-10-19,33.86,34.085,33.775,34.02,4482490
2015-10-20,33.97,34.5,33.877,34.26,5590097
2015-10-21,34.49,35.68,34.41,35.6,12740840
2015-10-22,35.65,35.66,34.43,34.92,7132700
2015-10-23,35.13,35.63,35.04,35.4,4959188
