Date,Open,High,Low,Close,Volume
2015-06-22,146.07,146.21,145.09,145.7,2084081
2015-06-23,146.33,146.45,143.8,144.43,2852681
2015-06-24,143.76,144.8,142.51,143.0,3982116
2015-06-25,143.27,143.76,142.34,142.45,2147836
2015-06-26,143.03,143.04,141.89,142.48,3100540
2015-06-29,140.96,141.32,138.58,138.73,3705779
2015-06-30,140.06,140.06,138.44,138.72,3431226
2015-07-01,140.48,141.14,140.02,140.73,3260688
2015-07-02,141.29,141.52,139.88,140.21,2113702
2015-07-06,139.02,140.73,139.0,140.52,2090971
2015-07-07,140.8,143.44,140.14,143.15,3691474
2015-07-08,142.5,143.15,141.52,141.92,3386130
2015-07-09,143.89,144.2,142.73,142.8,2486779
2015-07-10,144.14,145.19,143.866,144.48,2189841
2015-07-13,145.96,146.75,145.6001,146.62,2194190
2015-07-14,146.76,148.3,146.445,147.75,3369003
2015-07-15,147.75,147.75,146.48,146.89,2653711
2015-07-16,147.79,148.7999,147.77,148.49,2506569
2015-07-17,147.25,147.4399,146.0201,146.84,3124082
2015-07-20,147.11,147.2,145.9101,146.72,3016207
2015-07-21,146.59,146.59,144.22,145.0,4441715
2015-07-22,148.9,149.18,145.11,146.47,6218361
2015-07-23,147.0,147.95,145.79,146.11,4056025
2015-07-24,145.81,146.47,143.98,144.06,2451415
2015-07-27,143.22,143.35,140.8,141.03,3516690
2015-07-28,141.61,142.17,139.51,141.81,4133897
2015-07-29,142.48,144.61,142.37,144.14,3260393
2015-07-30,143.35,143.92,142.2056,143.01,2639652
2015-07-31,143.76,144.92,143.29,144.17,3157987
2015-08-03,144.44,144.75,142.59,143.69,3074862
2015-08-04,143.55,144.87,143.0401,143.54,1964838
2015-08-05,143.9,145.6,143.77,144.95,2917496
2015-08-06,144.7,145.25,143.42,143.82,2448757
2015-08-07,143.22,143.84,141.7,142.42,2953034
2015-08-10,143.79,146.77,143.78,145.86,3425252
2015-08-11,144.14,144.93,143.28,144.05,2816379
2015-08-12,142.55,143.01,139.86,142.43,4394720
2015-08-13,142.03,145.45,141.53,144.81,5121018
2015-08-14,144.61,145.47,143.76,145.09,2924042
2015-08-17,144.6,144.86,142.93,144.44,3740865
2015-08-18,144.39,145.214,143.82,144.6,1953119
2015-08-19,143.42,144.48,142.32,142.72,2966398
2015-08-20,141.62,141.9,136.9,137.02,6582785
2015-08-21,134.88,135.0919,131.46,131.71,7927571
2015-08-24,123.64,135.5,115.14,127.19,9425508
2015-08-25,130.0,130.72,125.43,125.49,7155394
2015-08-26,129.34,129.76,125.23,129.34,6351849
2015-08-27,131.08,132.36,129.46,131.87,5731487
2015-08-28,131.43,133.72,130.86,133.24,4504290
2015-08-31,132.37,132.7,130.39,130.68,4205587
