Date,Open,High,Low,Close,Volume
2015-06-22,140.0211,140.5893,139.5118,140.0407,1210185
2015-06-23,140.1485,140.8929,139.8348,140.2366,936501
2015-06-24,139.884,140.0603,138.7968,138.7968,1024366
2015-06-25,138.8849,139.4432,138.2032,139.0024,908867
2015-06-26,139.3845,139.5901,138.3854,139.1298,831288
2015-06-29,139.5804,140.8047,138.8163,138.8751,1168175
2015-06-30,140.0701,140.0701,138.4343,138.7478,1029697
2015-07-01,140.1289,140.7137,139.2473,140.2856,995446
2015-07-02,140.9125,141.03,139.2382,140.2464,1116947
2015-07-06,138.9045,140.5991,138.6988,139.7273,1410597
2015-07-07,140.0995,140.5501,138.4931,140.3052,976921
2015-07-08,139.6195,140.0603,137.8858,138.2482,1153215
2015-07-09,139.8154,140.3836,138.8849,138.9241,699094
2015-07-10,140.266,141.9459,139.7763,141.3141,1129115
2015-07-13,141.6471,143.0772,141.3141,142.9597,950834
2015-07-14,143.3025,144.331,142.803,144.2134,827167
2015-07-15,144.3114,144.9579,143.5866,143.7433,766504
2015-07-16,144.3702,145.2909,143.8902,144.9677,624834
2015-07-17,144.9677,145.193,144.2624,145.0166,576273
2015-07-20,145.4085,145.4085,144.3604,145.1244,456692
2015-07-21,144.9579,145.8786,143.7972,144.4877,862866
2015-07-22,144.5759,145.2713,144.4485,144.9775,626427
2015-07-23,145.144,145.8786,144.5073,145.1342,714802
2015-07-24,144.9873,145.6044,144.1057,144.282,720238
2015-07-27,144.0567,144.1351,143.0086,143.3319,902877
2015-07-28,144.1645,146.8875,143.5866,146.8092,1170389
2015-07-29,146.9169,148.9641,146.5447,148.8759,1455373
2015-07-30,148.6604,149.3657,148.3176,148.8857,1043087
2015-07-31,149.4832,149.7477,148.7682,149.0326,1016612
2015-08-03,148.68,149.6301,147.9552,149.3069,1386433
2015-08-04,149.3951,149.9044,148.3568,149.2285,993359
2015-08-05,150.6684,151.8047,148.9543,150.7076,1305982
2015-08-06,150.1297,150.2179,145.6337,147.1128,1930290
2015-08-07,146.8777,146.8777,143.7041,145.8688,1482752
2015-08-10,147.3185,147.7495,146.5349,147.2205,1215169
2015-08-11,146.0941,146.8189,144.2428,145.5554,1155191
2015-08-12,145.2517,145.2615,142.7246,144.8991,1660372
2015-08-13,144.7522,145.2517,143.7433,144.5759,734433
2015-08-14,144.3898,145.4476,143.8951,145.2321,663671
2015-08-17,144.6248,145.6044,143.9882,145.5554,616886
2015-08-18,145.0656,145.428,143.7041,144.0665,946144
2015-08-19,143.5768,144.3702,142.1859,143.5082,1018227
2015-08-20,142.6756,142.803,140.5795,140.6382,1572749
2015-08-21,139.8546,140.9713,138.9731,139.0122,1798955
2015-08-24,135.6329,138.0131,130.7648,135.3685,2918567
2015-08-25,138.1797,138.9731,134.8003,134.8003,2213156
2015-08-26,136.8965,137.4548,133.9482,137.0728,1531038
2015-08-27,138.2678,140.1093,137.6115,140.0211,1193259
2015-08-28,139.5118,140.1779,138.6302,139.9036,842218
2015-08-31,139.7959,140.6872,137.5136,138.1307,1009095
2015-09-01,135.6623,136.3774,131.5386,132.1263,1791734
2015-09-02,133.4388,134.193,131.9696,133.9188,1170962
2015-09-03,134.193,135.3978,133.2331,133.7327,1025945
2015-09-04,132.6454,133.189,130.4513,131.568,1176597
2015-09-08,132.9687,135.2019,132.4887,135.1921,1382758
2015-09-09,136.3676,137.112,132.8511,133.1156,838790
2015-09-10,133.3017,133.7376,132.0381,132.4299,1116812
2015-09-11,132.2046,133.9776,131.568,133.1939,968793
2015-09-14,133.3898,133.5955,132.4691,133.4682,1148260
2015-09-15,133.6053,134.9962,133.1939,134.3694,564406
2015-09-16,134.6828,136.3088,134.3302,136.0247,943816
2015-09-17,135.966,138.4343,135.8092,136.9357,1071063
2015-09-18,135.7505,136.5341,135.2901,135.4958,2085408
2015-09-21,136.2206,137.4058,135.6623,136.2598,1045308
2015-09-22,134.8199,135.6623,134.242,135.4272,778257
2015-09-23,135.2313,136.5929,134.6485,136.4263,1035743
2015-09-24,135.3978,136.2598,134.869,135.9953,1237054
2015-09-25,136.3774,137.5822,132.6356,133.3605,1111535
2015-09-28,132.5083,132.665,126.2296,127.7283,2083689
2015-09-29,127.2385,129.0996,126.308,128.2082,1451291
2015-09-30,129.5698,130.9313,128.7078,129.942,1004396
2015-10-01,129.7755,130.106,127.552,129.4816,1314800
2015-10-02,128.267,132.6748,127.5324,132.5964,1464831
2015-10-05,133.527,134.4869,133.0715,134.1833,1359674
2015-10-06,133.9874,134.0951,130.2064,131.8324,1442520
2015-10-07,132.7238,134.4575,131.421,134.4281,1060493
2015-10-08,134.0853,134.5065,132.3516,134.3106,683044
2015-10-09,134.291,135.4174,134.0461,134.9375,693639
2015-10-12,134.6926,136.1031,134.4575,135.6231,428696
2015-10-13,134.7612,135.6525,133.8238,134.1049,523045
2015-10-14,133.9776,134.9865,132.8021,132.9785,568242
2015-10-15,133.7817,134.2812,132.714,134.2616,971821
2015-10-16,135.0256,136.7888,134.3792,136.7006,718024
2015-10-19,136.5439,137.2197,135.9856,137.0826,465227
2015-10-20,136.4459,137.6605,136.4459,136.8965,611288
2015-10-21,137.6409,137.876,135.2803,136.8965,737952
2015-10-22,137.445,138.2678,134.8199,135.6133,923498
2015-10-23,136.0933,138.3462,135.0746,137.3471,1252365
2015-10-26,137.2687,137.592,136.4263,137.0336,748002
2015-10-27,136.9749,138.1797,136.9553,137.8662,506965
2015-10-28,138.1699,139.071,136.4704,139.0612,749929
2015-10-29,139.0906,140.8145,139.0906,140.2954,805846
2015-10-30,140.1975,141.0398,139.6,139.6,1097786
2015-11-02,140.5305,142.0781,140.1289,141.843,1064171
2015-11-03,141.5492,143.6943,140.8831,143.6257,1272223
2015-11-04,147.9062,148.778,145.957,147.916,1481673
2015-11-05,148.396,149.4538,148.0042,149.1208,1156337
2015-11-06,148.5527,149.7183,148.4253,149.3755,950529
2015-11-09,149.3951,149.635,148.2294,149.2873,811137
2015-11-10,149.1404,149.6204,148.6408,148.9935,715026
2015-11-11,149.1698,150.1101,148.7682,148.8465,674398
