Date,Open,High,Low,Close,Volume
2015-06-22,51.94,51.94,51.22,51.32,1839260
2015-06-23,51.37,51.45,51.08,51.16,1415009
2015-06-24,50.89,51.08,50.54,50.62,1559579
2015-06-25,50.66,50.74,50.15,50.31,2067058
2015-06-26,50.35,50.59,50.16,50.48,5572898
2015-06-29,49.81,49.86,48.87,48.89,1971206
2015-06-30,49.46,49.61,48.69,49.03,2420393
2015-07-01,49.96,49.96,48.96,49.33,1692301
2015-07-02,49.32,49.495,48.9,49.21,1386780
2015-07-06,48.49,49.04,47.59,48.84,1586579
2015-07-07,48.82,49.06,47.96,48.96,1977185
2015-07-08,48.45,48.67,47.91,47.97,2124142
2015-07-09,49.08,49.08,48.16,48.36,2161408
2015-07-10,49.32,49.32,48.62,48.78,1990324
2015-07-13,49.17,49.29,48.97,49.08,1756003
2015-07-14,48.98,49.05,48.71,48.88,1792960
2015-07-15,48.89,49.29,48.57,49.04,1763645
2015-07-16,49.43,49.64,49.39,49.63,1206560
2015-07-17,49.53,49.56,48.86,49.41,1085446
2015-07-20,49.46,49.58,49.0,49.08,1472547
2015-07-21,49.01,49.25,48.66,48.91,1093401
2015-07-22,48.83,48.98,48.43,48.49,2215241
2015-07-23,48.67,48.72,47.42,47.59,3598312
2015-07-24,47.39,47.48,46.3,46.4,4761966
2015-07-27,46.02,46.45,45.9,46.41,3046412
2015-07-28,46.9,47.03,46.39,46.52,2818249
2015-07-29,46.2,46.77,45.92,46.51,3100683
2015-07-30,46.35,46.48,45.9,46.16,3102399
2015-07-31,46.3,46.34,45.505,45.55,4240881
2015-08-03,45.46,45.72,45.12,45.45,3739597
2015-08-04,45.47,45.5,45.03,45.21,2797522
2015-08-05,45.63,45.71,45.15,45.19,2695874
2015-08-06,45.2,45.2506,44.61,44.71,2587952
2015-08-07,44.68,44.76,44.04,44.33,2687992
2015-08-10,44.61,44.94,44.55,44.93,3516962
2015-08-11,44.47,44.47,43.74,43.95,2786911
2015-08-12,43.47,44.0,42.88,43.98,4162811
2015-08-13,43.91,44.02,43.52,43.57,2539268
2015-08-14,43.51,43.62,43.305,43.62,2592627
2015-08-17,43.57,43.86,43.33,43.76,2304221
2015-08-18,43.74,43.94,43.63,43.89,2845051
2015-08-19,43.58,43.69,42.94,43.27,4074020
2015-08-20,42.92,43.13,42.0401,42.06,4846086
2015-08-21,41.64,42.25,40.95,40.98,7409390
2015-08-24,39.01,41.175,38.25,39.41,9177890
2015-08-25,40.94,41.03,38.79,38.85,10311570
2015-08-26,39.88,40.1,38.76,39.99,6650436
2015-08-27,40.3,41.08,40.16,41.05,4922352
2015-08-28,40.79,41.25,40.55,41.24,3994048
2015-08-31,40.8,41.15,40.56,40.58,4004353
2015-09-01,39.26,40.02,39.21,39.45,4017132
2015-09-02,40.08,40.08,39.12,39.52,3028691
2015-09-03,39.5,40.03,39.28,39.81,3676455
2015-09-04,39.19,39.38,38.845,39.01,3040170
2015-09-08,39.82,40.24,39.645,40.07,4111252
2015-09-09,40.79,40.99,39.565,39.66,4364833
2015-09-10,39.45,39.7,38.99,39.3,4758384
2015-09-11,39.14,39.43,38.99,39.42,2843663
2015-09-14,39.45,39.54,39.08,39.17,3315881
2015-09-15,39.23,39.62,39.11,39.45,3385063
2015-09-16,39.53,39.68,39.295,39.59,3855587
2015-09-17,39.64,40.105,39.29,39.53,5284937
2015-09-18,38.75,39.16,38.4,38.51,6373107
2015-09-21,38.82,38.86,38.31,38.65,3237658
2015-09-22,38.02,38.105,37.64,38.01,3966791
2015-09-23,38.1,38.2,37.46,37.54,3037682
2015-09-24,37.09,37.39,36.81,37.27,3161642
2015-09-25,37.62,38.44,37.19,37.36,2743497
2015-09-28,36.9,37.11,36.43,36.7,4436311
2015-09-29,36.71,37.03,36.15,36.36,4176289
2015-09-30,36.91,37.315,36.62,37.26,3748228
2015-10-01,37.09,37.46,36.69,37.08,4310692
2015-10-02,36.11,37.81,36.095,37.76,4050596
2015-10-05,38.09,38.975,38.01,38.67,3567282
2015-10-06,38.52,38.78,38.34,38.72,2486508
2015-10-07,38.92,39.66,38.73,39.02,5032882
2015-10-08,38.9,39.02,38.49,38.89,3464459
2015-10-09,38.47,39.27,38.42,38.85,5055980
2015-10-12,38.81,38.93,37.91,38.03,2626217
2015-10-13,37.75,38.3,37.43,37.5,4144418
2015-10-14,37.5,37.99,37.38,37.47,4142969
2015-10-15,37.63,37.87,37.38,37.81,4382191
2015-10-16,37.91,38.67,37.74,38.47,5645018
2015-10-19,38.27,38.4,38.07,38.15,3656922
2015-10-20,38.04,38.29,38.02,38.18,4357179
2015-10-21,38.25,38.3742,37.88,37.94,5310443
2015-10-22,38.2,40.59,38.12,39.78,7159558
2015-10-23,40.14,40.3,39.42,40.18,5140294
2015-10-26,40.19,40.32,39.94,40.08,2889831
2015-10-27,39.84,39.99,39.2701,39.37,3380787
2015-10-28,39.33,40.09,39.19,39.97,4906994
2015-10-29,39.93,40.3,39.59,40.11,3781982
2015-10-30,40.17,40.83,40.01,40.76,5739614
2015-11-02,40.85,41.365,40.68,41.15,3781028
2015-11-03,40.98,41.53,40.97,41.4,2185029
2015-11-04,41.54,41.59,41.06,41.13,1489191
2015-11-05,41.15,41.64,41.04,41.57,3006407
2015-11-06,41.76,42.03,40.7,40.86,4957406
2015-11-09,40.79,40.85,40.42,40.65,3802469
2015-11-10,40.6,40.855,40.3313,40.8,2627394
2015-11-11,41.08,41.09,40.72,40.84,2827588
2015-11-12,40.44,40.82,40.32,40.41,3047268
2015-11-13,40.31,40.63,39.605,39.62,2820036
2015-11-16,39.51,40.51,39.39,40.5,2292577
2015-11-17,40.56,40.8,40.09,40.42,3035698
2015-11-18,40.6,41.5,39.85,41.42,2605764
2015-11-19,41.47,41.685,41.37,41.58,2132779
2015-11-20,41.71,41.995,41.17,41.34,1985623
2015-11-23,41.39,41.66,41.13,41.19,2895017
2015-11-24,40.73,41.545,40.11,41.29,2708206
2015-11-25,41.38,41.93,41.3,41.81,2072132
2015-11-27,41.8,41.91,41.34,41.58,788052
2015-11-30,41.68,42.0,41.61,41.92,2755772
2015-12-01,42.1,42.23,41.49,41.83,2896776
2015-12-02,41.83,41.88,40.87,41.03,2273891
2015-12-03,41.18,41.22,40.25,40.42,2810928
2015-12-04,40.52,41.24,40.3901,41.14,3208272
2015-12-07,41.09,41.22,40.61,40.82,2585977
2015-12-08,39.9,40.09,39.225,39.32,4305942
2015-12-09,39.15,39.66,38.41,38.51,3830777
2015-12-10,38.51,39.04,38.36,38.47,2699909
2015-12-11,37.77,37.89,35.9201,36.18,8029028
2015-12-14,36.06,36.26,34.62,35.12,9237825
2015-12-15,35.55,36.22,35.52,35.6,4626401
2015-12-16,35.97,36.23,35.29,36.16,3786036
2015-12-17,36.22,36.39,35.08,35.45,4842520
2015-12-18,35.22,35.28,34.79,35.0,10194260
2015-12-21,35.34,35.53,34.93,35.24,4329950
2015-12-22,35.11,35.94,34.93,35.82,6051514
2015-12-23,36.11,37.5,36.01,37.36,5261957
2015-12-24,37.17,37.56,36.801,36.97,1452738
2015-12-28,36.78,36.97,36.6,36.92,3014832
2015-12-29,37.15,37.54,37.07,37.4,2414331
2015-12-30,37.19,37.55,36.99,37.03,2354193
2015-12-31,36.78,37.26,36.69,36.82,2025868
2016-01-04,35.64,36.21,35.41,36.18,4389263
2016-01-05,36.28,36.43,35.7,36.12,3384468
2016-01-06,35.45,35.65,34.95,35.2,2744307
2016-01-07,34.36,34.955,33.9,34.07,5317888
2016-01-08,34.21,34.49,33.54,33.65,5394338
2016-01-11,33.66,34.0,32.955,33.5,5795625
2016-01-12,33.62,34.51,33.37,34.0,5371355
2016-01-13,34.21,34.38,32.94,32.98,5367079
2016-01-14,33.09,33.56,32.39,33.37,5260287
