Date,Open,High,Low,Close,Volume
2015-06-22,92.38,92.48,91.73,92.14,550439
2015-06-23,92.55,93.03,91.72,92.85,720754
2015-06-24,92.57,92.8,91.4275,91.45,484985
2015-06-25,91.72,91.72,90.05,90.22,757064
2015-06-26,90.19,90.47,88.75,89.44,1416276
2015-06-29,88.85,89.6,87.79,87.86,721557
2015-06-30,88.41,89.09,87.79,87.8,1009110
2015-07-01,88.4,90.4,87.67,89.86,1361494
2015-07-02,90.0,90.0,89.06,89.52,832615
2015-07-06,87.58,87.84,85.715,86.12,1541265
2015-07-07,86.24,87.07,85.33,87.02,1419961
2015-07-08,86.41,86.71,85.56,85.67,881860
2015-07-09,86.44,86.954,85.55,85.6,663604
2015-07-10,86.68,86.85,85.481,85.72,878170
2015-07-13,86.35,86.44,85.605,86.41,738046
2015-07-14,86.61,87.37,86.38,87.13,937835
2015-07-15,87.07,87.31,85.87,86.7,980031
2015-07-16,87.11,88.005,86.765,87.97,917477
2015-07-17,88.4,88.48,86.99,88.1,878807
2015-07-20,87.81,88.2,87.38,87.76,494843
2015-07-21,87.45,88.02,86.45,86.49,574565
2015-07-22,86.46,87.67,85.8,87.52,639147
2015-07-23,87.5,88.03,86.83,87.13,602511
2015-07-24,86.88,87.15,85.9,86.28,677588
2015-07-27,86.0,86.48,85.41,85.56,806207
2015-07-28,85.6,86.69,85.24,86.59,728704
2015-07-29,86.62,86.84,85.58,85.61,1410750
2015-07-30,81.2,82.79,79.95,81.25,3145382
2015-07-31,81.5,81.78,79.81,79.85,2064558
2015-08-03,79.72,80.83,79.66,79.81,1265286
2015-08-04,79.9,80.25,78.95,79.09,969020
2015-08-05,79.3,79.9,78.56,78.67,1084606
2015-08-06,79.11,79.12,76.58,77.24,1435622
2015-08-07,76.85,77.63,75.66,76.22,1271855
2015-08-10,76.5,77.31,76.304,76.99,1386419
2015-08-11,76.31,77.0,75.75,76.26,1436954
2015-08-12,75.84,77.39,75.26,77.32,1245910
2015-08-13,77.61,78.18,76.49,76.61,1102792
2015-08-14,76.9,77.06,76.23,76.31,1021193
2015-08-17,76.0,76.4,75.805,76.2,873130
2015-08-18,76.09,76.5,75.54,75.56,872376
2015-08-19,75.38,75.38,73.63,73.74,1145799
2015-08-20,73.93,73.95,72.885,72.91,987833
2015-08-21,72.18,72.77,70.95,70.96,1118005
2015-08-24,69.25,71.32,67.06,70.23,2151442
2015-08-25,71.88,72.37,68.89,68.94,1683831
2015-08-26,70.015,70.45,69.21,69.64,1879154
2015-08-27,69.93,72.57,69.81,71.73,1690952
2015-08-28,71.45,72.72,71.45,72.57,1106655
2015-08-31,72.14,72.86,71.94,72.45,1589306
2015-09-01,71.5,71.845,70.01,70.45,1114258
2015-09-02,70.97,71.37,70.05,70.93,607453
2015-09-03,71.02,71.98,70.74,70.87,569561
2015-09-04,70.28,70.42,69.69,70.04,521550
2015-09-08,71.17,71.29,70.1999,70.67,502576
2015-09-09,71.0,71.25,69.54,69.72,612638
