Date,Open,High,Low,Close,Volume
2017-07-05,40.8,40.82,37.25,37.25,5839811
2017-07-06,38.09,38.09,36.52,37.01,5091546
2017-07-07,38.14,38.59,36.12,37.91,6048117
2017-07-10,37.63,38.17,36.8,37.23,4721508
2017-07-11,37.31,37.78,36.89,37.35,2796240
2017-07-12,37.77,37.99,37.25,37.37,3268809
2017-07-13,37.45,37.65,36.69,36.84,4086748
2017-07-14,37.0,37.495,36.91,37.35,2874663
2017-07-17,37.71,38.37,37.64,37.64,3926058
2017-07-18,37.52,37.78,36.73,36.75,3278954
2017-07-19,36.59,37.09,36.36,36.54,4235240
2017-07-20,36.59,36.9,34.86,34.97,6566168
2017-07-21,34.73,34.88,33.44,34.12,7851485
2017-07-24,34.26,34.46,33.88,34.36,2851511
2017-07-25,34.81,35.28,34.77,35.25,2979840
2017-07-26,35.58,36.18,35.22,36.05,3826003
2017-07-27,35.97,37.04,35.7,36.16,4593651
2017-07-28,34.85,37.5,34.2257,37.1,4263752
2017-07-31,37.14,37.17,36.43,36.89,3322672
2017-08-01,36.82,36.83,35.41,35.7,2956032
2017-08-02,35.36,35.55,35.035,35.35,3405697
2017-08-03,35.26,35.51,35.07,35.31,3200147
2017-08-04,35.42,35.54,35.06,35.23,3115457
2017-08-07,35.1,35.27,34.4,34.56,2058527
2017-08-08,34.75,35.47,34.6442,34.94,2155678
2017-08-09,34.79,35.29,34.76,35.02,2267019
2017-08-10,35.01,35.29,34.57,34.7,1984469
2017-08-11,34.51,34.89,34.28,34.29,1193191
2017-08-14,34.51,34.54,34.135,34.26,1933549
2017-08-15,34.03,34.42,34.03,34.31,2158440
2017-08-16,34.37,34.51,33.76,33.83,1383406
2017-08-17,33.79,34.09,32.75,32.8,2201993
2017-08-18,32.74,33.13,32.4301,32.77,3248495
2017-08-21,32.77,32.99,32.46,32.54,2342154
2017-08-22,32.62,32.945,32.43,32.69,1874751
2017-08-23,32.51,33.24,32.51,33.04,1579226
2017-08-24,33.09,33.09,32.54,32.82,1787191
2017-08-25,32.88,33.41,32.8701,33.26,2037096
2017-08-28,33.27,33.4,32.82,33.25,2518129
2017-08-29,33.1,33.81,33.1,33.75,2252995
2017-08-30,33.6,33.73,33.2376,33.51,1637489
2017-08-31,33.99,34.35,33.46,33.9,3648294
2017-09-01,33.97,34.44,33.73,34.3,1724403
2017-09-05,34.83,35.45,34.49,34.97,4389683
2017-09-06,35.39,35.74,34.72,34.74,3293869
2017-09-07,34.77,35.25,34.29,34.75,2085980
2017-09-08,34.77,34.98,34.06,34.42,3019167
2017-09-11,34.52,35.6,34.37,35.48,2849534
2017-09-12,35.38,36.4,35.24,35.96,3549163
2017-09-13,35.94,36.73,35.9,36.09,4303419
2017-09-14,36.35,37.14,36.2,36.38,4785721
2017-09-15,36.37,36.91,36.37,36.9,8192052
2017-09-18,36.91,37.49,36.78,37.36,3251905
2017-09-19,37.31,37.45,37.06,37.39,2961456
2017-09-20,37.55,37.68,37.24,37.5,2254086
2017-09-21,37.17,37.26,36.365,36.58,2565072
2017-09-22,36.53,36.74,36.28,36.67,3605847
2017-09-25,36.85,38.1,36.63,37.52,4736968
2017-09-26,37.34,37.34,36.6597,37.04,2621776
2017-09-27,37.1,37.2,36.69,36.93,2062375
2017-09-28,37.12,37.24,36.56,37.03,2129601
2017-09-29,36.8,37.05,36.32,36.62,3246457
2017-10-02,35.96,36.91,35.92,36.86,1908649
2017-10-03,36.84,37.1,36.39,36.67,2466311
2017-10-04,36.75,37.09,36.53,36.71,1970628
2017-10-05,36.84,36.92,36.46,36.48,1909838
2017-10-06,36.16,36.71,36.04,36.53,1827879
2017-10-09,36.59,36.67,35.8,35.84,3164313
2017-10-10,36.06,36.23,34.92,34.97,4350082
2017-10-11,34.81,34.9,34.23,34.39,4578158
2017-10-12,34.14,34.3,33.78,33.92,4694844
2017-10-13,34.26,34.6,33.71,33.73,2854919
2017-10-16,34.04,34.225,33.641,33.7,2891946
2017-10-17,33.64,34.07,33.3,33.79,4635191
2017-10-18,33.84,34.26,33.75,33.8,2631429
2017-10-19,33.55,33.89,33.05,33.15,4578722
2017-10-20,32.01,33.43,31.44,33.26,7152564
2017-10-23,33.1,33.26,31.4,31.47,5767245
2017-10-24,31.56,31.66,30.63,30.69,4205539
2017-10-25,30.7,30.86,30.0,30.07,4848981
2017-10-26,30.12,30.34,29.73,29.94,2599019
2017-10-27,29.79,31.31,29.62,31.3,4641739
2017-10-30,31.18,31.77,31.09,31.5,4545954
2017-10-31,31.29,31.53,31.0504,31.43,3144708
2017-11-01,31.75,32.34,31.56,31.85,3127214
2017-11-02,31.79,32.17,31.095,31.28,3900514
2017-11-03,30.91,31.46,30.8511,31.18,4538686
2017-11-06,31.55,33.98,31.54,33.92,8134386
2017-11-07,34.04,34.08,33.31,33.4,4451305
2017-11-08,33.24,33.72,32.79,32.84,3370157
2017-11-09,32.69,32.95,32.19,32.74,4218668
2017-11-10,32.65,33.14,32.4,32.95,2512611
2017-11-13,32.74,32.79,31.84,31.88,3665153
2017-11-14,31.46,31.75,29.95,30.51,6311704
2017-11-15,29.85,30.83,29.62,30.6,4629773
2017-11-16,30.61,31.15,30.11,30.15,3709219
2017-11-17,30.2,31.02,30.16,30.91,2690587
2017-11-20,30.92,30.92,30.31,30.44,3926586
2017-11-21,30.55,30.99,30.55,30.66,3346074
2017-11-22,30.75,31.13,30.6,30.71,3378941
2017-11-24,30.78,31.11,30.5999,30.8,1314053
2017-11-27,30.67,30.8,30.18,30.31,2496634
2017-11-28,30.2,30.37,29.99,30.08,4313909
2017-11-29,30.03,30.3,29.9,29.98,4886853
2017-11-30,30.02,30.63,29.695,29.73,11458550
2017-12-01,30.04,30.83,29.83,30.7,10795400
2017-12-04,30.7,32.59,30.595,31.71,7928433
2017-12-05,31.75,31.99,30.75,30.81,4719713
2017-12-06,30.65,31.17,30.29,30.51,4477487
2017-12-07,30.52,31.1,30.3,30.37,3670109
2017-12-08,30.55,30.8,30.07,30.26,4527622
2017-12-11,30.25,30.69,30.21,30.59,6737126
2017-12-12,30.68,31.66,30.59,30.95,5889358
2017-12-13,30.9,31.02,30.09,30.33,5397985
2017-12-14,30.08,30.84,30.02,30.59,7625301
2017-12-15,30.77,30.84,30.1,30.26,9024829
2017-12-18,30.43,31.225,30.33,31.03,6014837
2017-12-19,31.2,32.091,30.86,31.83,5856092
2017-12-20,31.9,32.88,31.81,32.74,4432071
2017-12-21,32.73,33.12,32.29,32.3,6206159
2017-12-22,31.87,32.46,31.49,32.23,2630290
