Date,Open,High,Low,Close,Volume
2015-06-22,16.855,16.88,16.795,16.835,956310
2015-06-23,16.8,16.905,16.67,16.825,758454
2015-06-24,16.78,16.9015,16.7186,16.72,901188
2015-06-25,16.445,16.78,16.445,16.56,971204
2015-06-26,16.605,16.64,16.55,16.565,1536706
2015-06-29,16.445,16.54,16.38,16.385,1291930
2015-06-30,16.545,16.62,16.4,16.43,1189782
2015-07-01,16.61,16.775,16.52,16.61,1363166
2015-07-02,16.61,16.69,16.5375,16.565,923068
2015-07-06,16.48,16.645,16.44,16.645,1598336
2015-07-07,16.645,16.705,16.465,16.685,906428
2015-07-08,16.595,16.63,16.4341,16.565,1557024
2015-07-09,16.8,16.82,16.54,16.64,764328
2015-07-10,16.735,16.85,16.735,16.825,929654
2015-07-13,16.94,17.035,16.885,17.0,1453318
2015-07-14,16.985,17.195,16.9521,17.08,1246880
2015-07-15,17.07,17.07,16.865,17.04,732472
2015-07-16,17.145,17.23,17.06,17.22,976318
2015-07-17,17.22,17.25,17.07,17.145,917020
2015-07-20,17.15,17.29,17.105,17.235,1624916
2015-07-21,16.89,17.025,16.315,16.5,5204732
2015-07-22,16.505,16.69,16.505,16.605,2021240
2015-07-23,16.6,16.885,16.6,16.825,1703728
2015-07-24,16.815,16.86,16.6675,16.69,1561586
2015-07-27,16.6,16.75,16.555,16.62,1122478
2015-07-28,16.685,16.685,16.425,16.53,1324490
2015-07-29,16.505,16.7675,16.385,16.765,1025934
2015-07-30,16.715,16.805,16.6575,16.77,734872
2015-07-31,16.81,16.875,16.7125,16.725,1598804
2015-08-03,16.76,16.8,16.6175,16.785,917770
2015-08-04,16.76,16.9325,16.76,16.81,887742
2015-08-05,16.835,16.915,16.75,16.81,664936
2015-08-06,16.815,16.925,16.65,16.815,1768224
2015-08-07,16.79,16.81,16.665,16.79,1115606
2015-08-10,16.915,17.125,16.665,17.06,1352110
2015-08-11,16.93,17.1112,16.83,17.025,1213254
2015-08-12,16.92,17.125,16.7,16.93,1230362
2015-08-13,16.89,17.04,16.685,17.035,1209242
2015-08-14,17.005,17.205,16.89,17.195,1105606
2015-08-17,17.125,17.235,17.01,17.17,1218876
2015-08-18,17.19,17.295,16.9,17.225,905144
2015-08-19,17.185,17.185,16.985,16.985,891334
2015-08-20,16.885,17.01,16.645,16.655,1180440
2015-08-21,16.52,16.615,16.335,16.335,1690386
2015-08-24,15.55,16.045,14.835,15.72,2371764
2015-08-25,15.88,15.955,15.45,15.46,2092788
2015-08-26,15.845,16.11,15.6,16.095,2750958
2015-08-27,16.22,16.455,16.075,16.45,1990684
2015-08-28,16.4,16.425,16.1,16.195,1586156
2015-08-31,16.165,16.17,16.01,16.03,1351542
2015-09-01,15.795,15.8375,15.545,15.58,2035830
2015-09-02,15.83,15.965,15.55,15.78,1084810
2015-09-03,15.825,15.9,15.765,15.795,767756
2015-09-04,15.63,15.67,15.49,15.57,689612
2015-09-08,15.87,15.935,15.75,15.91,1056156
2015-09-09,16.025,16.125,15.835,15.85,1023506
2015-09-10,15.835,15.98,15.795,15.84,827342
2015-09-11,15.785,16.045,15.725,15.895,772218
2015-09-14,15.905,15.95,15.83,15.88,767200
2015-09-15,15.87,16.085,15.75,16.025,1494480
2015-09-16,16.01,16.24,15.92,16.215,962540
2015-09-17,16.23,16.3675,16.135,16.15,1274034
2015-09-18,15.99,15.99,15.59,15.695,2755376
2015-09-21,15.77,15.96,15.76,15.875,1129260
2015-09-22,15.67,15.79,15.625,15.7,1454766
2015-09-23,15.735,15.735,15.565,15.61,1241798
2015-09-24,15.485,15.825,15.435,15.59,1959268
2015-09-25,15.745,15.78,15.56,15.64,1013652
2015-09-28,15.545,15.625,15.315,15.37,1288380
2015-09-29,15.375,15.425,15.24,15.37,1569678
2015-09-30,15.51,15.51,15.2875,15.485,1995976
2015-10-01,15.455,15.815,15.34,15.455,1879056
2015-10-02,15.275,15.605,15.195,15.545,1486142
2015-10-05,15.625,15.81,15.58,15.775,2016084
2015-10-06,15.755,15.845,15.445,15.75,1328048
2015-10-07,15.785,15.995,15.7,15.92,1338700
2015-10-08,15.895,16.02,15.8,15.96,899134
2015-10-09,15.985,16.055,15.895,15.985,1175930
2015-10-12,15.99,16.01,15.865,15.87,1152102
2015-10-13,15.79,15.88,15.725,15.735,1205780
2015-10-14,15.585,15.655,15.195,15.455,1879410
2015-10-15,15.535,15.625,15.44,15.605,1275108
2015-10-16,15.66,15.7,15.55,15.66,1094544
2015-10-19,15.635,15.85,15.585,15.63,1620240
2015-10-20,15.575,15.945,15.22,15.565,3288106
2015-10-21,15.62,15.775,15.475,15.515,2330374
2015-10-22,15.59,15.88,15.59,15.805,1165374
2015-10-23,15.905,16.045,15.805,16.025,1058794
2015-10-26,16.055,16.105,15.95,16.005,836206
2015-10-27,15.92,16.0,15.735,15.82,1539556
2015-10-28,15.895,16.29,15.84,16.285,2082482
2015-10-29,16.23,16.355,16.175,16.315,1256750
2015-10-30,16.31,16.32,16.105,16.135,1162370
2015-11-02,16.075,16.21,16.005,16.2,1162410
2015-11-03,16.165,16.2325,16.095,16.13,1433182
2015-11-04,16.145,16.28,16.055,16.08,818654
2015-11-05,16.1,16.135,16.025,16.065,734386
2015-11-06,16.16,16.5,15.955,16.055,1633048
2015-11-09,16.03,16.2125,15.8225,15.91,952422
2015-11-10,15.9,15.99,15.85,15.99,1053450
2015-11-11,16.035,16.125,15.975,16.05,869698
2015-11-12,15.97,16.1,15.91,15.915,1423802
2015-11-13,15.875,15.925,15.635,15.67,1283134
2015-11-16,15.63,15.845,15.625,15.845,888364
2015-11-17,15.845,15.9525,15.775,15.78,876310
2015-11-18,15.805,16.12,15.79,16.085,1508902
2015-11-19,16.06,16.155,15.985,16.12,963258
