Date,Open,High,Low,Close,Volume
2015-06-22,52.52,52.73,52.33,52.65,387049
2015-06-23,52.86,52.92,52.23,52.31,554688
2015-06-24,52.3,52.35,51.59,51.62,406085
2015-06-25,51.73,51.79,51.47,51.56,289417
2015-06-26,51.8,51.99,50.53,50.68,1362083
2015-06-29,49.95,50.72,49.9,50.04,807148
2015-06-30,50.48,50.52,49.67,50.01,745303
2015-07-01,50.31,51.72,50.31,51.65,1099326
2015-07-02,51.8,51.89,51.25,51.8,801491
2015-07-06,51.67,52.11,51.43,52.05,822688
2015-07-07,52.11,52.61,51.79,52.43,688547
2015-07-08,52.14,52.2899,51.88,52.1,847491
2015-07-09,52.69,53.03,52.57,52.94,970671
2015-07-10,53.49,53.84,53.35,53.57,734488
2015-07-13,54.06,54.31,53.67,53.69,728549
2015-07-14,53.82,54.03,53.55,53.7,375412
2015-07-15,53.68,53.78,53.44,53.59,312696
2015-07-16,53.81,53.96,53.68,53.77,431847
2015-07-17,53.71,53.77,53.22,53.24,335450
2015-07-20,53.4,53.48,53.17,53.33,598862
2015-07-21,53.38,53.45,53.0,53.13,404733
2015-07-22,52.92,53.16,52.88,53.06,689847
2015-07-23,53.12,53.89,53.08,53.61,743139
2015-07-24,53.77,53.77,52.86,53.11,743216
2015-07-27,52.7,52.94,52.33,52.46,385301
2015-07-28,52.53,53.21,52.3,53.2,441620
2015-07-29,53.13,54.34,53.0101,54.31,406885
2015-07-30,54.23,54.67,53.81,54.31,521594
2015-07-31,54.54,54.68,54.23,54.27,432506
2015-08-03,54.36,54.468,53.83,54.3,328236
2015-08-04,54.25,54.74,53.43,54.34,363460
2015-08-05,54.58,54.81,54.1,54.36,675225
2015-08-06,54.54,54.7,53.81,54.1,951677
2015-08-07,49.01,56.07,49.01,56.05,1281611
2015-08-10,56.38,57.315,56.27,57.13,945621
2015-08-11,56.63,56.99,56.06,56.25,458890
2015-08-12,55.71,56.05,54.96,55.82,602299
2015-08-13,59.51,59.51,55.03,56.18,331618
2015-08-14,56.21,56.45,55.9,56.3,411339
2015-08-17,56.14,56.93,55.75,56.73,408366
2015-08-18,56.7,56.73,56.28,56.31,390125
2015-08-19,56.07,56.3099,55.475,55.76,343520
2015-08-20,55.21,55.43,54.33,54.34,557269
2015-08-21,53.9,54.315,52.88,52.88,717993
2015-08-24,50.11,52.46,49.82,51.0,1144909
2015-08-25,52.51,52.59,50.56,50.61,1060968
2015-08-26,51.86,52.54,50.55,52.39,969969
2015-08-27,52.89,53.56,52.37,53.34,798463
2015-08-28,53.12,53.58,52.86,53.53,694748
2015-08-31,53.32,53.53,52.68,52.79,572763
2015-09-01,51.7,51.94,50.41,51.01,1866196
2015-09-02,51.8,51.9,51.01,51.75,1056752
2015-09-03,51.84,52.7,51.66,51.76,919228
2015-09-04,51.06,51.48,50.52,50.8,834333
2015-09-08,51.69,52.88,51.34,52.84,1103277
2015-09-09,53.09,53.2,52.43,52.57,1201961
2015-09-10,52.48,53.02,52.2,52.38,848627
2015-09-11,52.0,52.77,51.85,52.74,689514
2015-09-14,52.7,52.75,52.26,52.42,423816
2015-09-15,52.45,53.006,52.33,52.87,538700
2015-09-16,53.74,54.93,53.41,54.84,1212326
2015-09-17,54.71,55.32,54.59,54.75,632468
2015-09-18,54.04,54.79,54.03,54.19,1342942
2015-09-21,54.48,55.37,54.48,55.0,502742
2015-09-22,55.13,55.18,54.34,55.08,709808
2015-09-23,55.11,55.5,54.89,55.2,501003
