Date,Open,High,Low,Close,Volume
2015-06-22,42.7044,42.7445,42.253,42.3032,3055347
2015-06-23,42.3232,42.4637,42.0323,42.2731,2655873
2015-06-24,42.2028,42.2731,41.0592,41.5107,5812642
2015-06-25,41.631,41.8016,40.658,41.2097,4917938
2015-06-26,41.2097,41.6411,40.7784,41.631,3159248
2015-06-29,40.6881,41.357,40.4573,40.7683,4685643
2015-06-30,41.2498,41.2699,40.5075,40.9991,3268140
2015-07-01,41.631,41.7314,40.8486,41.0492,3404608
2015-07-02,41.0893,41.4505,40.8686,41.4505,2420313
2015-07-06,41.1194,41.3236,40.3973,40.5978,3697171
2015-07-07,40.7081,40.7248,38.6828,39.8956,7373020
2015-07-08,39.4141,39.6147,38.7018,38.7219,4744220
2015-07-09,39.404,39.4642,38.9827,39.2134,3556309
2015-07-10,40.0059,40.0059,39.2134,39.7351,3746453
2015-07-13,40.1263,41.0793,40.0862,41.0392,4194574
2015-07-14,41.1295,41.5006,40.9991,41.1997,3412320
2015-07-15,41.3201,41.5608,40.9991,41.4605,3025526
2015-07-16,41.5809,42.7345,40.5175,42.0925,8301675
2015-07-17,42.1627,42.2831,41.6611,41.7314,4153973
2015-07-20,41.8718,41.9922,41.4103,41.7314,3710697
2015-07-21,41.7615,42.0749,41.5809,41.9821,2544105
2015-07-22,41.8417,42.0825,41.4404,41.631,3233650
2015-07-23,40.8787,40.9288,39.725,39.8555,5803107
2015-07-24,39.8555,40.0761,37.8291,38.3808,9004801
2015-07-27,37.9394,38.5915,36.8761,38.2203,6547697
2015-07-28,38.5313,39.2335,38.5112,38.7319,4568554
2015-07-29,38.9827,39.5445,38.8122,39.4943,3318790
2015-07-30,39.6247,40.0661,39.2636,39.4141,2637517
2015-07-31,39.6147,39.8755,39.1583,39.3739,2491505
2015-08-03,39.725,39.7351,38.6115,38.8623,3191302
2015-08-04,38.9225,39.7451,38.7219,39.6147,2786592
2015-08-05,39.8354,40.1765,38.9777,39.073,2986232
2015-08-06,39.1532,39.4642,37.8893,38.5614,5409481
2015-08-07,38.441,38.5813,37.0165,37.9495,4997993
2015-08-10,38.2404,39.384,38.1601,39.2536,3341760
2015-08-11,38.7219,39.0838,37.809,38.0397,4337454
2015-08-12,37.5582,38.3206,36.2742,38.2203,6036523
2015-08-13,38.2203,38.5112,37.8692,38.2805,2769781
2015-08-14,38.2604,38.9105,38.1411,38.772,2682895
2015-08-17,38.7219,38.8423,38.1501,38.5513,3148041
2015-08-18,38.5814,38.6216,37.1168,37.3977,5337193
2015-08-19,37.1168,37.3977,36.5651,36.866,4834683
2015-08-20,36.5751,36.6955,34.3782,34.619,9405776
2015-08-21,34.1074,34.308,33.1644,34.0572,12152090
2015-08-24,30.7568,34.5086,28.6502,32.7932,10621840
2015-08-25,35.903,36.1036,32.5023,32.5023,8087197
2015-08-26,33.6559,34.6691,33.1154,34.4384,6324241
2015-08-27,35.7325,36.6554,35.0604,35.7224,7347117
2015-08-28,35.4115,36.0334,35.1205,35.7826,3402071
2015-08-31,35.6121,35.7325,34.0371,34.3581,6318636
2015-09-01,33.5957,33.686,32.4221,32.5525,10782510
2015-09-02,33.2446,33.2647,32.2014,32.713,7483224
2015-09-03,32.9738,34.9199,32.8033,33.5857,5614135
2015-09-04,33.4051,33.8566,32.743,33.7763,3788758
2015-09-08,34.6491,35.6021,34.0773,35.5218,5853262
2015-09-09,35.9632,36.1137,34.5889,34.6792,4097249
2015-09-10,34.5788,34.6891,33.7061,34.1475,5316391
2015-09-11,34.0271,34.4585,33.3349,34.1174,4427643
2015-09-14,34.0873,34.298,33.4252,34.1174,2291042
2015-09-15,34.1976,35.3212,34.0271,34.7995,4226542
2015-09-16,34.8296,35.0006,34.2277,34.8296,2845215
2015-09-17,34.8397,36.1538,34.3983,35.8529,4642604
2015-09-18,35.0804,35.1376,33.8465,34.2879,6199178
2015-09-21,34.6792,34.7694,33.8566,34.4083,3281005
2015-09-22,33.8164,34.2572,33.5657,34.007,2873020
2015-09-23,34.0371,34.1957,32.9838,33.5155,4190943
2015-09-24,33.0741,33.1544,31.8001,32.6829,6229379
2015-09-25,33.355,33.9067,32.7029,32.9537,4368614
2015-09-28,32.6227,32.7732,30.0947,30.9976,12565660
2015-09-29,30.9976,31.0979,29.4928,30.1649,7868862
2015-09-30,30.6465,31.8503,29.9041,31.77,7803815
2015-10-01,31.77,31.85,30.45,31.43,5466093
2015-10-02,30.99,32.15,30.54,31.5,7414900
2015-10-05,31.9,33.62,31.8527,33.39,5310561
2015-10-06,33.41,33.865,32.85,33.8,5578769
2015-10-07,34.03,35.24,33.94,34.7,6693765
2015-10-08,34.44,34.55,33.76,34.01,4948124
2015-10-09,34.11,34.65,33.91,34.12,3673785
2015-10-12,34.2,34.21,33.01,33.81,3498939
2015-10-13,33.3,34.195,33.16,33.19,3047208
2015-10-14,33.24,33.84,32.65,33.55,5987742
2015-10-15,33.58,34.85,33.22,34.05,6639773
2015-10-16,34.64,35.0,34.206,34.52,5616805
2015-10-19,34.19,34.4,33.73,33.93,4116530
2015-10-20,33.93,34.16,33.29,33.36,5165470
2015-10-21,33.54,33.8765,33.32,33.62,3758907
2015-10-22,33.41,33.99,33.21,33.34,3782617
2015-10-23,33.72,34.52,33.54,34.43,5064641
2015-10-26,34.43,34.57,34.21,34.42,3931666
2015-10-27,34.28,34.3,33.45,34.09,3494543
2015-10-28,33.92,34.5,32.935,34.5,5402057
2015-10-29,34.19,34.618,33.765,33.78,3725444
2015-10-30,33.84,34.19,32.89,33.06,3962336
2015-11-02,33.39,34.6,33.29,34.13,4684669
2015-11-03,34.15,34.65,33.82,34.59,4173232
2015-11-04,34.48,34.71,33.46,33.75,5355436
2015-11-05,33.91,34.34,33.06,33.52,4354031
2015-11-06,33.61,33.68,32.57,32.88,5187589
2015-11-09,32.65,32.75,31.54,32.05,5426669
