Date,Open,High,Low,Close,Volume
2015-06-22,33.8345,33.8422,33.1436,33.2401,6907359
2015-06-23,33.1475,33.5759,33.1475,33.4948,4482270
2015-06-24,33.3868,34.0854,33.3636,33.8576,5447156
2015-06-25,33.958,34.0198,33.8499,33.8499,3239421
2015-06-26,33.9117,33.9966,33.7496,33.9657,5183711
2015-06-29,33.5411,33.8885,33.4485,33.5257,4301409
2015-06-30,33.271,34.205,32.8156,33.7496,7301595
2015-07-01,33.8885,34.4598,33.5797,34.4289,5492534
2015-07-02,34.5678,34.7531,34.2784,34.398,4186070
2015-07-06,34.1973,34.6991,34.0506,34.4443,9236040
2015-07-07,34.5524,35.1159,34.3131,35.1159,5109656
2015-07-08,34.8998,35.0079,34.4212,34.4675,4524594
2015-07-09,34.7608,34.9847,34.3363,34.3671,3132312
2015-07-10,34.5678,34.8187,34.4443,34.6064,2820250
2015-07-13,34.7377,34.8766,34.4752,34.5215,2812131
2015-07-14,34.344,34.5756,34.2359,34.5215,5150848
2015-07-15,34.4212,34.5524,34.2205,34.2977,3476567
2015-07-16,34.4752,34.6836,34.2977,34.4443,2365156
2015-07-17,34.4135,34.452,34.1741,34.3054,2372463
2015-07-20,34.3517,34.3517,34.1124,34.1896,2744994
2015-07-21,34.1433,34.2822,33.9194,33.9812,3010910
2015-07-22,34.0043,34.2822,33.7727,34.0892,5801260
2015-07-23,33.9734,34.2513,33.904,33.9657,1711069
2015-07-24,33.9657,34.0584,33.6183,33.711,1497812
2015-07-27,33.5952,33.6955,33.4485,33.6029,2219748
2015-07-28,33.572,33.958,33.4176,33.9194,2344650
2015-07-29,33.8576,34.1664,33.8576,34.0661,1705130
2015-07-30,33.8113,34.3594,33.7805,34.3054,2106281
2015-07-31,34.3054,34.3517,33.9348,34.012,2175295
2015-08-03,33.9734,34.1085,33.7612,34.0198,2015355
2015-08-04,33.958,34.2899,33.9348,34.097,2162637
2015-08-05,34.1664,34.7377,34.1201,34.5447,2785151
2015-08-06,34.7222,34.7608,34.344,34.7145,2938285
2015-08-07,34.6064,34.8535,34.3363,34.8535,2677368
2015-08-10,35.0079,35.1082,34.6566,34.7299,2946322
2015-08-11,34.537,34.7647,34.4289,34.7145,2575545
2015-08-12,34.5061,34.5416,34.0352,34.4984,2618232
2015-08-13,34.5215,34.6219,34.2243,34.3054,2045771
