Date,Open,High,Low,Close,Volume
2015-06-22,87.97,88.32,87.71,88.27,3648476
2015-06-23,88.42,88.6204,88.01,88.45,2538752
2015-06-24,88.79,88.81,88.07,88.17,3413446
2015-06-25,88.22,88.3292,86.66,86.72,3233959
2015-06-26,86.5,86.95,85.81,86.82,4387343
2015-06-29,86.22,86.74,85.1,85.3,4747038
2015-06-30,86.09,86.25,84.8,84.82,4077827
2015-07-01,85.39,85.45,83.54,83.95,5296151
2015-07-02,84.53,84.78,83.85,84.38,2582215
2015-07-06,83.65,84.15,82.73,83.15,4879604
2015-07-07,82.99,84.12,81.85,83.99,5192869
2015-07-08,83.05,83.23,81.76,82.27,4324718
2015-07-09,83.43,83.7,81.46,81.69,4568022
2015-07-10,82.64,82.91,81.87,82.15,3495037
2015-07-13,82.87,84.03,82.6801,83.64,4228447
2015-07-14,83.53,84.68,83.52,84.46,3794765
2015-07-15,84.55,84.86,83.75,84.16,3661190
2015-07-16,84.75,84.89,83.41,83.76,3685773
2015-07-17,83.55,83.65,82.76,83.16,2931267
2015-07-20,83.06,83.29,82.14,82.25,4289163
2015-07-21,81.8,82.89,81.25,82.22,4690567
2015-07-22,81.0,81.12,79.15,79.76,10107060
2015-07-23,77.7,79.04,76.65,76.88,13900860
2015-07-24,76.91,77.09,75.85,76.1,9174703
2015-07-27,75.18,75.72,74.77,75.32,10268690
2015-07-28,75.92,78.15,75.79,77.78,15697240
2015-07-29,77.3,77.46,76.51,77.33,13785250
2015-07-30,76.98,78.37,76.68,78.35,7385937
2015-07-31,78.6,79.04,78.15,78.63,6199621
2015-08-03,78.42,78.43,76.75,77.26,6442831
2015-08-04,77.33,77.86,76.32,76.6,5740337
2015-08-05,77.5,77.922,76.72,76.88,4581872
2015-08-06,76.98,77.65,76.183,77.46,4609216
2015-08-07,77.52,78.15,76.94,77.29,7851258
2015-08-10,78.04,80.31,77.9,80.16,8540910
2015-08-11,78.73,78.93,77.2301,78.04,8629564
2015-08-12,77.31,79.12,76.92,78.92,8753641
2015-08-13,78.55,78.58,77.7,77.76,5662267
2015-08-14,77.66,78.73,77.601,78.49,3811537
2015-08-17,78.13,78.64,77.21,78.54,5226625
2015-08-18,78.51,79.0,78.18,78.82,5142176
2015-08-19,78.25,78.54,77.05,77.41,5859906
2015-08-20,77.28,77.83,76.41,76.41,7749617
2015-08-21,75.94,76.3,74.96,75.0,11794580
2015-08-24,71.82,74.88,70.23,72.82,15207360
2015-08-25,75.22,75.49,72.03,72.06,9387782
2015-08-26,73.82,74.08,72.53,73.87,8284820
2015-08-27,75.04,76.22,74.2299,75.66,8499173
2015-08-28,75.19,76.015,74.63,75.95,6649251
2015-08-31,75.32,76.77,74.9,76.44,7010750
2015-09-01,74.5,75.94,74.4599,74.9,9053036
2015-09-02,75.9,76.16,74.95,76.1,5325272
2015-09-03,75.95,76.005,73.775,74.45,11071210
2015-09-04,73.0,73.66,72.35,73.1,12006270
2015-09-08,74.58,74.62,73.56,74.3,5641495
2015-09-09,75.0,75.2,72.78,72.96,5849795
2015-09-10,72.89,73.31,72.03,72.42,6106852
2015-09-11,72.23,72.92,71.879,72.63,4413604
2015-09-14,72.35,72.89,72.01,72.77,4231979
2015-09-15,73.02,74.74,72.645,74.58,5107678
2015-09-16,74.85,75.87,74.58,75.64,5225786
2015-09-17,75.4,75.6802,73.91,74.06,7717356
2015-09-18,73.33,73.5,71.61,71.86,9258048
2015-09-21,72.3,72.839,71.91,72.16,7437584
2015-09-22,71.12,71.8,70.64,71.68,5711924
2015-09-23,71.67,71.81,70.16,70.2,4743944
2015-09-24,66.2,66.7,64.65,65.8,22572150
