Date,Open,High,Low,Close,Volume
2015-06-22,50.42,50.65,49.52,49.92,6133722
2015-06-23,49.91,50.11,49.06,49.48,5867640
2015-06-24,50.29,50.94,49.81,49.84,5375186
2015-06-25,50.56,51.0,49.97,50.04,5083366
2015-06-26,50.52,50.81,50.42,50.6,4451182
2015-06-29,50.06,50.22,48.9,48.95,3203267
2015-06-30,49.54,49.76,49.02,49.39,3235181
2015-07-01,49.91,50.16,49.41,49.63,3995971
2015-07-02,49.88,50.07,49.435,49.86,2894347
2015-07-06,49.45,49.965,49.01,49.36,3431894
2015-07-07,49.33,50.2651,48.57,50.2,3988091
2015-07-08,49.6,49.71,48.92,48.93,3996959
2015-07-09,49.95,50.02,49.18,49.2,2722617
2015-07-10,50.51,50.76,50.15,50.58,4469094
2015-07-13,51.59,52.11,51.56,51.83,4258927
2015-07-14,52.2,52.4,52.03,52.2,2725999
2015-07-15,52.17,52.26,51.7,51.84,3569467
2015-07-16,52.33,52.3982,51.925,52.21,3577163
2015-07-17,52.15,52.33,52.01,52.1,2874128
2015-07-20,52.34,52.38,52.03,52.15,2960666
2015-07-21,52.39,52.47,51.72,51.96,2477554
2015-07-22,51.87,52.395,51.85,52.37,2266401
2015-07-23,52.31,52.42,51.6999,51.81,2278735
2015-07-24,51.68,51.81,50.83,51.12,2637568
2015-07-27,50.93,51.11,50.53,50.85,2390128
2015-07-28,50.83,51.38,50.68,51.34,2499566
2015-07-29,51.83,52.45,51.78,52.1,3390548
2015-07-30,51.56,52.0,51.16,51.88,2914011
2015-07-31,53.6,54.05,53.15,53.29,5525710
2015-08-03,53.15,53.18,51.88,52.22,4074595
2015-08-04,52.44,52.55,51.68,51.87,3400001
2015-08-05,52.38,53.08,52.32,52.63,3724984
2015-08-06,52.96,53.06,51.84,52.09,4136666
2015-08-07,52.15,52.23,51.56,52.13,3478771
2015-08-10,52.8,53.01,52.22,52.42,3814982
2015-08-11,51.92,52.33,51.67,52.19,3559414
2015-08-12,51.78,51.85,50.91,51.16,4019465
2015-08-13,51.46,52.44,51.31,52.11,3394991
2015-08-14,52.23,52.52,51.99,52.44,2223841
2015-08-17,52.26,53.07,52.21,52.89,2248068
2015-08-18,52.94,53.07,52.6451,52.8,1880892
2015-08-19,52.09,52.69,51.925,52.3,2269286
2015-08-20,51.55,51.6,49.89,49.93,5183060
2015-08-21,49.46,49.7,48.26,48.38,6388175
2015-08-24,46.54,48.38,44.7201,46.48,8377897
2015-08-25,48.42,48.94,47.32,47.34,7938251
2015-08-26,48.78,49.0,47.37,48.85,5923123
2015-08-27,49.03,49.82,48.6,49.74,5525738
2015-08-28,49.27,49.66,49.04,49.5,3564005
2015-08-31,49.42,49.77,49.03,49.23,3524269
2015-09-01,48.11,48.52,47.42,47.78,5112765
2015-09-02,48.66,49.44,48.37,49.44,3933526
2015-09-03,49.84,50.2,49.24,49.4,2958919
2015-09-04,48.81,49.21,48.47,48.93,3204705
2015-09-08,49.93,50.68,49.75,50.68,3924965
2015-09-09,50.87,51.45,50.41,50.53,2994671
2015-09-10,50.63,50.99,50.24,50.72,3080575
2015-09-11,50.4,51.4,50.33,51.38,2501493
2015-09-14,50.81,51.83,50.77,51.38,3826994
2015-09-15,51.4,52.16,51.1,51.94,3758108
2015-09-16,52.57,52.96,52.19,52.87,3634734
2015-09-17,52.76,53.54,52.46,52.74,3560675
2015-09-18,52.73,52.74,51.95,52.07,8391264
