Date,Open,High,Low,Close,Volume
2015-06-22,63.51,64.19,63.09,64.19,2793324
2015-06-23,64.3,64.58,63.63,63.64,1383651
2015-06-24,63.33,63.87,63.01,63.1,1244605
2015-06-25,63.18,64.12,63.1,63.96,1939820
2015-06-26,64.67,65.69,63.7,63.81,5489216
2015-06-29,63.42,64.15,62.5,62.56,1527349
2015-06-30,62.98,65.04,62.78,64.28,3076213
2015-07-01,64.32,65.75,64.06,65.1,2593322
2015-07-02,65.38,65.55,64.45,64.54,1818986
2015-07-06,63.97,64.2999,63.23,63.55,2214221
2015-07-07,63.4,63.46,61.1801,62.11,3043883
2015-07-08,61.61,61.61,60.15,60.15,2792819
2015-07-09,60.84,61.6,60.51,60.8,2407157
2015-07-10,61.54,61.84,61.18,61.71,1324257
2015-07-13,62.03,62.62,61.6601,62.1,1463845
2015-07-14,61.96,63.18,61.71,62.68,1558268
2015-07-15,62.65,62.785,62.03,62.15,1120722
2015-07-16,62.42,62.82,62.07,62.74,1322684
2015-07-17,62.59,70.32,60.96,68.92,9628391
2015-07-20,67.47,67.61,64.6,65.0,5547691
2015-07-21,64.92,65.53,63.83,63.94,2083699
2015-07-22,63.23,63.23,61.72,62.52,2109672
2015-07-23,62.62,63.25,62.035,62.32,1355661
2015-07-24,61.88,61.88,60.37,60.85,1619211
2015-07-27,60.34,60.34,58.75,59.09,2620091
2015-07-28,59.43,59.44,58.21,58.9,2096320
2015-07-29,59.1,59.68,58.6,59.23,1472463
2015-07-30,59.37,60.03,58.95,59.12,1081721
2015-07-31,59.27,59.87,58.95,59.2,1251537
2015-08-03,59.0,59.59,58.2,59.02,1400116
2015-08-04,59.45,61.02,59.14,60.53,1852768
2015-08-05,61.15,62.04,60.23,61.62,2368612
2015-08-06,65.94,67.16,62.91,63.0,5808095
2015-08-07,62.67,63.62,57.78,58.94,4122854
2015-08-10,59.57,62.27,59.09,60.95,4794587
2015-08-11,59.23,59.69,56.74,57.27,4470486
2015-08-12,56.88,62.01,56.58,61.64,6562847
2015-08-13,61.96,63.9,60.7,63.22,2861959
2015-08-14,63.61,65.12,63.15,63.83,3147279
2015-08-17,63.83,64.05,62.778,64.03,1763755
2015-08-18,63.69,63.8,62.8,63.47,2097340
2015-08-19,63.29,63.55,61.88,61.93,1768485
2015-08-20,61.7,62.51,60.47,61.07,2102669
2015-08-21,60.8,60.82,59.215,59.52,2530862
2015-08-24,56.05,59.87,52.5,55.9,3180624
2015-08-25,59.05,59.36,55.75,55.79,2337734
2015-08-26,56.98,57.005,54.63,56.11,3260019
2015-08-27,57.49,58.26,56.36,57.88,2321034
2015-08-28,57.43,57.7,56.66,57.47,2415180
2015-08-31,57.45,58.54,56.93,57.38,2285177
2015-09-01,55.9,57.07,54.3,54.84,3155385
2015-09-02,55.57,56.08,54.44,55.55,2107261
2015-09-03,55.59,57.23,55.48,56.97,2439057
2015-09-04,55.89,56.57,55.2,55.48,1546342
2015-09-08,56.86,57.44,56.33,56.91,1569286
2015-09-09,57.87,58.9,56.805,56.96,1631203
