Date,Open,High,Low,Close,Volume
2015-06-22,188.7525,190.2676,187.847,188.3543,1052815
2015-06-23,188.7967,190.7211,187.735,188.111,937911
2015-06-24,188.0115,188.3765,185.7996,186.3305,844184
2015-06-25,187.0051,188.0889,184.4172,185.6226,1384199
2015-06-26,186.1535,191.0639,184.9591,189.6704,2271312
2015-06-29,188.8631,189.3829,184.1849,186.3968,1394167
2015-06-30,187.3258,189.4714,186.0982,189.3939,1874096
2015-07-01,191.2962,192.2362,186.6069,191.9819,1828334
2015-07-02,192.8224,193.5302,189.6262,190.0022,1210815
2015-07-06,189.0069,192.5127,188.0281,192.5127,1296770
2015-07-07,193.4085,194.5366,188.3433,193.4528,1369679
2015-07-08,191.639,192.8556,188.6308,190.522,1013247
2015-07-09,192.3579,193.9505,189.7257,190.9423,683102
2015-07-10,192.6344,196.1845,191.9044,196.1845,1746829
2015-07-13,196.8038,197.8987,194.1274,197.4563,849575
2015-07-14,198.1641,198.8388,195.2223,195.8416,1063384
2015-07-15,194.9016,201.7253,193.6187,200.177,2498699
2015-07-16,200.9179,203.6496,200.6282,202.5326,2010140
2015-07-17,203.0303,205.6569,201.3714,205.3417,1682382
2015-07-20,205.4192,207.5868,204.645,207.3767,1368947
2015-07-21,208.0513,208.8808,204.1805,204.8994,1093913
2015-07-22,204.3243,206.4366,204.3243,205.7731,924787
2015-07-23,206.503,206.6368,202.1677,203.2294,1508864
2015-07-24,204.8441,206.7021,202.9418,203.8598,2456216
2015-07-27,203.4948,205.8615,199.3585,201.1502,1128446
2015-07-28,201.5594,204.4957,201.2829,204.2358,1170949
2015-07-29,203.716,206.8237,200.8626,203.8819,2078868
2015-07-30,202.3667,208.5269,202.3667,207.8744,948418
2015-07-31,209.0135,210.1194,205.1565,205.5519,1192113
2015-08-03,206.7463,209.7102,205.6293,207.1555,1593253
2015-08-04,202.61,212.641,202.61,211.7894,1739023
2015-08-05,215.6934,216.169,202.8976,208.5269,2166696
2015-08-06,209.4227,209.4227,193.6518,207.0891,3902178
2015-08-07,201.8138,207.8246,198.5733,203.3289,1239761
2015-08-10,204.5786,207.5426,203.398,204.4017,941934
2015-08-11,203.0303,204.6008,199.3807,200.5419,801239
2015-08-12,199.9779,201.6147,196.8038,200.2433,1052945
2015-08-13,199.1374,201.4377,198.1199,199.7788,871272
2015-08-14,199.2811,200.1438,197.2462,198.8719,815700
2015-08-17,202.2008,207.5426,198.6397,206.7905,1265941
2015-08-18,205.1427,209.29,205.1427,208.8144,1153527
2015-08-19,211.2364,212.7516,206.8237,208.1398,1323816
2015-08-20,205.7178,207.4209,202.1013,202.1013,1527632
2015-08-21,199.0268,200.7742,194.5034,196.3393,1705762
2015-08-24,185.9987,198.9051,179.0644,189.6704,2620692
2015-08-25,192.9883,196.0739,189.4382,189.4382,2074451
2015-08-26,194.6804,196.7596,189.8916,196.4167,1429915
2015-08-27,197.8876,201.9907,196.5605,200.8958,1196151
2015-08-28,199.6129,200.8295,197.2019,200.8295,814827
2015-08-31,200.4756,201.8912,198.7282,200.8516,1272982
2015-09-01,199.6572,205.7952,195.6426,196.5937,1544521
2015-09-02,197.9761,199.7899,195.8748,198.7171,812245
2015-09-03,200.177,203.8819,199.9115,202.2561,1064059
2015-09-04,199.7235,203.4561,198.9936,202.411,674268
