Date,Open,High,Low,Close,Volume
2015-06-22,166.5,167.0,162.26,162.6,8987636
2015-06-23,163.23,164.85,161.67,164.75,6579105
2015-06-24,164.56,166.13,164.04,165.75,3551684
2015-06-25,166.165,170.4,164.96,169.77,6177605
2015-06-26,169.31,170.68,164.91,168.06,11018620
2015-06-29,164.13,166.42,163.4,164.67,2930100
2015-06-30,166.39,166.39,161.87,162.0,3468895
2015-07-01,163.79,163.98,160.21,162.04,3589628
2015-07-02,163.25,168.36,160.13,161.29,4357776
2015-07-06,159.07,161.01,156.79,160.06,4368402
2015-07-07,159.11,160.6,150.59,154.43,5093390
2015-07-08,152.72,154.11,150.04,150.44,2532223
2015-07-09,151.91,157.37,151.02,156.56,4161519
2015-07-10,157.5,159.4299,155.2,157.21,1954043
2015-07-13,157.49,157.61,153.4718,155.05,1728281
2015-07-14,155.46,156.58,154.71,155.95,1206108
2015-07-15,155.57,157.9075,155.01,156.07,1256439
2015-07-16,155.52,156.43,153.29,154.29,1441824
2015-07-17,153.72,154.7,152.27,153.41,1951669
2015-07-20,153.13,154.01,151.005,152.93,1725882
2015-07-21,152.62,152.99,150.17,151.29,2222726
2015-07-22,151.31,153.39,150.65,151.07,1530484
2015-07-23,157.08,158.0,153.02,154.36,6766320
2015-07-24,150.57,151.8,144.25,145.72,10345400
2015-07-27,145.06,147.25,144.02,145.9,3581269
2015-07-28,146.89,146.89,144.575,145.87,3321981
2015-07-29,146.26,147.17,145.02,145.41,3496051
2015-07-30,146.99,148.23,143.85,143.9,3534007
2015-07-31,144.48,145.26,143.31,144.06,2763417
2015-08-03,144.17,144.81,142.45,143.36,1777507
2015-08-04,143.4,144.21,143.06,143.89,2424637
2015-08-05,144.58,147.98,144.11,147.55,3503239
2015-08-06,147.19,148.49,145.21,146.8,2768699
2015-08-07,146.75,146.75,144.54,145.85,1026176
2015-08-10,146.38,147.245,145.19,145.68,1190078
2015-08-11,145.17,146.1,143.98,144.68,1859616
2015-08-12,143.77,143.838,140.8101,143.35,1598412
2015-08-13,143.4,144.6,143.15,143.18,1691375
2015-08-14,143.33,144.73,143.09,144.12,1019138
2015-08-17,143.4,146.72,143.0,146.59,1687747
2015-08-18,146.47,149.26,146.47,148.49,2389763
2015-08-19,147.76,149.86,146.491,149.15,2002793
2015-08-20,148.75,148.89,145.24,145.24,1730067
2015-08-21,144.88,145.98,142.71,142.71,2243398
2015-08-24,127.3,140.35,124.17,135.75,3486219
2015-08-25,139.67,139.67,133.72,133.79,2089784
2015-08-26,136.34,138.02,134.59,137.55,2223928
2015-08-27,138.16,139.84,134.85,138.3,1912982
2015-08-28,138.11,138.57,136.45,137.87,1416216
2015-08-31,137.46,142.1,137.21,140.79,2070070
2015-09-01,138.89,140.116,137.61,139.0,2015027
2015-09-02,139.9,140.24,137.62,139.34,1309364
2015-09-03,139.65,142.57,139.61,141.62,1533739
2015-09-04,140.28,140.55,139.03,139.38,1830662
2015-09-08,139.8,141.79,139.51,141.05,971830
2015-09-09,142.1,142.49,139.58,139.75,1799990
2015-09-10,139.21,140.0,137.35,137.46,2665254
2015-09-11,136.76,139.64,136.521,139.62,1428207
2015-09-14,139.71,140.0,138.93,139.34,993017
2015-09-15,139.67,141.05,139.14,140.69,869206
2015-09-16,141.02,142.86,140.67,142.59,894459
2015-09-17,143.0,144.66,141.92,142.75,997760
2015-09-18,141.44,142.63,141.08,141.62,1481334
2015-09-21,142.37,142.95,140.56,142.09,832802
2015-09-22,141.81,141.81,140.15,141.15,793643
2015-09-23,140.97,143.12,140.26,142.71,1352241
2015-09-24,140.07,142.41,139.3,141.02,1210083
2015-09-25,141.65,141.85,136.39,137.48,1850185
2015-09-28,136.74,137.12,132.52,133.0,2786906
2015-09-29,132.83,135.01,131.45,132.5,2096669
2015-09-30,133.19,135.91,133.19,135.02,1964461
2015-10-01,134.64,135.98,133.89,135.43,1470268
2015-10-02,131.97,138.67,131.97,138.58,1591800
2015-10-05,139.5,140.28,138.47,139.69,1085091
2015-10-06,139.48,139.5,135.86,136.71,1534301
2015-10-07,136.99,137.26,135.68,136.63,2633328
2015-10-08,135.87,136.6,133.63,133.63,2155792
2015-10-09,133.24,136.36,133.06,136.36,2299876
2015-10-12,136.5,137.79,135.42,137.61,945177
2015-10-13,137.64,140.73,137.17,138.85,1376262
2015-10-14,138.82,139.6,136.41,137.6,895719
2015-10-15,137.26,139.13,134.14,139.09,2423462
