Date,Open,High,Low,Close,Volume
2015-06-22,106.96,107.6,106.5,107.0,541005
2015-06-23,106.9,107.37,106.58,106.71,443641
2015-06-24,106.79,107.06,105.94,105.94,407970
2015-06-25,106.01,106.28,105.68,106.22,598160
2015-06-26,106.4,107.17,106.36,107.12,715229
2015-06-29,106.45,106.8826,104.49,104.54,544247
2015-06-30,105.38,105.4,103.89,104.02,722961
2015-07-01,104.3,106.95,104.26,106.86,1156167
2015-07-02,106.95,107.12,105.86,106.12,580859
2015-07-06,106.08,106.58,105.45,105.94,1793671
2015-07-07,106.38,108.25,106.05,108.12,807203
2015-07-08,108.12,108.54,107.3,107.4,670428
2015-07-09,109.52,109.52,106.74,106.81,508796
2015-07-10,107.49,108.13,107.44,107.67,450393
2015-07-13,108.31,108.85,107.9,108.67,707663
2015-07-14,108.86,109.4,108.26,108.62,867128
2015-07-15,108.72,109.88,108.64,109.76,623105
2015-07-16,110.0,111.34,109.635,111.07,794795
2015-07-17,110.72,110.8,110.12,110.44,495156
2015-07-20,109.7,110.69,109.4019,110.61,462499
2015-07-21,110.83,110.85,110.11,110.36,598454
2015-07-22,110.4,111.065,110.33,110.96,778626
2015-07-23,110.83,111.215,110.2,110.61,433370
2015-07-24,110.44,111.1,110.2,110.36,457133
2015-07-27,110.0,110.88,109.76,110.84,628173
2015-07-28,110.89,111.62,110.63,111.5,582469
2015-07-29,111.33,112.4,111.12,112.0,688411
2015-07-30,111.37,112.39,110.925,112.03,636281
2015-07-31,112.48,112.59,111.76,111.94,979078
2015-08-03,111.49,115.0,110.82,115.0,1495275
2015-08-04,114.99,117.14,114.61,116.85,1935319
2015-08-05,117.35,119.05,116.86,118.94,1268631
2015-08-06,119.3,119.75,118.5,119.39,959174
2015-08-07,119.39,119.75,117.88,118.21,1282768
2015-08-10,118.38,118.59,116.82,117.05,1220596
2015-08-11,116.5,117.72,116.19,117.67,733631
2015-08-12,116.88,117.3,115.13,116.83,774213
2015-08-13,116.56,117.09,116.11,116.48,1073339
2015-08-14,116.7,117.91,116.265,117.62,611150
2015-08-17,117.48,117.83,116.51,117.51,448985
2015-08-18,117.03,117.71,116.81,116.99,468164
2015-08-19,116.64,117.0,115.71,116.15,813161
2015-08-20,115.74,116.67,115.3,115.72,638357
2015-08-21,115.06,115.72,113.89,113.97,1325769
2015-08-24,108.98,111.78,106.0,109.56,1754538
2015-08-25,111.03,111.8,107.32,107.49,1272074
2015-08-26,108.91,110.34,107.34,110.07,1015043
2015-08-27,110.92,111.98,109.64,111.43,781951
2015-08-28,111.06,111.71,110.54,111.69,547960
2015-08-31,111.31,111.565,110.74,111.17,784028
2015-09-01,109.4,110.12,108.28,108.82,885122
2015-09-02,109.69,110.52,109.36,110.42,741658
2015-09-03,111.0,111.83,110.865,111.34,703207
2015-09-04,109.9,110.21,108.97,109.6,722200
2015-09-08,110.77,111.64,110.34,111.61,614176
2015-09-09,112.0,112.37,109.16,109.4,623452
2015-09-10,109.37,110.4,108.77,109.42,575706
2015-09-11,108.96,109.9,108.5,109.84,740983
2015-09-14,109.8,110.06,109.14,109.91,988804
2015-09-15,110.14,111.99,109.93,111.6,853440
2015-09-16,111.7,114.03,111.65,113.58,1028021
2015-09-17,113.71,115.495,113.55,114.08,738145
2015-09-18,113.29,114.26,113.06,113.46,1424223
2015-09-21,114.01,114.87,113.94,114.47,657868
2015-09-22,113.65,113.98,112.75,113.79,659578
2015-09-23,113.72,114.48,113.53,114.35,433697
2015-09-24,113.68,114.53,113.38,113.91,1212759
2015-09-25,114.9,116.92,114.5,116.24,1090086
2015-09-28,115.77,116.24,114.15,114.21,851647
2015-09-29,113.95,114.81,113.37,114.56,1221454
2015-09-30,115.51,116.19,115.25,115.53,1274693
2015-10-01,115.53,115.94,114.621,115.38,1233175
2015-10-02,114.06,116.98,114.06,116.93,1278394
2015-10-05,117.54,118.65,117.08,118.38,2111238
2015-10-06,118.22,119.08,117.52,118.35,1220414
2015-10-07,118.68,119.68,118.33,119.0,931672
2015-10-08,119.05,120.3,118.47,120.18,834042
2015-10-09,120.39,121.0,120.14,120.52,743756
2015-10-12,120.71,121.5,120.5,120.75,730973
2015-10-13,120.49,121.24,119.8,120.55,703045
2015-10-14,120.74,121.16,119.79,120.25,649376
2015-10-15,120.88,121.22,119.935,120.18,1020934
2015-10-16,120.81,121.98,120.42,121.92,813058
2015-10-19,121.91,122.14,120.87,121.72,824149
2015-10-20,121.74,122.28,121.5,122.08,487492
2015-10-21,122.43,123.43,121.95,122.06,796453
2015-10-22,122.88,123.88,122.73,123.6,1067651
2015-10-23,124.0,124.61,122.88,123.25,879117
2015-10-26,122.55,122.87,121.83,122.04,819103
2015-10-27,121.88,122.36,121.62,121.89,732272
2015-10-28,122.31,123.03,121.49,122.63,836879
2015-10-29,122.36,122.828,121.5,122.72,724288
2015-10-30,122.72,123.15,121.73,121.94,1904510
2015-11-02,124.96,127.25,123.41,125.7,1945269
