Date,Open,High,Low,Close,Volume
2015-06-22,67.19,67.57,67.09,67.24,3128748
2015-06-23,67.07,67.27,66.84,67.01,1727489
2015-06-24,66.93,67.12,66.48,66.49,2815403
2015-06-25,66.51,66.8,66.32,66.46,2680626
2015-06-26,66.76,67.0,66.44,66.5,2588196
2015-06-29,66.0,66.34,65.37,65.4,2253868
2015-06-30,65.85,65.88,65.31,65.41,2786610
2015-07-01,65.59,66.19,65.55,66.16,2986631
2015-07-02,66.38,66.58,65.98,66.16,2024746
2015-07-06,65.68,66.31,65.63,65.96,1835591
2015-07-07,66.14,67.375,65.96,67.31,2894471
2015-07-08,66.93,67.16,66.45,66.45,2104635
2015-07-09,67.15,67.18,66.15,66.17,3004700
2015-07-10,66.76,66.91,66.53,66.64,2221819
2015-07-13,66.95,67.5,66.91,67.44,2087280
2015-07-14,67.5,67.5,66.93,67.27,2144679
2015-07-15,67.04,67.58,66.76,66.91,3360341
2015-07-16,67.33,67.73,67.18,67.62,1912002
2015-07-17,67.36,67.62,67.2,67.5,1792135
2015-07-20,67.37,67.96,67.14,67.8,2216026
2015-07-21,67.57,67.64,66.77,66.94,2699288
2015-07-22,66.94,67.18,66.73,67.0,2821824
2015-07-23,67.0,67.18,66.81,67.04,2667682
2015-07-24,67.01,67.15,66.78,67.0,2316997
2015-07-27,66.76,67.31,66.54,67.3,3576462
2015-07-28,67.44,68.465,67.27,68.39,5569602
2015-07-29,68.25,69.23,68.13,68.93,4974878
2015-07-30,68.75,68.8,67.31,68.02,5488805
2015-07-31,68.06,68.29,67.8,68.02,3548048
2015-08-03,67.66,68.47,67.59,68.42,3060795
2015-08-04,68.34,68.71,68.06,68.45,2756241
2015-08-05,68.77,69.23,68.34,69.08,2578883
2015-08-06,69.2,69.3,68.64,68.65,2989934
2015-08-07,68.63,68.7,68.3,68.49,2279910
2015-08-10,68.84,69.08,68.67,68.74,3009760
2015-08-11,68.38,68.56,68.19,68.26,2582656
2015-08-12,67.99,68.13,66.965,68.0,3344161
2015-08-13,68.03,68.175,67.57,67.66,2225947
2015-08-14,67.76,67.94,67.49,67.79,1829598
2015-08-17,67.46,67.8,67.08,67.66,1870495
2015-08-18,67.67,68.02,67.49,67.69,2230730
2015-08-19,67.34,67.5,66.6,66.74,3164376
2015-08-20,66.2,66.55,65.96,65.99,3715911
2015-08-21,65.82,66.08,64.86,64.98,5799117
2015-08-24,61.9,63.47,50.84,61.95,9059593
2015-08-25,63.24,63.49,60.32,60.37,6480565
2015-08-26,61.53,62.4,60.54,62.23,5313467
2015-08-27,62.58,63.29,61.935,63.09,5006398
2015-08-28,63.01,63.38,62.52,63.35,3476187
2015-08-31,62.88,63.05,62.4,62.81,3626193
2015-09-01,61.62,62.27,60.91,61.27,4289005
2015-09-02,62.0,62.22,61.53,62.18,3389751
2015-09-03,62.24,63.125,62.24,62.92,4027476
2015-09-04,61.86,62.19,61.39,61.46,5084657
2015-09-08,62.48,63.66,62.15,63.43,6568474
2015-09-09,64.04,64.13,62.26,62.39,3631892
2015-09-10,62.28,62.48,61.31,61.93,5221783
2015-09-11,61.38,62.11,61.38,61.92,3464113
2015-09-14,61.83,62.135,61.55,62.11,3699169
2015-09-15,62.07,62.635,61.37,62.43,3467421
2015-09-16,62.6,63.23,62.5,63.07,2889551
2015-09-17,63.01,64.09,62.98,63.27,4557020
2015-09-18,62.68,63.655,62.645,62.69,13347870
2015-09-21,63.16,63.43,62.93,63.1,3991174
2015-09-22,62.5,62.73,61.74,62.16,3904626
2015-09-23,62.04,62.32,61.75,62.1,4005553
2015-09-24,61.8,62.42,61.455,62.25,3791615
2015-09-25,62.77,63.69,62.64,63.14,4540291
2015-09-28,62.97,63.28,62.155,62.16,4576162
2015-09-29,62.16,63.19,62.1,63.07,3875357
2015-09-30,63.66,63.99,63.09,63.46,3523640
2015-10-01,63.58,63.95,63.21,63.72,4254063
2015-10-02,63.22,64.28,63.06,64.28,3504061
2015-10-05,64.59,65.51,64.34,65.35,3690164
2015-10-06,65.3,65.3,64.73,64.79,2941506
2015-10-07,65.05,65.48,64.8,65.35,2279745
2015-10-08,65.18,65.945,65.02,65.9,2582020
2015-10-09,66.0,66.42,65.775,66.34,3478405
2015-10-12,66.33,66.58,65.99,66.25,2419351
2015-10-13,65.97,66.29,65.78,65.97,2200801
2015-10-14,65.97,66.11,65.5,65.75,2326104
2015-10-15,66.16,66.66,65.96,66.57,2412307
2015-10-16,66.9,67.26,66.71,67.12,2410811
2015-10-19,67.02,67.43,66.89,67.25,2384355
2015-10-20,66.95,67.24,66.86,67.06,3280938
2015-10-21,66.81,67.5,66.54,66.83,2755154
2015-10-22,67.15,68.86,66.67,68.64,3660431
2015-10-23,68.72,69.2,68.35,68.94,3952160
2015-10-26,68.82,69.32,68.66,68.72,3933635
2015-10-27,68.39,69.0,68.31,68.95,3308182
2015-10-28,69.0,69.16,68.12,68.83,3363998
2015-10-29,68.62,69.445,68.42,69.23,3510093
2015-10-30,67.69,68.07,66.35,66.35,7445145
2015-11-02,66.77,67.57,66.36,67.49,5339440
2015-11-03,67.24,68.11,66.9,68.0,3728065
2015-11-04,67.93,68.05,67.0,67.48,3732805
2015-11-05,67.51,67.89,67.2,67.6,2802741
2015-11-06,67.21,67.21,65.4,65.82,5226739
2015-11-09,65.48,65.965,65.275,65.77,3618957
2015-11-10,65.67,66.58,65.58,66.38,2807536
2015-11-11,66.69,67.22,66.44,66.45,2622626
2015-11-12,66.15,66.32,65.24,65.27,2811211
2015-11-13,65.18,65.56,64.51,64.56,3489507
2015-11-16,64.6,65.7,64.6,65.57,3187380
2015-11-17,65.92,65.9589,65.14,65.32,2297167
2015-11-18,65.32,66.14,65.12,66.06,2913774
2015-11-19,66.32,66.95,66.2,66.38,2964632
2015-11-20,66.75,67.18,66.04,66.1,3027854
2015-11-23,66.1,66.94,66.07,66.89,2811057
2015-11-24,66.43,67.09,66.42,66.82,2242019
2015-11-25,66.93,67.03,66.41,66.43,2996096
