Date,Open,High,Low,Close,Volume
2015-06-22,30.34,30.62,30.25,30.485,32849440
2015-06-23,30.47,30.54,30.225,30.38,17667056
2015-06-24,30.395,30.495,30.125,30.18,15780286
2015-06-25,30.33,30.73,30.23,30.44,24158420
2015-06-26,30.62,30.82,30.405,30.635,61607260
2015-06-29,30.315,30.5175,29.94,29.99,22981000
2015-06-30,30.285,30.285,29.825,30.07,25254320
2015-07-01,30.19,31.1525,30.19,31.125,43338320
2015-07-02,31.135,31.775,31.055,31.17,39168160
2015-07-06,30.9,31.3,30.865,31.055,26753300
2015-07-07,31.19,31.355,30.655,31.255,27426960
2015-07-08,31.095,31.395,30.8125,30.845,30773520
2015-07-09,31.26,31.35,30.9525,31.005,22347060
2015-07-10,31.295,31.705,31.005,31.595,24535640
2015-07-13,31.865,32.13,31.8275,31.86,21343260
2015-07-14,31.925,31.955,31.445,31.62,20649320
2015-07-15,31.54,31.8925,31.52,31.875,18449614
2015-07-16,32.075,32.325,32.005,32.16,21375780
2015-07-17,32.04,32.15,31.8,32.135,21316120
2015-07-20,32.135,32.21,31.995,32.16,13897394
2015-07-21,32.06,32.2,31.92,32.135,18851570
2015-07-22,32.375,32.495,32.07,32.25,22447260
2015-07-23,32.45,32.45,31.12,31.235,41965080
2015-07-24,31.2,31.445,30.9825,31.085,20566040
2015-07-27,31.13,31.165,30.425,30.555,23963240
2015-07-28,30.755,31.225,30.565,31.205,23735320
2015-07-29,31.1,31.34,31.0,31.24,17613058
2015-07-30,31.2,31.3225,31.015,31.18,19701144
2015-07-31,31.395,31.495,31.07,31.205,19433518
2015-08-03,31.38,31.66,31.315,31.605,19003626
2015-08-04,31.435,31.685,31.28,31.37,15402142
2015-08-05,31.395,31.48,29.81,29.905,57180220
2015-08-06,29.995,30.105,28.585,29.38,76361680
2015-08-07,29.415,29.8,29.16,29.41,31824620
2015-08-10,29.825,29.885,29.585,29.725,22261560
2015-08-11,29.535,29.675,29.215,29.395,32998360
2015-08-12,29.295,29.805,29.085,29.705,28547300
2015-08-13,29.73,30.09,29.545,29.82,27527740
2015-08-14,29.72,29.82,29.23,29.44,27812820
2015-08-17,29.38,30.245,29.35,30.205,26712580
2015-08-18,30.25,30.345,29.82,29.845,21409820
2015-08-19,29.93,30.365,29.925,29.96,32013380
2015-08-20,29.535,29.68,29.03,29.185,37530680
2015-08-21,28.915,29.04,28.3,28.39,46992820
2015-08-24,26.675,28.15,25.005,27.205,52192840
2015-08-25,27.925,27.995,26.92,26.925,33180360
2015-08-26,27.585,27.77,26.94,27.7,32846940
2015-08-27,27.95,28.43,27.725,28.385,31930660
2015-08-28,28.295,28.42,28.0875,28.39,24272700
2015-08-31,28.365,28.375,27.98,28.165,21206000
2015-09-01,27.51,28.075,27.4,27.51,32148940
2015-09-02,27.985,28.085,27.625,27.94,33947840
2015-09-03,28.09,28.44,28.01,28.105,24374780
2015-09-04,27.715,28.03,27.6,27.89,23717880
2015-09-08,28.365,28.58,28.235,28.555,22004500
2015-09-09,28.96,29.09,28.275,28.335,27742240
2015-09-10,28.25,28.47,28.0,28.27,23913080
2015-09-11,28.125,28.315,27.97,28.205,22658660
2015-09-14,28.345,28.345,27.895,28.125,21249160
2015-09-15,28.1,28.64,27.94,28.5675,17237926
2015-09-16,28.615,29.04,28.485,28.87,24385340
2015-09-17,29.07,29.635,28.875,29.23,34391280
2015-09-18,29.0,29.255,28.565,28.71,154532680
2015-09-21,28.805,29.125,28.67,28.945,26220040
2015-09-22,28.63,28.925,28.38,28.855,20346660
2015-09-23,29.075,29.115,28.5425,28.685,13653828
2015-09-24,28.495,28.635,28.0,28.41,21527660
2015-09-25,28.77,28.77,28.075,28.27,23477720
2015-09-28,28.265,28.27,27.325,27.405,34433800
2015-09-29,27.58,27.865,27.39,27.57,29783680
2015-09-30,27.83,28.485,27.77,28.44,24205400
2015-10-01,28.76,28.865,28.2625,28.705,23776640
2015-10-02,28.42,29.38,28.275,29.36,23856660
2015-10-05,29.57,29.855,29.44,29.81,19320248
2015-10-06,29.7,29.94,29.12,29.485,19343192
2015-10-07,29.665,30.0,29.515,29.8475,16475142
2015-10-08,29.7,30.535,29.53,30.49,25830880
2015-10-09,30.48,30.615,30.065,30.245,19038864
2015-10-12,30.31,30.535,30.1,30.135,17530672
2015-10-13,30.07,30.415,29.915,30.08,15763080
2015-10-14,30.1,30.2275,29.91,29.97,19376706
2015-10-15,30.27,30.535,30.025,30.505,13962870
2015-10-16,30.61,30.685,30.4,30.66,12745988
2015-10-19,30.58,30.8025,30.465,30.78,12984712
2015-10-20,30.595,30.9,30.595,30.775,13542362
2015-10-21,30.89,31.0,30.53,30.555,16417322
2015-10-22,30.585,31.0,30.585,30.85,20549980
2015-10-23,31.1,31.1,30.8,30.99,20206280
2015-10-26,31.015,31.2275,30.89,31.09,21322720
2015-10-27,31.18,31.25,29.845,30.77,31676920
2015-10-28,30.925,31.29,30.515,30.97,23280800
2015-10-29,31.045,31.645,30.905,31.53,18195734
2015-10-30,31.555,31.69,31.295,31.31,21727100
2015-11-02,31.315,31.63,31.25,31.37,15207922
2015-11-03,31.215,31.37,30.9925,31.28,16893356
2015-11-04,31.25,31.515,30.575,30.73,27963000
2015-11-05,30.74,30.955,30.505,30.905,18411416
2015-11-06,30.81,30.895,30.415,30.805,25549140
2015-11-09,30.615,30.75,30.2375,30.675,17062734
2015-11-10,30.63,30.995,30.58,30.785,17665658
2015-11-11,30.91,30.91,30.625,30.775,12102024
2015-11-12,30.675,31.0544,30.55,30.745,17816018
2015-11-13,30.65,30.865,30.09,30.115,15579546
2015-11-16,30.225,30.71,30.075,30.6725,15395986
2015-11-17,30.485,30.7401,30.305,30.565,16342664
2015-11-18,30.58,31.315,30.52,31.28,17571464
2015-11-19,31.255,31.495,31.115,31.31,15694264
2015-11-20,31.56,31.605,31.255,31.45,18405140
2015-11-23,31.31,31.49,30.9175,31.065,12204246
2015-11-24,30.86,30.97,30.555,30.83,17002706
2015-11-25,30.77,30.895,30.54,30.7,12174462
2015-11-27,30.655,30.91,30.52,30.795,5672240
2015-11-30,30.77,30.83,30.335,30.43,20024560
2015-12-01,30.73,30.89,30.62,30.875,15706154
2015-12-02,30.765,30.87,30.1699,30.24,18543544
2015-12-03,30.195,30.405,29.66,29.81,23257280
2015-12-04,29.8,30.54,29.745,30.375,24458980
2015-12-07,30.285,30.475,29.935,30.185,14345324
2015-12-08,30.1,30.135,29.39,29.77,28281240
2015-12-09,29.61,29.775,29.035,29.295,25459860
2015-12-10,29.1,30.1325,29.1,29.835,26719600
2015-12-11,29.425,29.7875,28.97,28.985,38607900
2015-12-14,28.94,29.0,28.095,28.685,54161720
2015-12-15,29.03,29.57,28.765,28.875,35418500
2015-12-16,29.12,29.4325,28.91,29.35,32140140
2015-12-17,29.245,29.41,28.695,28.7025,20126800
2015-12-18,28.5,28.61,28.1625,28.2,40410700
2015-12-21,28.41,28.42,27.695,28.23,27973100
2015-12-22,28.57,28.76,28.375,28.445,21063360
2015-12-23,28.55,28.63,28.43,28.585,14451754
2015-12-24,28.715,28.765,28.57,28.65,6986806
2015-12-28,28.56,28.725,28.365,28.595,10206256
2015-12-29,28.75,28.965,28.645,28.78,14454120
2015-12-30,28.75,28.78,28.34,28.355,12932502
2015-12-31,28.27,28.6,28.1,28.215,15523048
2016-01-04,27.575,27.825,27.425,27.82,26438940
2016-01-05,27.92,28.025,27.74,27.825,27847320
2016-01-06,27.46,27.825,27.375,27.61,21650800
2016-01-07,27.045,27.68,26.885,27.305,32423440
2016-01-08,27.43,28.02,27.285,27.3325,28183700
2016-01-11,27.44,27.54,26.96,27.36,22735360
2016-01-12,27.31,27.715,27.185,27.435,19904958
2016-01-13,27.725,27.745,26.72,26.775,32127980
2016-01-14,26.775,27.825,26.675,27.525,26035840
2016-01-15,26.655,27.125,26.6475,26.945,30671780
2016-01-19,27.41,27.425,26.8388,27.125,24658300
2016-01-20,26.99,27.005,26.17,26.805,45092040
2016-01-21,26.805,27.425,26.59,27.16,30690240
2016-01-22,27.76,27.76,27.345,27.665,19722134
2016-01-25,27.54,27.655,27.055,27.105,21362200
2016-01-26,27.03,27.505,26.975,27.42,31481680
2016-01-27,27.465,27.72,26.975,27.06,24498560
2016-01-28,27.24,27.2895,26.81,27.055,25528360
2016-01-29,27.37,27.925,27.26,27.855,38275280
2016-02-01,27.535,28.065,27.49,27.905,19480580
2016-02-02,27.45,27.8025,27.19,27.295,32067880
2016-02-03,28.35,28.98,27.605,28.92,55983760
2016-02-04,29.09,29.725,28.795,29.105,56292620
2016-02-05,29.105,29.735,28.985,29.705,50078820
2016-02-08,29.58,29.85,28.96,29.7,55606520
2016-02-09,29.2,29.5,28.585,29.105,36388060
2016-02-10,29.055,29.06,27.88,27.905,43521760
2016-02-11,27.43,28.16,27.35,28.02,34987300
2016-02-12,28.42,28.525,27.795,28.39,23957920
2016-02-16,28.905,28.93,28.495,28.74,25685360
2016-02-17,28.865,29.155,28.66,28.85,26300360
2016-02-18,28.72,28.8725,28.295,28.66,23722140
2016-02-19,28.5,28.905,28.475,28.88,17595014
2016-02-22,29.115,29.435,28.95,29.075,18565978
2016-02-23,28.89,29.0879,28.7,28.77,14601468
2016-02-24,28.53,29.315,28.3,29.2,18498576
2016-02-25,29.08,29.265,28.865,29.265,12931480
2016-02-26,29.39,29.49,28.83,28.955,18562142
2016-02-29,29.07,29.365,28.845,28.865,22749180
2016-03-01,29.115,29.785,29.025,29.61,22529640
2016-03-02,29.48,29.71,29.415,29.685,18112752
2016-03-03,29.725,30.135,29.725,29.96,19431144
2016-03-04,29.995,30.02,29.665,29.87,15442758
2016-03-07,29.61,29.88,29.31,29.48,21598220
2016-03-08,29.44,29.5,29.025,29.145,20984880
2016-03-09,29.35,29.55,29.15,29.39,15720056
2016-03-10,29.3,29.57,29.0275,29.185,18001870
2016-03-11,29.545,29.6075,29.255,29.58,14083778
2016-03-14,29.515,29.7224,29.44,29.615,12943720
2016-03-15,29.35,29.71,29.3475,29.7,15841780
2016-03-16,29.315,30.145,29.315,29.955,18402310
2016-03-17,29.965,30.57,29.855,30.375,21081200
2016-03-18,30.425,30.45,29.76,29.88,37384560
2016-03-21,29.855,30.03,29.81,29.92,12290334
2016-03-22,29.65,30.15,29.65,29.935,15532418
2016-03-23,29.555,29.85,29.5,29.625,16889708
2016-03-24,29.38,30.09,29.345,30.005,19762702
2016-03-28,29.785,30.175,29.725,30.045,14884154
2016-03-29,29.905,30.445,29.84,30.375,15852692
2016-03-30,30.46,30.625,30.2605,30.4,16006084
2016-03-31,30.365,30.685,30.3225,30.54,17662390
2016-04-01,30.295,30.995,30.195,30.935,21308120
2016-04-04,30.755,30.905,30.5575,30.715,14701154
2016-04-05,30.42,30.715,30.4,30.565,14369250
2016-04-06,30.525,31.13,30.495,31.1,21801400
2016-04-07,31.02,31.1549,30.51,30.7,19517246
2016-04-08,30.815,30.9825,30.64,30.8,11439040
2016-04-11,30.96,31.0475,30.72,30.72,14343260
2016-04-12,30.695,31.03,30.63,30.86,14858558
2016-04-13,31.09,31.195,30.865,30.975,15666470
2016-04-14,31.08,31.15,30.835,30.92,13642916
2016-04-15,31.065,31.215,30.7,30.985,16596634
2016-04-18,30.845,31.3275,30.77,31.24,17228072
2016-04-19,31.22,31.455,31.02,31.14,18770352
2016-04-20,31.3,31.3,30.655,30.73,26836940
2016-04-21,30.625,30.68,30.19,30.47,28460820
2016-04-22,30.44,30.75,30.295,30.55,21977000
2016-04-25,30.51,30.55,30.2375,30.5,24382340
2016-04-26,30.51,30.78,30.44,30.525,17546782
2016-04-27,31.1,31.395,30.24,30.65,34141020
2016-04-28,30.36,31.0,30.25,30.575,28113300
2016-04-29,30.265,30.525,30.01,30.38,29318300
2016-05-02,30.545,30.765,30.285,30.615,21343760
2016-05-03,30.455,30.895,30.325,30.475,22578560
2016-05-04,30.295,30.795,30.25,30.445,21482360
2016-05-05,30.52,30.73,30.27,30.525,16677596
2016-05-06,30.445,30.72,30.305,30.71,15560034
2016-05-09,30.785,30.9375,30.5925,30.71,12855354
2016-05-10,30.715,31.3625,30.695,31.32,21595900
2016-05-11,31.24,31.385,30.942,31.035,16310194
2016-05-12,31.175,31.33,30.9075,31.13,16674570
2016-05-13,31.01,31.26,30.825,30.92,16441608
2016-05-16,30.735,31.2575,30.685,31.0,17514604
2016-05-17,30.86,30.88,30.1675,30.215,31893500
2016-05-18,30.265,30.415,29.93,30.19,26571020
2016-05-19,30.0,30.295,29.8075,30.125,17932460
2016-05-20,30.06,30.94,30.06,30.88,22234740
2016-05-23,30.72,31.24,30.715,30.905,23562660
2016-05-24,31.04,31.25,30.845,31.22,19879272
2016-05-25,31.3,31.585,30.845,31.3,17988264
2016-05-26,31.275,31.435,31.045,31.145,14585702
2016-05-27,31.305,31.58,31.235,31.44,16159920
2016-05-31,31.41,31.695,31.2507,31.65,23822240
2016-06-01,31.72,31.915,31.525,31.865,15382490
2016-06-02,31.835,31.91,31.695,31.83,12857688
2016-06-03,31.835,31.89,31.5,31.78,11913258
2016-06-06,31.855,31.95,31.61,31.7,11897384
2016-06-07,31.675,31.8375,31.595,31.625,12818252
2016-06-08,31.64,31.76,31.53,31.61,13385118
2016-06-09,31.435,31.565,31.2675,31.465,11233064
2016-06-10,31.095,31.485,31.06,31.4,15732362
2016-06-13,31.365,31.56,31.1099,31.195,15338242
2016-06-14,31.005,31.3525,30.97,31.32,14935870
2016-06-15,31.23,31.5525,31.125,31.175,16346716
2016-06-16,31.095,31.6175,30.925,31.55,14830838
2016-06-17,31.585,31.585,31.07,31.185,23925740
2016-06-20,31.465,31.715,31.2075,31.23,15595858
2016-06-21,31.235,31.4,31.025,31.27,17633434
2016-06-22,31.27,31.58,31.105,31.32,11586628
2016-06-23,31.67,31.735,31.315,31.475,14270168
2016-06-24,30.42,31.3,30.33,30.825,35681200
2016-06-27,30.51,31.36,30.485,31.23,31600060
2016-06-28,31.53,31.5744,31.11,31.535,21479660
2016-06-29,31.83,32.08,31.59,31.97,20625880
