Date,Open,High,Low,Close,Volume
2015-06-22,45.105,45.2525,44.18,44.335,1130196
2015-06-23,44.435,44.705,43.985,44.305,1028692
2015-06-24,44.1875,44.4825,43.5875,43.6125,798608
2015-06-25,43.64,44.17,43.64,43.925,1027392
2015-06-26,44.0375,44.735,43.805,44.72,1855988
2015-06-29,44.2225,44.875,44.0425,44.1875,2116396
2015-06-30,44.57,44.7675,44.2575,44.4925,2187264
2015-07-01,44.68,44.9325,43.94,44.04,1748952
2015-07-02,44.165,44.33,43.89,44.1475,1066828
2015-07-06,43.885,44.41,43.6525,44.12,2483296
2015-07-07,44.185,44.41,43.735,44.3825,2172064
2015-07-08,44.205,44.4375,43.35,43.475,1396508
2015-07-09,43.905,43.9965,43.51,43.67,1365152
2015-07-10,44.165,44.495,43.9725,44.03,1060828
2015-07-13,44.25,44.6425,44.115,44.55,979820
2015-07-14,44.5775,44.965,44.565,44.92,815696
2015-07-15,44.795,44.9925,43.8075,43.825,1330668
2015-07-16,44.07,44.3375,43.765,44.1675,990676
2015-07-17,44.1575,44.185,43.375,43.5175,1326220
2015-07-20,43.62,44.16,43.445,44.1075,1067100
2015-07-21,44.1625,44.2375,43.0275,43.4125,1913456
2015-07-22,43.3725,43.6875,42.7875,43.125,2891596
2015-07-23,43.1775,43.8025,43.1775,43.4275,1684292
2015-07-24,43.285,43.9375,43.085,43.3475,1233228
2015-07-27,43.2,43.3725,42.7925,42.965,1211232
2015-07-28,43.16,43.8175,42.84,43.8,1011244
2015-07-29,43.8975,44.2238,43.6025,44.105,1141352
2015-07-30,44.1575,44.305,43.6125,44.125,747400
2015-07-31,44.2525,44.7525,43.9395,44.25,1115908
2015-08-03,44.3325,44.6225,43.9925,44.2875,1033408
2015-08-04,44.25,44.6075,43.7275,43.9925,846368
2015-08-05,44.2725,44.9375,44.0945,44.6325,990196
2015-08-06,44.5875,44.8775,42.995,43.775,1083208
2015-08-07,43.72,43.8775,43.0363,43.47,637540
2015-08-10,43.685,44.24,43.4637,43.9,716740
2015-08-11,43.595,44.0075,43.1125,43.3475,930104
2015-08-12,43.205,43.63,42.7525,43.445,1119572
2015-08-13,43.46,43.73,43.16,43.4675,1196200
2015-08-14,43.3525,43.4937,42.905,43.3225,1480304
2015-08-17,43.0975,43.64,42.6675,43.5,1610048
2015-08-18,43.46,43.99,43.2738,43.755,1502232
2015-08-19,43.4625,43.4625,42.6063,42.725,1645388
2015-08-20,42.3875,42.6425,41.5725,41.6175,2258028
2015-08-21,41.23,41.46,40.3775,40.605,2106524
2015-08-24,38.4325,40.275,37.43,39.375,1604024
2015-08-25,40.2025,40.625,39.1875,39.245,1740496
2015-08-26,39.945,40.7275,39.475,40.3175,2366976
2015-08-27,40.9175,41.3963,40.57,41.05,1824004
2015-08-28,40.9475,41.295,40.685,41.185,1624892
2015-08-31,41.05,41.4225,40.4825,40.605,1239164
2015-09-01,39.9175,40.25,39.68,39.8525,2714588
2015-09-02,40.19,40.7,40.045,40.6,3512400
2015-09-03,40.81,41.135,40.235,40.3275,3677664
2015-09-04,35.5275,38.8925,35.5275,37.7175,5235992
2015-09-08,38.2025,38.2687,36.8862,37.23,4855380
2015-09-09,37.4225,37.9,37.1175,37.1975,2831708
2015-09-10,37.2575,37.4975,37.0625,37.1425,1227520
2015-09-11,37.07,37.755,36.7875,37.415,2068708
2015-09-14,37.4025,37.595,36.8775,36.95,1837240
2015-09-15,37.1025,37.2425,36.845,37.1475,1119772
