Date,Open,High,Low,Close,Volume
2015-06-22,62.48,62.9652,62.19,62.58,4356607
2015-06-23,62.68,63.35,62.51,63.17,3635955
2015-06-24,63.13,63.5499,62.83,62.83,3974373
2015-06-25,63.17,63.17,62.13,62.22,4706319
2015-06-26,62.15,62.28,61.72,62.18,6684150
2015-06-29,61.42,61.74,61.0,61.01,5250572
2015-06-30,61.53,61.61,60.86,61.41,5356225
2015-07-01,61.51,61.51,59.69,60.03,7393392
2015-07-02,60.18,60.77,60.18,60.52,6775479
2015-07-06,59.52,59.7553,58.72,59.06,7552931
2015-07-07,58.9,59.9,58.24,59.65,7124980
2015-07-08,59.14,59.72,58.08,58.36,5626682
2015-07-09,59.65,59.76,58.66,58.67,5435915
2015-07-10,59.31,59.54,58.67,59.13,4958645
2015-07-13,59.11,59.2,58.64,58.93,4904200
2015-07-14,58.75,59.74,58.69,59.53,5479959
2015-07-15,59.11,59.55,58.13,58.42,5229227
2015-07-16,58.61,58.78,57.6801,57.95,5321933
2015-07-17,57.6,57.89,56.65,57.2,7362713
2015-07-20,57.18,57.2,56.16,56.57,8084281
2015-07-21,56.76,57.16,56.17,56.49,8416814
2015-07-22,56.29,56.39,55.67,55.83,10370600
2015-07-23,55.1,55.31,53.3,54.04,12055520
2015-07-24,53.95,53.95,51.98,52.09,13235740
2015-07-27,51.34,52.02,50.54,50.65,14253700
2015-07-28,50.94,52.96,50.87,52.24,13382250
2015-07-29,52.05,53.44,52.0,52.9,11814690
2015-07-30,52.99,53.29,51.88,52.07,10072560
2015-07-31,51.43,51.45,50.25,50.34,12186280
2015-08-03,49.8,50.47,49.33,49.71,11237610
2015-08-04,49.59,50.34,49.59,49.87,7685982
2015-08-05,50.3,50.85,49.03,49.12,8045631
2015-08-06,48.89,50.36,48.33,50.28,11634160
2015-08-07,50.25,50.65,48.605,48.84,10278440
2015-08-10,48.89,50.21,48.55,50.2,10567310
2015-08-11,49.28,50.52,49.06,50.4,10711940
2015-08-12,50.21,51.875,50.15,51.54,14026050
2015-08-13,51.0,51.05,49.86,50.1,10036330
2015-08-14,49.99,50.29,49.69,49.77,7850377
2015-08-17,49.48,49.81,49.26,49.56,5803802
2015-08-18,49.62,49.79,49.125,49.51,7309609
2015-08-19,49.28,49.28,47.05,47.68,14525500
2015-08-20,47.45,48.095,47.0,47.0,10549520
2015-08-21,46.66,47.38,45.38,45.39,13846790
2015-08-24,41.98,44.93,41.1,42.93,21253390
2015-08-25,45.02,45.02,42.14,42.19,15781960
2015-08-26,42.93,43.57,42.25,43.41,18985150
2015-08-27,44.62,46.53,44.45,45.87,19322600
2015-08-28,45.56,48.0,45.56,46.82,14901690
2015-08-31,46.3,49.32,45.7001,49.15,17763340
2015-09-01,48.17,48.17,46.79,47.75,17186100
2015-09-02,48.3,48.66,47.0,48.19,11262630
2015-09-03,48.5,49.87,47.77,48.18,9688460
2015-09-04,47.21,47.6001,46.86,47.2,10515780
2015-09-08,48.27,48.68,47.15,48.46,13561310
2015-09-09,49.05,49.7,47.59,47.85,16198710
2015-09-10,48.0,48.75,47.33,48.43,8847561
2015-09-11,47.74,47.76,46.95,47.36,9263375
2015-09-14,47.12,47.1499,46.34,46.77,8767911
2015-09-15,47.15,47.79,47.11,47.28,6669975
2015-09-16,47.71,49.54,47.64,49.47,11343490
2015-09-17,49.41,50.91,49.06,50.13,14767480
2015-09-18,49.15,49.52,47.93,48.36,12755080
2015-09-21,48.85,49.0,48.14,48.75,7727507
2015-09-22,47.73,49.0,47.61,48.62,10223270
2015-09-23,48.72,48.98,47.81,47.86,6322205
2015-09-24,47.51,48.23,47.33,47.76,8176597
2015-09-25,48.54,48.54,46.9151,47.19,8630712
2015-09-28,46.44,47.05,45.84,45.85,8003341
2015-09-29,46.28,46.6929,45.72,46.57,7976887
2015-09-30,46.92,48.0,46.9,47.96,8804465
2015-10-01,48.69,49.4,47.54,48.16,10390070
2015-10-02,47.58,51.19,47.56,51.19,12568820
2015-10-05,51.94,53.125,51.51,52.98,12801440
2015-10-06,53.18,55.53,53.06,55.14,15410280
2015-10-07,55.94,56.38,53.84,55.27,13762640
2015-10-08,55.0,56.545,54.59,56.28,9490123
2015-10-09,56.59,56.69,55.21,56.1,9118272
2015-10-12,56.07,56.1,54.46,55.27,7474534
2015-10-13,54.78,55.895,54.36,55.04,6213849
2015-10-14,55.05,55.7,54.8849,55.46,6409734
2015-10-15,54.36,55.28,53.8,55.23,7831833
2015-10-16,55.69,55.95,54.51,55.23,7302148
2015-10-19,54.49,54.78,53.48,53.69,7979594
2015-10-20,53.9,54.25,53.19,53.54,8553504
2015-10-21,53.41,53.815,52.9,52.97,6333185
2015-10-22,53.33,54.76,53.19,54.58,7368157
2015-10-23,54.3,54.81,53.65,54.61,5907236
2015-10-26,54.56,54.57,52.94,52.95,5384686
2015-10-27,52.01,52.13,50.74,51.69,7989870
2015-10-28,51.75,53.67,51.58,53.34,9325532
2015-10-29,52.19,54.545,51.14,53.62,9320226
2015-10-30,53.93,54.17,52.59,53.35,7544542
2015-11-02,53.0,55.25,52.87,54.94,8138894
2015-11-03,55.3,57.15,55.16,56.73,9125519
2015-11-04,56.73,56.8,55.47,56.34,8719939
2015-11-05,55.88,57.24,55.77,56.28,7232579
2015-11-06,55.77,56.44,55.0,55.77,6560073
2015-11-09,55.63,56.14,54.39,54.64,5614102
2015-11-10,54.48,55.15,54.0,54.65,5186690
2015-11-11,54.52,54.74,53.33,53.44,6977253
2015-11-12,52.45,53.08,51.8,51.97,7388449
2015-11-13,51.89,52.11,51.03,51.83,6377662
2015-11-16,51.9,54.44,51.59,54.37,8278579
2015-11-17,54.15,54.69,53.45,53.9,6219711
2015-11-18,54.44,55.07,53.44,54.48,4904168
2015-11-19,54.19,54.47,53.18,53.56,6305888
2015-11-20,53.62,54.05,52.64,52.93,5728769
2015-11-23,52.79,53.77,52.47,53.28,5603148
2015-11-24,53.46,55.61,53.38,55.32,8202307
2015-11-25,54.99,55.08,54.32,54.38,5143791
2015-11-27,53.83,54.09,53.25,53.48,2785972
2015-11-30,53.51,54.49,53.35,54.05,8656474
2015-12-01,54.46,54.75,53.9,54.61,7704067
2015-12-02,54.21,54.57,52.18,52.55,10643000
2015-12-03,52.81,52.98,51.48,51.61,10670840
2015-12-04,50.84,51.49,50.155,51.19,9393159
2015-12-07,49.73,50.29,48.16,48.99,11529400
2015-12-08,47.65,49.15,46.8818,48.3,8722270
2015-12-09,48.35,49.74,47.75,48.47,9888253
2015-12-10,48.23,49.95,48.01,49.22,11058510
2015-12-11,48.25,48.45,46.81,48.13,14656660
2015-12-14,47.58,50.14,47.4,49.53,14163290
2015-12-15,50.35,51.06,50.14,50.56,10743700
2015-12-16,50.3,50.84,49.12,49.35,11434290
2015-12-17,49.37,49.455,46.92,47.28,12942980
2015-12-18,47.05,47.58,45.76,45.93,16470240
2015-12-21,46.03,46.15,44.56,45.1,10872740
2015-12-22,45.18,46.56,44.91,46.28,10342860
2015-12-23,47.29,49.07,47.27,49.03,9806778
2015-12-24,49.04,49.21,48.06,48.59,3262118
2015-12-28,47.61,47.79,46.94,47.19,8785485
2015-12-29,48.23,48.37,47.2,47.77,6282829
2015-12-30,46.94,47.74,46.54,46.6,6604018
2015-12-31,46.06,47.2,45.88,46.69,6678103
2016-01-04,46.41,47.77,46.08,46.88,8910542
2016-01-05,46.67,47.52,45.99,47.4,7011682
2016-01-06,46.1,46.32,45.04,45.35,10995490
2016-01-07,44.74,45.62,43.92,44.06,10842120
2016-01-08,44.18,44.59,42.865,43.29,9115098
2016-01-11,43.32,43.62,40.6,41.12,17257440
2016-01-12,41.87,42.04,39.13,40.25,16777610
2016-01-13,40.75,41.79,38.87,39.0,19014660
2016-01-14,39.21,41.83,38.66,41.25,18243630
2016-01-15,39.34,40.45,38.36,39.36,19110480
2016-01-19,39.74,39.89,35.6,36.4,20833670
2016-01-20,35.54,35.61,32.71,34.75,31358390
2016-01-21,34.87,37.34,34.64,36.91,19562990
2016-01-22,38.21,39.5695,36.745,37.67,18558350
2016-01-25,36.8,37.4776,34.19,34.2,19625040
2016-01-26,35.07,35.91,33.44,35.35,28663020
2016-01-27,34.92,37.73,34.18,36.21,22045570
2016-01-28,37.92,39.43,37.08,38.02,16858690
2016-01-29,38.09,39.27,37.52,39.08,18684320
2016-02-01,38.24,38.98,37.61,38.6,12781960
2016-02-02,37.61,38.18,36.44,36.59,15900410
2016-02-03,37.59,38.73,35.59,38.63,19829120
2016-02-04,38.5,39.0,35.02,35.32,49177100
2016-02-05,34.02,34.41,31.59,32.9,46170290
2016-02-08,31.95,34.5,31.68,34.43,21944300
2016-02-09,33.22,34.16,32.7,33.58,20368190
2016-02-10,33.29,34.38,32.055,32.34,16640630
2016-02-11,31.23,32.38,31.05,31.88,20838340
2016-02-12,32.29,33.35,31.9,32.9,14951710
2016-02-16,33.49,33.6999,32.55,32.76,12848410
2016-02-17,33.3,34.39,33.0265,33.91,18315180
2016-02-18,34.48,34.51,33.44,33.7,16896670
2016-02-19,33.15,33.28,32.09,32.87,14642510
2016-02-22,33.69,34.7,33.51,34.45,11523760
2016-02-23,33.92,34.61,32.91,32.92,9717923
2016-02-24,32.1,33.04,31.82,32.96,10953050
2016-02-25,33.07,33.35,31.97,33.06,10319960
2016-02-26,33.86,34.81,33.82,34.12,11002240
2016-02-29,34.57,34.59,33.58,33.83,10510110
2016-03-01,34.07,34.75,33.3376,34.46,11578710
2016-03-02,34.28,36.51,34.1,36.49,16942500
2016-03-03,36.5,38.81,36.32,38.56,20234230
2016-03-04,38.92,41.68,38.8,41.12,24812190
2016-03-07,41.25,42.445,40.9,41.4,17545230
2016-03-08,41.2,41.25,38.56,38.62,14128180
2016-03-09,39.35,39.715,38.38,39.05,13347630
2016-03-10,38.87,39.14,38.36,39.03,10858990
2016-03-11,39.8,40.655,39.73,40.52,13644240
2016-03-14,39.7,40.46,39.39,40.01,9285552
2016-03-15,39.21,39.85,38.815,39.83,7822602
2016-03-16,40.24,41.97,40.18,41.87,10139450
2016-03-17,42.4,43.775,42.19,43.01,12422350
2016-03-18,43.59,44.395,42.4529,43.02,20944190
2016-03-21,42.73,43.41,42.16,42.58,8407885
2016-03-22,42.25,42.78,41.91,41.92,8244066
2016-03-23,41.29,41.68,39.81,39.85,11230450
2016-03-24,38.93,40.1,38.53,40.04,9217068
2016-03-28,40.1,40.15,39.02,39.68,6647356
2016-03-29,39.02,39.725,38.56,39.62,8114501
2016-03-30,40.48,40.76,39.57,40.08,7776209
2016-03-31,39.96,40.54,39.7001,40.27,9346630
2016-04-01,39.39,39.92,38.79,39.78,9090258
2016-04-04,39.79,40.34,38.98,39.1,8652149
2016-04-05,38.75,39.29,38.19,39.04,7838144
2016-04-06,39.4,40.98,39.17,40.75,9807106
2016-04-07,40.43,41.03,39.74,40.31,7117590
2016-04-08,41.62,41.89,40.93,41.23,8081002
2016-04-11,41.43,41.98,41.15,41.19,7177745
2016-04-12,41.57,43.83,41.36,43.47,10630150
2016-04-13,43.63,43.96,43.01,43.58,9374327
2016-04-14,43.83,44.3,43.46,44.22,8241132
2016-04-15,43.75,44.165,43.52,43.7,8163784
2016-04-18,42.09,45.0,42.04,45.0,9362268
2016-04-19,45.21,47.1,44.97,47.06,12871860
2016-04-20,46.73,47.655,46.09,47.08,8486362
2016-04-21,46.99,47.32,46.12,46.23,9988646
2016-04-22,46.34,47.74,46.26,47.62,9386625
2016-04-25,47.16,47.23,45.84,46.27,11585510
2016-04-26,46.6,48.17,46.34,48.08,10710690
2016-04-27,48.55,48.91,47.82,48.11,11546500
2016-04-28,48.13,49.35,47.5,47.67,12327090
2016-04-29,47.9,48.83,46.95,47.79,9009274
2016-05-02,47.56,47.69,46.115,46.85,8263197
2016-05-03,46.1,46.26,44.71,45.08,8769605
2016-05-04,45.17,45.65,43.19,43.41,9263896
2016-05-05,44.54,44.98,42.76,43.21,8382060
2016-05-06,42.73,43.58,42.27,42.76,8147288
2016-05-09,42.31,42.49,41.1163,41.65,7040080
2016-05-10,41.62,42.89,41.58,42.87,7969470
2016-05-11,42.87,44.425,42.31,43.68,8909771
2016-05-12,44.05,44.687,43.0461,43.73,8349511
2016-05-13,43.37,43.92,42.84,43.02,6203097
2016-05-16,43.79,44.5101,43.79,44.08,7837876
2016-05-17,43.88,44.45,43.46,43.78,11740090
2016-05-18,43.38,44.12,43.05,43.34,8150281
2016-05-19,42.75,43.62,42.07,43.36,6283065
2016-05-20,43.52,43.99,43.0437,43.58,6397636
2016-05-23,43.2,43.92,43.0,43.59,6753840
2016-05-24,43.92,43.98,43.29,43.46,5972693
2016-05-25,43.9,45.055,43.85,44.9,6456203
2016-05-26,45.42,45.78,44.685,44.73,7808664
2016-05-27,44.27,44.43,43.85,44.33,6068568
2016-05-31,44.59,45.27,43.68,43.79,9510913
2016-06-01,43.37,44.08,43.21,44.06,7243063
