Date,Open,High,Low,Close,Volume
2015-06-22,140.84,141.17,140.08,140.19,1415497
2015-06-23,140.44,140.9,139.53,139.65,1489350
2015-06-24,139.34,139.86,138.28,138.34,1965857
2015-06-25,138.45,139.91,137.42,137.45,1660584
2015-06-26,137.94,138.64,137.5301,138.06,2248678
2015-06-29,137.01,137.82,135.66,135.69,1961640
2015-06-30,136.38,136.71,134.73,135.06,2453847
2015-07-01,135.79,136.57,135.54,136.49,1707124
2015-07-02,137.0,137.2,136.28,136.39,1149089
2015-07-06,135.15,136.84,135.06,135.88,2450379
2015-07-07,136.3,140.87,136.03,140.5,3788572
2015-07-08,139.98,140.53,139.27,139.9,2917195
2015-07-09,141.35,141.5,137.71,139.45,3318647
2015-07-10,141.71,143.4299,141.17,142.72,2846396
2015-07-13,143.86,145.07,143.5,144.06,1847284
2015-07-14,143.65,144.29,143.155,143.93,1512809
2015-07-15,143.93,144.18,142.92,143.63,1306419
2015-07-16,144.15,144.49,143.44,144.33,1147962
2015-07-17,144.12,144.89,143.16,144.68,1842028
2015-07-20,144.58,145.23,144.0201,145.04,1243630
2015-07-21,145.19,145.4,144.43,144.94,1576786
2015-07-22,145.22,146.48,145.023,146.38,1612019
2015-07-23,146.85,147.0,145.38,145.6,1356889
2015-07-24,145.71,145.93,144.89,144.99,1271678
2015-07-27,144.78,144.89,143.53,144.25,1431268
2015-07-28,144.53,144.7,142.91,144.55,1376487
2015-07-29,144.8,146.76,144.7544,145.38,1840542
2015-07-30,145.15,145.86,144.02,145.3,1392698
2015-07-31,146.19,146.19,145.01,145.3,1386717
2015-08-03,145.78,146.11,144.65,145.52,1325410
2015-08-04,145.11,145.82,144.19,144.84,1314879
2015-08-05,145.83,147.04,145.65,146.89,1687851
2015-08-06,147.15,147.59,145.98,146.44,1947957
2015-08-07,146.02,146.44,144.35,145.26,1229408
2015-08-10,146.3,146.79,145.68,146.25,1072584
2015-08-11,145.28,146.29,145.01,145.89,1260671
2015-08-12,144.95,146.72,143.35,146.49,1963776
2015-08-13,146.36,146.9799,145.18,145.27,1114183
2015-08-14,144.88,146.42,144.88,146.09,1210404
2015-08-17,145.15,146.24,144.98,146.09,912567
2015-08-18,146.16,146.48,145.12,145.63,1099071
2015-08-19,145.39,145.94,143.64,145.17,1436522
2015-08-20,144.29,144.88,143.292,143.71,1784288
2015-08-21,142.22,143.33,138.99,138.99,3610910
2015-08-24,131.97,137.16,117.03,132.97,5196602
2015-08-25,136.78,138.38,132.65,132.71,4643397
2015-08-26,136.11,138.28,133.35,138.16,3092923
2015-08-27,140.47,140.75,137.59,140.21,2603035
2015-08-28,139.75,140.3,138.64,139.95,1850837
2015-08-31,139.25,140.23,138.51,140.05,3005797
2015-09-01,137.58,139.9,137.5001,138.3,2966367
2015-09-02,139.83,140.87,138.42,140.42,1810289
2015-09-03,140.94,141.7,140.098,140.48,1615413
2015-09-04,138.8,139.46,138.18,138.48,2124439
2015-09-08,140.54,141.48,139.12,141.43,1637827
2015-09-09,142.35,142.35,139.39,139.68,1390773
2015-09-10,139.04,140.96,138.9878,140.01,1346132
2015-09-11,139.85,141.2,139.28,141.05,1452838
2015-09-14,141.18,141.405,140.24,141.15,1123359
2015-09-15,141.32,142.96,140.24,142.43,1349715
2015-09-16,142.21,143.86,141.752,143.61,1374498
2015-09-17,143.9,145.04,143.16,143.35,1514498
2015-09-18,142.14,144.34,141.7,141.81,2833678
2015-09-21,142.36,143.78,142.09,143.21,1003742
2015-09-22,141.82,142.95,140.81,142.65,1787199
2015-09-23,143.46,145.63,142.65,145.43,2309872
2015-09-24,144.37,145.42,143.65,144.87,1973930
2015-09-25,145.95,146.9,145.01,145.55,1845059
2015-09-28,145.39,145.8,143.29,143.55,2543208
2015-09-29,143.04,144.135,142.25,143.72,2507747
2015-09-30,143.54,144.95,142.89,144.57,2549210
2015-10-01,144.85,144.85,142.5,144.56,2646439
2015-10-02,143.25,145.91,142.19,145.86,2591476
2015-10-05,146.24,148.215,146.01,148.07,2272920
2015-10-06,148.15,148.7,147.36,148.41,2127576
2015-10-07,148.72,149.32,147.43,147.96,2340835
2015-10-08,147.61,151.7,147.61,151.66,2370750
2015-10-09,150.76,154.26,150.44,153.97,3714182
2015-10-12,153.97,154.48,153.09,153.63,1199932
2015-10-13,153.23,154.07,152.22,152.28,1492672
2015-10-14,152.31,152.77,149.1,149.84,3044221
2015-10-15,150.83,151.9,150.22,151.77,1696893
2015-10-16,152.32,152.97,151.28,152.06,1647541
2015-10-19,152.05,153.39,151.92,153.22,1543687
2015-10-20,153.72,154.88,153.16,154.56,1875433
2015-10-21,154.8,155.94,154.31,155.21,1812334
2015-10-22,155.43,158.34,155.08,158.15,2192010
2015-10-23,158.7,158.796,154.91,155.74,2273369
2015-10-26,152.06,157.41,151.26,156.73,2499773
2015-10-27,157.27,158.3,155.56,157.76,1675064
2015-10-28,157.5,157.93,155.51,157.76,1778415
2015-10-29,157.06,158.38,156.53,158.28,1498638
2015-10-30,158.0,159.4,157.3,158.12,2049786
2015-11-02,158.99,159.31,157.65,159.15,1260548
2015-11-03,158.4,159.22,157.38,158.8,1531102
2015-11-04,159.0,159.025,156.9,157.15,1652357
2015-11-05,154.15,156.81,154.02,156.27,2543943
2015-11-06,156.49,157.96,155.67,157.55,1749584
2015-11-09,156.81,157.1,153.89,155.16,2290828
2015-11-10,155.13,156.46,154.6,156.41,1701404
2015-11-11,155.98,157.43,155.18,156.39,1865628
2015-11-12,156.12,156.98,155.3964,156.0,1656640
2015-11-13,155.07,155.25,153.23,153.67,2459911
2015-11-16,153.81,156.47,153.24,156.45,1778398
2015-11-17,157.35,159.92,157.02,158.89,2499561
2015-11-18,158.89,161.4,157.825,161.25,2151871
2015-11-19,161.69,163.2,161.44,162.83,2959265
2015-11-20,164.16,164.47,162.75,163.1,2051142
2015-11-23,163.53,163.9,162.73,163.45,1174196
2015-11-24,162.26,163.92,161.0,162.19,2797968
2015-11-25,162.04,162.9956,161.14,162.39,1828003
2015-11-27,163.11,164.41,162.49,163.58,866279
2015-11-30,164.17,164.44,160.79,161.42,2823589
2015-12-01,162.02,163.04,160.74,161.29,1939522
2015-12-02,161.71,162.44,160.63,161.09,1585666
2015-12-03,164.51,166.1,163.31,163.67,3438520
2015-12-04,164.12,167.24,164.01,166.8,2578333
2015-12-07,167.33,167.4999,165.55,167.12,2790291
2015-12-08,166.74,169.73,165.87,168.87,3152737
2015-12-09,162.72,163.89,158.22,159.72,9525221
2015-12-10,160.93,163.41,160.611,161.86,3652979
2015-12-11,159.73,161.2,159.36,160.02,2508805
2015-12-14,160.09,161.88,159.41,161.84,2432883
2015-12-15,163.32,163.74,160.72,161.29,2372732
2015-12-16,161.95,163.2528,160.0,162.76,2195751
2015-12-17,162.44,163.58,160.6,160.68,1703907
2015-12-18,159.79,160.68,157.6,157.7,4284122
2015-12-21,158.81,159.43,157.33,159.39,1453411
2015-12-22,159.9,161.39,159.03,161.23,1742060
2015-12-23,162.43,162.43,160.78,161.71,1580484
2015-12-24,161.85,162.33,161.44,161.75,491044
2015-12-28,161.05,162.26,160.4,161.16,1124719
2015-12-29,161.9,163.23,161.5201,162.66,1169400
2015-12-30,162.96,163.45,162.51,162.71,888004
2015-12-31,162.08,164.0,161.5,161.5,1873395
2016-01-04,159.81,160.1,157.865,159.54,2640496
2016-01-05,160.17,161.228,159.45,159.93,2127605
2016-01-06,158.36,159.8,157.63,158.45,2033222
2016-01-07,154.85,157.06,153.55,154.82,3822522
2016-01-08,155.28,155.3,151.81,152.11,3153922
2016-01-11,152.3,155.96,152.12,154.72,2164669
2016-01-12,155.71,156.43,154.94,156.055,2215281
2016-01-13,155.97,156.02,151.88,152.12,2155604
2016-01-14,151.96,154.16,151.33,153.18,2280122
2016-01-15,149.29,151.52,148.25,150.39,2974449
2016-01-19,151.79,152.0,149.58,150.47,2183367
2016-01-20,148.46,150.0,144.91,148.82,3794626
2016-01-21,148.97,151.24,148.11,150.38,2211807
2016-01-22,152.18,153.71,151.65,153.69,2543513
2016-01-25,154.07,154.48,150.5545,150.78,1820542
2016-01-26,150.78,151.72,148.3001,148.5,2824664
