Date,Open,High,Low,Close,Volume
2015-06-22,48.5,48.72,48.29,48.3,834825
2015-06-23,48.36,48.4,48.12,48.29,867263
2015-06-24,48.28,48.38,47.875,48.01,918393
2015-06-25,48.27,48.27,47.675,47.7,983542
2015-06-26,47.82,48.03,47.68,47.85,862634
2015-06-29,47.5,47.67,46.98,47.01,1098377
2015-06-30,47.27,49.16,47.11,47.65,4572947
2015-07-01,47.78,47.89,47.26,47.84,1640395
2015-07-02,47.92,48.1197,47.48,47.66,1062657
2015-07-06,47.39,47.89,47.1,47.27,1088270
2015-07-07,47.28,48.04,47.14,47.98,1329029
2015-07-08,47.7,47.98,47.51,47.57,1266292
2015-07-09,47.92,47.93,47.06,47.12,1255199
2015-07-10,47.48,47.8,47.12,47.62,849267
2015-07-13,47.79,47.957,47.56,47.83,796811
2015-07-14,47.87,48.24,47.63,48.13,983323
2015-07-15,47.95,48.13,47.43,47.59,720860
2015-07-16,47.84,48.12,47.8,48.02,717592
2015-07-17,47.95,47.99,47.42,47.85,694872
2015-07-20,47.91,48.01,47.56,47.61,655970
2015-07-21,47.53,47.7,47.2,47.46,835261
2015-07-22,48.0,48.84,47.79,48.32,1730273
2015-07-23,48.4,48.7,48.05,48.2,1642581
2015-07-24,48.23,48.62,48.07,48.28,952630
2015-07-27,48.08,48.41,47.87,48.28,927331
2015-07-28,48.48,49.05,48.28,49.0,1134960
2015-07-29,49.13,49.14,48.51,48.71,1579522
2015-07-30,48.6,49.35,48.48,49.17,1143845
2015-07-31,49.52,49.54,49.22,49.31,1143305
2015-08-03,49.42,49.88,49.28,49.88,1461185
2015-08-04,49.81,50.04,49.6,49.68,1035807
2015-08-05,49.85,50.095,49.54,50.0,1133835
2015-08-06,50.23,50.54,49.94,50.49,1364742
2015-08-07,50.33,50.5,49.92,50.28,1130019
2015-08-10,50.53,50.62,50.2,50.48,855827
2015-08-11,50.09,50.385,49.8,50.32,687950
2015-08-12,50.03,50.42,49.56,50.4,1036798
2015-08-13,50.37,50.62,50.21,50.26,768208
2015-08-14,50.29,50.77,50.172,50.7,701546
2015-08-17,50.49,50.8,50.21,50.57,718955
2015-08-18,50.53,50.53,50.17,50.23,1358558
2015-08-19,50.15,50.44,49.69,50.11,819724
2015-08-20,49.8,50.065,49.5,49.63,1166316
2015-08-21,49.5,49.5,48.61,48.61,1308487
2015-08-24,46.99,48.1,45.23,47.01,2546486
2015-08-25,47.75,47.9,46.12,46.15,2075664
2015-08-26,47.06,47.5,46.1,47.43,1956097
2015-08-27,47.74,47.985,47.05,47.72,1890116
2015-08-28,47.72,48.12,47.39,47.8,1847620
2015-08-31,47.71,48.135,47.55,47.99,1875246
2015-09-01,47.18,47.5699,46.64,46.87,1988039
2015-09-02,47.39,47.77,47.01,47.77,2545626
2015-09-03,46.91,48.675,46.07,48.53,2364144
2015-09-04,48.23,48.5,47.435,47.94,2019320
2015-09-08,48.5016,49.41,48.5016,49.38,2458668
2015-09-09,49.78,49.78,48.59,48.72,2198862
2015-09-10,48.77,49.51,48.51,49.15,1522321
2015-09-11,49.04,49.4,48.84,49.4,1501898
2015-09-14,49.48,49.54,49.07,49.51,1343694
2015-09-15,49.7,50.47,49.31,50.27,2250514
2015-09-16,50.52,51.625,50.47,51.56,2412637
2015-09-17,51.51,52.26,51.29,51.57,2109908
2015-09-18,50.84,51.715,50.84,51.16,2354509
2015-09-21,51.37,51.63,51.04,51.47,1441100
2015-09-22,51.19,51.21,50.55,51.12,1617295
2015-09-23,51.05,51.43,50.81,51.36,1552121
2015-09-24,51.2,51.39,50.82,51.14,2731765
2015-09-25,51.44,52.37,51.19,51.67,1541666
2015-09-28,51.41,51.76,50.73,50.8,1539842
2015-09-29,50.8,51.26,50.03,50.59,1847913
2015-09-30,51.0,51.215,50.43,50.68,1882266
2015-10-01,50.6,50.89,49.52,50.02,1952554
2015-10-02,49.52,50.62,49.42,50.6,1942157
2015-10-05,50.62,51.37,50.6,51.36,2211811
2015-10-06,51.5,51.5,50.74,50.77,1237726
2015-10-07,50.92,51.17,50.45,50.84,1707075
2015-10-08,50.8,51.62,50.54,51.33,1755123
2015-10-09,51.07,51.6299,50.96,51.28,1120874
2015-10-12,51.41,51.43,50.81,50.89,1560894
2015-10-13,50.74,50.93,50.24,50.3,1303002
2015-10-14,50.36,50.47,49.365,49.48,1334790
2015-10-15,49.75,49.9,48.93,49.5,1722396
2015-10-16,49.78,49.94,49.34,49.49,1573428
2015-10-19,49.46,49.65,49.17,49.4,2071712
2015-10-20,49.39,49.555,49.1,49.49,2046413
2015-10-21,49.56,49.95,49.44,49.71,2441181
2015-10-22,49.95,51.77,49.94,51.43,3142786
2015-10-23,51.67,51.68,51.1,51.43,1379542
2015-10-26,51.48,51.76,51.32,51.61,1133410
2015-10-27,51.41,51.63,50.89,51.19,1167383
2015-10-28,51.27,51.376,50.33,50.79,1368915
2015-10-29,50.69,51.37,50.38,51.2,1035739
2015-10-30,51.11,51.45,50.78,50.79,1184334
2015-11-02,50.88,50.9899,50.36,50.74,1169651
2015-11-03,50.5,50.75,49.7,50.23,1278211
2015-11-04,50.37,50.5525,50.0,50.44,1108754
2015-11-05,50.37,50.44,49.809,50.4,1182040
2015-11-06,49.97,50.06,48.28,48.77,2110848
2015-11-09,48.6,48.82,48.2,48.67,1599330
2015-11-10,48.6,48.94,48.2,48.3,1587647
2015-11-11,48.3,49.24,48.3,48.87,1535117
2015-11-12,48.52,48.85,48.12,48.3,1789400
2015-11-13,47.88,48.47,47.8,47.97,1766630
2015-11-16,47.92,48.7,47.77,48.68,1102407
2015-11-17,48.68,48.75,47.92,48.04,1228500
2015-11-18,48.13,49.07,47.97,49.04,1998490
2015-11-19,49.08,49.6651,48.98,49.47,2019836
2015-11-20,49.7,49.72,48.74,48.82,1774618
2015-11-23,49.18,49.93,49.07,49.79,2109066
2015-11-24,51.71,52.48,50.92,51.33,3655070
2015-11-25,51.46,52.78,51.35,52.52,2613894
2015-11-27,52.61,53.305,52.59,53.1,1497740
2015-11-30,53.18,53.3492,52.04,52.24,2975477
2015-12-01,53.06,53.9,52.47,52.81,3757677
2015-12-02,52.92,52.98,52.01,52.69,2815952
2015-12-03,52.72,53.75,52.19,52.44,3868244
2015-12-04,52.64,53.48,52.54,53.12,3115820
2015-12-07,53.14,53.41,52.69,53.12,2430827
2015-12-08,52.71,53.56,52.49,53.49,2327759
2015-12-09,53.43,55.08,52.98,53.53,2646217
2015-12-10,53.45,54.66,53.05,53.64,2086530
2015-12-11,53.1,53.31,52.68,52.99,1561112
2015-12-14,53.05,53.37,52.84,53.25,2795878
2015-12-15,53.39,53.71,52.88,53.21,1712561
2015-12-16,53.6,53.94,53.04,53.72,1908849
2015-12-17,53.56,53.8,52.83,53.14,1129328
2015-12-18,53.01,53.03,52.13,52.21,2251376
2015-12-21,52.57,52.74,52.24,52.66,1025505
2015-12-22,52.79,53.19,52.1,53.15,1046486
2015-12-23,53.35,53.629,53.11,53.57,829421
2015-12-24,53.53,53.53,53.2,53.32,308489
2015-12-28,52.91,53.66,52.9,53.59,1360861
2015-12-29,53.86,54.1,53.62,53.68,1083210
2015-12-30,53.75,53.9,53.085,53.21,991910
2015-12-31,53.05,53.18,52.32,52.55,936053
2016-01-04,51.93,52.0,51.17,51.66,2192761
2016-01-05,51.84,52.18,51.34,51.85,2777799
2016-01-06,51.42,52.0,51.16,51.76,2657411
2016-01-07,50.88,51.3,50.54,50.82,2843307
2016-01-08,51.19,51.54,50.91,51.11,2579751
2016-01-11,51.21,51.59,51.06,51.4,2252325
2016-01-12,51.87,53.54,51.65,53.48,3474914
2016-01-13,53.42,55.0,52.64,52.79,3918912
2016-01-14,52.85,53.835,52.69,53.49,1850586
2016-01-15,51.95,53.27,51.84,52.99,3607717
2016-01-19,54.04,54.52,53.73,54.33,2701589
2016-01-20,53.72,54.43,52.94,54.1,2580982
2016-01-21,54.11,54.55,53.49,54.09,2415901
2016-01-22,54.45,54.725,54.045,54.65,1959465
2016-01-25,54.71,55.04,54.39,54.61,1993641
2016-01-26,54.62,55.17,54.51,55.15,1617624
2016-01-27,55.18,55.58,54.73,55.0,1630898
2016-01-28,55.33,56.165,54.9009,55.73,1295772
2016-01-29,56.02,56.63,55.9099,56.41,1881201
2016-02-01,56.4,57.08,56.21,56.86,1938183
2016-02-02,56.5,56.85,56.17,56.31,1617293
2016-02-03,56.41,56.915,55.76,56.29,2151252
2016-02-04,56.18,56.31,54.9701,55.34,1870416
2016-02-05,55.44,55.88,55.19,55.84,1910717
2016-02-08,55.75,56.39,55.33,56.23,1872770
2016-02-09,55.75,57.33,55.75,57.21,2572946
2016-02-10,57.56,58.63,57.27,57.89,1720443
2016-02-11,57.07,57.61,56.25,57.33,3216116
2016-02-12,57.54,58.369,57.45,58.24,1658318
2016-02-16,58.69,59.47,58.16,59.44,2027704
2016-02-17,61.26,61.6,59.73,60.9,4338009
2016-02-18,61.25,61.46,60.15,60.96,2288800
2016-02-19,60.82,61.42,60.26,60.94,2063257
2016-02-22,61.65,61.65,60.39,60.75,1584775
2016-02-23,60.78,61.085,60.37,60.9,1146174
2016-02-24,60.29,60.73,59.92,60.53,2006782
2016-02-25,61.45,62.64,60.07,62.62,2386821
2016-02-26,62.62,63.94,61.81,61.98,3242960
2016-02-29,62.0,62.54,61.55,61.75,2920597
2016-03-01,62.2,62.21,60.65,61.11,2995730
2016-03-02,61.11,61.47,60.04,61.46,2468200
2016-03-03,61.3,61.91,60.98,61.87,1908973
2016-03-04,61.89,62.3069,61.48,61.95,1531972
2016-03-07,61.64,62.44,61.33,62.05,1541890
2016-03-08,61.88,62.908,61.6,62.51,1501283
2016-03-09,62.55,63.25,62.41,63.25,2191027
