Date,Open,High,Low,Close,Volume
2015-06-22,77.0,77.28,76.19,76.3,337634
2015-06-23,76.13,76.37,75.23,75.52,834028
2015-06-24,75.64,76.09,75.01,75.04,407815
2015-06-25,74.98,75.5699,74.64,74.71,503121
2015-06-26,74.2,74.81,73.572,74.75,541463
2015-06-29,74.7,75.62,74.05,74.1,594632
2015-06-30,74.44,75.15,73.96,74.28,651765
2015-07-01,74.54,75.98,74.04,75.88,1000359
2015-07-02,76.38,77.17,75.88,76.38,493578
2015-07-06,76.12,77.02,75.95,76.6,694412
2015-07-07,76.94,77.72,75.49,77.17,1448895
2015-07-08,76.89,77.34,76.7,76.88,577551
2015-07-09,77.27,77.82,77.0,77.21,559953
2015-07-10,77.35,78.44,77.35,77.56,456969
2015-07-13,78.03,78.64,77.1,77.55,479262
2015-07-14,77.8,78.3,77.28,77.86,276890
2015-07-15,77.79,78.39,77.13,78.01,396309
2015-07-16,78.15,78.66,78.11,78.36,385192
2015-07-17,78.27,78.55,77.35,78.44,520422
2015-07-20,78.34,79.05,77.4233,78.89,439840
2015-07-21,79.31,79.87,78.43,78.45,545169
2015-07-22,78.47,79.37,78.47,78.92,410225
2015-07-23,79.02,79.05,77.79,78.26,763458
2015-07-24,78.17,79.27,77.995,78.94,657494
2015-07-27,78.93,79.825,78.81,78.92,671801
2015-07-28,78.9,79.25,78.47,78.62,553695
2015-07-29,78.47,78.73,77.81,78.62,717211
2015-07-30,78.46,78.89,77.85,78.7,958303
2015-07-31,79.07,80.62,79.07,79.63,1285585
2015-08-03,79.9,79.98,79.04,79.75,1177964
2015-08-04,79.76,80.13,79.02,79.17,716311
2015-08-05,79.39,79.61,78.5,78.85,655779
2015-08-06,78.85,79.23,77.59,79.0,527329
2015-08-07,78.95,79.84,78.48,79.62,528888
2015-08-10,79.94,79.96,79.41,79.73,628595
2015-08-11,79.57,80.39,79.26,79.86,773650
2015-08-12,79.69,80.1,78.71,80.09,597403
