Date,Open,High,Low,Close,Volume
2015-06-22,11.74,11.8,11.6513,11.6833,22441814
2015-06-23,11.7433,11.81,11.5967,11.62,27354858
2015-06-24,11.5867,11.6533,11.2467,11.2967,49961795
2015-06-25,11.3367,11.3867,11.2267,11.2333,23745563
2015-06-26,11.24,11.2933,11.12,11.2233,33217953
2015-06-29,11.1133,11.21,10.8233,10.8267,44468164
2015-06-30,10.93,10.9733,10.8,10.8833,33140193
2015-07-01,10.9767,11.0533,10.9033,10.9667,18608786
2015-07-02,11.0267,11.0483,10.8767,10.8933,20205809
2015-07-06,10.79,10.9133,10.7333,10.8333,18063446
2015-07-07,10.8567,10.985,10.7167,10.93,25580529
2015-07-08,10.8167,10.8567,10.5733,10.5967,20439377
2015-07-09,10.7067,10.83,10.63,10.6333,20628407
2015-07-10,10.7733,10.7933,10.655,10.71,18077294
2015-07-13,10.7833,10.7933,10.6267,10.6333,30809433
2015-07-14,10.6367,10.7733,10.6267,10.69,37211014
2015-07-15,10.9433,11.0333,10.73,10.8,43311544
2015-07-16,10.9167,10.92,10.69,10.7233,20744906
2015-07-17,10.77,10.8267,10.6167,10.7267,19925780
2015-07-20,10.7633,10.82,10.6533,10.6667,18605315
2015-07-21,10.6733,10.7633,10.5167,10.62,23186186
2015-07-22,10.63,10.6833,10.3933,10.5233,26601207
2015-07-23,10.51,10.5267,10.22,10.2833,22407977
2015-07-24,10.2833,10.39,10.2167,10.27,22785422
2015-07-27,10.2033,10.3067,10.1347,10.1733,22007903
2015-07-28,10.2467,10.3833,10.24,10.36,21903524
2015-07-29,10.3633,10.5117,10.335,10.4967,20648216
2015-07-30,10.4633,10.5133,10.4333,10.4867,16931141
2015-07-31,10.4967,10.5387,10.3967,10.4267,17218592
2015-08-03,10.4467,10.45,10.3,10.38,17213033
2015-08-04,10.38,10.4533,10.23,10.29,19849976
2015-08-05,10.3567,10.42,10.2467,10.2533,11432113
2015-08-06,10.2533,10.2533,10.0767,10.1433,21226721
2015-08-07,10.12,10.14,9.9433,9.9867,15720419
2015-08-10,10.0567,10.1433,10.0533,10.08,18741473
2015-08-11,9.9933,10.0233,9.74,9.7767,38557624
2015-08-12,9.7067,9.87,9.5767,9.84,26104311
2015-08-13,9.8367,9.8917,9.7868,9.7967,13495168
2015-08-14,9.7967,9.8933,9.7933,9.8733,9963985
2015-08-17,9.8367,9.9033,9.77,9.8933,16440779
2015-08-18,9.8967,9.9167,9.85,9.8733,13631623
2015-08-19,9.78,9.83,9.605,9.64,19250987
2015-08-20,9.5167,9.62,9.45,9.4533,22084229
2015-08-21,9.3567,9.4233,9.1233,9.1267,29923671
2015-08-24,8.2467,8.9833,8.1567,8.7567,49739585
2015-08-25,9.02,9.03,8.43,8.4367,39336994
2015-08-26,8.71,8.81,8.5367,8.79,46704725
2015-08-27,8.89,9.17,8.8333,9.1633,41748724
2015-08-28,9.1333,9.2867,9.0867,9.2667,29868522
2015-08-31,9.2033,9.2217,9.1,9.1267,18421304
2015-09-01,8.8967,8.9833,8.86,8.91,23553539
2015-09-02,9.0233,9.0633,8.8467,8.9967,18485270
2015-09-03,9.02,9.1667,9.0067,9.0933,24160385
2015-09-04,8.9833,9.0667,8.9173,8.95,16136174
2015-09-08,9.15,9.3433,9.1267,9.3333,24950366
2015-09-09,9.39,9.54,9.2417,9.27,31352913
2015-09-10,9.2833,9.3733,9.2667,9.34,23530703
2015-09-11,9.3533,9.5533,9.3467,9.5,37034194
2015-09-14,9.4867,9.5233,9.4117,9.4633,21841238
2015-09-15,9.4967,9.65,9.47,9.63,19833557
2015-09-16,9.6233,9.7733,9.6133,9.75,23929469
2015-09-17,9.73,9.8767,9.6867,9.7267,22263881
2015-09-18,9.6333,9.6367,9.2967,9.3867,45644855
2015-09-21,9.4333,9.505,9.3467,9.3667,23515256
2015-09-22,9.25,9.25,9.0233,9.09,30236643
2015-09-23,9.1067,9.1333,8.82,8.86,41869594
2015-09-24,8.7533,8.853,8.6733,8.7967,26245911
2015-09-25,8.9033,8.9867,8.8167,8.84,24249008
2015-09-28,8.8267,8.8667,8.6533,8.6633,30438063
2015-09-29,8.6833,8.6967,8.5633,8.6467,36096154
2015-09-30,8.7833,9.0,8.7533,8.9667,38183584
2015-10-01,9.0433,9.09,8.9033,9.01,27096522
2015-10-02,8.8433,9.1067,8.815,9.1033,16970594
2015-10-05,9.16,9.3133,9.12,9.2767,19238030
2015-10-06,9.28,9.3533,9.21,9.2333,15841040
2015-10-07,9.32,9.52,9.3033,9.4567,20614145
2015-10-08,9.44,9.72,9.4167,9.6967,25363281
2015-10-09,9.76,9.89,9.6233,9.6933,22636823
2015-10-12,9.6467,9.6667,9.4067,9.4567,25993170
2015-10-13,9.3867,9.42,9.2067,9.2367,33611823
2015-10-14,9.1467,9.2833,8.9633,9.0633,39977074
2015-10-15,9.1833,9.3433,9.0567,9.2967,33031053
2015-10-16,9.3233,9.3533,9.1283,9.1433,30514473
2015-10-19,9.1,9.1367,9.0167,9.11,23906915
2015-10-20,9.08,9.3133,9.0667,9.2533,21430319
2015-10-21,9.31,9.36,9.14,9.1633,23651489
2015-10-22,9.2433,9.4667,9.2333,9.3767,21194543
2015-10-23,9.4333,9.525,9.3517,9.4567,19624985
2015-10-26,9.4367,9.4867,9.28,9.2967,18663083
2015-10-27,9.2067,9.2333,8.9033,8.9433,22569788
2015-10-28,9.01,9.1867,8.9633,9.1,21224894
2015-10-29,9.01,9.135,8.99,9.0833,17145473
2015-10-30,9.11,9.1633,8.9967,8.9967,19343765
2015-11-02,8.9967,9.1667,8.9867,9.1433,15275582
2015-11-03,9.1233,9.2367,9.0833,9.1833,14267851
2015-11-04,9.21,9.2567,9.1067,9.1467,13550788
2015-11-05,9.16,9.22,9.0767,9.0833,17112650
2015-11-06,9.07,9.1267,8.95,9.0233,17115320
2015-11-09,9.0033,9.47,8.79,9.26,61274046
2015-11-10,9.26,9.4333,9.2033,9.3167,30459573
2015-11-11,9.35,9.4133,9.1367,9.1767,18103283
2015-11-12,9.0867,9.21,9.01,9.0167,19516985
2015-11-13,8.9833,9.1433,8.95,8.9767,19153748
2015-11-16,8.9633,9.105,8.8883,9.1033,15328073
2015-11-17,9.1067,9.1933,8.8767,9.0567,21462083
2015-11-18,9.2367,9.4833,9.2067,9.4233,37252564
2015-11-19,9.45,9.87,9.34,9.7367,49173005
2015-11-20,9.7833,10.1767,9.74,9.9633,55216026
2015-11-23,9.93,9.9767,9.665,9.6933,22593917
2015-11-24,9.6233,9.7267,9.5937,9.6767,15012266
2015-11-25,9.6133,9.65,9.5533,9.61,16783391
2015-11-27,9.6,9.685,9.57,9.6633,7567375
2015-11-30,9.65,9.6867,9.4667,9.4767,24850871
2015-12-01,9.49,9.5566,9.3933,9.5333,17584811
2015-12-02,9.5,9.5133,9.1133,9.1767,37810324
2015-12-03,9.1633,9.19,8.9067,9.0333,42633904
2015-12-04,8.84,9.0067,8.7367,8.9533,39987874
2015-12-07,8.9167,8.9867,8.645,8.6767,33700953
2015-12-08,8.54,8.5567,8.32,8.33,42685174
2015-12-09,8.2933,8.4433,8.2133,8.3367,34011843
2015-12-10,8.3433,8.44,8.2133,8.2333,26945907
2015-12-11,8.43,8.62,8.1933,8.5733,60319266
2015-12-14,8.5467,8.5896,8.3333,8.43,28141053
2015-12-15,8.5333,8.8033,8.5133,8.7633,39333634
2015-12-16,8.8067,8.9433,8.6467,8.81,27507954
2015-12-17,8.8,8.8533,8.5333,8.5333,23819009
2015-12-18,8.4867,8.5033,8.3333,8.4,40300684
2015-12-21,8.4933,8.53,8.3383,8.3733,18347756
2015-12-22,8.45,8.6133,8.4167,8.5833,18010049
2015-12-23,8.5867,8.79,8.52,8.7133,17191676
2015-12-24,8.7167,8.8,8.6883,8.71,4782234
2015-12-28,8.7167,8.7433,8.6167,8.6467,9254488
2015-12-29,8.6933,8.8067,8.6733,8.7933,12325888
2015-12-30,8.7067,8.7367,8.62,8.6333,13748719
2015-12-31,8.5,8.7133,8.5,8.65,14226676
2016-01-04,8.4567,8.6,8.36,8.5967,28682733
2016-01-05,8.6,8.6633,8.4033,8.51,15648830
2016-01-06,8.3567,8.4067,8.0567,8.1233,25154664
2016-01-07,7.94,8.1,7.8633,7.8733,29452266
2016-01-08,7.9333,7.95,7.8117,7.8267,29016243
2016-01-11,7.7933,7.93,7.7267,7.84,33136803
2016-01-12,7.86,8.0467,7.7367,7.9,35531434
2016-01-13,7.84,7.97,7.25,7.45,66027847
2016-01-14,7.55,7.93,7.52,7.7533,49671545
2016-01-15,7.4167,7.61,7.3833,7.5867,37816594
2016-01-19,7.7067,7.7667,7.49,7.5767,32702103
2016-01-20,7.43,7.5267,7.1083,7.43,31633383
2016-01-21,7.3333,7.6017,7.22,7.4533,32120043
2016-01-22,7.64,7.74,7.375,7.4733,28357194
2016-01-25,7.45,7.5067,7.3033,7.3233,16827959
2016-01-26,7.3827,7.45,7.3367,7.4233,27637137
2016-01-27,7.4333,7.555,7.265,7.3233,29135115
2016-01-28,7.4233,7.5067,7.3433,7.4567,18869228
2016-01-29,7.5167,7.675,7.51,7.6733,25368264
2016-02-01,7.5333,7.6633,7.4583,7.62,25363188
2016-02-02,7.5367,7.56,7.2867,7.3433,20956586
2016-02-03,7.4467,7.51,7.2133,7.4533,21894554
2016-02-04,7.45,7.815,7.45,7.6833,31162623
2016-02-05,7.68,7.75,7.5533,7.61,19874237
2016-02-08,7.5467,7.6867,7.4267,7.67,33904443
2016-02-09,7.52,7.9767,7.52,7.96,48142445
2016-02-10,8.0067,8.1233,7.9467,8.0433,36725674
2016-02-11,7.8833,7.98,7.6783,7.8033,24627608
2016-02-12,7.7567,8.0733,7.7533,8.0633,24681581
2016-02-16,8.26,8.33,7.99,8.2533,33629283
2016-02-17,8.1233,8.3933,7.9167,8.2767,37642024
2016-02-18,8.2733,8.36,8.1833,8.2733,27202215
2016-02-19,8.2133,8.3033,8.1367,8.17,98073100
2016-02-22,8.48,8.57,8.4033,8.4333,29263590
2016-02-23,8.2867,8.4667,8.1183,8.1267,27004428
2016-02-24,8.0033,8.23,7.86,8.1633,27403473
2016-02-25,8.14,8.2317,8.0166,8.12,20452490
2016-02-26,8.1667,8.27,8.09,8.1033,25172265
2016-02-29,8.0867,8.1667,8.0033,8.0467,25874178
2016-03-01,8.15,8.3183,8.0867,8.2133,41410234
2016-03-02,8.38,8.4067,8.1667,8.1833,78296918
2016-03-03,8.1833,8.35,8.15,8.3,81166598
2016-03-04,8.3533,8.5,8.2867,8.41,31281063
2016-03-07,8.4033,8.5583,8.35,8.5133,23122574
2016-03-08,8.4167,8.4467,8.2233,8.2333,23278832
2016-03-09,8.2467,8.3933,8.2317,8.36,24904373
2016-03-10,8.4233,8.5567,8.2833,8.43,26143443
2016-03-11,8.5367,8.7267,8.5,8.7,26196690
2016-03-14,8.73,8.8033,8.66,8.7267,32397663
2016-03-15,8.6567,8.67,8.5367,8.65,21554450
2016-03-16,8.6267,8.7667,8.5833,8.7267,15549902
2016-03-17,8.7467,8.93,8.71,8.8967,19270394
2016-03-18,8.9533,9.09,8.8967,9.0067,40560934
2016-03-21,9.02,9.0467,8.81,8.8867,14453962
2016-03-22,8.81,8.8633,8.77,8.79,14918254
2016-03-23,8.7833,8.79,8.6033,8.62,19152134
2016-03-24,8.59,8.7267,8.5017,8.7233,12965023
2016-03-28,8.68,8.7167,8.4767,8.54,16815110
2016-03-29,8.4667,8.6633,8.3433,8.63,18030827
2016-03-30,8.67,8.82,8.6433,8.7667,19602290
2016-03-31,8.6867,8.7607,8.56,8.5833,28232625
2016-04-01,8.5467,8.57,8.39,8.54,32401923
2016-04-04,8.51,8.58,8.3433,8.3867,57584886
2016-04-05,8.34,8.4033,8.2385,8.35,27265086
2016-04-06,8.3367,8.3533,8.1533,8.2833,30739113
2016-04-07,8.22,8.2933,8.1533,8.2067,26732628
2016-04-08,8.29,8.4267,8.22,8.2667,28078380
2016-04-11,8.2433,8.3233,8.12,8.1767,35767474
2016-04-12,8.2167,8.3733,8.1867,8.33,32307663
2016-04-13,8.6333,8.7733,8.3567,8.6767,51628115
2016-04-14,8.81,8.81,8.5933,8.7133,25916940
2016-04-15,8.7833,8.8133,8.595,8.6433,22284278
