Date,Open,High,Low,Close,Volume
2015-06-22,33.24,33.36,32.85,33.21,2895592
2015-06-23,33.13,33.23,32.555,32.62,6428614
2015-06-24,32.6,33.03,32.25,32.32,4798692
2015-06-25,32.34,32.35,31.74,31.91,4423683
2015-06-26,31.8,32.11,31.75,31.98,4370786
2015-06-29,31.67,31.99,31.46,31.47,3311473
2015-06-30,31.64,31.76,31.27,31.54,5692688
2015-07-01,31.51,31.68,30.77,31.0,4527230
2015-07-02,31.24,31.41,30.98,31.03,2823323
2015-07-06,30.39,30.885,30.37,30.6,3970661
2015-07-07,30.37,30.605,30.0,30.51,3877203
2015-07-08,30.34,30.46,29.52,29.59,4177298
2015-07-09,30.08,30.11,29.58,29.58,3975037
2015-07-10,29.8,29.97,29.295,29.3,3721004
2015-07-13,29.49,29.8,29.17,29.73,3987264
2015-07-14,30.38,30.38,29.69,29.9,4199906
2015-07-15,29.7,29.94,29.27,29.41,4135077
2015-07-16,29.55,29.805,29.39,29.51,3262664
2015-07-17,29.43,29.65,28.98,29.01,4237411
2015-07-20,28.75,29.01,28.42,28.69,5173465
2015-07-21,28.9,29.14,28.329,28.44,6854298
2015-07-22,28.27,28.45,27.74,27.91,6632802
2015-07-23,27.87,28.12,26.68,27.6,10866580
2015-07-24,25.51,27.24,25.5,26.5,10282140
2015-07-27,25.89,27.23,25.76,26.44,11253680
2015-07-28,26.47,27.33,26.07,26.8,9116152
2015-07-29,26.57,27.23,26.22,26.4,8927046
2015-07-30,26.37,26.62,25.9,26.02,5293133
2015-07-31,25.87,26.6,25.79,26.16,6077170
2015-08-03,25.75,26.08,25.49,25.54,4836133
2015-08-04,25.94,26.01,25.38,25.5,3071160
2015-08-05,25.83,26.1,25.13,25.32,3672716
2015-08-06,25.25,25.6,24.85,25.41,8149874
2015-08-07,25.23,25.71,24.82,24.9,4085125
2015-08-10,25.09,25.85,24.92,25.84,4996337
2015-08-11,25.16,26.105,25.13,26.07,5102645
2015-08-12,26.08,27.09,26.03,27.02,6034772
2015-08-13,26.72,27.12,26.53,26.97,8324125
2015-08-14,27.0,27.24,26.89,26.98,5630957
2015-08-17,26.81,27.17,26.6,26.78,5763372
2015-08-18,26.57,26.85,26.36,26.62,2781512
2015-08-19,26.45,26.58,25.69,25.82,3602470
2015-08-20,25.75,25.85,24.85,24.86,5469540
2015-08-21,24.81,25.05,24.32,24.39,4827900
2015-08-24,23.09,23.3,21.87,22.0,16068880
2015-08-25,22.95,23.11,21.27,21.3,11696170
2015-08-26,21.76,21.81,20.94,21.67,19090120
2015-08-27,22.17,23.1,21.29,23.08,12896900
2015-08-28,23.01,23.72,22.88,23.3,5872859
2015-08-31,23.0,24.145,22.77,23.67,5612817
2015-09-01,22.96,23.64,22.8,23.03,6012784
2015-09-02,23.34,23.56,22.51,23.32,3958893
2015-09-03,23.39,24.17,23.14,23.41,7409478
2015-09-04,23.1,23.325,22.74,22.78,5000999
2015-09-08,23.1,23.32,22.33,22.85,6323234
2015-09-09,23.0,23.42,22.44,22.5,5267110
2015-09-10,22.56,23.205,22.37,23.05,4814527
2015-09-11,22.58,23.33,22.5001,23.15,4824777
2015-09-14,22.99,23.02,22.04,22.26,4553308
2015-09-15,22.34,22.86,22.28,22.77,2963679
2015-09-16,22.89,23.75,22.74,23.72,3954886
2015-09-17,23.67,24.27,23.57,23.7,6082226
2015-09-18,23.3,24.06,23.3,23.49,8619944
2015-09-21,23.73,24.195,23.55,23.91,4392900
2015-09-22,23.5,24.26,23.33,23.92,6325456
2015-09-23,24.0,24.08,23.55,23.58,5033540
2015-09-24,23.41,24.43,23.26,24.12,5076159
2015-09-25,24.33,24.47,23.75,23.82,5241699
2015-09-28,23.55,23.66,22.63,22.7,6135984
2015-09-29,22.78,22.85,21.31,21.54,12962500
2015-09-30,21.75,22.03,21.32,21.86,5750851
2015-10-01,22.14,22.4,21.2,21.22,6498558
2015-10-02,21.0,21.95,20.86,21.92,12370340
2015-10-05,22.18,23.0175,22.06,22.9,8696268
2015-10-06,22.93,23.72,22.81,23.5,9572449
2015-10-07,23.96,24.15,22.77,23.25,6255944
2015-10-08,23.25,23.42,22.87,23.15,8545044
2015-10-09,23.24,23.53,22.99,23.24,6789744
2015-10-12,23.32,23.45,22.385,22.93,3629691
2015-10-13,22.73,23.145,22.26,22.35,6223105
2015-10-14,22.34,23.055,22.22,22.94,4033141
2015-10-15,22.97,23.81,22.89,23.72,4847341
2015-10-16,23.84,23.93,23.09,23.21,6281148
2015-10-19,23.0,23.48,22.8,23.11,4988809
2015-10-20,23.14,24.0601,23.02,23.44,4519260
2015-10-21,23.3,23.39,22.33,22.34,4574011
2015-10-22,22.43,22.75,21.78,22.09,6676582
2015-10-23,21.05,21.71,20.0,21.1,11113700
2015-10-26,20.91,21.68,20.78,20.83,8179619
2015-10-27,20.47,21.415,20.41,21.14,9717433
2015-10-28,21.25,21.98,20.69,21.82,8273360
2015-10-29,21.84,22.24,21.46,21.53,6022329
2015-10-30,21.58,21.82,21.11,21.71,7630187
2015-11-02,21.53,22.43,21.42,22.29,4479128
2015-11-03,22.36,22.64,22.01,22.04,4435815
2015-11-04,22.18,23.04,21.9,22.42,6827491
2015-11-05,22.26,22.905,22.1,22.64,4827412
2015-11-06,22.34,22.98,22.13,22.3,4929375
2015-11-09,22.25,22.78,22.125,22.57,4265949
2015-11-10,22.44,22.91,22.21,22.64,4811284
2015-11-11,22.59,22.64,20.68,20.88,7111478
