Date,Open,High,Low,Close,Volume
2015-06-22,62.95,63.3,62.54,63.2,2438917
2015-06-23,63.21,63.4672,62.89,63.29,1904780
2015-06-24,63.23,63.72,62.99,63.02,3025925
2015-06-25,63.35,63.95,63.06,63.7,2455531
2015-06-26,63.64,64.26,63.45,63.83,2810419
2015-06-29,63.1,63.13,61.06,61.175,2680747
2015-06-30,61.78,61.7899,60.7779,61.09,2900002
2015-07-01,61.79,62.33,61.53,62.12,2438482
2015-07-02,61.89,62.23,57.69,60.53,11140080
2015-07-06,59.42,61.24,59.42,59.96,4723948
2015-07-07,59.95,60.47,59.08,60.295,4170237
2015-07-08,60.1,60.19,58.9,59.03,2526951
2015-07-09,59.9,60.11,59.41,59.49,3065375
2015-07-10,60.46,60.46,59.68,59.71,2356219
2015-07-13,60.4,60.53,59.98,60.23,2705767
2015-07-14,60.31,60.95,60.11,60.61,2395262
2015-07-15,60.53,61.36,60.01,60.85,3288345
2015-07-16,61.67,61.98,60.95,61.17,2045583
2015-07-17,61.46,61.46,60.23,60.59,2673340
2015-07-20,60.86,60.86,60.31,60.49,1499743
2015-07-21,61.71,61.99,61.32,61.56,3415207
2015-07-22,61.37,62.42,61.37,62.19,2257735
2015-07-23,62.24,62.69,61.95,62.26,1751068
2015-07-24,62.69,62.69,61.3468,61.6,2074751
2015-07-27,61.26,61.34,60.58,60.75,1712807
2015-07-28,60.5,61.5,60.39,61.17,1930687
2015-07-29,61.22,62.33,60.93,62.26,2889446
2015-07-30,61.83,63.28,61.32,63.12,2929105
2015-07-31,63.66,63.67,62.76,63.1,3302462
2015-08-03,63.31,63.38,62.5,62.88,2525890
2015-08-04,63.06,63.82,62.93,63.29,4973593
2015-08-05,67.36,69.35,67.23,67.34,8297401
2015-08-06,67.88,68.26,66.38,67.08,4299308
2015-08-07,67.55,68.06,66.34,67.62,4592708
2015-08-10,68.0,68.49,67.85,68.44,3113132
2015-08-11,68.06,68.15,67.02,67.78,3255532
2015-08-12,67.6,67.92,66.625,67.47,3298919
2015-08-13,67.41,68.27,66.855,67.94,2812413
2015-08-14,67.62,68.04,67.02,67.17,3051241
2015-08-17,66.79,67.71,66.69,67.65,2679825
2015-08-18,67.64,67.98,67.38,67.84,2009103
2015-08-19,67.33,67.72,66.82,67.03,3091811
2015-08-20,66.37,66.75,65.22,65.7,4239143
2015-08-21,65.01,65.5996,62.85,62.85,4935570
2015-08-24,59.14,62.23,57.5,59.83,6770331
2015-08-25,61.31,62.2399,58.83,58.98,6268218
2015-08-26,60.57,62.24,59.77,62.16,5729945
2015-08-27,62.73,63.905,62.26,63.8,4849681
2015-08-28,62.87,64.12,62.61,63.72,4177340
2015-08-31,63.13,63.39,62.55,62.94,4385854
2015-09-01,61.54,62.4,60.83,61.23,5097056
2015-09-02,62.14,62.55,60.61,62.54,3699456
2015-09-03,62.84,63.4,62.54,62.86,2974813
2015-09-04,61.76,62.439,61.23,61.75,3487695
2015-09-08,63.01,63.49,62.47,63.17,3824961
2015-09-09,63.75,63.87,61.94,62.13,2699262
2015-09-10,61.8,63.22,61.69,62.63,2829778
2015-09-11,62.26,62.97,61.95,62.79,2367454
2015-09-14,62.87,63.12,61.95,62.08,2394714
2015-09-15,62.45,62.84,62.04,62.77,4727864
2015-09-16,62.92,64.0,62.73,63.62,2791164
2015-09-17,63.47,63.78,62.75,62.89,2791511
2015-09-18,62.1,62.62,61.51,61.83,4401721
2015-09-21,62.15,63.095,62.0,62.82,2993078
2015-09-22,62.1,62.43,61.32,61.86,2218411
2015-09-23,61.88,62.52,61.61,62.25,2300477
2015-09-24,61.62,61.85,60.56,61.12,5025499
2015-09-25,61.93,62.08,60.84,61.29,2559554
2015-09-28,61.15,61.49,59.91,60.04,2980359
2015-09-29,60.22,60.73,59.94,60.58,2837959
2015-09-30,61.51,62.7,61.1,62.61,4033621
2015-10-01,62.95,63.56,62.23,63.27,3412662
2015-10-02,62.1,63.28,61.27,63.27,3031920
2015-10-05,63.91,65.26,63.6,65.11,2958770
2015-10-06,64.81,65.21,64.525,64.98,2310771
2015-10-07,65.45,65.99,64.8,65.99,3139488
2015-10-08,65.51,66.62,65.48,66.36,2083480
2015-10-09,66.6,66.98,66.36,66.94,3306720
