Date,Open,High,Low,Close,Volume
2015-06-22,12.655,12.7483,12.61,12.69,2966963
2015-06-23,12.665,12.6983,12.5,12.5933,2538965
2015-06-24,12.565,12.675,12.425,12.43,3125897
2015-06-25,12.485,12.485,12.2717,12.31,3710903
2015-06-26,12.34,12.475,12.325,12.3717,16239465
2015-06-29,12.3333,12.4667,12.0383,12.0467,6037667
2015-06-30,12.175,12.175,11.9417,11.995,4387931
2015-07-01,12.0517,12.355,12.0383,12.3283,3724679
2015-07-02,12.2983,12.4767,12.235,12.2917,2693933
2015-07-06,12.185,12.3,12.0017,12.035,2529179
2015-07-07,12.025,12.1717,11.7917,12.1367,4166105
2015-07-08,12.07,12.185,11.7867,11.885,3088751
2015-07-09,12.0267,12.17,11.9767,12.0417,3017387
2015-07-10,12.145,12.2367,12.055,12.175,2177676
2015-07-13,12.2633,12.4532,12.195,12.395,3965465
2015-07-14,12.4017,12.4267,12.2917,12.3383,2107098
2015-07-15,12.315,12.37,12.24,12.2817,1873428
2015-07-16,12.3617,12.3617,12.0817,12.1383,4681643
2015-07-17,12.075,12.1392,11.9683,12.0267,2605895
2015-07-20,12.0033,12.0617,11.8767,11.9067,2912783
2015-07-21,11.8767,11.9933,11.723,11.8533,2836301
2015-07-22,11.7767,12.0767,11.7767,11.9733,2819435
2015-07-23,12.0383,12.0683,11.755,11.775,2277234
2015-07-24,11.7367,11.8883,11.6117,11.645,3218435
2015-07-27,11.5583,11.6033,11.3383,11.4017,4530407
2015-07-28,11.5167,11.61,11.3367,11.4467,4455785
2015-07-29,11.4417,11.675,11.3867,11.575,3715007
2015-07-30,11.5383,11.965,11.5167,11.925,7996816
2015-07-31,11.9567,12.2192,11.8583,12.1467,8924146
2015-08-03,12.1217,12.2808,11.8367,11.93,5643383
2015-08-04,11.9717,12.0383,11.79,11.8117,3867983
2015-08-05,11.9083,12.16,11.8533,11.9583,3582869
2015-08-06,12.0117,12.1333,11.7283,11.79,3129965
2015-08-07,11.72,11.79,11.525,11.6033,4256189
2015-08-10,11.67,11.7838,11.5983,11.715,2638007
2015-08-11,11.5817,11.6525,11.37,11.4283,3863567
2015-08-12,11.335,11.5317,11.235,11.4567,4917599
2015-08-13,11.435,11.6767,11.4033,11.6067,3094937
2015-08-14,11.5567,11.7883,11.5333,11.69,2391126
2015-08-17,11.6433,11.8017,11.525,11.76,2675687
