Date,Open,High,Low,Close,Volume
2015-06-22,57.6114,57.8987,57.5446,57.6114,2530688
2015-06-23,57.5446,57.6983,57.2207,57.2574,2264396
2015-06-24,57.1639,57.3977,56.9969,57.057,2928331
2015-06-25,57.2574,57.3075,56.705,57.0637,2548713
2015-06-26,57.3509,57.4645,57.017,57.2841,9751703
2015-06-29,56.87,57.1372,56.4859,56.6095,6000222
2015-06-30,56.9568,57.3643,56.8099,57.1706,5618703
2015-07-01,57.4444,57.6716,57.2441,57.6716,5669468
2015-07-02,57.7918,58.0656,57.6315,57.9788,3782179
2015-07-06,57.3977,57.6782,57.2574,57.3576,7219654
2015-07-07,57.5847,58.2861,56.8967,58.1592,4992469
2015-07-08,57.8653,57.9521,57.214,57.2708,5125721
2015-07-09,57.8519,58.0256,57.2574,57.2708,5154886
2015-07-10,57.745,58.059,57.4845,57.8786,4654491
2015-07-13,58.226,58.8472,58.1104,58.7804,4938879
2015-07-14,58.9474,59.4617,58.8538,59.4216,14034190
2015-07-15,59.5352,59.5819,58.9741,59.0008,5655558
2015-07-16,59.2346,59.3481,58.7804,59.2479,4356812
2015-07-17,59.101,59.288,58.9407,59.2613,2056819
2015-07-20,59.2613,59.3415,59.0542,59.1678,2917293
2015-07-21,58.9808,59.1411,58.5466,58.6401,3790038
2015-07-22,58.5933,58.9741,58.4664,58.6869,3831642
2015-07-23,59.4483,59.8758,58.9273,59.4817,7150715
2015-07-24,59.3415,59.4884,58.4731,58.6334,3817226
2015-07-27,58.3929,58.7002,57.7985,58.2594,3021509
2015-07-28,58.7536,59.0542,58.4798,59.0475,4144905
2015-07-29,59.3882,60.7776,59.0275,60.7241,5985147
2015-07-30,60.4703,61.4789,60.4703,61.3587,4618352
2015-07-31,61.4255,61.5724,60.9913,61.1583,3396216
2015-08-03,61.1316,61.352,60.4903,61.0047,2359361
2015-08-04,60.9579,61.7327,60.8377,61.2919,2499760
2015-08-05,61.7194,62.0667,61.4455,61.6259,2155077
2015-08-06,61.6726,61.8797,60.9846,61.165,1659714
2015-08-07,60.8577,61.1316,60.29,60.8243,1690897
2015-08-10,61.2385,61.7394,61.2251,61.4188,1783495
2015-08-11,60.8577,61.1316,60.7174,60.8243,2122662
2015-08-12,60.3567,60.3968,59.5552,60.31,3020328
2015-08-13,60.3701,60.6573,60.0695,60.4035,2101938
2015-08-14,60.5438,60.7776,60.2799,60.7308,1466179
2015-08-17,60.4369,61.2318,60.2298,61.2184,1240487
2015-08-18,60.9379,61.3205,60.9379,61.1249,1367151
2015-08-19,60.7241,61.1115,60.3567,60.5371,2336803
2015-08-20,60.1096,60.2499,59.2212,59.288,3450650
2015-08-21,58.9474,59.1143,58.0723,58.079,4261700
2015-08-24,55.2201,57.5847,55.2201,56.1419,6068115
2015-08-25,57.4979,57.4979,55.5474,55.5942,4009152
2015-08-26,56.9234,57.9321,56.0083,57.892,4821414
2015-08-27,58.3662,59.268,58.0323,59.0876,4039906
2015-08-28,58.8338,59.0075,58.3061,58.8204,3245632
2015-08-31,58.226,58.954,57.3443,58.1258,3520957
2015-09-01,56.9168,57.4311,56.3156,56.6362,5231856
2015-09-02,57.2441,57.6448,56.6763,57.6315,3439687
2015-09-03,58.079,58.5132,57.745,58.0323,3008090
2015-09-04,57.2307,57.578,57.0036,57.1706,2844857
2015-09-08,58.1725,58.4865,57.5547,58.4664,3001030
2015-09-09,58.7804,59.0409,57.5981,57.7183,2730991
2015-09-10,57.6716,57.9387,57.224,57.4778,3446529
2015-09-11,57.4645,58.0122,57.3175,58.0055,3067480
2015-09-14,58.1258,58.3061,57.6782,57.9588,3961320
2015-09-15,58.2861,59.1477,58.0456,59.0475,3401524
2015-09-16,58.8939,59.7088,58.7937,59.6287,3165305
2015-09-17,59.5886,59.7222,58.7269,58.8672,3756780
2015-09-18,58.1992,58.2059,57.0904,57.5847,9359355
2015-09-21,57.7651,58.1458,57.3175,57.725,3957452
2015-09-22,57.1505,57.4177,56.7464,57.1572,5025105
2015-09-23,57.2641,57.5313,57.037,57.224,3017264
2015-09-24,56.8366,56.9168,56.182,56.7898,3696288
2015-09-25,57.4311,57.7784,56.8566,56.9702,5289878
2015-09-28,56.6563,56.8834,54.973,55.0398,5874234
