Date,Open,High,Low,Close,Volume
2015-06-22,112.79,113.88,112.15,113.86,346414
2015-06-23,113.98,113.98,112.83,113.62,211069
2015-06-24,113.31,113.8206,111.56,111.64,379734
2015-06-25,112.28,112.87,111.17,111.72,589182
2015-06-26,112.46,115.24,112.04,114.9,878002
2015-06-29,112.15,114.41,111.85,114.0,734243
2015-06-30,114.11,114.97,113.08,113.4,558530
2015-07-01,114.77,115.43,114.41,114.55,381878
2015-07-02,114.68,115.02,113.21,113.88,295780
2015-07-06,113.01,113.34,112.48,113.13,412025
2015-07-07,113.37,113.95,112.1,113.42,445071
2015-07-08,112.41,114.49,112.4,113.24,424767
2015-07-09,114.45,115.0,113.57,113.69,599461
2015-07-10,115.02,116.25,114.01,115.92,345618
2015-07-13,117.31,119.729,116.69,119.43,703492
2015-07-14,119.22,119.7,118.22,118.79,536755
2015-07-15,118.8,119.31,117.9,118.54,546840
2015-07-16,116.96,119.0,114.53,115.57,1300523
2015-07-17,115.2,115.32,109.57,110.04,2244756
2015-07-20,109.97,111.83,109.97,111.04,762342
2015-07-21,110.95,111.57,110.1001,111.37,536075
2015-07-22,111.22,112.8563,111.22,112.31,608613
2015-07-23,112.71,113.23,111.53,111.65,467407
2015-07-24,112.33,112.76,110.89,110.96,530798
2015-07-27,110.72,112.41,110.56,111.31,452851
2015-07-28,111.47,111.99,110.745,111.77,371433
2015-07-29,111.6,113.8,111.6,113.51,436336
2015-07-30,113.51,114.08,112.09,113.84,295122
2015-07-31,114.19,114.91,113.404,113.84,365826
2015-08-03,113.84,114.69,113.388,114.27,337117
2015-08-04,114.42,115.61,113.95,115.23,354174
2015-08-05,115.54,116.27,114.25,114.4,400644
2015-08-06,114.42,114.78,111.66,111.84,482251
2015-08-07,111.94,113.58,110.8,113.43,416170
2015-08-10,113.73,114.4,112.51,113.14,295020
2015-08-11,112.69,113.56,111.6,113.49,556227
2015-08-12,112.0,112.41,109.58,111.88,412245
2015-08-13,111.97,114.46,111.94,114.2,333316
2015-08-14,114.2,114.499,113.17,114.17,239408
2015-08-17,113.75,114.99,112.88,114.99,295909
2015-08-18,115.0,115.06,112.86,112.9,320014
2015-08-19,112.4,112.4,110.41,110.53,751256
2015-08-20,109.88,110.303,107.32,107.66,569326
2015-08-21,106.18,107.08,104.45,104.48,888450
2015-08-24,99.25,105.26,99.0,101.78,736306
2015-08-25,103.53,106.3,103.08,105.02,1039181
2015-08-26,106.66,106.66,103.26,106.3,572468
2015-08-27,107.27,108.52,106.2701,107.8,328161
2015-08-28,108.8,108.8,107.0,108.41,255140
2015-08-31,107.75,108.265,105.74,105.94,330590
2015-09-01,103.76,105.35,103.33,103.85,812727
2015-09-02,104.6,105.565,104.23,105.18,454203
2015-09-03,105.36,105.94,104.35,105.15,303670
2015-09-04,104.22,105.53,104.0795,105.5,496170
2015-09-08,107.49,109.18,106.68,109.0,455690
2015-09-09,111.73,111.98,107.96,108.18,561888
