Date,Open,High,Low,Close,Volume
2015-06-22,66.2,67.12,66.01,66.62,2591744
2015-06-23,66.8,67.49,66.15,66.58,2514143
2015-06-24,67.73,68.25,67.06,67.68,3317516
2015-06-25,67.94,68.27,67.43,67.45,2108621
2015-06-26,67.52,68.0,66.89,67.63,4895379
2015-06-29,66.77,67.38,66.08,66.22,1955822
2015-06-30,66.6,66.98,66.18,66.5,3140085
2015-07-01,67.37,68.22,67.09,67.995,2618839
2015-07-02,68.48,68.48,67.22,67.8,1657914
2015-07-06,67.14,68.3,67.12,68.01,3583116
2015-07-07,69.06,69.95,67.96,69.89,4890643
2015-07-08,69.58,69.94,68.82,69.0,4506040
2015-07-09,69.89,70.94,69.68,70.5,4395454
2015-07-10,71.25,72.5,70.81,72.07,3838682
2015-07-13,72.41,73.8493,72.41,73.54,3612352
2015-07-14,73.56,73.6,72.03,72.25,6260017
2015-07-15,72.52,72.99,72.33,72.5,4733619
2015-07-16,72.8,73.2298,72.4,72.97,4410208
2015-07-17,72.95,73.55,72.39,73.47,3744606
2015-07-20,74.48,74.92,73.61,74.79,2702787
2015-07-21,75.04,75.1,73.34,73.68,2445578
2015-07-22,73.64,73.8399,71.89,72.92,5244175
2015-07-23,73.32,73.58,71.76,71.81,3523806
2015-07-24,71.81,72.51,71.24,72.29,4284756
2015-07-27,72.43,72.84,70.96,71.22,3422077
2015-07-28,72.02,72.49,71.15,71.8,3383518
2015-07-29,71.91,72.5,71.09,72.18,2672127
2015-07-30,72.01,72.6535,71.03,72.3,3734055
2015-07-31,71.03,72.73,70.5,71.55,5699228
2015-08-03,71.28,71.92,70.14,70.97,3847876
2015-08-04,70.7,71.94,70.7,71.8,2743484
2015-08-05,72.37,75.76,72.25,75.16,5826676
2015-08-06,75.0,75.65,73.5,74.01,4591791
2015-08-07,73.76,73.94,72.42,73.36,3081119
2015-08-10,74.2,74.83,73.7,73.97,2849912
2015-08-11,73.49,73.88,72.86,73.82,2459597
2015-08-12,73.19,73.9317,71.7,73.72,2866062
2015-08-13,73.55,74.12,73.03,73.38,1985880
2015-08-14,73.42,73.755,72.72,72.82,2181392
2015-08-17,72.84,73.9,72.24,73.7,2648831
2015-08-18,74.11,74.5,73.18,73.85,2815976
2015-08-19,73.55,73.72,71.41,71.61,3176396
