Date,Open,High,Low,Close,Volume
2015-06-22,117.54,118.09,117.24,117.73,997327
2015-06-23,117.96,117.96,116.9,117.22,655950
2015-06-24,117.02,117.38,116.24,116.26,683166
2015-06-25,116.25,116.96,115.7,115.96,710464
2015-06-26,116.45,116.55,115.56,115.73,771555
2015-06-29,114.8,115.24,112.89,112.93,1197563
2015-06-30,113.69,114.0,112.65,113.07,1608533
2015-07-01,113.67,114.0,112.95,113.2,886309
2015-07-02,113.78,113.85,112.15,112.81,816563
2015-07-06,111.65,113.02,111.31,111.9,901624
2015-07-07,111.9,112.38,110.46,112.18,945643
2015-07-08,111.32,111.51,110.4,110.62,1190156
2015-07-09,112.21,112.21,110.58,110.61,752095
2015-07-10,111.77,112.45,111.47,112.28,543067
2015-07-13,113.26,113.82,112.88,113.73,494151
2015-07-14,113.61,114.91,113.1801,114.7,856516
2015-07-15,114.71,115.48,114.2,114.6,1110396
2015-07-16,115.07,115.28,114.1702,114.7,826068
2015-07-17,114.47,114.86,112.08,112.78,1532433
2015-07-20,112.71,113.61,112.38,112.77,1178806
2015-07-21,112.99,113.422,111.89,112.57,941625
2015-07-22,112.44,112.88,111.77,111.85,924191
2015-07-23,111.95,112.33,111.18,111.24,879036
2015-07-24,111.24,111.24,109.14,109.53,999230
2015-07-27,109.0,109.1,107.72,108.39,1841969
2015-07-28,108.38,114.28,108.24,113.77,2404989
2015-07-29,113.88,115.78,113.05,115.32,1281441
2015-07-30,115.34,116.25,115.21,116.1,893056
2015-07-31,116.5,116.96,115.56,115.81,923005
2015-08-03,115.25,115.98,114.66,115.28,1022543
2015-08-04,115.89,115.97,114.99,115.32,684004
2015-08-05,116.74,117.69,115.93,116.75,843108
2015-08-06,116.54,117.18,115.95,116.31,743982
2015-08-07,116.13,116.495,114.14,114.36,890033
2015-08-10,115.05,116.59,114.724,116.59,774277
2015-08-11,115.34,116.15,114.67,115.93,1129824
2015-08-12,115.39,115.86,114.19,115.04,1188191
2015-08-13,115.25,115.85,114.33,115.28,626545
2015-08-14,115.5,116.55,115.0803,116.48,697155
2015-08-17,116.15,116.65,115.29,116.35,817518
2015-08-18,116.02,116.7,115.57,115.9,577748
2015-08-19,115.12,115.72,114.535,114.86,633042
2015-08-20,114.08,114.85,112.57,112.62,1211904
2015-08-21,111.92,112.168,109.74,109.9,1448894
2015-08-24,104.47,109.28,103.09,105.35,2321857
2015-08-25,109.13,109.39,104.39,104.53,2222719
2015-08-26,106.57,106.68,104.257,106.49,1952681
2015-08-27,108.24,110.74,107.85,109.92,1824144
2015-08-28,109.48,110.76,109.21,110.46,988291
2015-08-31,109.45,110.39,108.38,109.14,1033012
2015-09-01,106.775,107.67,104.94,105.42,2168310
2015-09-02,106.77,108.11,105.53,107.98,2889816
2015-09-03,108.79,109.32,108.08,108.83,1101708
2015-09-04,107.19,107.98,106.5,106.54,1429545
2015-09-08,108.38,108.63,107.09,108.59,1386139
2015-09-09,110.32,112.0,110.0,110.52,2552169
2015-09-10,110.14,111.42,109.69,110.44,1607838
2015-09-11,109.38,110.21,108.78,109.99,1096067
2015-09-14,110.01,110.3,108.47,108.92,1232056
2015-09-15,109.51,110.82,109.02,110.21,1489574
2015-09-16,110.13,113.75,110.13,113.6,1601001
2015-09-17,113.45,115.35,113.039,113.54,1585442
2015-09-18,112.3,113.094,111.68,112.55,1898379
2015-09-21,113.09,113.87,112.49,112.73,881667
2015-09-22,111.5,111.69,110.02,110.86,985074
2015-09-23,111.01,111.04,109.65,110.04,1073943
2015-09-24,109.05,110.998,108.69,110.54,1417809
