Date,Open,High,Low,Close,Volume
2015-06-22,58.96,59.15,58.56,58.72,1685149
2015-06-23,58.57,58.65,57.86,58.07,1691368
2015-06-24,58.03,58.33,57.65,57.84,1767713
2015-06-25,57.97,57.99,57.4,57.5,2648689
2015-06-26,57.45,58.26,57.17,58.1,1984152
2015-06-29,58.31,58.9,58.11,58.13,2371890
2015-06-30,58.29,58.4,57.62,57.88,2622995
2015-07-01,57.81,58.35,57.71,58.28,1852352
2015-07-02,58.57,59.29,58.57,59.14,1878457
2015-07-06,59.11,59.66,58.94,59.6,2466082
2015-07-07,59.83,61.5,59.8,61.08,4826779
2015-07-08,61.09,61.608,60.76,61.23,2545432
2015-07-09,61.28,61.38,60.18,60.49,1868729
2015-07-10,60.42,61.45,60.2,60.81,2058885
2015-07-13,60.99,61.37,60.45,60.69,1923378
2015-07-14,60.66,61.08,60.26,60.42,2156024
2015-07-15,60.42,60.79,60.08,60.79,1191784
2015-07-16,60.98,61.81,60.83,61.72,1599956
2015-07-17,61.5,61.64,61.1,61.3,2103616
2015-07-20,61.2,61.42,60.87,61.4,1746542
2015-07-21,61.29,61.49,60.8,61.48,2779256
2015-07-22,61.48,62.31,61.32,62.2,2745795
2015-07-23,62.06,62.17,60.48,61.15,2787953
2015-07-24,61.06,61.17,60.51,60.9,2507657
2015-07-27,61.0,62.07,60.9,61.62,2332153
2015-07-28,61.54,61.96,61.35,61.9,1705033
2015-07-29,61.87,62.5,61.3,62.34,3255052
2015-07-30,62.14,63.35,62.01,63.15,1901310
2015-07-31,63.6,64.16,63.46,63.59,2135542
2015-08-03,63.71,64.27,63.5,63.79,1568556
2015-08-04,63.65,63.72,63.1,63.24,1985312
2015-08-05,63.4,63.6299,63.0501,63.41,1328838
2015-08-06,63.38,63.73,62.64,63.72,2837864
2015-08-07,63.3,65.35,63.18,65.15,3463768
2015-08-10,65.26,65.99,64.9,65.15,2583769
2015-08-11,65.21,66.32,65.04,65.85,2350257
2015-08-12,65.62,66.96,65.5,66.6,3174420
2015-08-13,66.3,67.12,65.76,66.92,1939731
2015-08-14,66.67,67.37,66.38,67.32,2067405
2015-08-17,66.9,67.05,66.36,66.71,1666157
2015-08-18,66.6,66.67,66.24,66.51,1684707
2015-08-19,66.3,67.03,65.94,66.87,1471123
2015-08-20,66.52,67.31,66.35,66.82,1761067
2015-08-21,66.62,67.0,66.03,66.06,2161876
2015-08-24,64.42,65.48,63.0,63.37,4069260
2015-08-25,63.79,64.69,62.15,62.2,2830767
2015-08-26,62.86,63.7,62.21,63.48,2405986
2015-08-27,63.83,64.13,63.18,63.9,2381153
2015-08-28,63.5,63.93,62.68,63.6,2392879
2015-08-31,63.4,63.51,62.2,62.91,2221240
2015-09-01,62.16,62.33,61.19,61.58,2342473
2015-09-02,62.1,62.1,60.96,61.65,1430248
2015-09-03,61.86,62.215,61.62,61.88,1269897
2015-09-04,61.38,61.64,60.49,60.86,1816391
2015-09-08,61.42,62.365,61.4,62.34,1816971
2015-09-09,62.51,62.75,61.2,61.3,1986800
2015-09-10,61.37,62.08,61.28,61.57,1641428
2015-09-11,61.36,62.41,61.31,62.39,1427131
2015-09-14,62.41,62.88,62.26,62.64,1293893
2015-09-15,62.96,62.96,61.96,62.66,1238805
2015-09-16,62.68,63.8129,62.55,63.55,1725641
2015-09-17,63.61,65.31,63.39,64.51,1955807
2015-09-18,64.12,65.995,64.11,65.05,4469429
2015-09-21,65.2,65.66,64.72,65.03,2174997
2015-09-22,64.68,65.2,64.56,64.99,1958662
2015-09-23,64.96,65.79,64.69,65.53,1819339
2015-09-24,65.38,66.18,65.38,65.95,2465711
2015-09-25,66.07,66.82,65.76,66.26,2349405
2015-09-28,66.25,66.7,65.71,65.82,2101314
2015-09-29,65.95,66.1,65.26,65.9,2212845
2015-09-30,66.14,66.97,65.8,66.85,2051302
2015-10-01,66.93,66.99,65.36,65.63,2596775
2015-10-02,66.28,66.86,65.69,66.64,2008645
2015-10-05,66.83,67.2,66.16,67.08,1795192
2015-10-06,66.86,66.98,65.45,65.65,3434479
2015-10-07,65.68,65.8,64.87,65.41,2892348
2015-10-08,65.2,66.3,65.02,66.27,1646218
2015-10-09,66.21,66.47,65.38,65.43,1655500
2015-10-12,65.45,66.26,65.35,65.77,1321678
2015-10-13,65.78,65.97,65.3663,65.54,1605516
2015-10-14,65.71,65.88,65.335,65.48,1677246
2015-10-15,65.69,66.61,65.41,66.47,1564667
2015-10-16,66.83,67.45,66.69,67.02,1826317
2015-10-19,66.61,66.93,65.9,66.93,2250761
2015-10-20,66.7,67.36,66.635,67.16,1390532
2015-10-21,67.41,67.73,66.87,66.97,984266
2015-10-22,67.19,67.94,67.01,67.78,1215920
2015-10-23,67.59,67.89,66.82,67.04,1677557
2015-10-26,67.17,67.24,66.4,67.04,1582642
2015-10-27,66.93,67.45,66.73,67.25,1548085
2015-10-28,67.24,67.44,65.46,66.41,1973417
2015-10-29,66.05,66.28,64.83,65.34,1891755
2015-10-30,65.58,66.0912,65.34,65.75,3539780
2015-11-02,65.78,65.99,65.0,65.59,2015269
2015-11-03,65.43,65.6799,64.865,65.64,1638621
2015-11-04,65.74,66.31,65.53,65.92,1937964
2015-11-05,65.72,66.19,65.21,65.35,2256638
