Date,Open,High,Low,Close,Volume
2015-06-22,100.15,101.13,100.05,100.59,410156
2015-06-23,100.84,100.84,99.93,100.22,405193
2015-06-24,99.92,100.4,99.281,99.3,396725
2015-06-25,97.48,99.92,97.48,99.63,502630
2015-06-26,99.98,100.51,99.525,99.9,1601681
2015-06-29,99.25,99.7599,97.4,97.44,548368
2015-06-30,98.12,98.12,97.03,97.09,635033
2015-07-01,97.94,98.42,97.45,98.4,543862
2015-07-02,98.47,98.9436,97.5,98.21,369625
2015-07-06,97.45,98.01,97.24,97.8,491413
2015-07-07,98.03,98.6199,96.75,97.95,846271
2015-07-08,97.43,97.43,96.16,96.29,651800
2015-07-09,96.99,97.49,96.23,96.46,707958
2015-07-10,97.0,97.99,96.73,97.77,678890
2015-07-13,98.26,99.44,98.26,99.3,572395
2015-07-14,99.55,99.55,98.5,98.56,704924
2015-07-15,98.44,99.03,97.66,98.63,596759
2015-07-16,99.07,100.21,98.72,100.13,610787
2015-07-17,100.18,100.18,97.97,98.55,788855
2015-07-20,98.58,99.29,98.53,98.75,415694
2015-07-21,98.64,98.93,97.965,98.09,596281
2015-07-22,97.92,98.93,97.88,98.84,488236
2015-07-23,101.81,102.96,99.19,100.13,1993808
2015-07-24,99.2,100.15,98.91,100.04,1072342
2015-07-27,99.87,99.9497,98.27,98.51,645238
2015-07-28,98.99,100.42,98.2701,100.18,928280
2015-07-29,100.61,102.38,100.46,102.21,662415
2015-07-30,101.76,102.31,101.12,102.16,508822
2015-07-31,102.67,102.7,101.67,102.13,759579
2015-08-03,102.31,102.39,101.3,102.0,469146
2015-08-04,102.71,103.02,102.17,102.62,625810
2015-08-05,103.58,104.0,103.08,103.52,391582
2015-08-06,103.86,103.86,102.11,102.31,470915
2015-08-07,102.19,103.16,101.83,103.09,452506
2015-08-10,104.22,105.18,103.96,104.64,499873
2015-08-11,103.49,104.42,103.22,103.53,437303
2015-08-12,102.84,103.37,101.82,102.67,722624
2015-08-13,102.91,104.61,102.6354,103.86,440988
2015-08-14,103.65,104.5,103.22,104.48,356471
2015-08-17,104.08,105.59,103.19,105.47,506001
2015-08-18,105.58,105.864,105.12,105.21,516837
2015-08-19,104.67,105.33,103.92,104.73,467942
2015-08-20,103.73,104.0,101.78,101.82,588625
2015-08-21,101.13,101.98,99.26,99.36,712826
2015-08-24,96.37,97.4,90.94,93.83,1466504
2015-08-25,96.42,96.53,92.62,92.7,1115736
2015-08-26,94.5,96.55,93.61,96.37,1202399
2015-08-27,97.16,98.95,96.76,98.85,933261
2015-08-28,98.48,98.52,97.19,98.45,657588
2015-08-31,97.94,98.76,97.37,97.9,772984
2015-09-01,95.93,96.868,94.61,95.24,749174
2015-09-02,96.27,97.58,95.93,97.58,841107
2015-09-03,97.7,99.09,97.09,98.31,530686
2015-09-04,96.84,98.21,96.57,97.01,461718
2015-09-08,98.85,99.65,97.66,99.44,541438
2015-09-09,100.0,100.5,98.27,98.5,470557
