Date,Open,High,Low,Close,Volume
2015-06-22,58.16,58.91,58.16,58.38,2389571
2015-06-23,58.2,58.48,57.35,57.63,2242434
2015-06-24,57.69,57.91,55.18,56.07,6909541
2015-06-25,56.34,56.41,55.71,56.0,4512782
2015-06-26,55.81,56.42,55.64,56.23,4130454
2015-06-29,56.19,56.67,55.66,55.68,2642844
2015-06-30,55.75,55.84,55.33,55.58,2326352
2015-07-01,55.75,56.405,55.52,56.4,2402064
2015-07-02,56.67,57.75,56.67,57.55,3146197
2015-07-06,57.38,57.84,56.89,57.6,2128389
2015-07-07,58.07,59.11,57.81,58.83,2545919
2015-07-08,58.53,59.1,58.04,58.25,1938827
2015-07-09,58.25,58.51,57.38,57.58,1935242
2015-07-10,57.48,58.34,57.18,57.95,1565803
2015-07-13,58.1,58.43,57.44,57.72,2305696
2015-07-14,57.83,58.31,57.775,57.94,1838788
2015-07-15,57.85,58.15,57.36,58.11,1337542
2015-07-16,58.21,59.19,58.15,59.14,2322145
2015-07-17,59.17,59.17,58.47,58.54,1475617
2015-07-20,58.43,58.43,57.92,58.19,1403012
2015-07-21,58.19,58.3,57.83,57.99,1807589
2015-07-22,58.01,58.82,57.9805,58.4,2435944
2015-07-23,58.22,58.51,57.185,57.75,1723775
2015-07-24,57.65,57.995,57.41,57.65,2198225
2015-07-27,57.43,58.99,57.43,58.93,2618146
2015-07-28,58.87,59.07,58.32,58.88,2066156
2015-07-29,58.75,59.1,58.3415,59.08,1718117
2015-07-30,58.84,59.76,58.64,59.53,1162175
2015-07-31,59.7,61.24,59.7,60.01,2500651
2015-08-03,60.05,60.64,59.89,60.15,1855595
2015-08-04,60.01,60.051,59.5,59.67,1402695
2015-08-05,59.98,60.24,59.65,59.86,1375594
2015-08-06,60.1,60.63,59.4901,60.6,2441760
2015-08-07,60.44,61.27,59.92,61.01,2219027
2015-08-10,61.0,61.15,59.47,59.54,3270107
2015-08-11,59.21,59.97,58.41,59.0,4864912
2015-08-12,59.0,61.17,58.66,60.69,4675606
2015-08-13,60.46,60.78,59.97,60.59,2139955
2015-08-14,60.54,61.21,60.235,61.14,1783048
2015-08-17,60.97,61.8625,60.48,61.74,1584099
2015-08-18,61.46,61.74,60.94,61.23,1898855
2015-08-19,61.18,62.19,60.9,61.94,2794650
2015-08-20,61.51,62.64,61.3,61.74,2576356
2015-08-21,61.23,63.18,60.77,62.14,4399954
2015-08-24,61.665,62.81,59.32,59.68,7174433
2015-08-25,60.31,60.51,57.41,57.49,4176663
2015-08-26,58.06,58.88,57.28,58.7,2978871
2015-08-27,59.56,60.19,59.1,59.87,2824827
2015-08-28,59.83,60.2,58.86,59.64,1532657
2015-08-31,59.41,59.45,57.9,58.48,2038921
2015-09-01,57.87,58.16,56.88,57.21,2028809
2015-09-02,57.78,57.89,57.06,57.54,2751724
2015-09-03,57.58,58.09,57.35,57.61,1919515
2015-09-04,57.03,57.48,56.68,57.05,2339322
2015-09-08,57.82,58.36,57.35,57.87,1936709
2015-09-09,58.16,58.32,57.13,57.29,2020715
2015-09-10,57.3,57.93,57.03,57.24,2153884
2015-09-11,56.84,57.93,56.69,57.92,1650786
2015-09-14,58.02,58.46,57.79,58.22,1600211
2015-09-15,58.26,59.305,57.9,59.16,2859958
2015-09-16,59.23,59.89,59.16,59.71,2561230
