Date,Open,High,Low,Close,Volume
2015-06-22,170.5,173.59,168.72,171.04,5005951
2015-06-23,170.74,170.74,162.02,170.0,3527578
2015-06-24,170.06,170.91,167.47,167.97,1915636
2015-06-25,167.73,170.58,165.9,170.34,2723549
2015-06-26,170.53,171.0,164.68,164.68,4342801
2015-06-29,165.25,165.38,162.44,163.06,2083716
2015-06-30,163.8,165.85,163.69,164.14,1791623
2015-07-01,165.62,165.93,164.02,165.22,1140648
2015-07-02,165.79,165.79,162.62,163.14,1559185
2015-07-06,160.82,162.43,157.37,161.6,2772791
2015-07-07,162.49,162.66,158.09,160.33,2611148
2015-07-08,159.5,160.55,159.0,159.39,1312481
2015-07-09,161.29,161.98,158.58,158.58,1675166
2015-07-10,159.67,161.005,159.3,159.73,1539059
2015-07-13,160.2,160.8216,155.0701,156.45,2716151
2015-07-14,156.57,160.81,156.41,159.97,1796143
2015-07-15,160.1,161.8,158.82,159.6,1292624
2015-07-16,159.43,160.06,157.01,157.6,1551337
2015-07-17,157.67,158.61,157.05,158.59,1467874
2015-07-20,158.555,158.84,154.5,156.59,2109669
2015-07-21,156.35,157.0,154.39,155.78,1441785
2015-07-22,155.61,156.79,154.77,155.1,1090913
2015-07-23,156.6,157.12,154.01,155.21,2279378
2015-07-24,152.31,154.15,148.78,150.86,4741353
2015-07-27,150.8,152.03,149.89,151.5,2471631
2015-07-28,152.43,155.0,151.0,154.2,3244521
2015-07-29,155.85,156.995,151.73,155.27,3478696
2015-07-30,156.03,157.05,152.62,154.89,3408136
2015-07-31,155.86,156.12,153.64,154.27,2615817
2015-08-03,154.28,155.27,152.05,152.78,1853620
2015-08-04,153.8,154.0,151.77,152.5,1445290
2015-08-05,153.44,155.01,152.38,154.95,2222908
2015-08-06,154.72,155.95,152.18,152.44,1423151
2015-08-07,152.29,153.0,151.89,152.63,1864380
2015-08-10,152.6,153.7699,152.2,152.33,997835
2015-08-11,152.0,152.76,151.43,152.42,1153541
2015-08-12,151.58,152.0,148.8,149.47,2005484
2015-08-13,149.97,150.61,148.45,149.69,1542790
2015-08-14,149.69,150.45,148.44,149.3,1687575
2015-08-17,149.39,152.25,149.27,151.9,1860194
2015-08-18,152.18,154.4997,151.87,153.3,1996937
2015-08-19,152.43,152.87,150.78,151.95,1354573
2015-08-20,150.54,151.625,147.72,147.86,1925663
2015-08-21,145.67,147.5,144.77,146.62,3752818
2015-08-24,138.89,145.53,136.04,140.68,4219211
2015-08-25,142.51,143.86,137.94,138.14,2623509
2015-08-26,140.26,142.31,138.32,142.16,2606054
2015-08-27,143.0,144.37,139.44,142.16,2273956
2015-08-28,141.77,142.24,139.09,140.56,2018168
2015-08-31,140.09,143.69,139.95,141.05,3228591
2015-09-01,138.49,139.75,137.03,138.06,3342880
2015-09-02,139.05,140.5,137.62,140.47,2357755
2015-09-03,140.81,143.94,140.575,142.95,2722172
2015-09-04,140.84,142.95,140.49,142.05,2201049
2015-09-08,143.49,146.55,142.74,146.43,2216132
2015-09-09,147.27,147.96,145.17,145.6,2346216
2015-09-10,145.11,146.28,143.76,143.94,2027172
2015-09-11,147.75,147.75,143.01,147.09,1582659
2015-09-14,147.44,147.8,145.3884,145.87,1600885
2015-09-15,147.66,148.615,145.57,148.24,1465779
2015-09-16,148.62,151.91,148.6,151.15,1762392
2015-09-17,151.98,152.44,148.32,150.27,2263397
2015-09-18,148.79,149.49,146.23,146.86,2662382
2015-09-21,148.67,149.78,147.02,149.57,2085484
2015-09-22,148.01,149.85,147.06,148.66,1831837
2015-09-23,148.24,150.41,147.8,149.28,1533168
2015-09-24,147.52,149.98,144.792,147.06,1875523
2015-09-25,148.02,148.43,140.87,141.91,2209775
2015-09-28,141.21,142.03,134.62,136.31,2941086
2015-09-29,136.5,139.83,135.14,137.72,2699886
2015-09-30,138.9,141.43,138.39,140.0,1812560
2015-10-01,140.31,140.68,137.0,138.94,2142526
2015-10-02,138.0,141.87,136.707,141.85,1429211
2015-10-05,142.89,143.96,142.02,142.85,1499347
2015-10-06,142.88,142.92,138.19,139.46,1621667
2015-10-07,139.95,139.99,135.25,139.41,3364816
2015-10-08,139.22,139.3799,136.18,137.33,1998374
2015-10-09,137.15,141.32,137.15,140.49,1951461
2015-10-12,141.0,143.88,140.595,143.86,1417997
2015-10-13,143.71,149.87,143.47,146.53,2288156
2015-10-14,146.28,147.87,142.25,143.35,1579299
2015-10-15,143.13,145.56,137.11,145.23,3427045
2015-10-16,146.86,147.755,145.88,147.05,1494443
2015-10-19,146.35,149.37,146.35,148.81,1308135
2015-10-20,148.98,149.5,147.44,148.24,945466
2015-10-21,149.31,149.38,138.75,142.79,3642170
2015-10-22,142.25,143.14,135.24,139.41,5605629
2015-10-23,140.08,143.28,139.28,140.95,3150515
2015-10-26,140.96,142.34,139.54,141.74,1991907
2015-10-27,141.33,146.1,141.33,144.69,2727698
2015-10-28,141.0,144.9799,134.74,141.8,5090932
2015-10-29,140.85,142.71,140.4,141.34,2397849
2015-10-30,141.92,141.92,139.03,139.15,2132626
2015-11-02,139.0,140.52,137.72,139.86,1802467
2015-11-03,139.1,140.169,135.53,137.05,1982009
2015-11-04,138.0,138.04,133.09,135.34,3192761
2015-11-05,135.51,136.44,133.79,136.04,1847295
2015-11-06,134.98,135.84,132.46,133.98,2074353
2015-11-09,133.49,134.31,131.95,133.77,2552443
2015-11-10,133.77,135.91,133.54,135.27,1320614
2015-11-11,136.02,136.02,133.95,134.19,1751172
2015-11-12,134.36,135.7,133.26,133.43,1751855
2015-11-13,133.32,134.5,132.0,132.55,1784787
2015-11-16,132.76,135.27,132.76,135.06,1028003
2015-11-17,134.68,138.2,134.05,136.25,1528653
2015-11-18,136.3,137.66,134.65,137.3,1799997
2015-11-19,130.52,131.985,126.25,127.86,5775078
2015-11-20,128.17,132.0,128.03,131.29,2768354
2015-11-23,131.67,133.92,131.03,131.13,1511346
2015-11-24,130.81,131.88,129.76,131.63,2028959
2015-11-25,131.5,131.82,130.3204,131.0,1641164
2015-11-27,131.6,132.29,130.17,131.22,554860
2015-11-30,131.22,131.58,130.1,130.38,2306413
2015-12-01,131.11,135.99,130.32,135.82,2277683
2015-12-02,135.38,137.14,132.45,132.92,5880539
2015-12-03,132.78,133.81,129.04,129.43,2837560
2015-12-04,129.41,133.18,129.28,132.75,1551070
2015-12-07,133.52,133.52,131.135,132.78,1970697
2015-12-08,132.0,133.45,130.55,131.6,3459692
2015-12-09,130.8,133.9599,130.455,132.46,2050661
2015-12-10,132.03,135.2,131.3301,134.84,1687002
2015-12-11,134.0,137.48,133.15,135.78,2629011
2015-12-14,136.23,137.0,134.16,135.53,1356801
2015-12-15,136.23,137.3,134.03,135.02,1528988
2015-12-16,136.31,138.12,135.54,137.78,1457956
2015-12-17,137.7,140.49,137.255,139.01,1631774
2015-12-18,139.0,139.83,137.75,137.75,1924738
2015-12-21,138.1,140.62,137.7,139.53,1393774
2015-12-22,140.1,140.88,138.0,140.19,1780359
2015-12-23,140.47,141.08,139.58,140.51,901724
2015-12-24,140.68,141.49,140.45,140.56,357532
2015-12-28,140.28,140.51,139.01,140.03,481051
2015-12-29,140.52,142.28,140.31,141.85,669424
2015-12-30,141.87,142.49,140.76,140.96,470387
2015-12-31,140.12,141.22,139.42,139.44,706709
2016-01-04,137.66,139.43,137.01,139.21,1769799
2016-01-05,139.85,141.945,139.03,141.24,1840998
2016-01-06,139.62,140.48,136.9,137.79,1635860
2016-01-07,136.12,137.82,134.63,135.43,1596783
2016-01-08,135.49,136.51,131.79,132.13,1544899
