Date,Open,High,Low,Close,Volume
2015-06-22,82.05,83.515,81.6,83.04,2482569
2015-06-23,82.89,83.23,82.72,83.0,1456258
2015-06-24,83.1,83.9,82.11,82.33,1303606
2015-06-25,82.44,83.44,82.43,83.14,1606010
2015-06-26,83.14,83.9,83.08,83.75,3164569
2015-06-29,82.66,83.14,82.2201,82.6,2607151
2015-06-30,83.09,83.679,81.27,81.82,2121069
2015-07-01,82.79,82.79,80.77,81.05,1463913
2015-07-02,81.21,81.5,79.63,80.19,1928648
2015-07-06,79.23,79.85,78.23,78.46,1571629
2015-07-07,78.17,78.54,76.05,78.35,2675434
2015-07-08,78.12,78.12,75.79,75.86,1510996
2015-07-09,77.23,77.78,76.33,76.36,1087036
2015-07-10,77.25,77.86,76.86,77.19,1064284
2015-07-13,77.55,77.96,77.1,77.86,1019948
2015-07-14,77.5,79.32,77.37,79.26,1179583
2015-07-15,79.12,79.66,78.69,79.27,1756727
2015-07-16,79.43,79.86,78.4,79.63,1711315
2015-07-17,79.86,80.39,77.78,78.18,1639618
2015-07-20,77.79,77.94,76.78,76.89,1029577
2015-07-21,76.75,77.44,76.43,76.58,1448169
2015-07-22,76.5,76.76,75.51,75.7,1192133
2015-07-23,75.73,75.73,73.02,74.52,2619677
2015-07-24,74.52,74.79,73.07,73.55,1723555
2015-07-27,72.91,73.05,71.66,72.11,2550243
2015-07-28,73.88,78.45,73.74,77.02,4745710
2015-07-29,76.93,79.05,76.93,78.08,1677614
2015-07-30,78.18,78.75,77.43,78.59,1298837
2015-07-31,79.2,79.2,78.06,78.4,1416013
2015-08-03,78.24,78.49,77.0,77.55,1242473
2015-08-04,77.93,78.4791,77.63,77.85,1221751
2015-08-05,78.65,78.99,77.08,77.1,899125
2015-08-06,77.2,77.5397,76.46,77.13,1145996
2015-08-07,76.98,77.49,76.39,76.67,1048651
2015-08-10,77.25,79.81,76.69,79.76,1099505
2015-08-11,78.27,78.46,77.07,77.63,1504554
2015-08-12,76.86,77.73,76.3,77.49,1404416
2015-08-13,77.28,77.49,76.69,77.44,1206163
2015-08-14,77.19,77.42,76.31,76.5,1047073
2015-08-17,76.12,77.57,75.13,77.41,906962
2015-08-18,76.8,77.3028,76.34,76.9,802547
2015-08-19,76.06,76.15,74.46,75.1,1255902
2015-08-20,74.71,75.55,73.55,73.89,1682675
2015-08-21,73.5,73.94,71.97,71.98,1222983
2015-08-24,69.31,71.7942,63.85,68.91,1599013
2015-08-25,71.27,71.33,67.75,67.77,1912942
2015-08-26,69.39,70.29,68.12,69.87,2516226
