Date,Open,High,Low,Close,Volume
2015-06-22,57.85,58.64,57.85,58.26,4133090
2015-06-23,58.35,58.4258,57.62,57.88,3397707
2015-06-24,57.86,57.91,57.325,57.49,2373720
2015-06-25,57.41,57.52,56.62,56.62,3124857
2015-06-26,56.62,56.74,56.34,56.58,3582362
2015-06-29,56.24,56.5018,55.5001,55.56,2666348
2015-06-30,56.21,57.27,55.23,55.43,7572771
2015-07-01,55.67,55.68,55.02,55.45,5229851
2015-07-02,55.67,56.12,55.54,55.86,4948156
2015-07-06,55.53,55.92,55.145,55.26,3064781
2015-07-07,55.19,55.29,54.15,55.05,4512428
2015-07-08,54.69,54.87,53.8128,53.98,4231458
2015-07-09,54.75,54.92,53.76,53.76,3743326
2015-07-10,54.49,54.58,53.685,53.83,3979241
2015-07-13,54.2,54.37,53.98,54.3,3399066
2015-07-14,54.31,54.41,53.98,54.2,2925934
2015-07-15,54.11,54.25,53.26,53.48,4180257
2015-07-16,53.88,54.05,53.14,53.37,4587480
2015-07-17,53.16,53.37,52.45,52.59,6369100
2015-07-20,52.62,52.984,52.5,52.74,3986621
2015-07-21,52.57,52.58,51.95,52.14,5266625
2015-07-22,51.99,52.24,51.73,51.76,4665429
2015-07-23,51.76,52.21,51.46,51.52,4148472
2015-07-24,51.45,51.539,50.625,50.68,3527082
2015-07-27,50.39,50.6,50.1,50.46,3435556
2015-07-28,50.68,51.96,50.62,51.8,5544859
2015-07-29,51.64,52.36,51.42,52.21,3945763
2015-07-30,51.92,52.205,51.7,51.98,3040324
2015-07-31,52.3,52.4,51.68,51.75,4019710
2015-08-03,51.58,51.86,51.16,51.33,3839745
2015-08-04,51.33,52.18,49.54,49.64,7351454
2015-08-05,50.13,50.461,49.71,49.91,7088051
2015-08-06,49.81,50.055,49.45,49.74,5833787
2015-08-07,49.56,49.68,49.095,49.19,5429932
2015-08-10,49.62,50.23,49.62,50.02,6008584
2015-08-11,49.5,49.6,48.77,48.93,6278951
2015-08-12,48.24,49.17,47.83,49.08,6228716
2015-08-13,49.06,49.65,48.9,49.41,4545281
2015-08-14,49.26,49.72,49.26,49.6,3163851
2015-08-17,49.36,50.47,49.22,50.34,4120918
2015-08-18,50.0,50.22,49.79,50.11,2858694
2015-08-19,49.75,50.1,49.22,49.73,4643705
2015-08-20,49.31,49.565,48.891,49.07,5604110
2015-08-21,48.68,49.18,47.95,47.96,6704635
2015-08-24,45.5,48.05,44.03,46.36,9120213
2015-08-25,48.4,48.5,45.1,45.16,7417717
2015-08-26,46.18,46.49,45.4,46.41,6266805
2015-08-27,46.96,47.79,46.63,47.64,4214253
2015-08-28,47.59,48.19,47.51,48.05,4098610
2015-08-31,47.63,48.0124,47.19,47.72,3649914
2015-09-01,46.67,47.09,46.02,46.27,4252475
2015-09-02,46.86,47.06,46.18,46.79,3230065
2015-09-03,45.77,46.77,45.76,46.43,5758134
2015-09-04,45.74,46.17,45.6172,45.82,4683441
2015-09-08,46.47,46.85,46.3,46.85,4440030
2015-09-09,47.37,47.46,46.425,46.52,6041316
2015-09-10,46.45,46.74,45.97,46.37,3928007
2015-09-11,46.27,46.4,45.8,46.04,3368710
2015-09-14,45.92,46.03,45.41,45.52,3404579
2015-09-15,45.66,46.41,45.595,46.32,2357788
2015-09-16,46.49,47.15,46.34,47.06,3014311
2015-09-17,46.98,47.81,46.73,46.85,5076801
2015-09-18,45.91,46.06,44.89,45.11,10416570
2015-09-21,45.29,45.51,45.02,45.12,3516014
2015-09-22,44.5,45.02,44.24,44.65,4113441
2015-09-23,44.77,44.85,43.425,43.67,4986851
2015-09-24,43.22,43.83,42.8,43.66,5727021
2015-09-25,43.99,44.0,43.57,43.78,3899170
2015-09-28,43.34,43.42,42.865,43.04,4702985
2015-09-29,43.22,43.67,43.0,43.46,5049779
2015-09-30,43.9,44.24,43.48,44.17,4332616
2015-10-01,43.94,44.25,42.64,42.78,5478642
2015-10-02,42.43,44.21,42.205,44.19,5258617
2015-10-05,44.61,46.3,44.52,46.02,5722474
2015-10-06,46.13,46.57,46.02,46.2,3857106
2015-10-07,46.61,47.11,45.695,46.35,6393301
2015-10-08,46.32,47.615,46.16,47.52,3323713
2015-10-09,47.61,47.9,46.92,47.15,4048249
2015-10-12,47.19,47.42,46.75,46.95,2182480
2015-10-13,46.82,47.14,46.38,46.49,4132858
2015-10-14,46.57,46.725,45.95,46.27,4092227
2015-10-15,46.5,46.84,45.71,46.82,3852866
2015-10-16,47.35,47.35,44.88,45.27,6386806
2015-10-19,45.03,45.5824,45.03,45.48,3443523
2015-10-20,45.3,46.41,45.11,46.12,4197193
2015-10-21,46.36,47.143,46.09,46.29,3678031
2015-10-22,46.43,48.07,46.25,47.78,6691046
2015-10-23,48.05,48.18,47.44,48.18,5551274
2015-10-26,48.17,48.26,47.76,48.01,4439219
2015-10-27,47.6,47.63,46.81,46.89,3819418
2015-10-28,47.17,47.72,46.81,47.41,3975973
2015-10-29,47.23,47.54,47.04,47.18,2245498
2015-10-30,47.45,47.51,46.93,47.23,6657730
2015-11-02,47.21,48.52,47.05,48.35,5226407
2015-11-03,48.21,50.24,48.0,49.64,5703970
2015-11-04,49.92,50.27,49.5804,49.68,4676299
2015-11-05,49.43,49.78,48.54,49.15,4963471
2015-11-06,48.81,49.42,48.44,49.23,4224695
2015-11-09,49.13,49.4,47.88,48.32,4048069
2015-11-10,47.67,48.02,47.16,47.79,3762663
2015-11-11,48.0,48.28,47.47,47.97,2900660
2015-11-12,47.5,48.13,47.11,47.25,5182926
2015-11-13,47.0,47.93,47.0,47.69,4351728
2015-11-16,47.69,48.9,47.68,48.85,4773800
2015-11-17,48.87,49.06,48.41,48.68,3294933
2015-11-18,48.83,50.065,48.64,50.01,3946012
2015-11-19,50.1,50.315,49.9,50.14,3124467
2015-11-20,50.31,50.57,49.985,50.16,3296288
2015-11-23,50.2,50.35,49.87,50.02,3682949
2015-11-24,49.88,51.47,49.71,50.07,3017970
2015-11-25,49.98,50.46,49.86,50.24,2787153
2015-11-27,50.1,50.42,49.76,50.29,2039329
2015-11-30,50.37,50.41,49.96,50.0,4829810
2015-12-01,50.22,50.44,48.95,49.62,5528022
2015-12-02,49.4,50.05,48.8,48.91,4373707
2015-12-03,48.99,49.0,48.1875,48.58,6114274
2015-12-04,48.47,49.295,48.38,49.17,4635514
2015-12-07,48.99,49.09,48.37,48.51,4775276
2015-12-08,48.11,48.35,47.1599,47.28,6179534
2015-12-09,47.09,47.935,46.81,47.14,6712707
2015-12-10,47.39,47.6,46.88,46.97,4422127
2015-12-11,46.5,46.55,45.4,45.48,7010107
2015-12-14,45.44,45.6199,44.625,44.99,7323974
2015-12-15,45.46,45.46,44.9,45.22,5751001
2015-12-16,45.47,46.24,44.97,46.1,5596034
2015-12-17,46.03,46.36,44.97,45.0,5047208
2015-12-18,44.84,45.34,44.59,44.59,7197382
2015-12-21,45.09,45.96,45.04,45.88,6235862
2015-12-22,46.0,47.05,46.0,46.85,4724804
2015-12-23,47.09,48.4,46.97,48.33,5851739
2015-12-24,48.18,48.53,48.04,48.26,1691783
2015-12-28,48.1,48.37,47.67,48.26,3105920
2015-12-29,48.5,48.93,47.99,48.49,2988065
2015-12-30,48.35,48.86,48.23,48.53,5110812
2015-12-31,48.28,48.8,47.82,47.83,3326287
2016-01-04,47.32,47.34,46.52,47.3,4935449
2016-01-05,47.58,47.67,46.63,46.99,3656293
2016-01-06,46.29,46.66,45.92,46.45,5420434
2016-01-07,45.6,45.8,44.5299,44.61,6149768
2016-01-08,44.99,45.11,44.01,44.1,5395699
2016-01-11,44.18,44.36,43.25,43.8,4288506
2016-01-12,44.28,44.76,43.63,44.22,4104410
2016-01-13,44.57,44.73,43.16,43.26,4607501
2016-01-14,43.53,44.13,42.86,43.83,4280643
2016-01-15,42.7,43.3384,42.17,43.09,6379016
2016-01-19,43.61,43.7,42.555,43.14,4096769
2016-01-20,42.31,42.97,41.25,42.64,5907250
2016-01-21,42.35,43.39,41.79,42.94,4323752
2016-01-22,43.89,43.97,42.44,43.17,4686522
2016-01-25,42.99,43.1,42.18,42.29,4471294
