Date,Open,High,Low,Close,Volume
2015-06-22,88.6,88.67,87.45,88.08,2842573
2015-06-23,88.28,88.82,87.66,88.79,3611581
2015-06-24,88.54,89.07,88.1,88.34,3771303
2015-06-25,88.17,88.27,87.3,87.65,3766281
2015-06-26,87.6,88.7,87.08,88.06,11329640
2015-06-29,86.99,87.94,86.15,86.25,4014278
2015-06-30,86.99,87.9,86.34,87.55,3940148
2015-07-01,87.85,87.85,84.84,85.77,4644390
2015-07-02,85.95,86.7,85.585,85.67,2699459
2015-07-06,84.49,86.18,84.05,85.09,3513261
2015-07-07,85.78,87.1,83.83,86.72,5102798
2015-07-08,86.1,86.92,84.0,84.49,4680934
2015-07-09,85.99,87.35,85.18,85.3,3783864
2015-07-10,85.98,86.755,84.45,84.54,2903574
2015-07-13,84.53,84.79,83.47,84.21,3829671
2015-07-14,84.2,85.64,84.1,85.23,3216694
2015-07-15,84.62,85.23,83.05,83.25,3917347
2015-07-16,83.74,83.8,82.34,82.4,4019155
2015-07-17,81.97,82.15,80.26,80.5,5929088
2015-07-20,80.24,80.25,77.92,77.93,7052446
2015-07-21,78.09,78.38,76.94,77.33,6795947
2015-07-22,77.18,77.49,75.76,76.09,7163088
2015-07-23,76.2,76.82,75.47,76.32,6328777
2015-07-24,76.1,76.58,74.62,75.16,5819657
2015-07-27,74.1,74.73,72.865,73.19,5621298
2015-07-28,73.4,77.5589,73.4,76.85,7886213
2015-07-29,76.5,79.01,76.5,77.74,6329933
2015-07-30,77.65,78.72,76.8,78.54,4539712
2015-07-31,78.0,78.31,77.0,77.19,4190185
2015-08-03,76.2,77.63,75.45,76.44,5116857
2015-08-04,77.08,77.77,76.35,76.74,3970541
2015-08-05,78.06,78.95,75.96,76.09,4896806
2015-08-06,75.65,78.34,75.3,77.68,6700144
2015-08-07,75.25,78.7,73.03,73.76,8474336
2015-08-10,73.67,76.48,73.62,76.27,6934327
2015-08-11,75.13,77.43,74.18,77.3,5972211
2015-08-12,77.32,80.26,76.5,79.93,8330510
2015-08-13,79.3,80.5,78.34,79.68,5874554
2015-08-14,79.5,80.88,78.8,79.93,3907870
2015-08-17,79.5,80.16,78.89,80.01,3732349
2015-08-18,79.71,80.54,79.28,80.41,3536369
2015-08-19,79.87,79.875,76.07,77.07,6120305
2015-08-20,77.02,78.44,76.61,76.73,6787163
2015-08-21,76.39,77.43,74.12,74.86,7696932
2015-08-24,70.0,73.28,68.15,69.26,9517666
2015-08-25,72.1,72.11,68.29,68.36,6710907
2015-08-26,70.21,71.04,68.4,70.99,6756922
2015-08-27,72.99,76.1,72.86,75.79,7154992
2015-08-28,75.5,79.34,75.41,77.31,6961483
2015-08-31,76.2,79.16,74.57,78.31,6863289
2015-09-01,76.02,77.32,75.18,76.02,6376496
2015-09-02,77.06,77.71,74.87,77.71,5356445
2015-09-03,78.25,80.16,76.79,77.45,6228140
2015-09-04,76.22,77.44,75.95,76.89,4699348
2015-09-08,77.58,78.18,75.45,77.66,5137576
2015-09-09,78.74,79.35,76.67,76.93,6445384
2015-09-10,77.57,78.24,76.13,78.06,4801411
2015-09-11,76.75,77.41,75.84,77.15,4571796
2015-09-14,77.15,77.15,76.04,76.43,3704992
2015-09-15,77.04,77.8,76.5645,77.25,3650540
2015-09-16,77.68,80.17,77.46,79.94,3994874
2015-09-17,80.02,81.18,79.12,79.66,5417054
2015-09-18,78.86,79.19,75.93,76.26,6045934
2015-09-21,77.05,77.33,75.87,76.52,3234750
2015-09-22,75.43,76.66,74.69,75.22,3433793
2015-09-23,75.24,75.925,72.87,73.04,3890887
2015-09-24,72.29,73.72,71.48,73.26,4443613
2015-09-25,74.06,74.21,72.19,72.79,3894307
2015-09-28,71.74,72.1887,69.1,69.43,4581297
2015-09-29,69.86,70.67,69.14,70.13,3764747
2015-09-30,70.85,72.94,70.67,72.8,4803602
2015-10-01,73.8,75.68,73.0,73.59,5683826
2015-10-02,72.67,77.45,71.59,77.06,6001521
2015-10-05,78.16,81.7,78.0,80.65,7383337
2015-10-06,80.72,83.73,80.55,82.84,6773817
2015-10-07,84.37,85.4,82.18,83.77,6959065
2015-10-08,83.31,87.27,83.07,87.04,6793664
2015-10-09,87.35,88.3,86.1,87.3,5801425
2015-10-12,87.12,88.0,84.93,86.03,4804110
2015-10-13,85.13,86.29,84.75,85.28,5605830
2015-10-14,84.99,86.14,84.76,85.78,3306964
2015-10-15,85.3,87.16,84.93,87.14,3610766
2015-10-16,87.75,88.0,86.56,87.5,4126832
2015-10-19,86.27,86.47,84.11,84.81,4256416
2015-10-20,84.57,85.65,83.95,84.87,3553222
2015-10-21,84.44,84.7,83.41,83.78,3007005
2015-10-22,84.63,86.17,84.37,85.8,2900635
2015-10-23,85.09,86.09,84.32,85.43,2674913
2015-10-26,85.1,85.29,83.25,83.39,3496520
2015-10-27,81.84,82.95,80.05,82.7,5147638
2015-10-28,82.98,86.17,82.35,84.79,3829990
2015-10-29,84.32,85.9,84.13,85.52,2984088
2015-10-30,85.78,86.68,84.37,85.85,3161572
2015-11-02,85.14,86.5,84.71,86.07,3597501
2015-11-03,86.9,89.52,86.28,88.45,5513885
2015-11-04,88.48,88.96,85.7501,86.47,3908632
2015-11-05,86.28,88.22,85.45,86.47,4033118
2015-11-06,85.41,88.49,84.23,85.27,5272285
2015-11-09,85.94,87.18,84.4905,85.37,3849949
2015-11-10,85.22,86.88,84.715,86.58,3909362
2015-11-11,86.35,87.9,83.19,83.32,3540762
2015-11-12,82.34,82.75,80.93,81.69,3430243
2015-11-13,81.65,82.95,80.504,82.25,3111772
2015-11-16,82.44,84.86,82.0,84.79,3052651
2015-11-17,84.29,84.31,81.9265,82.98,3290110
2015-11-18,83.84,85.26,82.95,85.15,3200690
2015-11-19,84.26,84.64,81.744,82.65,2797257
2015-11-20,83.0,83.27,81.98,82.63,2980718
2015-11-23,82.36,83.379,82.06,82.57,2713224
2015-11-24,83.3,85.65,83.16,85.14,4421124
2015-11-25,84.24,84.63,83.2,83.53,3037031
2015-11-27,82.88,83.27,81.8991,82.02,1446573
2015-11-30,82.41,84.6396,82.2,83.43,3803263
2015-12-01,83.45,84.13,83.02,84.05,2584228
2015-12-02,83.33,84.055,80.41,80.86,4475214
2015-12-03,81.64,82.48,80.25,80.99,4674971
2015-12-04,79.29,80.84,78.5,80.49,4754166
2015-12-07,77.88,78.4,74.55,76.19,6350282
2015-12-08,74.72,77.88,73.93,77.11,5335787
2015-12-09,77.47,80.4,76.875,78.38,5372340
2015-12-10,77.84,80.15,77.4,78.18,5033232
2015-12-11,77.32,79.43,74.76,74.89,4959692
2015-12-14,74.36,77.03,73.72,76.86,5847174
2015-12-15,77.97,78.66,76.98,77.3,5700995
2015-12-16,77.29,77.62,75.72,75.8,4960352
2015-12-17,75.47,75.98,71.93,73.3,6109880
2015-12-18,73.19,73.87,71.41,71.43,6615967
2015-12-21,71.6,71.85,69.3025,70.25,5078834
2015-12-22,70.33,71.58,69.58,69.81,5234648
2015-12-23,71.4,73.76,70.79,73.69,5352182
2015-12-24,73.75,73.98,72.65,73.42,1792921
2015-12-28,71.76,71.98,70.205,70.49,3997734
2015-12-29,71.88,72.33,70.55,71.09,3168424
2015-12-30,69.8,71.09,69.74,70.61,3354075
2015-12-31,70.11,71.59,70.0,70.79,3117340
2016-01-04,70.8,71.0,68.832,69.68,5136514
2016-01-05,70.06,70.54,68.57,70.13,3665164
2016-01-06,68.5,68.5,66.7,67.32,6626382
2016-01-07,65.92,69.01,65.19,65.46,5295709
2016-01-08,65.86,66.43,64.77,65.52,4990095
2016-01-11,65.88,66.06,62.915,63.67,5356602
2016-01-12,64.65,65.1799,61.3498,62.92,7122789
2016-01-13,63.42,64.655,62.59,64.17,7743742
2016-01-14,64.67,66.61,63.61,65.26,7134093
2016-01-15,62.01,64.02,61.01,62.97,5869674
2016-01-19,63.15,63.63,59.48,60.98,5476516
2016-01-20,59.73,60.88,57.15,60.24,10621010
2016-01-21,60.24,64.25,59.41,63.75,7403927
2016-01-22,66.44,67.49,64.67,66.02,6827131
2016-01-25,64.62,66.15,61.51,61.59,4791796
2016-01-26,63.0,66.13,62.29,66.03,6788907
2016-01-27,65.09,67.93,64.49,66.07,7070577
2016-01-28,69.23,69.79,66.6452,68.63,6737406
2016-01-29,69.17,71.18,69.02,71.02,6882979
2016-02-01,69.3,70.0,67.69,69.09,4489147
2016-02-02,67.01,69.37,66.0,67.16,5463616
2016-02-03,68.61,70.27,66.321,70.19,5381094
2016-02-04,70.67,71.39,68.14,68.44,5174334
2016-02-05,67.68,67.68,65.62,67.06,5514373
2016-02-08,65.66,68.8,64.75,68.43,6274369
2016-02-09,67.21,67.97,64.34,65.59,6357440
2016-02-10,65.45,66.78,63.91,65.79,4301861
2016-02-11,63.62,65.99,63.06,65.56,5412930
2016-02-12,66.82,68.76,65.98,67.7,5476602
2016-02-16,68.77,69.09,66.25,67.89,3747890
2016-02-17,69.0,70.94,67.6,70.82,6284819
2016-02-18,70.99,71.23,69.34,69.46,3666280
2016-02-19,68.61,69.73,68.06,69.71,3569463
2016-02-22,71.54,72.77,70.62,72.21,4684501
2016-02-23,71.69,71.75,67.65,68.02,4418669
2016-02-24,67.23,69.94,66.75,69.52,4144930
2016-02-25,69.19,70.3,67.17,68.5,5356663
2016-02-26,68.0,69.7,65.74,67.5,10600830
2016-02-29,67.42,67.56,64.72,64.74,7945838
2016-03-01,65.1,65.4658,62.53,65.02,7542293
2016-03-02,64.95,67.12,64.14,67.0,5243390
2016-03-03,66.95,69.67,66.18,69.25,6644355
2016-03-04,69.91,71.52,68.74,71.41,7920007
2016-03-07,71.12,75.53,70.22,75.47,8446259
2016-03-08,74.65,74.84,70.48,70.56,6598261
2016-03-09,71.59,72.5,69.81,72.26,4693366
2016-03-10,71.16,72.86,70.305,72.27,4558197
2016-03-11,73.14,75.89,72.99,75.18,4281893
2016-03-14,73.71,75.45,73.29,74.78,3188435
2016-03-15,73.82,74.37,71.9,73.61,3910225
2016-03-16,74.37,75.27,72.685,75.04,4881224
2016-03-17,75.66,77.45,75.18,76.5,4674449
2016-03-18,77.5,77.7,74.63,75.63,7455327
2016-03-21,75.02,76.32,74.59,75.96,2899128
2016-03-22,75.39,77.25,75.38,75.9,2844325
2016-03-23,75.45,76.54,73.84,74.34,3840570
2016-03-24,72.42,74.91,72.3205,74.3,3621176
2016-03-28,74.3,74.7599,73.52,74.53,2628325
2016-03-29,73.17,75.64,73.14,75.45,3242660
2016-03-30,76.44,76.5,73.59,73.66,4135216
2016-03-31,73.48,74.42,72.37,72.58,5662830
2016-04-01,70.85,72.47,70.4101,72.04,5143426
2016-04-04,72.48,72.63,70.11,70.31,3452643
2016-04-05,69.89,71.36,69.66,70.54,3465350
2016-04-06,70.68,71.71,69.76,71.22,4158938
2016-04-07,70.79,72.08,70.39,71.45,3017643
2016-04-08,73.37,73.5,72.44,73.47,3215857
2016-04-11,73.88,74.78,73.7,74.01,3457498
2016-04-12,74.46,77.83,73.54,77.51,5527916
2016-04-13,77.61,78.18,76.32,77.78,4628955
2016-04-14,78.03,78.63,77.0,77.81,2666641
2016-04-15,77.42,77.42,75.07,75.71,4868624
2016-04-18,74.04,77.68,73.57,77.44,3585819
2016-04-19,78.52,80.18,77.7,79.13,3828727
2016-04-20,78.13,80.06,76.64,79.37,4066163
2016-04-21,79.38,80.29,78.71,79.16,3336607
2016-04-22,79.67,81.78,79.495,80.92,3157284
2016-04-25,80.39,80.52,79.04,79.76,2828067
2016-04-26,80.515,82.8601,79.975,82.78,3654644
2016-04-27,83.69,85.43,83.04,84.51,3795123
2016-04-28,83.85,84.75,81.6,81.89,3265760
2016-04-29,82.71,83.24,81.03,82.62,4561785
2016-05-02,82.33,83.06,80.68,82.78,4292975
2016-05-03,81.44,82.23,80.05,80.63,3808622
2016-05-04,80.61,82.0,78.81,79.34,3757565
