Date,Open,High,Low,Close,Volume
2015-06-22,82.83,83.3,82.77,82.92,36461
2015-06-23,83.24,84.036,82.76,83.13,33278
2015-06-24,82.78,83.29,82.11,82.29,26198
2015-06-25,82.54,83.07,81.85,82.02,34851
2015-06-26,81.97,82.84,81.45,81.62,125119
2015-06-29,81.39,81.83,80.54,80.99,57484
2015-06-30,81.59,82.26,80.99,82.07,79135
2015-07-01,82.65,84.64,82.62,84.64,57696
2015-07-02,84.21,84.28,82.7,83.38,54930
2015-07-06,83.03,83.8366,82.79,83.5,27003
2015-07-07,83.26,84.51,83.1011,84.4,19680
2015-07-08,83.62,84.4,83.1,83.48,40159
2015-07-09,84.0,84.26,82.995,83.79,30631
2015-07-10,84.13,84.98,84.0632,84.83,18419
2015-07-13,85.59,85.59,84.105,84.6,24734
2015-07-14,84.58,84.71,84.14,84.29,40195
2015-07-15,84.36,84.47,84.01,84.25,25095
2015-07-16,83.99,84.87,83.9,84.85,31992
2015-07-17,85.09,85.09,84.23,84.52,19032
2015-07-20,84.94,84.94,83.645,83.94,42361
2015-07-21,84.16,84.16,82.825,82.87,37401
2015-07-22,83.3,83.929,82.99,83.49,24358
2015-07-23,83.5,83.93,82.9,83.08,30281
2015-07-24,83.11,83.83,82.83,82.99,19471
2015-07-27,82.59,83.25,81.78,82.35,40359
2015-07-28,83.18,83.18,81.42,81.8,42330
2015-07-29,81.91,82.36,81.46,81.82,56200
2015-07-30,81.71,82.22,81.27,81.53,42543
2015-07-31,83.08,87.99,82.39,86.31,65002
2015-08-03,86.38,86.77,86.02,86.37,40341
2015-08-04,86.5,86.82,85.76,86.41,49001
2015-08-05,86.61,86.75,85.76,86.17,29272
2015-08-06,86.29,86.53,84.95,85.68,34365
2015-08-07,85.75,86.25,84.85,86.2,32524
2015-08-10,86.7,86.85,85.8,85.91,21607
2015-08-11,85.79,86.56,85.1201,86.02,27131
2015-08-12,85.93,86.0,84.83,85.15,40227
2015-08-13,85.2,85.77,84.201,85.69,18482
2015-08-14,85.69,87.0465,85.07,86.79,57167
2015-08-17,86.24,87.53,85.701,87.53,36863
2015-08-18,87.29,88.2,86.59,87.82,34288
2015-08-19,87.66,88.03,87.15,87.61,23645
2015-08-20,87.04,87.63,86.37,86.52,32585
2015-08-21,86.17,86.63,84.46,84.52,40556
2015-08-24,81.27,83.4699,81.21,81.56,50260
2015-08-25,83.15,83.77,80.2,80.29,97001
2015-08-26,81.5,82.03,79.5824,81.92,26017
2015-08-27,82.92,82.92,81.83,82.66,25972
2015-08-28,82.25,82.97,81.75,82.68,31081
2015-08-31,82.01,82.67,81.0701,81.97,40255
2015-09-01,80.86,81.31,80.29,80.36,24760
2015-09-02,81.05,81.97,80.0601,81.97,33103
2015-09-03,82.05,82.1,80.75,80.97,44152
2015-09-04,80.27,81.146,79.39,79.79,24096
2015-09-08,80.31,81.12,79.63,80.69,40394
2015-09-09,81.47,81.47,80.23,80.24,32406
2015-09-10,80.25,80.724,80.22,80.44,41157
2015-09-11,80.25,80.57,80.1801,80.54,28229
2015-09-14,80.73,80.73,80.09,80.24,37382
2015-09-15,80.44,80.55,79.9,80.11,63393
2015-09-16,79.9,80.54,79.9,80.43,27983
2015-09-17,80.48,81.62,80.48,81.07,23365
2015-09-18,80.39,81.26,80.23,80.92,149743
2015-09-21,81.62,81.95,81.04,81.72,36788
2015-09-22,80.92,81.48,80.79,80.79,32158
2015-09-23,80.79,81.59,80.11,80.9,43163
2015-09-24,80.49,80.73,80.225,80.55,33931
2015-09-25,80.97,81.9,80.73,81.45,36243
2015-09-28,81.47,81.57,80.95,81.13,57778
2015-09-29,81.18,81.74,80.6,81.71,35949
2015-09-30,81.98,83.1,81.4251,82.94,66242
2015-10-01,82.29,82.62,80.44,81.37,40394
2015-10-02,80.78,81.47,80.08,81.43,40977
2015-10-05,81.85,83.14,81.85,82.91,23982
2015-10-06,82.95,83.22,82.23,82.43,64530
2015-10-07,82.81,83.46,81.07,83.3,43140
2015-10-08,83.1,84.58,83.1,84.42,24469
2015-10-09,84.39,84.7,83.974,84.49,26643
2015-10-12,84.66,84.79,84.11,84.5,20605
2015-10-13,84.57,84.82,83.97,84.2,43047
2015-10-14,84.08,84.35,82.8143,82.93,25249
2015-10-15,83.39,84.42,83.01,84.08,28494
2015-10-16,84.08,85.09,84.08,85.09,13394
2015-10-19,85.11,86.17,84.89,85.9,50109
2015-10-20,86.25,86.76,85.74,86.55,42551
2015-10-21,86.77,87.364,85.87,86.02,24058
2015-10-22,86.42,87.54,86.15,87.21,23008
2015-10-23,87.73,87.82,86.57,86.95,28499
2015-10-26,86.53,87.67,86.53,87.38,24611
2015-10-27,87.51,87.98,87.12,87.45,29274
2015-10-28,87.33,88.36,87.33,88.16,51165
2015-10-29,87.91,89.89,87.6,89.27,46524
2015-10-30,89.13,90.02,87.46,87.46,29813
2015-11-02,87.61,88.7,86.1005,86.85,37150
2015-11-03,86.44,87.7,86.44,87.31,37028
2015-11-04,87.28,87.28,85.62,86.63,37107
2015-11-05,86.75,87.81,86.29,87.2,40667
2015-11-06,87.04,87.45,86.655,87.19,32340
2015-11-09,86.95,87.585,86.16,86.51,40659
2015-11-10,86.2,87.34,86.2,87.24,21460
2015-11-11,87.71,88.73,87.63,88.17,24685
2015-11-12,87.74,88.9899,86.54,86.86,18222
2015-11-13,86.98,87.57,86.61,86.75,29314
2015-11-16,86.84,89.68,86.56,89.67,63256
2015-11-17,89.51,90.85,88.74,90.57,86157
2015-11-18,90.55,91.92,90.065,91.54,44064
