Date,Open,High,Low,Close,Volume
2015-06-22,220.26,221.78,217.19,217.52,273243
2015-06-23,217.0,217.34,214.62,215.1,252087
2015-06-24,215.46,216.75,214.67,215.05,303767
2015-06-25,215.08,216.98,213.11,213.3,286587
2015-06-26,212.17,214.58,208.85,214.17,355030
2015-06-29,213.97,216.1,210.38,210.49,343517
2015-06-30,212.36,214.47,209.89,212.5,416145
2015-07-01,214.31,216.73,212.345,216.71,330606
2015-07-02,218.56,220.23,214.71,218.31,376432
2015-07-06,216.8,220.065,215.97,219.66,331350
2015-07-07,220.76,222.98,219.13,222.34,319838
2015-07-08,221.49,223.09,220.27,221.66,403744
2015-07-09,222.77,224.4,221.01,221.01,378801
2015-07-10,222.2,224.686,221.66,221.82,370397
2015-07-13,223.47,224.8,219.25,220.82,417131
2015-07-14,220.99,222.66,218.4,221.87,201952
2015-07-15,221.3,223.45,218.89,222.62,257692
2015-07-16,223.41,225.0,222.135,223.77,243403
2015-07-17,223.72,223.77,221.32,222.99,270734
2015-07-20,221.79,224.93,221.74,224.82,237835
2015-07-21,224.01,226.36,223.15,223.55,239328
2015-07-22,223.74,226.025,222.475,224.27,240970
2015-07-23,223.56,223.89,220.76,222.37,216027
2015-07-24,221.89,224.62,221.87,223.81,218624
2015-07-27,223.79,226.54,222.45,224.31,188315
2015-07-28,223.76,224.03,219.91,222.32,382397
2015-07-29,222.92,223.02,220.41,222.55,323389
2015-07-30,222.03,229.9,221.11,223.78,383988
2015-07-31,228.0,230.0,224.56,224.91,448740
2015-08-03,225.67,226.945,224.09,226.55,246580
2015-08-04,226.78,228.91,224.92,225.31,186448
2015-08-05,225.53,228.49,223.18,224.42,186325
2015-08-06,223.97,226.28,221.718,226.07,195597
2015-08-07,226.15,227.15,223.2,227.0,159479
2015-08-10,227.78,229.07,225.52,227.12,242543
2015-08-11,226.52,229.54,225.7,228.15,268050
2015-08-12,227.6,228.6,225.11,228.33,283453
2015-08-13,227.33,228.95,224.2,227.93,269377
2015-08-14,227.23,228.84,225.395,228.55,315279
2015-08-17,228.8,231.2,227.01,231.11,267198
2015-08-18,230.75,232.2,229.85,231.93,316377
2015-08-19,230.07,230.59,224.93,228.27,426095
2015-08-20,226.61,230.97,225.42,227.61,327980
2015-08-21,226.84,228.028,222.95,222.95,351382
2015-08-24,222.95,222.95,211.53,211.86,393727
2015-08-25,213.0,216.13,209.09,209.5,739411
2015-08-26,212.76,215.69,209.96,215.12,432608
