Date,Open,High,Low,Close,Volume
2015-06-22,46.55,46.95,46.48,46.56,1230555
2015-06-23,46.44,46.55,45.78,45.85,1153558
2015-06-24,45.89,46.13,45.56,45.57,835568
2015-06-25,45.69,45.8599,45.44,45.51,1654887
2015-06-26,45.44,46.15,45.2,45.99,2279549
2015-06-29,46.15,46.51,45.47,45.5,1444931
2015-06-30,45.68,45.78,45.31,45.41,1995324
2015-07-01,45.53,45.73,45.34,45.57,1799120
2015-07-02,45.97,46.56,45.79,46.51,1839746
2015-07-06,44.88,46.55,44.64,46.31,7597457
2015-07-07,46.55,47.75,46.53,47.38,3802841
2015-07-08,47.28,47.77,46.89,47.13,3002680
2015-07-09,47.25,47.3499,46.24,46.73,2986068
2015-07-10,46.74,47.37,46.54,46.89,1830731
2015-07-13,47.15,47.39,46.8101,47.04,1331709
2015-07-14,47.04,47.35,46.8901,47.3,1322030
2015-07-15,47.3,47.86,47.07,47.72,1946767
2015-07-16,47.68,48.395,47.58,48.3,1080411
2015-07-17,48.3,48.49,47.85,47.92,1246786
2015-07-20,47.85,47.89,47.21,47.58,1259910
2015-07-21,47.58,47.68,46.93,47.52,1683311
2015-07-22,47.64,48.44,47.36,47.83,3469064
2015-07-23,47.82,47.82,46.96,47.35,2689144
2015-07-24,47.29,47.56,47.04,47.21,2538867
2015-07-27,47.27,48.11,47.27,47.87,1207391
2015-07-28,47.87,48.18,47.64,48.12,1310491
2015-07-29,48.1,48.335,47.81,48.29,1170593
2015-07-30,48.13,48.87,48.03,48.77,1360823
2015-07-31,49.57,49.9901,49.07,49.72,1996076
2015-08-03,49.77,50.22,49.575,49.85,1810002
2015-08-04,49.83,49.83,49.02,49.1,1004280
2015-08-05,49.29,49.55,49.08,49.24,836644
2015-08-06,49.28,49.62,48.98,49.53,1556727
2015-08-07,49.26,49.97,49.03,49.8,2143260
2015-08-10,49.97,50.18,49.8,50.02,1834800
2015-08-11,50.07,50.68,49.86,50.41,1189070
2015-08-12,50.42,51.15,50.1,50.91,1298104
2015-08-13,50.61,51.03,50.2,50.79,1413799
2015-08-14,50.84,51.22,50.54,51.18,885608
2015-08-17,51.23,51.735,51.12,51.61,1256979
2015-08-18,51.39,51.64,51.17,51.47,1803761
2015-08-19,51.32,51.79,51.02,51.68,1534003
2015-08-20,51.44,52.15,51.3,51.62,1367264
2015-08-21,51.5,51.75,51.01,51.04,1713732
2015-08-24,49.33,50.61,48.68,48.92,3000550
2015-08-25,49.24,49.72,47.21,47.25,2158053
2015-08-26,47.6,48.19,47.06,48.08,1617407
2015-08-27,48.37,48.62,47.87,48.59,1263425
2015-08-28,48.5,48.77,47.54,48.29,1550297
2015-08-31,48.12,48.29,46.89,47.24,2731655
2015-09-01,46.72,46.75,45.83,46.07,2329819
2015-09-02,46.54,46.62,45.88,46.15,2330838
2015-09-03,46.36,46.61,46.17,46.46,2074118
2015-09-04,46.03,46.18,45.625,45.74,1494691
2015-09-08,46.14,46.57,46.07,46.48,1709950
2015-09-09,46.51,46.62,45.78,45.87,1724661
2015-09-10,45.3,45.91,45.3,45.5,1707487
2015-09-11,45.35,46.09,45.14,46.09,2064403
2015-09-14,46.08,46.47,45.97,46.25,1129258
2015-09-15,46.35,46.82,46.07,46.7,1764629
2015-09-16,46.65,46.9301,46.46,46.71,1929515
2015-09-17,46.81,48.33,46.57,47.66,2971348
2015-09-18,47.43,48.08,47.09,47.22,3593788
2015-09-21,47.37,47.655,47.15,47.51,1442009
2015-09-22,47.33,47.68,47.09,47.47,1634054
2015-09-23,47.48,47.8788,47.28,47.72,1617498
2015-09-24,47.59,48.24,47.46,48.17,2281657
2015-09-25,48.33,49.37,47.94,48.89,1732912
2015-09-28,48.83,49.2,48.67,49.09,2001366
2015-09-29,49.21,49.77,49.11,49.3,2501767
2015-09-30,49.26,50.66,49.11,50.62,2556332
2015-10-01,50.71,50.71,49.26,49.92,1935787
2015-10-02,50.2,50.63,49.84,50.51,1228864
2015-10-05,50.68,51.19,50.3,51.1,1473160
2015-10-06,50.99,51.11,50.36,50.64,1545293
2015-10-07,50.76,50.84,50.29,50.42,1490100
