Date,Open,High,Low,Close,Volume
2015-06-22,35.91,35.95,35.625,35.75,1691482
2015-06-23,35.73,35.79,35.27,35.39,2125450
2015-06-24,35.425,35.59,35.25,35.255,2389082
2015-06-25,35.26,35.265,34.73,34.735,1572266
2015-06-26,34.695,35.315,34.53,35.255,3973326
2015-06-29,35.275,35.595,34.92,34.975,2709760
2015-06-30,35.15,35.705,34.995,35.25,9107756
2015-07-01,35.33,35.75,35.24,35.725,4655936
2015-07-02,36.12,36.335,35.785,35.94,2788140
2015-07-06,35.87,36.235,35.74,36.235,2844052
2015-07-07,36.38,37.0,36.335,36.805,5372590
2015-07-08,36.66,37.045,36.5675,36.65,3463960
2015-07-09,36.735,36.865,36.185,36.26,2532404
2015-07-10,36.245,36.58,36.055,36.245,1897640
2015-07-13,36.41,36.495,36.01,36.125,1678644
2015-07-14,36.13,36.43,35.995,36.145,2593832
2015-07-15,36.22,36.259,35.87,36.125,3073592
2015-07-16,36.18,36.72,36.18,36.485,2965968
2015-07-17,36.56,36.56,36.155,36.185,1733618
2015-07-20,36.17,36.215,35.815,36.14,1811022
2015-07-21,36.11,36.1955,35.465,35.65,2077290
2015-07-22,35.67,35.9,35.435,35.5,2846136
2015-07-23,35.345,35.395,34.575,34.85,3410900
2015-07-24,34.89,34.945,34.575,34.605,1843450
2015-07-27,34.625,35.4,34.625,35.2,2222140
2015-07-28,34.875,35.235,34.775,34.99,2912112
2015-07-29,34.915,35.11,34.715,35.055,2369486
2015-07-30,34.95,35.545,34.86,35.18,2053418
2015-07-31,35.445,35.75,35.445,35.51,2375788
2015-08-03,35.625,35.78,35.445,35.6,3193830
2015-08-04,35.0,35.3,34.115,34.29,5652048
2015-08-05,34.29,34.295,33.875,33.94,5943272
2015-08-06,33.93,34.745,33.615,34.72,3543546
2015-08-07,34.69,35.435,34.43,35.13,2762822
2015-08-10,35.16,35.355,34.275,34.455,3758514
2015-08-11,34.16,34.765,34.125,34.47,3796210
2015-08-12,34.315,35.11,34.25,35.005,3860256
2015-08-13,35.005,35.03,34.54,34.895,2466490
2015-08-14,34.8,35.1,34.725,35.05,3062556
2015-08-17,35.04,35.4525,34.955,35.33,3565508
