Date,Open,High,Low,Close,Volume
2015-06-22,24.53,24.5493,23.97,24.0533,8575833
2015-06-23,24.1867,24.54,23.9792,24.105,5516402
2015-06-24,24.0067,24.185,23.7983,23.81,5742896
2015-06-25,23.9367,24.3463,23.82,24.1017,5756450
2015-06-26,24.2183,24.4417,24.0733,24.3467,6133106
2015-06-29,24.075,24.3517,23.695,23.725,4700354
2015-06-30,23.9517,24.0083,23.6083,23.7383,3947582
2015-07-01,23.9183,23.965,23.6983,23.9333,4764254
2015-07-02,24.0233,24.0917,23.52,23.7417,5143682
2015-07-06,23.9917,24.405,23.8975,24.1867,9854890
2015-07-07,24.2,24.6067,23.9533,24.58,8043597
2015-07-08,24.41,24.5683,23.76,23.8367,6691785
2015-07-09,24.1667,24.3317,24.0,24.1783,5412518
2015-07-10,24.5833,24.7417,24.2733,24.5267,5238692
2015-07-13,25.2833,25.484,24.97,25.3517,9598840
2015-07-14,25.3883,25.5417,25.205,25.3833,6336183
2015-07-15,25.4217,25.615,25.175,25.435,6399669
2015-07-16,25.5383,25.8383,25.5283,25.745,5979980
2015-07-17,25.725,25.8267,25.4383,25.7167,4627886
2015-07-20,25.7883,25.7883,25.6133,25.6683,3314467
2015-07-21,25.675,26.0817,25.6367,26.01,5949656
2015-07-22,26.0667,26.2683,25.88,26.12,4589450
2015-07-23,26.2083,26.2583,25.915,26.0417,4243784
2015-07-24,26.0183,26.2367,25.7833,25.85,4146218
2015-07-27,25.75,25.7917,25.3167,25.4533,8151447
2015-07-28,25.66,25.9667,25.335,25.9667,10876978
2015-07-29,25.8083,26.5,25.1,25.6267,11660951
2015-07-30,25.5983,25.8333,25.42,25.5167,7128129
2015-07-31,25.72,25.775,25.3383,25.36,4598654
2015-08-03,25.375,25.5667,24.9183,25.1817,6529539
2015-08-04,25.22,25.2993,24.8683,24.895,5409098
2015-08-05,24.9167,25.135,24.8683,25.02,5850452
2015-08-06,25.005,25.3183,23.9367,24.0467,8728287
2015-08-07,24.065,24.1958,23.6683,23.9867,5721830
2015-08-10,24.1617,24.4817,24.0233,24.0833,3815216
2015-08-11,23.93,24.1477,23.8183,23.9683,4385846
2015-08-12,23.87,24.15,23.5233,24.02,6096644
2015-08-13,23.9683,24.2167,23.7783,24.0667,4296974
2015-08-14,24.0217,24.1716,23.7917,23.8833,4199072
2015-08-17,23.7867,24.1633,23.6643,24.1283,4334066
2015-08-18,24.045,24.5633,23.9133,24.2117,6923325
2015-08-19,24.03,24.4483,23.79,24.3117,5328890
2015-08-20,24.0317,24.1617,23.8167,23.8167,6015854
2015-08-21,23.6417,23.698,23.3017,23.3117,8542617
2015-08-24,22.17,22.9167,20.8433,22.3217,11985731
2015-08-25,23.0133,23.4112,22.625,22.625,8505183
2015-08-26,23.0333,23.4083,22.4833,23.3583,7597653
2015-08-27,23.4417,24.3683,23.42,24.265,9526324
2015-08-28,24.1833,24.4767,23.6983,24.1167,9325984
2015-08-31,24.0633,24.36,23.47,23.48,6036296
2015-09-01,22.9667,23.1483,22.3833,22.5783,10452766
2015-09-02,22.895,23.1767,22.6183,23.1717,6535497
2015-09-03,23.26,23.4967,22.8425,22.925,4522280
2015-09-04,22.695,22.8842,22.4367,22.6817,3857372
2015-09-08,23.075,23.3167,22.705,23.28,6281925
2015-09-09,23.4967,23.5033,22.8717,22.92,6949653
2015-09-10,22.8917,23.2233,22.8633,23.035,4423916
2015-09-11,22.8983,23.1917,22.765,23.1883,4283576
2015-09-14,23.1883,23.295,23.015,23.1667,4390634
2015-09-15,23.15,23.44,23.0133,23.4167,5932484
2015-09-16,23.3567,23.5583,23.1717,23.43,3815006
2015-09-17,23.4133,23.8933,23.3458,23.6017,3928076
2015-09-18,23.4617,23.8967,23.4367,23.7917,10593388
2015-09-21,23.9633,24.1377,23.3333,23.5967,5343926
2015-09-22,23.4067,23.795,23.2133,23.6883,6244952
2015-09-23,23.6483,23.815,23.5417,23.6,5027858
2015-09-24,23.4633,23.5867,23.25,23.3883,4200548
