Date,Open,High,Low,Close,Volume
2015-06-22,23.9132,23.9558,23.5582,23.7144,6091383
2015-06-23,23.615,23.6718,23.2635,23.2884,4739122
2015-06-24,23.2884,23.3878,23.2032,23.2742,9212983
2015-06-25,23.26,23.26,22.7417,22.7417,6463327
2015-06-26,22.7772,22.8766,22.5287,22.7985,6203632
2015-06-29,22.7772,23.0186,22.5713,22.5784,4868190
2015-06-30,22.6849,22.8056,22.2092,22.3086,7098089
2015-07-01,22.3725,22.5358,22.3229,22.5287,4725160
2015-07-02,22.6778,22.9547,22.6281,22.7559,5545808
2015-07-06,22.6849,22.8695,22.4541,22.6778,4672378
2015-07-07,22.7843,23.3594,22.7772,23.2671,7060293
2015-07-08,23.1215,23.3523,23.0044,23.1464,6312579
2015-07-09,23.1961,23.3239,22.9724,23.0754,8915364
2015-07-10,23.0754,23.3594,23.0044,23.2529,7910426
2015-07-13,23.331,23.3878,23.0399,23.2174,12455360
2015-07-14,23.2742,23.3949,23.1073,23.2671,5996230
2015-07-15,23.2529,23.3452,23.0825,23.3239,2760016
2015-07-16,23.3239,23.9274,23.3239,23.8493,8909703
2015-07-17,23.8493,23.9878,23.6171,23.7783,8488810
2015-07-20,23.7428,23.7428,23.4943,23.7073,4751357
2015-07-21,23.6505,23.686,23.2671,23.2742,10943910
2015-07-22,23.2813,23.4304,23.2174,23.2742,10587190
2015-07-23,23.1819,23.189,22.0672,22.1808,17093070
2015-07-24,22.1808,22.3441,21.9394,21.9465,11861910
2015-07-27,21.9394,22.2447,21.7477,21.7477,11897700
2015-07-28,21.9039,22.2731,21.8542,22.0104,15265080
2015-07-29,22.3157,22.5322,21.7583,22.1098,12841100
2015-07-30,22.0956,22.5642,22.0956,22.4719,9989789
2015-07-31,22.6849,23.0612,22.6352,22.7843,8661638
2015-08-03,22.7701,23.1322,22.7559,23.0399,7933362
2015-08-04,23.047,23.0967,22.5145,22.5429,7195220
2015-08-05,22.6565,22.8553,22.5145,22.5287,5449999
2015-08-06,22.5642,22.7488,22.195,22.7133,8024973
2015-08-07,22.6565,23.1819,22.5855,23.0328,7886821
2015-08-10,23.0399,23.1322,22.692,22.8482,5871351
2015-08-11,22.8837,23.1038,22.6778,22.7843,6389871
2015-08-12,22.6068,23.2813,22.5855,23.2103,9580940
2015-08-13,23.0896,23.3523,22.8411,23.2529,5347626
2015-08-14,23.1393,23.544,23.0612,23.4872,4358244
2015-08-17,23.3949,23.9132,23.3736,23.7215,5618665
2015-08-18,23.5937,23.8706,23.4552,23.8564,6873931
2015-08-19,23.7783,24.3357,23.6647,24.2682,10514510
2015-08-20,24.1404,24.4527,23.9629,23.9984,7130690
2015-08-21,23.97,24.1049,23.3736,23.4304,11631980
2015-08-24,23.189,23.8138,22.8269,23.1748,20427840
2015-08-25,23.5511,23.757,21.5631,21.5844,26406370
2015-08-26,22.1382,22.5997,21.7796,22.3228,18015980
2015-08-27,22.479,22.5713,22.1453,22.5216,7426757
2015-08-28,22.4364,22.621,21.9607,22.2944,7408688
2015-08-31,22.124,22.1524,21.5169,21.84,10306540
2015-09-01,21.5915,21.7548,21.1229,21.272,9393937
2015-09-02,21.4424,21.5418,21.1797,21.272,8101411
2015-09-03,21.3714,21.5489,21.2578,21.485,6765350
2015-09-04,21.3004,21.3713,21.0093,21.1016,5798333
2015-09-08,21.3501,21.5347,21.2791,21.5063,3842526
2015-09-09,21.5418,21.6625,21.1087,21.1513,4512090
2015-09-10,21.3359,21.3785,21.0448,21.1229,6508979
2015-09-11,21.0732,21.1797,20.9809,21.0874,4009060
2015-09-14,21.2223,21.6057,21.2223,21.414,5357090
2015-09-15,21.5205,21.7157,21.3714,21.6483,5180736
2015-09-16,21.6767,22.0956,21.6199,22.053,7830128
2015-09-17,22.0459,22.6778,21.9536,22.4151,6843311
2015-09-18,22.0104,22.4009,21.9181,21.9465,9147726
2015-09-21,21.9607,22.1524,21.6554,21.6696,7578053
2015-09-22,21.6412,21.7122,20.1714,20.2069,22481310
2015-09-23,20.4057,20.9383,20.2069,20.6046,14892200
2015-09-24,20.498,20.7572,20.1998,20.6401,14645160
2015-09-25,20.8602,21.1016,20.633,20.9454,10390380
2015-09-28,20.8034,21.1868,20.6472,20.7324,9684328
2015-09-29,20.8673,20.988,20.5442,20.6969,7098249
2015-09-30,20.8389,21.13,20.6827,21.0874,6715874
2015-10-01,21.0661,21.1229,20.633,20.7324,7413799
2015-10-02,20.9383,21.1726,20.6756,21.1726,7145306
2015-10-05,21.2933,21.8329,21.2436,21.5134,9392046
2015-10-06,21.4708,21.6057,21.2081,21.4495,7878719
2015-10-07,21.5205,21.6689,21.3359,21.3927,7168969
2015-10-08,21.3501,21.9962,21.1939,21.9252,8104025
2015-10-09,21.9181,22.0246,21.7619,21.8826,7877571
2015-10-12,21.9678,22.2695,21.9394,22.0317,6161339
2015-10-13,22.0175,22.1382,21.6767,21.7193,7265573
2015-10-14,21.7619,21.7974,21.4637,21.5773,9707760
2015-10-15,21.6625,22.1169,21.1513,21.982,12146340
2015-10-16,22.0743,22.1098,21.5489,21.627,9455462
2015-10-19,21.5631,21.627,21.272,21.4282,7893804
2015-10-20,21.4495,21.8045,21.414,21.7122,7233600
2015-10-21,21.7477,21.9039,21.5702,21.627,4608810
2015-10-22,21.7122,22.0459,21.6767,22.0175,5454147
2015-10-23,21.911,21.9465,21.1868,21.201,7759229
2015-10-26,21.2081,21.3004,20.5762,20.7111,9365854
2015-10-27,20.6188,20.6756,20.1643,20.2708,7118471
2015-10-28,20.3347,20.5691,20.0223,20.2779,9476355
2015-10-29,20.2069,20.3347,19.8164,20.2992,7659292
2015-10-30,20.356,20.6578,19.6744,19.8235,13213790
2015-11-02,19.859,20.1856,19.859,20.143,7919552
2015-11-03,20.1359,20.2921,19.9513,20.2424,6290879
2015-11-04,20.2495,20.6614,20.2069,20.6614,10179330
2015-11-05,20.6827,20.7395,20.3631,20.4057,6174547
2015-11-06,20.1288,20.2357,19.6886,19.9442,9662759
2015-11-09,20.0223,20.7395,20.001,20.4554,13740920
2015-11-10,20.2708,20.5975,20.2353,20.4057,6872245
2015-11-11,20.4767,20.5762,20.3631,20.498,6160045
2015-11-12,20.3844,20.5762,20.2708,20.2779,6872767
2015-11-13,20.285,20.5051,20.0649,20.1217,14599090
2015-11-16,20.1217,20.3489,20.072,20.3418,7055333
2015-11-17,20.2992,20.4554,19.5963,19.6602,9462441
2015-11-18,19.6673,20.0046,19.5182,19.9655,9514707
