Date,Open,High,Low,Close,Volume
2015-06-22,69.0,69.19,68.09,68.15,1293733
2015-06-23,68.12,68.2,67.05,67.16,778711
2015-06-24,67.29,67.51,66.21,66.25,787890
2015-06-25,66.29,66.64,65.16,65.41,763264
2015-06-26,65.43,65.77,64.99,65.64,718431
2015-06-29,65.34,66.18,64.9825,65.04,782955
2015-06-30,65.42,65.81,64.7801,65.22,653666
2015-07-01,66.08,66.9,65.38,66.83,1186324
2015-07-02,67.31,68.0,67.05,67.41,1065167
2015-07-06,66.87,67.84,66.3,67.32,917271
2015-07-07,67.51,68.73,67.335,68.54,850009
2015-07-08,67.97,69.31,67.796,68.81,1126588
2015-07-09,69.19,69.37,68.64,68.9,618735
2015-07-10,69.29,70.17,68.89,69.58,606817
2015-07-13,70.17,70.77,69.3364,69.7,656730
2015-07-14,69.77,70.15,69.29,69.57,903295
2015-07-15,69.49,70.15,69.1,69.57,513846
2015-07-16,69.89,70.44,69.39,70.37,478379
2015-07-17,70.28,70.31,69.6301,70.17,555326
2015-07-20,70.0,70.9,69.62,70.78,735541
2015-07-21,70.85,71.14,70.26,70.28,585287
2015-07-22,70.28,71.23,70.28,70.91,582378
2015-07-23,71.41,71.47,70.26,70.85,587289
2015-07-24,70.75,71.3,70.39,70.98,569871
2015-07-27,70.94,71.56,70.78,71.17,628460
2015-07-28,71.28,71.45,70.67,70.99,647901
2015-07-29,70.88,71.32,70.35,71.15,623364
2015-07-30,71.89,73.24,71.63,72.83,781041
2015-07-31,73.47,74.27,72.99,73.52,1041854
2015-08-03,73.5,74.49,73.34,74.42,650011
2015-08-04,74.35,75.16,74.08,74.31,551308
2015-08-05,74.61,74.96,74.31,74.69,618070
2015-08-06,74.57,75.43,73.98,75.34,649094
2015-08-07,75.26,76.09,74.52,75.7,634521
2015-08-10,76.17,76.43,74.98,75.3,949120
2015-08-11,75.15,76.65,74.6901,76.11,783720
2015-08-12,75.87,76.71,75.205,76.7,1059987
2015-08-13,76.82,78.19,76.62,77.25,1509403
2015-08-14,77.25,78.8,76.88,78.45,3641376
2015-08-17,78.52,79.12,78.32,78.7,1107072
2015-08-18,78.56,79.15,78.405,78.53,736856
2015-08-19,78.46,78.82,78.077,78.45,752797
2015-08-20,78.28,78.99,77.73,77.88,868292
2015-08-21,77.57,78.08,76.51,76.53,1238308
2015-08-24,74.04,75.48,72.12,72.22,1506051
2015-08-25,74.03,74.11,69.9601,70.03,1388861
2015-08-26,71.68,72.475,70.34,72.11,1178257
2015-08-27,72.83,74.29,72.15,73.84,985121
2015-08-28,73.71,74.44,73.35,74.13,836782
2015-08-31,74.21,74.66,73.29,73.48,1761058
2015-09-01,72.55,73.2055,71.87,72.49,972061
2015-09-02,73.41,73.6,72.675,73.57,722924
2015-09-03,73.5,74.05,73.03,73.3,707943
2015-09-04,72.8,73.13,70.98,71.42,753516
2015-09-08,72.37,73.33,71.97,73.08,739566
2015-09-09,73.53,73.69,71.79,71.9,619739
2015-09-10,71.9,72.94,71.58,71.97,746360
2015-09-11,71.68,73.0,71.31,72.97,644272
2015-09-14,73.08,73.33,72.73,73.05,460962
2015-09-15,72.94,75.31,72.54,74.82,3229634
2015-09-16,74.82,74.88,73.96,74.03,2489980
2015-09-17,73.69,75.83,73.67,75.26,1339090
2015-09-18,74.47,76.29,74.24,75.48,3575430
2015-09-21,75.51,76.71,75.51,76.6,1121548
2015-09-22,75.9,76.31,72.76,75.62,1151440
2015-09-23,75.73,76.57,75.49,76.35,463794
2015-09-24,76.04,76.78,75.21,75.61,611605
2015-09-25,76.57,77.03,75.69,76.27,563334
2015-09-28,75.86,76.37,74.77,75.47,701529
2015-09-29,75.7,76.71,75.21,76.61,630379
2015-09-30,77.42,77.7,76.6,77.16,826945
2015-10-01,77.43,77.48,76.03,76.41,1291543
2015-10-02,75.62,76.98,75.59,76.87,1247840
2015-10-05,77.24,78.32,76.91,78.23,983830
2015-10-06,78.19,78.29,76.63,76.72,1101101
2015-10-07,76.85,77.15,75.74,76.29,1666064
2015-10-08,76.19,77.49,75.81,77.35,932343
2015-10-09,77.35,77.55,76.13,77.1,988667
2015-10-12,77.34,78.32,77.28,78.07,577886
2015-10-13,77.56,78.08,76.67,77.03,728724
2015-10-14,77.26,77.46,75.82,76.08,669911
2015-10-15,76.34,77.24,76.26,77.24,644787
2015-10-16,77.31,78.05,77.18,77.31,916810
2015-10-19,77.35,79.59,77.15,79.54,1148645
2015-10-20,79.54,81.01,79.3001,80.7,1369241
2015-10-21,81.06,81.23,80.14,80.79,890814
2015-10-22,81.46,81.48,80.38,81.38,821295
2015-10-23,81.52,81.81,80.21,80.78,576568
2015-10-26,80.95,81.19,80.1,80.73,641115
2015-10-27,80.7,81.99,80.68,81.35,905500
2015-10-28,81.54,81.9899,79.57,80.75,1081525
2015-10-29,81.96,82.54,79.92,80.81,849870
2015-10-30,81.13,81.24,79.12,79.24,1004243
2015-11-02,79.48,80.55,78.81,80.47,1175653
2015-11-03,80.41,80.52,78.66,79.15,892659
2015-11-04,79.17,79.6,78.78,79.15,790968
2015-11-05,79.16,79.52,78.67,79.13,570130
