Date,Open,High,Low,Close,Volume
2015-06-22,77.38,79.4,76.17,78.81,974224
2015-06-23,78.73,80.12,77.93,79.89,848771
2015-06-24,80.0,80.68,77.77,77.955,749933
2015-06-25,77.87,78.8,76.16,76.39,741973
2015-06-26,75.48,76.32,73.38,75.25,7678904
2015-06-29,74.26,75.94,73.734,75.16,1228924
2015-06-30,75.95,76.3099,73.36,75.38,1209365
2015-07-01,76.41,77.36,72.59,72.82,1441780
2015-07-02,72.82,73.24,72.22,73.13,833244
2015-07-06,71.91,73.33,69.9,70.21,1371965
2015-07-07,70.06,71.17,67.56,71.06,1859367
2015-07-08,70.33,71.62,68.27,69.29,1022414
2015-07-09,70.23,71.91,70.095,70.86,1339237
2015-07-10,71.3,71.69,69.57,70.89,973520
2015-07-13,70.52,71.46,70.03,71.31,781450
2015-07-14,71.71,74.22,71.35,73.34,1052124
2015-07-15,72.71,72.95,69.98,70.69,962958
2015-07-16,70.87,71.75,68.46,69.19,1006104
2015-07-17,69.11,69.11,65.85,66.27,1992923
2015-07-20,66.06,66.21,64.18,64.83,1331628
2015-07-21,65.15,66.85,64.66,65.97,1233201
2015-07-22,65.34,66.44,64.39,66.24,1336433
2015-07-23,66.25,66.708,64.04,66.29,1813892
2015-07-24,66.39,66.47,63.12,63.9,1810072
2015-07-27,63.05,64.25,62.23,63.3,1129061
2015-07-28,63.5,65.6,62.58,64.99,726581
2015-07-29,64.63,67.91,63.99,67.65,1386073
2015-07-30,67.36,68.6599,65.94,67.68,1543287
2015-07-31,67.24,68.57,66.51,67.3,1276195
2015-08-03,66.8,69.44,66.41,66.82,1302807
2015-08-04,67.44,69.35,67.19,67.99,1537121
2015-08-05,68.99,69.99,67.51,68.37,1710579
2015-08-06,68.4,70.96,65.89,70.48,1967843
2015-08-07,70.06,71.73,68.43,68.84,1149927
2015-08-10,69.09,70.96,68.81,70.19,1427094
2015-08-11,69.11,71.115,68.0,70.87,859164
2015-08-12,70.55,73.21,69.96,72.48,1039137
2015-08-13,70.71,72.06,70.02,71.67,2579889
2015-08-14,72.39,74.19,71.6,73.9,1502778
2015-08-17,73.27,73.63,71.6,72.21,987176
2015-08-18,72.68,73.48,71.4,73.38,766139
2015-08-19,72.75,73.132,70.0505,71.84,1059845
2015-08-20,72.0,72.28,70.15,70.23,1056313
2015-08-21,69.31,70.22,66.33,66.55,1998593
2015-08-24,64.84,65.79,60.335,61.75,2021062
2015-08-25,65.32,65.78,60.79,60.82,1345539
2015-08-26,62.48,62.58,60.28,62.09,1104667
2015-08-27,63.51,67.66,62.58,65.7,1673634
2015-08-28,65.02,69.3,64.55,66.56,1609580
2015-08-31,65.93,69.15,65.31,68.29,1973961
2015-09-01,66.39,67.89,63.69,64.52,1462634
2015-09-02,65.58,67.49,63.33,67.45,1384078
2015-09-03,68.05,68.995,66.8,66.98,944265
2015-09-04,65.99,67.17,65.46,66.0,701758
2015-09-08,65.95,67.88,65.18,67.31,818602
2015-09-09,67.98,68.4,65.0,65.05,881214
2015-09-10,65.4,67.64,63.82,66.88,1056829
2015-09-11,65.89,66.31,63.44,66.31,1113532
2015-09-14,66.2,66.44,64.58,65.72,704460
2015-09-15,66.21,67.42,66.0,66.7,645235
2015-09-16,67.33,70.72,67.29,69.89,1397246
2015-09-17,70.18,71.64,69.44,69.81,1012284
2015-09-18,68.02,69.38,67.72,69.0,1591981
2015-09-21,69.66,70.76,68.56,69.42,1131751
2015-09-22,68.39,71.3,67.44,69.18,1373345
2015-09-23,69.21,70.21,66.4,66.49,931906
2015-09-24,65.9,67.35,64.205,66.67,729758
2015-09-25,67.7,67.72,65.24,66.01,926358
2015-09-28,65.11,65.43,62.24,62.63,984099
2015-09-29,62.73,64.21,62.11,63.0,795337
2015-09-30,63.86,65.31,62.85,64.6,769570
2015-10-01,66.09,67.6,63.77,65.56,1447472
2015-10-02,65.11,69.52,63.36,69.36,1442946
2015-10-05,69.78,72.34,69.78,72.21,1241002
2015-10-06,73.0,74.67,70.61,72.58,1916805
2015-10-07,73.69,76.21,71.68,73.65,1645789
2015-10-08,73.23,76.74,72.42,76.22,1060007
2015-10-09,76.55,77.92,74.74,76.95,1708168
2015-10-12,76.45,77.92,75.0875,76.91,1086103
2015-10-13,76.52,77.96,75.81,76.17,652747
2015-10-14,76.42,76.61,74.87,76.43,706331
2015-10-15,75.94,76.74,73.96,75.68,912278
2015-10-16,75.93,77.98,75.8,77.18,1115353
2015-10-19,76.12,76.43,71.85,73.31,1296056
2015-10-20,74.03,75.1,72.23,73.36,831444
2015-10-21,73.11,73.11,71.06,71.27,602939
2015-10-22,71.81,73.0,71.1,72.35,802005
2015-10-23,72.01,72.81,70.56,71.92,1203443
2015-10-26,71.97,73.61,71.27,72.88,987632
2015-10-27,71.9,72.83,71.0,72.56,961864
2015-10-28,72.9,76.36,71.75,75.5,1395019
2015-10-29,74.92,76.61,74.635,75.4,1141042
2015-10-30,76.08,76.126,73.13,73.84,1129215
2015-11-02,73.83,74.94,73.29,73.41,1293253
2015-11-03,73.81,79.32,73.34,77.26,1873426
2015-11-04,79.0,79.0,75.0,76.08,1374678
2015-11-05,76.0,79.0,74.65,77.09,991466
2015-11-06,76.5,78.96,76.36,77.79,1005402
2015-11-09,78.01,79.99,77.49,79.62,1134765
2015-11-10,79.21,79.95,78.27,79.6,740408
2015-11-11,79.67,80.12,77.84,79.83,1225029
2015-11-12,78.49,80.07,77.635,78.09,1408152
2015-11-13,77.83,78.945,76.68,76.72,1073564
2015-11-16,77.27,79.79,76.45,79.66,1272878
2015-11-17,80.0,80.99,78.1,79.61,842582
2015-11-18,80.0,81.86,78.11,81.42,1429724
2015-11-19,80.42,81.0,76.05,77.06,1124527
2015-11-20,77.01,78.4,76.515,77.47,1009922
2015-11-23,77.31,79.97,76.14,79.74,1331217
2015-11-24,80.5,82.19,78.17,79.94,1456080
2015-11-25,78.97,80.115,77.82,78.7,697440
2015-11-27,77.91,78.52,76.58,77.52,395920
2015-11-30,77.42,79.59,77.195,78.02,603770
2015-12-01,78.33,79.35,77.47,78.2,816698
2015-12-02,78.78,78.78,74.87,76.79,1072485
2015-12-03,77.79,78.334,75.76,76.75,631471
2015-12-04,76.25,78.16,74.9,76.31,1056196
2015-12-07,74.49,75.43,71.47,73.85,1624469
2015-12-08,72.59,75.79,72.24,74.94,1987595
2015-12-09,76.16,78.39,75.01,77.02,1089590
2015-12-10,76.46,80.0,75.51,79.09,1794410
2015-12-11,77.69,78.6,75.91,76.56,1084728
2015-12-14,75.8,76.609,73.78,75.61,1574470
2015-12-15,75.71,77.69,75.44,76.51,1440634
2015-12-16,76.99,77.49,71.96,72.36,1322308
2015-12-17,73.35,73.35,67.9,68.75,2030922
2015-12-18,68.81,69.15,65.75,66.16,1668756
2015-12-21,66.13,67.52,61.51,62.2,2606823
2015-12-22,62.25,64.82,61.87,63.35,1368238
2015-12-23,64.89,67.6,64.0,67.46,1192367
2015-12-24,67.28,68.45,66.13,67.92,486195
2015-12-28,67.15,67.15,64.62,65.43,889666
2015-12-29,67.23,67.77,64.9172,66.44,815865
2015-12-30,65.37,67.03,64.84,66.02,633386
2015-12-31,65.77,67.67,65.74,66.9,770369
2016-01-04,66.45,67.15,65.1,66.11,1199687
2016-01-05,66.1,66.6,64.6,65.19,1006894
2016-01-06,64.02,64.02,61.75,62.2,1324917
2016-01-07,60.74,63.633,60.1,60.4,1080751
2016-01-08,61.0,61.87,58.79,60.76,1259268
2016-01-11,60.64,61.44,56.78,57.6,1944867
2016-01-12,58.64,59.28,55.48,58.52,2440618
2016-01-13,59.82,60.5499,56.85,59.51,5736209
2016-01-14,60.76,63.2,58.9,62.68,2322853
2016-01-15,59.68,63.34,59.26,63.16,2016437
2016-01-19,63.3,64.57,59.43,60.48,1661264
2016-01-20,59.0,62.58,56.59,60.91,2868940
2016-01-21,60.86,64.88,60.6,64.1,1918262
2016-01-22,65.2,68.99,64.4401,66.17,1869672
2016-01-25,64.06,66.53,61.59,62.08,1283331
2016-01-26,63.69,66.99,61.86,66.53,1353876
2016-01-27,66.32,69.79,65.49,68.27,2477547
2016-01-28,71.18,73.49,70.1,72.79,2382105
2016-01-29,73.34,75.66,73.02,75.55,2600398
2016-02-01,74.41,74.44,71.37,72.6,1880489
2016-02-02,70.71,73.12,70.19,71.25,990580
2016-02-03,72.42,75.0,69.99,74.88,1343037
2016-02-04,75.48,76.86,71.68,72.0,2528971
2016-02-05,71.46,71.46,66.57,67.31,2424281
2016-02-08,66.04,70.35,65.02,69.95,1904210
2016-02-09,68.77,69.675,64.88,67.06,1689743
2016-02-10,67.28,69.38,65.7,67.33,1533967
2016-02-11,65.22,68.57,63.76,67.9,1795203
2016-02-12,69.9,71.11,67.1,69.13,1641252
2016-02-16,70.54,71.41,67.29,67.97,2106025
2016-02-17,69.52,72.2,66.23,70.44,2530383
2016-02-18,70.2,71.73,67.68,70.25,1884989
2016-02-19,69.42,72.17,68.38,72.08,1434947
2016-02-22,74.13,74.67,72.09,73.7,1367472
2016-02-23,73.7,73.7,69.88,69.99,1211997
2016-02-24,71.06,71.77,67.52,71.72,1043424
2016-02-25,71.14,72.25,68.33,71.56,1200926
2016-02-26,72.58,73.99,71.85,72.6,1197737
2016-02-29,72.7,73.22,70.51,71.25,1371984
2016-03-01,71.76,72.51,68.96,72.49,1673221
2016-03-02,72.21,74.0,71.25,74.0,1374242
2016-03-03,73.41,74.4,70.85,72.51,2734623
2016-03-04,72.99,76.04,71.8,75.99,2124464
2016-03-07,75.7,76.73,73.71,76.24,2468445
2016-03-08,75.36,76.485,73.65,74.39,1518082
2016-03-09,75.72,75.92,73.5,74.7,1215631
2016-03-10,74.4,75.38,72.75,75.08,872548
2016-03-11,75.94,79.32,74.815,78.43,1752069
2016-03-14,76.74,78.1999,75.205,76.01,835521
2016-03-15,74.83,77.21,74.61,76.98,916814
2016-03-16,77.53,78.47,75.23,77.11,1340866
2016-03-17,77.88,77.97,76.71,77.49,1145072
2016-03-18,78.0,79.22,76.76,77.62,1760634
2016-03-21,77.11,78.41,76.58,78.05,829703
2016-03-22,77.38,79.04,77.2,78.02,1073668
2016-03-23,76.65,78.5,76.51,76.7,1013110
2016-03-24,75.69,77.66,75.11,77.43,843574
2016-03-28,76.66,77.67,74.81,76.46,699362
2016-03-29,75.47,77.69,75.24,77.16,987947
2016-03-30,78.19,79.58,76.701,79.03,1393836
2016-03-31,78.96,79.87,76.98,77.18,1128443
2016-04-01,76.0,77.34,75.31,76.77,1090618
2016-04-04,77.07,77.82,74.44,74.51,945259
2016-04-05,74.44,74.52,73.12,73.8,1216619
2016-04-06,74.54,76.79,73.8227,76.69,1064465
2016-04-07,76.06,79.18,75.965,79.07,1277513
2016-04-08,80.6,82.5,79.57,81.05,1362139
2016-04-11,81.35,82.06,79.97,80.58,793336
2016-04-12,81.01,83.21,80.305,82.05,1056887
2016-04-13,81.7,82.225,80.22,81.4,774616
2016-04-14,81.47,81.8,80.5,81.73,444631
2016-04-15,80.88,80.95,79.83,80.11,778143
2016-04-18,77.92,82.01,77.5,81.82,918360
2016-04-19,82.3,84.45,81.75,82.3,1254055
2016-04-20,81.91,84.48,80.61,83.45,847614
2016-04-21,84.51,84.51,82.1,82.55,552684
2016-04-22,82.65,84.41,82.635,83.68,810121
2016-04-25,83.07,84.87,83.07,84.48,1032247
2016-04-26,84.82,87.13,84.7768,86.51,1139079
2016-04-27,87.13,89.12,87.0,88.43,1320946
2016-04-28,88.23,89.22,86.58,86.88,907614
2016-04-29,87.11,88.3,84.97,86.58,978300
2016-05-02,87.08,87.77,85.56,87.61,1277158
2016-05-03,86.91,88.0,83.01,84.9,1883458
2016-05-04,85.4,87.935,82.19,84.17,2147885
2016-05-05,85.85,88.46,85.85,87.68,1796490
2016-05-06,86.99,88.57,85.31,85.46,756834
2016-05-09,84.55,86.14,83.68,85.73,1002415
2016-05-10,86.03,87.57,85.78,87.41,903586
2016-05-11,87.01,88.32,86.27,86.49,1036367
2016-05-12,87.41,88.41,85.75,87.14,921744
2016-05-13,86.6,87.7,84.89,85.49,778878
2016-05-16,86.86,87.99,86.38,86.58,696958
2016-05-17,86.86,87.75,85.69,86.94,797918
2016-05-18,87.04,87.62,85.89,86.93,527333
2016-05-19,85.93,87.33,83.89,86.93,871772
2016-05-20,87.5,87.5,86.18,87.02,736668
2016-05-23,86.55,87.5799,85.6401,86.84,569802
2016-05-24,87.52,88.5,86.74,87.97,904445
2016-05-25,88.44,89.79,87.99,89.74,1004810
2016-05-26,90.0,92.92,89.89,91.91,1792629
2016-05-27,91.42,93.92,90.32,92.86,2747312
2016-05-31,93.0,93.77,90.46,90.95,978809
2016-06-01,90.27,92.17,90.05,91.53,969752
2016-06-02,90.65,92.66,89.4,92.42,1062480
2016-06-03,92.31,92.53,89.895,90.11,1318842
2016-06-06,90.84,91.63,89.8,90.87,1169066
2016-06-07,91.47,94.95,91.47,94.59,1366733
2016-06-08,95.45,96.01,92.43,93.13,970706
2016-06-09,92.28,93.87,91.72,92.18,766027
2016-06-10,91.1,91.91,89.33,89.34,800871
2016-06-13,88.7,90.4364,88.2,88.76,910477
2016-06-14,88.37,90.1,87.97,89.86,947341
2016-06-15,89.76,90.46,88.26,89.13,767314
2016-06-16,88.26,88.26,86.3101,87.25,1312847
2016-06-17,87.76,88.26,86.96,87.51,1211492
2016-06-20,89.26,89.6,88.53,89.01,821925
2016-06-21,89.16,91.33,88.09,90.92,951171
2016-06-22,91.68,91.68,89.72,90.79,577446
2016-06-23,91.5,91.97,90.7,91.41,671610
2016-06-24,87.52,89.5,86.65,87.28,1692851
2016-06-27,86.4,87.3499,82.8,83.77,1554793
2016-06-28,85.01,88.95,84.35,88.61,1393958
2016-06-29,89.65,91.82,88.82,90.79,1012981
2016-06-30,90.64,91.99,89.59,91.21,931574
2016-07-01,91.79,92.78,89.38,90.54,905282
2016-07-05,89.54,90.005,87.7505,89.53,990128
2016-07-06,88.84,91.2,88.49,90.5,1620632
2016-07-07,91.5,91.97,88.41,88.59,1087357
2016-07-08,89.58,90.0,88.77,89.16,924072
2016-07-11,89.91,91.41,89.2,89.7,626017
2016-07-12,91.05,92.82,91.03,91.96,751814
2016-07-13,90.27,92.45,89.2,91.04,4599243
2016-07-14,92.02,92.7275,91.15,92.23,1327486
2016-07-15,92.19,92.49,90.07,90.93,1010296
2016-07-18,90.67,90.97,89.5,90.57,696293
2016-07-19,90.05,90.87,89.21,89.42,1051674
2016-07-20,90.1,90.12,88.78,89.48,1469209
2016-07-21,89.26,90.31,87.91,88.18,1374708
2016-07-22,88.42,88.74,87.44,88.23,958813
2016-07-25,87.79,87.79,84.2,85.35,1118500
2016-07-26,85.32,86.17,84.45,85.89,951336
2016-07-27,86.2,86.63,84.73,85.36,1121369
2016-07-28,85.17,86.565,84.53,85.93,958782
2016-07-29,85.49,88.37,85.16,87.79,1685035
2016-08-01,87.64,87.64,84.65,85.95,1343091
2016-08-02,86.2,86.9,83.9,85.85,1198019
2016-08-03,87.48,88.0,85.22,87.34,1618716
2016-08-04,87.34,89.945,86.87,88.91,1262340
2016-08-05,89.27,93.84,89.155,92.95,1744731
2016-08-08,93.69,95.9599,93.4,93.7,1144157
2016-08-09,93.65,95.47,93.09,94.28,1004485
2016-08-10,94.67,94.81,92.6806,93.29,638818
2016-08-11,94.04,95.48,93.17,94.16,945115
2016-08-12,94.38,94.96,93.57,94.58,603271
2016-08-15,95.24,96.95,95.015,96.45,902975
2016-08-16,95.81,96.49,93.45,95.01,1040096
2016-08-17,95.01,95.56,93.95,95.3,759863
2016-08-18,95.93,98.81,95.35,98.55,1237904
2016-08-19,98.28,98.94,97.03,98.59,606088
2016-08-22,97.48,98.18,95.86,96.49,1068449
2016-08-23,96.6,97.52,96.23,96.59,594433
2016-08-24,96.27,97.3,95.76,96.19,570078
2016-08-25,96.26,96.87,94.99,96.26,718971
2016-08-26,96.52,97.39,95.67,96.33,504026
2016-08-29,95.86,97.89,95.6,97.36,456670
2016-08-30,97.36,97.99,95.84,96.5,598924
2016-08-31,96.12,96.25,93.75,95.25,997495
2016-09-01,95.23,95.374,93.03,95.27,710707
2016-09-02,96.17,96.83,95.75,96.38,569751
2016-09-06,96.58,97.25,95.22,97.15,728646
2016-09-07,97.6,98.95,96.49,98.56,997823
2016-09-08,98.94,99.689,98.07,98.34,653693
2016-09-09,97.57,98.52,95.96,96.05,961763
2016-09-12,95.44,96.94,94.64,95.63,754175
2016-09-13,94.21,95.1151,90.4,90.9,1627876
2016-09-14,90.49,91.68,87.911,88.56,1347432
2016-09-15,88.99,90.39,88.55,89.88,1148948
2016-09-16,88.99,89.95,86.93,89.69,1319977
2016-09-19,90.53,91.15,88.51,89.29,634781
2016-09-20,89.51,89.51,87.53,88.35,837643
2016-09-21,89.11,90.08,88.01,89.39,1389216
2016-09-22,90.39,91.26,89.35,91.0,1048538
2016-09-23,90.48,90.94,87.31,88.92,1246686
2016-09-26,89.19,91.35,88.89,90.31,1120545
2016-09-27,89.38,89.78,87.65,88.53,879217
2016-09-28,89.06,93.6,88.36,93.38,1244844
2016-09-29,93.25,96.56,93.18,95.53,1539977
