Date,Open,High,Low,Close,Volume
2015-06-22,10.825,10.8737,10.7525,10.8387,5396308
2015-06-23,10.875,10.875,10.7725,10.81,3842868
2015-06-24,10.8225,10.85,10.745,10.7613,5850832
2015-06-25,10.7875,10.79,10.6575,10.685,5204828
2015-06-26,10.7175,10.795,10.675,10.7738,5654664
2015-06-29,10.7075,10.7175,10.545,10.5525,7473656
2015-06-30,10.655,10.6625,10.5325,10.545,5829232
2015-07-01,10.595,10.605,10.4888,10.5425,8981412
2015-07-02,10.5425,10.595,10.425,10.525,7525788
2015-07-06,10.465,10.5725,10.465,10.51,6778132
2015-07-07,10.5575,10.6975,10.4603,10.685,10004652
2015-07-08,10.645,10.6775,10.445,10.5025,11092056
2015-07-09,10.59,10.6475,10.4713,10.5,6598692
2015-07-10,10.6,10.6375,10.5237,10.5825,6710704
2015-07-13,10.6525,10.72,10.5825,10.705,11757664
2015-07-14,10.38,10.5625,10.2425,10.2775,27380752
2015-07-15,10.285,10.4875,10.2725,10.3725,18437964
2015-07-16,10.3075,10.5225,10.2925,10.4825,9740548
2015-07-17,10.4725,10.4781,10.3325,10.465,8373964
2015-07-20,10.48,10.5887,10.4375,10.5475,8766892
2015-07-21,10.505,10.55,10.3175,10.36,12419468
2015-07-22,10.395,10.4775,10.11,10.165,9321844
2015-07-23,10.145,10.185,10.0313,10.1,12150004
2015-07-24,10.045,10.0925,9.9375,10.015,11210468
2015-07-27,10.015,10.08,9.9325,10.025,6724320
2015-07-28,10.07,10.22,10.04,10.2113,8310696
2015-07-29,10.2025,10.3225,10.145,10.305,6869400
2015-07-30,10.2575,10.3175,10.2075,10.2225,7154024
2015-07-31,10.2575,10.5075,10.2325,10.465,9982012
2015-08-03,10.44,10.49,9.9425,10.3525,6559240
2015-08-04,10.315,10.445,10.28,10.335,6583428
2015-08-05,10.355,10.425,10.15,10.22,13140992
2015-08-06,10.22,10.255,10.0225,10.03,11195348
2015-08-07,10.045,10.0825,9.92,10.0,8024208
2015-08-10,10.075,10.2025,10.07,10.1425,9952060
2015-08-11,10.0825,10.089,9.885,9.9425,9589932
2015-08-12,9.8875,10.135,9.875,10.115,8861028
2015-08-13,10.08,10.095,10.005,10.0125,4345116
2015-08-14,9.9825,10.0825,9.9775,10.0525,4596612
2015-08-17,10.0075,10.1438,9.965,10.09,4613184
2015-08-18,10.085,10.1975,10.085,10.18,6001584
2015-08-19,10.135,10.1775,9.9825,10.085,6853944
2015-08-20,10.02,10.0375,9.84,9.845,8535624
2015-08-21,9.8125,9.9325,9.765,9.795,17582376
2015-08-24,9.4825,9.71,9.1825,9.35,24851092
2015-08-25,9.2925,9.51,9.2275,9.25,28910484
2015-08-26,9.455,9.5478,9.3875,9.52,14813576
2015-08-27,9.5875,9.755,9.565,9.745,10820852
2015-08-28,9.6775,9.7675,9.635,9.6725,8026572
2015-08-31,9.615,9.7205,9.5275,9.635,7762724
2015-09-01,9.46,9.52,9.3336,9.3625,10750752
2015-09-02,9.5175,9.63,9.4875,9.5825,9066292
2015-09-03,9.54,9.6025,9.3725,9.41,11060424
2015-09-04,9.3125,9.4275,9.275,9.375,7840264
2015-09-08,9.5225,9.725,9.5,9.71,11011392
2015-09-09,9.7725,9.81,9.5725,9.59,7955140
2015-09-10,9.5575,9.745,9.5325,9.655,7894784
2015-09-11,9.59,9.67,9.5488,9.6675,5717912
2015-09-14,9.6475,9.6762,9.485,9.5525,5067876
2015-09-15,9.5875,9.71,9.5375,9.67,7194360
2015-09-16,9.635,9.7325,9.61,9.725,9073356
2015-09-17,9.7425,9.7425,9.5625,9.5925,9041108
2015-09-18,9.445,9.5075,9.2825,9.295,26010668
2015-09-21,9.335,9.405,9.2575,9.295,8048812
2015-09-22,9.225,9.2925,9.1163,9.1525,7419616
2015-09-23,9.1625,9.2075,9.0675,9.1175,5696472
2015-09-24,9.0625,9.1925,8.995,9.17,7720892
2015-09-25,9.195,9.2525,9.1075,9.1775,6353968
2015-09-28,9.16,9.1825,8.9675,9.0325,14077252
2015-09-29,9.055,9.14,8.9975,9.1225,12820784
2015-09-30,9.22,9.3125,9.0475,9.1525,16336612
2015-10-01,9.195,9.245,8.7937,8.875,16759332
2015-10-02,8.7425,8.9975,8.6125,8.995,17271688
2015-10-05,9.0275,9.2212,9.0175,9.2025,8846744
2015-10-06,9.25,9.3025,9.15,9.265,9079832
2015-10-07,9.31,9.5175,9.305,9.51,17143840
2015-10-08,9.445,9.765,9.1412,9.7575,16615468
2015-10-09,9.7425,9.8475,9.6625,9.745,13066020
2015-10-12,9.7925,9.7925,9.6475,9.7025,13583608
2015-10-13,9.55,9.6975,9.305,9.4875,25371336
2015-10-14,9.4825,9.5762,9.355,9.465,17844704
2015-10-15,9.505,9.5375,9.3625,9.5275,15823440
2015-10-16,9.475,9.475,9.2684,9.3725,13708692
2015-10-19,9.325,9.38,9.1975,9.26,8006844
2015-10-20,9.225,9.3775,9.1925,9.2625,9822592
2015-10-21,9.275,9.3515,9.1675,9.2275,8956832
2015-10-22,9.28,9.67,9.28,9.63,16264480
2015-10-23,9.61,9.715,9.5,9.6875,12934824
2015-10-26,9.655,9.775,9.5925,9.62,8302248
2015-10-27,9.5325,9.605,9.415,9.58,8476424
