Date,Open,High,Low,Close,Volume
2015-06-22,19.7,19.8,19.39,19.4,12436990
2015-06-23,19.4,20.15,19.38,20.11,16139770
2015-06-24,20.16,21.17,20.15,20.56,23103070
2015-06-25,20.4,20.66,19.57,19.74,16986060
2015-06-26,19.63,20.06,19.53,19.94,17313070
2015-06-29,19.7,19.96,19.36,19.38,13361360
2015-06-30,19.48,19.52,18.51,18.62,21985790
2015-07-01,18.58,18.81,18.21,18.4,14112330
2015-07-02,18.6,18.835,18.27,18.4,13181810
2015-07-06,17.89,18.12,17.51,17.84,18442930
2015-07-07,17.37,17.37,16.0,17.25,44511550
2015-07-08,17.15,17.29,16.35,16.5,20570800
2015-07-09,17.17,17.34,16.76,16.78,17841170
2015-07-10,17.3,17.5,16.665,16.74,14907000
2015-07-13,16.59,17.01,16.26,16.92,16234240
2015-07-14,16.73,17.21,16.6,17.11,14839570
2015-07-15,17.11,17.16,16.27,16.41,17211720
2015-07-16,16.65,16.67,16.1,16.3,12689160
2015-07-17,16.17,16.17,15.55,15.88,18746650
2015-07-20,15.51,15.67,14.91,15.05,34765410
2015-07-21,15.25,16.25,15.2,15.72,26977360
2015-07-22,15.51,15.56,14.86,15.06,28331150
2015-07-23,15.32,15.39,13.3,13.64,60108150
2015-07-24,13.45,13.46,12.17,12.29,56826150
2015-07-27,11.95,12.56,11.16,11.37,64597820
2015-07-28,11.76,12.69,11.62,12.33,51804060
2015-07-29,12.36,12.6,12.18,12.5,32218290
2015-07-30,12.3,12.49,11.57,11.84,29167120
2015-07-31,12.1,12.15,11.58,11.75,18925640
2015-08-03,11.64,11.67,11.12,11.2,22776800
2015-08-04,11.52,11.6801,10.93,11.04,22743160
2015-08-05,11.47,11.87,10.895,10.93,41012710
2015-08-06,10.84,11.3,10.72,11.21,28170810
2015-08-07,11.07,11.25,10.48,10.53,26787520
2015-08-10,10.11,11.69,10.1,11.65,40015350
2015-08-11,11.05,11.06,10.0,10.22,46812270
2015-08-12,10.05,10.38,9.88,10.25,35697880
2015-08-13,10.19,10.28,9.96,10.07,27116110
2015-08-14,10.09,10.36,10.01,10.03,19110560
2015-08-17,9.92,10.3,9.92,10.24,29750710
2015-08-18,9.97,10.05,9.81,9.92,44809400
2015-08-19,9.85,9.865,9.59,9.73,41925920
2015-08-20,9.99,10.12,9.59,9.71,45084170
2015-08-21,9.74,9.8,9.4799,9.58,29641610
2015-08-24,8.67,9.42,8.16,8.68,35826240
2015-08-25,9.25,9.26,8.24,8.24,37034110
2015-08-26,8.25,8.29,7.76,7.92,52820290
2015-08-27,8.63,10.48,8.56,10.19,107099400
2015-08-28,11.33,11.48,10.31,10.5,110030000
2015-08-31,10.35,10.83,10.17,10.64,58065190
2015-09-01,10.11,10.39,9.65,9.77,42428750
2015-09-02,10.05,10.05,9.5,9.9,36419240
2015-09-03,10.02,10.35,9.86,10.13,40828870
2015-09-04,9.79,9.91,9.5142,9.71,30060770
2015-09-08,10.21,10.58,10.08,10.4,65971710
2015-09-09,10.77,11.18,10.41,10.73,44812350
2015-09-10,10.82,11.34,10.78,11.27,54113610
2015-09-11,11.31,11.64,11.1,11.4,41611180
2015-09-14,11.17,11.54,10.88,11.16,28239630
2015-09-15,11.13,11.48,11.11,11.29,28009220
2015-09-16,11.45,11.87,11.39,11.84,29856240
2015-09-17,11.66,12.59,11.56,12.05,48811720
2015-09-18,11.34,11.43,10.54,10.88,79112210
2015-09-21,10.77,10.9,10.51,10.53,33154270
2015-09-22,9.97,10.78,9.72,10.59,91453410
2015-09-23,10.62,10.67,9.96,10.0,34004910
2015-09-24,9.7,10.14,9.57,9.99,46899220
2015-09-25,10.06,10.08,9.6,9.8,46412600
2015-09-28,9.36,9.37,8.62,8.91,49321970
2015-09-29,8.97,9.26,8.96,9.11,27246590
2015-09-30,9.27,9.78,9.25,9.69,42134760
2015-10-01,9.91,10.14,9.51,9.82,31261900
2015-10-02,9.71,10.66,9.62,10.62,39517390
2015-10-05,10.54,11.29,10.51,11.18,38432260
2015-10-06,11.43,11.93,11.3,11.83,53907820
2015-10-07,12.23,13.44,12.23,13.01,93685950
2015-10-08,12.95,13.62,12.71,13.46,52284070
2015-10-09,13.89,14.2,13.17,13.49,51708010
2015-10-12,13.54,13.54,12.53,12.94,30697150
2015-10-13,12.31,13.15,12.12,12.73,30892640
2015-10-14,12.83,13.09,12.47,13.06,27608110
2015-10-15,12.92,13.2,12.84,13.0,25926480
2015-10-16,13.06,13.06,12.25,12.44,28292990
2015-10-19,12.21,12.4,11.77,12.03,25831320
2015-10-20,11.93,12.39,11.83,12.24,23256040
2015-10-21,12.29,12.35,11.87,11.95,24926580
2015-10-22,11.54,12.8,11.53,12.02,36123980
2015-10-23,12.19,12.28,11.78,12.13,25752850
2015-10-26,12.14,12.31,11.98,12.02,13577060
2015-10-27,11.82,11.99,11.315,11.61,23369540
2015-10-28,11.42,12.36,11.4,11.78,32503820
2015-10-29,11.58,12.0,11.53,11.63,19389220
2015-10-30,11.7,12.05,11.56,11.77,21780320
2015-11-02,11.79,12.05,11.61,11.82,23080500
2015-11-03,11.82,12.675,11.81,12.41,35017150
2015-11-04,12.65,12.75,11.77,12.02,30383170
2015-11-05,11.77,11.86,11.21,11.48,36798790
2015-11-06,11.17,11.25,10.61,10.75,35322050
2015-11-09,10.73,10.88,10.13,10.49,28839940
2015-11-10,10.37,10.37,9.8,9.83,35540710
2015-11-11,9.91,9.92,9.02,9.31,40758860
2015-11-12,8.86,9.176,8.6,8.77,47002470
2015-11-13,8.97,8.99,8.64,8.68,32266580
2015-11-16,8.71,8.92,8.61,8.86,30260430
2015-11-17,8.94,8.97,8.33,8.39,32660490
2015-11-18,8.53,8.8,8.45,8.77,32424880
2015-11-19,8.795,8.85,8.4,8.41,27388260
2015-11-20,8.44,8.58,8.0,8.25,33721830
2015-11-23,8.2,8.2,7.938,8.0,36477180
2015-11-24,8.19,8.4,8.005,8.3,48018220
2015-11-25,8.16,8.49,8.0,8.1,29679780
2015-11-27,8.13,8.25,8.03,8.1,14910850
2015-11-30,8.11,8.48,8.03,8.18,33960730
2015-12-01,8.25,8.41,8.13,8.33,32727650
2015-12-02,8.23,8.23,7.8,7.83,45164200
2015-12-03,7.85,7.98,7.63,7.68,45420010
2015-12-04,7.65,7.92,7.54,7.85,45585880
2015-12-07,7.63,7.63,7.19,7.23,45760320
2015-12-08,7.06,7.06,6.63,6.74,57772830
2015-12-09,6.96,7.48,6.9,6.99,60666040
2015-12-10,7.07,7.45,6.93,7.36,47372100
2015-12-11,7.16,7.29,6.83,6.9,69236060
2015-12-14,6.85,6.95,6.43,6.46,57062070
2015-12-15,6.57,6.79,6.46,6.52,47300730
2015-12-16,6.63,6.86,6.53,6.69,50157850
2015-12-17,6.57,6.64,6.1,6.12,53085750
2015-12-18,6.29,6.48,6.08,6.21,95302140
2015-12-21,6.31,6.48,6.13,6.24,42746820
2015-12-22,6.28,6.46,6.225,6.42,40910070
2015-12-23,6.7,7.53,6.7,7.45,76574460
2015-12-24,7.53,7.64,7.26,7.57,23225200
2015-12-28,7.33,7.33,6.81,6.85,42559330
2015-12-29,7.15,7.29,6.86,6.97,35467030
2015-12-30,6.74,6.94,6.68,6.77,26395830
2015-12-31,6.69,6.93,6.68,6.77,24418100
2016-01-04,6.6,6.76,6.3,6.55,43070780
2016-01-05,6.62,6.73,6.51,6.71,37706450
2016-01-06,6.37,6.47,6.13,6.17,45323290
2016-01-07,5.98,6.04,5.43,5.61,66566990
2016-01-08,5.67,5.71,5.36,5.41,44229990
2016-01-11,5.4,5.42,4.23,4.31,117505300
2016-01-12,4.47,4.58,3.65,4.11,141387700
2016-01-13,4.18,4.28,3.7,3.74,64524810
2016-01-14,3.81,4.23,3.78,4.2,77657560
2016-01-15,3.8,4.35,3.77,4.35,73119990
2016-01-19,4.58,4.58,3.92,3.96,59791640
2016-01-20,3.77,4.13,3.52,4.07,88495120
2016-01-21,4.14,4.43,3.97,4.33,61075940
2016-01-22,4.59,4.66,3.8,3.94,108782400
