Date,Open,High,Low,Close,Volume
2015-06-22,176.76,177.6494,176.0,176.28,1730378
2015-06-23,176.7,176.83,174.66,175.27,1532527
2015-06-24,175.0,175.78,172.42,173.42,1749541
2015-06-25,173.63,174.02,172.59,172.8,1528129
2015-06-26,173.67,174.11,173.17,173.66,1678906
2015-06-29,171.62,173.12,170.69,171.02,2335123
2015-06-30,172.32,172.84,169.96,170.4,1552595
2015-07-01,172.11,172.46,169.64,169.81,1412369
2015-07-02,170.2,171.35,169.95,171.13,1181890
2015-07-06,170.0,171.215,167.89,168.75,1945142
2015-07-07,169.37,170.73,167.76,170.34,1754313
2015-07-08,168.32,169.98,166.67,166.99,1337464
2015-07-09,168.78,169.8,167.44,167.71,1321340
2015-07-10,170.0,170.45,167.88,168.46,1489687
2015-07-13,169.69,171.24,169.16,170.97,1327424
2015-07-14,171.0,171.89,170.09,171.24,1204392
2015-07-15,171.24,171.98,169.03,169.13,1389600
2015-07-16,170.26,170.51,169.44,169.49,1043881
2015-07-17,169.49,170.81,169.32,170.23,1391877
2015-07-20,170.6,170.604,169.5,170.21,1016637
2015-07-21,170.4,171.97,169.95,170.56,933598
2015-07-22,170.71,171.0,167.59,168.5,1308735
2015-07-23,168.85,168.885,166.57,166.86,1076585
2015-07-24,166.96,167.57,163.26,164.11,1577126
2015-07-27,162.75,165.12,162.38,164.74,2177268
2015-07-28,166.44,169.65,166.19,169.43,1854030
2015-07-29,169.3,172.6,169.1401,171.89,1261787
2015-07-30,170.51,171.73,170.16,171.27,924666
2015-07-31,169.01,172.459,167.41,171.42,1199595
2015-08-03,171.46,171.9599,169.56,170.81,788589
2015-08-04,170.97,171.87,169.85,170.09,912780
2015-08-05,170.78,173.0,170.78,171.29,846784
2015-08-06,172.14,172.19,169.49,169.6,1001005
2015-08-07,169.11,169.37,166.03,166.99,1410656
2015-08-10,168.38,169.99,168.26,169.4,1060517
2015-08-11,168.23,171.08,167.7,168.43,1538427
2015-08-12,167.8,167.8,164.19,165.31,2320022
2015-08-13,165.63,166.083,163.56,163.6,1924053
2015-08-14,164.37,165.4,163.5,164.81,2733740
2015-08-17,164.19,165.195,162.63,164.97,1512138
2015-08-18,165.0,167.31,164.76,165.66,1473255
2015-08-19,164.87,165.46,163.38,164.95,1498987
2015-08-20,163.69,164.0,160.13,160.45,1959390
2015-08-21,159.0,160.2,155.83,156.03,2500005
2015-08-24,146.51,151.83,130.0117,148.37,4012304
2015-08-25,152.76,153.05,145.0,145.06,2899574
2015-08-26,148.0,149.35,144.75,148.43,3003500
2015-08-27,150.81,153.54,149.76,153.04,1948898
2015-08-28,152.71,153.745,151.75,152.5,1302677
2015-08-31,151.95,152.0,150.2,150.61,1622601
2015-09-01,147.98,150.99,147.51,148.03,2839051
2015-09-02,150.0,150.88,148.08,150.82,1737265
2015-09-03,152.01,153.28,150.66,151.21,1781349
2015-09-04,149.49,149.9,147.32,148.61,1479864
2015-09-08,151.01,153.53,150.46,153.29,1708048
2015-09-09,154.68,155.0,151.27,151.56,1891855
2015-09-10,151.16,151.8149,149.24,149.57,2353726
2015-09-11,149.0,151.33,147.58,151.08,2380606
2015-09-14,150.74,150.93,149.21,150.23,2594990
2015-09-15,150.95,155.63,150.63,154.0,3233513
2015-09-16,151.41,152.18,146.66,149.63,6201287
2015-09-17,149.29,151.87,148.35,149.49,2867082
2015-09-18,147.8,148.225,144.88,145.3,3601334
2015-09-21,145.79,146.81,144.6,146.01,2444712
2015-09-22,144.18,144.52,142.45,143.97,2425474
2015-09-23,144.17,144.82,143.02,143.65,1651790
2015-09-24,142.23,142.87,141.1,142.44,2097422
2015-09-25,143.52,145.7745,142.86,144.45,1727703
2015-09-28,143.0,143.64,140.58,140.74,1764840
2015-09-29,140.74,142.21,140.01,141.93,1444204
2015-09-30,143.53,144.6,142.92,143.98,1711092
2015-10-01,143.88,145.42,143.63,144.71,1639229
2015-10-02,142.35,145.58,141.72,145.52,1308199
2015-10-05,146.06,150.42,146.06,149.92,1727222
2015-10-06,151.05,151.91,149.77,151.51,2196987
2015-10-07,152.07,154.5999,151.6854,152.97,2397531
2015-10-08,152.61,155.99,152.34,155.55,1735414
2015-10-09,155.73,157.2,155.23,155.33,1801546
2015-10-12,155.16,155.34,153.595,154.42,1245329
2015-10-13,153.55,153.62,151.36,151.48,1454929
2015-10-14,151.36,152.11,149.914,150.73,1131795
2015-10-15,151.74,152.37,149.75,152.11,1005997
2015-10-16,153.02,154.02,151.19,152.48,1008656
2015-10-19,151.6,152.81,151.504,152.38,624643
2015-10-20,152.02,154.11,151.5,154.0,1384200
2015-10-21,154.64,157.55,154.56,155.98,1593183
2015-10-22,156.46,160.0,156.04,159.72,1957416
2015-10-23,161.0,161.7,158.54,159.52,2261202
2015-10-26,160.07,160.414,157.71,157.87,1683524
2015-10-27,155.5,157.895,154.73,155.97,1971212
2015-10-28,156.67,157.12,153.87,155.27,1636336
2015-10-29,155.0,156.79,154.75,156.39,1144685
2015-10-30,156.43,156.56,154.54,156.05,2580685
2015-11-02,156.29,159.15,156.29,158.95,1613492
2015-11-03,158.34,159.93,158.2,159.12,1352321
2015-11-04,159.91,160.0,158.58,159.0,1290047
2015-11-05,159.72,160.905,158.68,160.27,1659651
2015-11-06,159.09,162.5,159.09,162.38,1835386
2015-11-09,161.5,162.3,159.33,160.55,2059709
2015-11-10,160.7,162.46,159.73,161.5,1627864
2015-11-11,160.01,162.21,159.0,161.03,1880996
2015-11-12,160.23,160.6,158.5,158.79,1527466
2015-11-13,158.19,160.0,157.39,158.11,1756973
2015-11-16,157.99,161.67,157.99,161.27,1809988
2015-11-17,161.96,163.21,160.61,161.41,1129722
2015-11-18,160.6,163.11,160.6,162.81,1416639
2015-11-19,163.0,164.32,162.18,163.35,1064746
2015-11-20,164.08,164.94,163.44,164.14,1252829
2015-11-23,164.14,164.76,162.9,163.44,878661
2015-11-24,162.03,163.82,161.66,163.19,1085305
2015-11-25,163.19,163.4899,161.77,162.4,1050611
2015-11-27,163.4,164.275,162.68,164.09,561720
2015-11-30,163.6,164.48,158.43,158.54,2907390
2015-12-01,159.41,160.67,157.54,160.45,2404357
2015-12-02,159.47,160.04,157.55,157.87,1611631
2015-12-03,158.0,158.37,153.29,153.63,2588312
2015-12-04,154.57,155.73,153.33,155.47,2251383
2015-12-07,153.86,154.34,151.5,152.57,1843727
2015-12-08,151.58,152.11,147.97,148.39,2154687
2015-12-09,147.46,149.87,146.42,147.05,2049603
2015-12-10,146.8,149.7,146.78,148.49,1635592
2015-12-11,146.39,147.48,144.18,144.26,2692012
2015-12-14,143.0,143.79,140.89,143.69,3089038
2015-12-15,144.19,147.49,144.056,144.69,2932340
2015-12-16,145.89,149.63,145.75,148.83,3002238
2015-12-17,156.85,157.51,151.53,151.84,5862636
2015-12-18,150.34,150.59,146.71,147.15,5131082
2015-12-21,147.55,148.535,144.73,145.75,2064848
2015-12-22,146.45,148.79,146.022,148.41,2198983
2015-12-23,148.83,151.24,148.5484,150.72,1794914
2015-12-24,150.22,150.9,148.71,149.65,1148571
2015-12-28,149.0,149.59,147.02,148.41,1803149
2015-12-29,149.3,149.74,148.15,149.24,1056179
2015-12-30,148.85,150.14,148.01,149.18,1214155
2015-12-31,148.27,150.35,148.11,148.99,1461516
2016-01-04,146.41,147.0,142.8,143.43,3327921
2016-01-05,143.56,144.73,142.39,144.65,1695425
2016-01-06,142.57,143.2,140.28,140.77,1931323
2016-01-07,138.0,138.75,134.29,134.59,3365998
2016-01-08,135.6,137.23,134.4,134.71,2386630
2016-01-11,134.86,135.05,131.23,132.97,2490598
2016-01-12,133.94,135.26,132.53,134.71,1484141
2016-01-13,135.31,136.33,129.61,130.29,2268882
2016-01-14,130.74,132.84,128.3995,131.7,2144445
2016-01-15,128.06,128.93,124.838,126.92,4238633
2016-01-19,129.21,129.75,125.28,127.2,2956219
2016-01-20,124.5,125.47,119.71,123.18,3763970
2016-01-21,123.26,125.085,122.0,123.57,2638962
2016-01-22,126.2,128.091,125.66,127.56,2393192
2016-01-25,127.0,128.05,125.71,126.04,2737624
2016-01-26,126.37,127.75,125.8,127.28,1847309
2016-01-27,130.15,131.7,127.71,128.25,2323144
2016-01-28,128.73,129.8,127.45,128.22,1577466
2016-01-29,128.8,133.04,128.8,132.88,2957006
2016-02-01,131.61,132.77,130.01,132.31,1857730
2016-02-02,131.57,132.25,129.92,130.15,2172599
2016-02-03,130.89,131.54,127.425,130.98,1953836
2016-02-04,130.69,136.09,130.69,134.21,2541956
2016-02-05,133.25,134.543,131.63,131.91,1606208
2016-02-08,130.28,130.99,128.05,130.33,1752388
2016-02-09,129.25,131.16,128.06,129.77,1936197
2016-02-10,130.65,131.7703,127.36,127.64,2127403
2016-02-11,125.54,126.99,122.78,124.42,2663512
